date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,25,16,0.0,10.9,6,6,37,11:53 AM,11:48 PM,07:30 AM,06:20 PM,9,20,21,20,24,2,49,0.0,1015,25,10,196,15
2020-01-02,27,18,0.0,10.9,6,6,44,12:27 PM,No moonset,07:30 AM,06:20 PM,12,22,22,21,28,4,55,0.0,1017,27,10,242,18
2020-01-03,26,19,0.0,10.9,6,6,51,01:00 PM,12:36 AM,07:31 AM,06:21 PM,12,22,22,21,30,4,57,0.0,1017,26,10,131,19
2020-01-04,26,18,0.0,10.9,6,6,59,01:34 PM,01:25 AM,07:31 AM,06:22 PM,10,21,21,21,32,0,51,0.0,1016,26,10,14,20
2020-01-05,29,18,0.0,10.9,6,6,66,02:08 PM,02:15 AM,07:31 AM,06:22 PM,11,23,23,22,23,2,49,0.0,1015,29,10,150,14
2020-01-06,26,19,0.0,10.9,6,6,73,02:46 PM,03:06 AM,07:31 AM,06:23 PM,11,23,23,22,22,6,50,0.0,1014,26,10,188,13
2020-01-07,26,21,0.0,10.9,6,6,80,03:28 PM,04:00 AM,07:32 AM,06:24 PM,13,24,24,23,17,5,55,0.0,1014,26,10,242,11
2020-01-08,25,18,0.0,10.9,6,6,88,04:14 PM,04:57 AM,07:32 AM,06:24 PM,11,21,21,21,28,4,55,0.0,1014,25,10,353,18
2020-01-09,25,16,0.0,10.9,6,6,95,05:07 PM,05:56 AM,07:32 AM,06:25 PM,6,20,20,20,34,0,42,0.0,1017,25,10,47,21
2020-01-10,26,15,0.0,10.9,6,6,100,06:05 PM,06:55 AM,07:32 AM,06:26 PM,5,20,21,20,38,0,38,0.0,1015,26,10,67,23
2020-01-11,25,17,0.0,10.9,6,6,100,07:07 PM,07:54 AM,07:32 AM,06:26 PM,12,21,22,21,22,0,57,0.0,1014,25,10,174,14
2020-01-12,25,17,0.0,11.0,6,6,83,08:11 PM,08:50 AM,07:32 AM,06:27 PM,18,23,23,22,16,30,78,0.0,1014,25,10,253,11
2020-01-13,23,18,0.0,10.1,5,5,76,09:16 PM,09:41 AM,07:32 AM,06:28 PM,14,22,22,21,34,42,66,3.3,1013,23,10,334,24
2020-01-14,23,16,0.0,11.0,5,5,69,10:18 PM,10:28 AM,07:33 AM,06:28 PM,10,19,20,19,23,0,56,0.0,1014,23,10,300,15
2020-01-15,22,17,0.0,11.0,5,5,61,11:20 PM,11:12 AM,07:33 AM,06:29 PM,9,19,20,19,20,0,53,0.0,1014,22,10,315,13
2020-01-16,22,16,0.0,11.0,5,5,54,No moonrise,11:53 AM,07:33 AM,06:30 PM,6,18,18,18,31,0,45,0.0,1016,22,10,350,20
2020-01-17,23,15,0.0,11.0,5,5,47,12:19 AM,12:33 PM,07:33 AM,06:31 PM,6,18,19,18,30,0,44,0.0,1017,23,10,238,18
2020-01-18,25,15,0.0,11.0,6,6,40,01:19 AM,01:14 PM,07:33 AM,06:31 PM,5,19,19,19,34,0,39,0.0,1016,25,10,17,20
2020-01-19,26,16,0.0,11.0,6,6,32,02:17 AM,01:57 PM,07:33 AM,06:32 PM,7,21,21,21,37,0,41,0.0,1016,26,10,38,22
2020-01-20,30,17,0.0,11.0,6,6,25,03:17 AM,02:41 PM,07:32 AM,06:33 PM,7,21,21,21,29,0,41,0.0,1015,30,10,215,16
2020-01-21,28,17,0.0,11.0,6,6,18,04:16 AM,03:30 PM,07:32 AM,06:33 PM,9,22,22,21,26,0,46,0.0,1015,28,10,222,15
2020-01-22,28,18,0.0,11.0,6,6,11,05:14 AM,04:21 PM,07:32 AM,06:34 PM,7,23,23,22,39,0,39,0.0,1017,28,10,28,22
2020-01-23,29,18,0.0,11.0,6,6,3,06:10 AM,05:15 PM,07:32 AM,06:35 PM,10,24,24,23,36,0,45,0.0,1016,29,10,153,21
2020-01-24,29,18,0.0,11.0,6,6,0,07:03 AM,06:09 PM,07:32 AM,06:35 PM,9,23,23,22,30,2,41,0.0,1016,29,10,237,17
2020-01-25,28,18,0.0,11.0,6,6,0,07:51 AM,07:04 PM,07:32 AM,06:36 PM,8,23,23,23,24,4,41,0.0,1015,28,10,210,13
2020-01-26,27,19,0.0,11.1,6,6,4,08:35 AM,07:58 PM,07:32 AM,06:37 PM,12,23,23,23,24,1,52,0.0,1014,27,10,305,13
2020-01-27,25,19,0.0,11.1,6,6,11,09:15 AM,08:50 PM,07:31 AM,06:37 PM,17,23,23,22,25,11,74,0.0,1012,25,10,282,17
2020-01-28,23,19,0.0,10.1,5,5,18,09:51 AM,09:40 PM,07:31 AM,06:38 PM,12,21,21,21,33,39,59,0.5,1013,23,10,291,23
2020-01-29,23,17,0.0,11.1,6,6,26,10:25 AM,10:29 PM,07:31 AM,06:39 PM,10,20,20,20,25,0,56,0.0,1016,23,10,283,16
2020-01-30,26,16,0.0,11.1,6,6,33,10:59 AM,11:18 PM,07:31 AM,06:39 PM,8,20,20,20,22,0,49,0.0,1016,26,10,207,13
2020-01-31,25,16,0.0,11.1,6,6,37,11:32 AM,No moonset,07:30 AM,06:40 PM,8,20,20,20,29,0,48,0.0,1014,25,10,228,17
2020-02-01,26,16,0.0,11.1,6,6,49,12:05 PM,12:06 AM,07:30 AM,06:41 PM,5,21,21,21,38,0,38,0.0,1015,26,10,40,22
2020-02-02,30,17,0.0,11.1,6,6,57,12:41 PM,12:56 AM,07:30 AM,06:41 PM,7,22,22,22,36,2,38,0.0,1016,30,10,147,21
2020-02-03,27,18,0.0,11.1,6,6,64,01:20 PM,01:48 AM,07:29 AM,06:42 PM,7,23,23,22,35,0,37,0.0,1015,27,10,229,20
2020-02-04,25,17,0.0,11.1,6,6,72,02:03 PM,02:42 AM,07:29 AM,06:42 PM,12,21,21,21,29,0,57,0.0,1015,25,10,317,18
2020-02-05,26,18,0.0,11.2,6,6,79,02:52 PM,03:39 AM,07:28 AM,06:43 PM,14,22,22,21,28,0,65,0.0,1015,26,10,186,18
2020-02-06,26,18,0.0,11.2,6,6,87,03:47 PM,04:37 AM,07:28 AM,06:44 PM,9,22,22,22,29,0,46,0.0,1015,26,10,228,17
2020-02-07,26,17,0.0,11.2,6,6,95,04:47 PM,05:36 AM,07:27 AM,06:44 PM,10,22,22,21,32,0,53,0.0,1016,26,10,243,19
2020-02-08,28,18,0.0,11.2,6,6,100,05:51 PM,06:33 AM,07:27 AM,06:45 PM,6,22,22,22,41,0,35,0.0,1017,28,10,43,24
2020-02-09,29,18,0.0,11.2,6,6,100,06:57 PM,07:28 AM,07:27 AM,06:45 PM,6,23,23,22,35,0,36,0.0,1017,29,10,136,20
2020-02-10,29,18,0.0,11.2,6,6,83,08:02 PM,08:18 AM,07:26 AM,06:46 PM,6,23,23,23,34,1,34,0.0,1015,29,10,190,19
2020-02-11,31,20,0.0,11.2,7,7,75,09:07 PM,09:05 AM,07:25 AM,06:47 PM,9,24,24,24,27,4,39,0.0,1015,31,10,210,15
2020-02-12,30,22,0.0,11.2,7,7,68,10:09 PM,09:49 AM,07:25 AM,06:47 PM,13,27,27,25,30,8,47,0.0,1016,30,10,196,16
2020-02-13,30,23,0.0,11.2,7,7,60,11:11 PM,10:31 AM,07:24 AM,06:48 PM,13,27,27,26,30,6,46,0.0,1016,30,10,234,17
2020-02-14,30,21,0.0,11.2,7,7,53,No moonrise,11:13 AM,07:24 AM,06:48 PM,12,26,26,25,27,7,46,0.0,1015,30,10,217,15
2020-02-15,29,20,0.0,11.3,7,7,45,12:11 AM,11:55 AM,07:23 AM,06:49 PM,11,25,25,24,27,14,46,0.0,1014,29,10,208,15
2020-02-16,29,19,0.0,11.3,6,6,38,01:12 AM,12:40 PM,07:23 AM,06:49 PM,11,24,24,24,30,0,47,0.0,1014,29,10,196,17
