date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,29,26,0.0,11.6,7,7,37,10:11 AM,10:17 PM,05:39 AM,05:06 PM,23,31,31,27,29,20,78,0.1,1014,29,10,77,20
2020-01-02,29,26,0.0,8.7,6,6,44,10:49 AM,11:02 PM,05:39 AM,05:07 PM,23,31,31,27,30,43,78,2.0,1015,29,10,76,21
2020-01-03,29,26,0.0,11.6,7,7,51,11:26 AM,11:47 PM,05:40 AM,05:07 PM,23,30,30,27,26,10,76,0.0,1013,29,10,79,18
2020-01-04,28,26,0.0,7.3,6,6,59,12:02 PM,No moonset,05:40 AM,05:08 PM,23,30,30,27,23,52,78,3.0,1012,28,10,68,16
2020-01-05,28,26,0.0,11.6,7,7,66,12:41 PM,12:33 AM,05:40 AM,05:08 PM,22,30,30,27,21,29,76,0.0,1012,28,10,80,15
2020-01-06,28,25,0.0,11.6,7,7,73,01:22 PM,01:21 AM,05:41 AM,05:09 PM,23,30,30,27,29,21,80,0.0,1013,28,10,44,21
2020-01-07,27,24,0.0,11.6,7,7,80,02:07 PM,02:11 AM,05:41 AM,05:09 PM,22,29,29,26,28,17,81,0.0,1012,27,10,44,21
2020-01-08,28,25,0.0,11.6,7,7,88,02:56 PM,03:04 AM,05:41 AM,05:10 PM,22,28,28,26,26,9,77,0.0,1011,28,10,45,18
2020-01-09,28,25,0.0,11.6,7,7,95,03:50 PM,04:01 AM,05:42 AM,05:10 PM,22,29,29,26,26,18,78,0.0,1011,28,10,43,19
2020-01-10,28,25,0.0,11.6,7,7,100,04:48 PM,04:59 AM,05:42 AM,05:11 PM,22,29,29,26,26,23,75,0.0,1011,28,10,40,19
2020-01-11,28,24,0.0,11.6,7,7,100,05:49 PM,05:59 AM,05:42 AM,05:12 PM,21,28,28,26,24,14,74,0.0,1012,28,10,35,17
2020-01-12,27,23,0.0,11.6,6,6,83,06:51 PM,06:56 AM,05:42 AM,05:12 PM,20,27,27,25,23,31,76,0.0,1011,27,10,36,17
2020-01-13,27,23,0.0,11.6,7,7,76,07:52 PM,07:51 AM,05:43 AM,05:13 PM,20,27,27,25,18,18,72,0.0,1010,27,10,46,13
2020-01-14,28,23,0.0,11.6,7,7,69,08:50 PM,08:42 AM,05:43 AM,05:13 PM,21,28,28,25,20,36,77,0.0,1011,28,10,57,15
2020-01-15,28,24,0.0,11.6,7,7,61,09:47 PM,09:31 AM,05:43 AM,05:14 PM,22,28,28,26,23,35,81,0.4,1011,28,10,56,17
2020-01-16,28,25,0.0,11.6,7,7,54,10:42 PM,10:16 AM,05:43 AM,05:14 PM,22,29,29,26,25,12,79,0.0,1012,28,10,59,18
2020-01-17,28,25,0.0,11.6,7,7,47,11:37 PM,11:01 AM,05:43 AM,05:15 PM,22,29,29,26,26,21,77,0.0,1012,28,10,55,19
2020-01-18,28,24,0.0,11.6,7,7,40,No moonrise,11:47 AM,05:44 AM,05:15 PM,22,28,28,26,23,10,77,0.0,1012,28,10,48,17
2020-01-19,28,25,0.0,11.6,7,7,32,12:31 AM,12:32 PM,05:44 AM,05:16 PM,22,29,29,26,23,9,76,0.0,1011,28,10,65,17
2020-01-20,28,25,0.0,11.6,7,7,25,01:27 AM,01:21 PM,05:44 AM,05:16 PM,22,29,29,27,27,16,76,0.0,1013,28,10,55,19
2020-01-21,28,26,0.0,11.6,7,7,18,02:23 AM,02:11 PM,05:44 AM,05:17 PM,23,30,30,27,29,21,79,0.0,1013,28,10,59,21
2020-01-22,28,26,0.0,10.2,6,6,11,03:19 AM,03:04 PM,05:44 AM,05:17 PM,23,30,30,27,28,24,79,0.2,1013,28,10,45,20
2020-01-23,28,25,0.0,11.6,7,7,3,04:14 AM,03:58 PM,05:44 AM,05:18 PM,22,29,29,26,26,2,78,0.0,1012,28,10,50,19
2020-01-24,29,24,0.0,11.6,7,7,0,05:08 AM,04:52 PM,05:44 AM,05:18 PM,21,29,29,26,25,2,72,0.0,1012,29,10,53,18
2020-01-25,28,24,0.0,11.6,7,7,0,05:58 AM,05:45 PM,05:44 AM,05:19 PM,20,27,27,25,27,6,72,0.0,1012,28,10,43,19
2020-01-26,27,22,0.0,11.6,7,7,4,06:44 AM,06:35 PM,05:44 AM,05:19 PM,18,26,26,25,20,0,66,0.0,1012,27,10,240,14
2020-01-27,27,22,0.0,11.6,7,7,11,07:28 AM,07:24 PM,05:44 AM,05:20 PM,16,26,26,24,21,0,60,0.0,1012,27,10,38,14
2020-01-28,27,22,0.0,11.6,6,6,18,08:08 AM,08:11 PM,05:44 AM,05:20 PM,16,26,26,24,23,2,62,0.0,1012,27,10,44,16
2020-01-29,27,22,0.0,11.6,7,7,26,08:46 AM,08:56 PM,05:44 AM,05:20 PM,18,26,26,24,24,5,70,0.0,1013,27,10,45,17
2020-01-30,27,24,0.0,11.6,7,7,33,09:23 AM,09:41 PM,05:44 AM,05:21 PM,19,27,27,25,23,12,70,0.0,1012,27,10,55,16
2020-01-31,28,23,0.0,11.6,7,7,37,09:59 AM,10:26 PM,05:44 AM,05:21 PM,20,27,27,26,22,0,71,0.0,1012,28,10,61,16
2020-02-01,27,24,0.0,11.6,7,7,49,10:36 AM,11:12 PM,05:44 AM,05:22 PM,22,28,28,26,27,22,77,0.0,1012,27,10,50,20
2020-02-02,28,25,0.0,11.6,7,7,57,11:16 AM,No moonset,05:44 AM,05:22 PM,22,29,29,26,30,18,77,1.2,1013,28,10,50,22
2020-02-03,28,24,0.0,11.6,7,7,64,11:58 AM,12:00 AM,05:44 AM,05:22 PM,21,28,28,26,29,7,73,0.0,1013,28,10,44,21
2020-02-04,27,24,0.0,11.6,7,7,72,12:43 PM,12:51 AM,05:43 AM,05:23 PM,20,27,27,26,30,4,72,0.0,1012,27,10,47,22
2020-02-05,28,22,0.0,11.6,7,7,79,01:34 PM,01:45 AM,05:43 AM,05:23 PM,20,27,27,25,21,0,72,0.0,1012,28,10,54,15
2020-02-06,27,22,0.0,11.6,7,7,87,02:29 PM,02:41 AM,05:43 AM,05:24 PM,19,27,27,25,19,2,72,0.0,1013,27,10,70,13
2020-02-07,27,23,0.0,11.6,7,7,95,03:30 PM,03:40 AM,05:43 AM,05:24 PM,19,27,27,25,22,0,72,0.0,1013,27,10,61,16
2020-02-08,28,23,0.0,11.6,7,7,100,04:31 PM,04:39 AM,05:43 AM,05:24 PM,20,28,28,26,20,0,73,0.0,1013,28,10,64,14
2020-02-09,28,24,0.0,11.6,7,7,100,05:34 PM,05:36 AM,05:43 AM,05:24 PM,20,28,28,26,26,2,72,0.0,1013,28,10,49,18
2020-02-10,29,24,0.0,11.6,7,7,83,06:36 PM,06:30 AM,05:42 AM,05:25 PM,21,29,29,26,29,18,70,0.0,1013,29,10,44,21
2020-02-11,28,25,0.0,11.6,7,7,75,07:36 PM,07:22 AM,05:42 AM,05:25 PM,22,29,29,27,32,10,74,0.0,1013,28,10,46,23
2020-02-12,28,24,0.0,11.6,7,7,68,08:33 PM,08:10 AM,05:42 AM,05:25 PM,21,28,28,26,29,12,72,0.0,1013,28,10,48,21
2020-02-13,29,24,0.0,11.6,7,7,60,09:30 PM,08:57 AM,05:41 AM,05:26 PM,20,28,28,26,22,11,72,0.0,1013,29,10,53,15
2020-02-14,28,23,0.0,11.6,7,7,53,10:26 PM,09:44 AM,05:41 AM,05:26 PM,20,27,27,25,13,11,75,0.0,1011,28,10,50,9
2020-02-15,28,22,0.0,11.6,7,7,45,11:23 PM,10:30 AM,05:41 AM,05:26 PM,18,26,26,25,15,1,66,0.0,1013,28,10,47,10
2020-02-16,28,22,0.0,11.6,7,7,38,No moonrise,11:19 AM,05:40 AM,05:26 PM,18,27,27,25,21,0,66,0.0,1013,28,10,53,14
2020-02-17,28,22,0.0,11.6,7,7,30,12:19 AM,12:09 PM,05:40 AM,05:27 PM,17,26,26,25,20,0,62,0.0,1014,28,10,56,13
2020-02-18,29,22,0.0,11.6,7,7,22,01:15 AM,01:00 PM,05:40 AM,05:27 PM,19,27,27,25,20,1,69,0.0,1013,29,10,67,14
2020-02-19,28,24,0.0,11.6,6,6,15,02:10 AM,01:53 PM,05:39 AM,05:27 PM,23,29,29,26,26,47,80,0.1,1013,28,10,58,19
