date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,23,0.0,5.7,6,6,37,11:08 AM,11:10 PM,06:38 AM,05:52 PM,21,27,27,25,21,60,79,0.5,1015,28,10,93,15
2020-01-02,29,23,0.0,4.2,6,6,44,11:44 AM,11:56 PM,06:38 AM,05:53 PM,22,28,28,26,17,66,80,1.9,1016,29,10,91,12
2020-01-03,29,21,0.0,5.7,6,6,51,12:19 PM,No moonset,06:38 AM,05:53 PM,22,28,28,25,11,62,82,2.8,1013,29,10,139,8
2020-01-04,29,24,0.0,5.7,6,6,59,12:55 PM,12:42 AM,06:39 AM,05:54 PM,22,29,29,26,14,66,80,6.5,1012,29,10,103,9
2020-01-05,29,24,0.0,5.7,6,6,66,01:33 PM,01:30 AM,06:39 AM,05:55 PM,22,28,28,26,16,39,80,1.0,1013,29,10,71,11
2020-01-06,27,23,0.0,4.2,6,6,73,02:12 PM,02:18 AM,06:39 AM,05:55 PM,21,27,27,25,26,74,81,3.5,1015,27,10,80,18
2020-01-07,28,23,0.0,4.2,6,6,80,02:56 PM,03:10 AM,06:40 AM,05:56 PM,21,27,27,25,22,74,78,0.8,1015,28,10,104,15
2020-01-08,28,23,0.0,4.2,6,6,88,03:45 PM,04:05 AM,06:40 AM,05:56 PM,20,27,27,25,16,57,75,0.5,1014,28,10,109,11
2020-01-09,28,23,0.0,8.7,7,7,95,04:38 PM,05:02 AM,06:40 AM,05:57 PM,19,27,27,25,14,13,70,0.0,1013,28,10,127,10
2020-01-10,27,21,0.0,4.2,5,5,100,05:36 PM,06:01 AM,06:41 AM,05:57 PM,19,26,26,24,13,42,75,0.0,1014,27,10,93,9
2020-01-11,28,21,0.0,5.7,6,6,100,06:37 PM,07:00 AM,06:41 AM,05:58 PM,20,27,27,25,11,49,77,0.6,1015,28,10,89,8
2020-01-12,28,22,0.0,4.2,6,6,83,07:40 PM,07:57 AM,06:41 AM,05:59 PM,20,26,26,24,15,57,78,2.9,1014,28,10,76,11
2020-01-13,29,20,0.0,8.7,6,6,76,08:42 PM,08:51 AM,06:41 AM,05:59 PM,19,25,25,24,13,5,76,0.0,1013,29,9,96,9
2020-01-14,28,18,0.0,11.6,6,6,69,09:42 PM,09:41 AM,06:41 AM,06:00 PM,18,25,25,23,15,1,70,0.0,1013,28,10,103,10
2020-01-15,28,21,0.0,11.6,6,6,61,10:40 PM,10:27 AM,06:41 AM,06:00 PM,17,26,26,24,14,7,68,0.0,1013,28,10,100,10
2020-01-16,29,21,0.0,11.6,6,6,54,11:38 PM,11:11 AM,06:42 AM,06:01 PM,17,25,25,24,14,16,66,0.0,1013,29,10,123,10
2020-01-17,29,21,0.0,11.6,7,7,47,No moonrise,11:55 AM,06:42 AM,06:01 PM,19,26,26,25,13,19,74,0.0,1014,29,10,110,9
2020-01-18,29,23,0.0,8.7,6,6,40,12:33 AM,12:38 PM,06:42 AM,06:02 PM,20,27,27,25,19,52,76,0.7,1014,29,10,96,13
2020-01-19,29,22,0.0,10.2,6,6,32,01:30 AM,01:23 PM,06:42 AM,06:03 PM,20,27,27,25,13,40,74,0.1,1014,29,10,106,9
2020-01-20,30,22,0.0,11.6,7,7,25,02:26 AM,02:10 PM,06:42 AM,06:03 PM,19,27,27,25,13,8,68,0.0,1015,30,10,101,9
2020-01-21,29,21,0.0,11.6,7,7,18,03:24 AM,03:00 PM,06:42 AM,06:04 PM,19,27,27,25,16,5,70,0.0,1016,29,10,95,11
2020-01-22,29,21,0.0,11.6,6,6,11,04:20 AM,03:52 PM,06:42 AM,06:04 PM,20,27,27,25,15,30,75,0.1,1017,29,10,89,11
2020-01-23,29,20,0.0,11.6,7,7,3,05:16 AM,04:46 PM,06:42 AM,06:05 PM,19,26,26,24,13,10,73,0.0,1015,29,9,95,9
2020-01-24,30,21,0.0,11.6,7,7,0,06:09 AM,05:40 PM,06:42 AM,06:05 PM,18,26,26,25,14,0,69,0.0,1015,30,10,101,9
2020-01-25,29,21,0.0,11.6,7,7,0,06:59 AM,06:33 PM,06:42 AM,06:06 PM,17,26,26,25,16,0,63,0.0,1014,29,10,115,10
2020-01-26,30,20,0.0,11.6,7,7,4,07:44 AM,07:25 PM,06:42 AM,06:06 PM,17,26,26,25,18,1,63,0.0,1013,30,10,127,11
2020-01-27,31,22,0.0,11.6,7,7,11,08:26 AM,08:15 PM,06:42 AM,06:07 PM,19,27,27,25,18,0,68,0.0,1012,31,10,126,12
2020-01-28,32,22,0.0,11.6,7,7,18,09:05 AM,09:03 PM,06:42 AM,06:07 PM,20,28,28,26,28,4,70,0.0,1012,32,10,162,19
2020-01-29,31,22,0.0,11.6,7,7,26,09:42 AM,09:50 PM,06:41 AM,06:08 PM,20,28,28,26,26,8,71,0.0,1013,31,10,147,18
2020-01-30,31,22,0.0,11.6,7,7,33,10:17 AM,10:36 PM,06:41 AM,06:08 PM,20,28,28,26,20,9,70,0.0,1012,31,10,134,14
2020-01-31,30,22,0.0,11.6,7,7,37,10:52 AM,11:22 PM,06:41 AM,06:09 PM,20,28,28,26,20,13,74,0.0,1012,30,10,131,14
2020-02-01,30,22,0.0,11.6,7,7,49,11:29 AM,No moonset,06:41 AM,06:09 PM,20,28,28,26,23,20,73,0.0,1013,30,10,129,16
2020-02-02,30,22,0.0,10.2,7,7,57,12:06 PM,12:09 AM,06:41 AM,06:10 PM,20,27,27,25,20,18,72,0.0,1015,30,10,123,14
2020-02-03,30,22,0.0,11.6,7,7,64,12:47 PM,12:59 AM,06:41 AM,06:10 PM,18,27,27,25,17,5,67,0.0,1015,30,10,123,12
2020-02-04,30,22,0.0,11.6,7,7,72,01:33 PM,01:51 AM,06:40 AM,06:11 PM,18,27,27,25,19,21,67,0.0,1014,30,10,122,13
2020-02-05,30,22,0.0,11.6,7,7,79,02:22 PM,02:46 AM,06:40 AM,06:11 PM,19,27,27,25,20,15,69,0.0,1014,30,10,135,13
2020-02-06,31,21,0.0,11.6,7,7,87,03:18 PM,03:43 AM,06:40 AM,06:12 PM,18,27,27,25,26,2,66,0.0,1013,31,10,145,17
2020-02-07,31,22,0.0,11.6,7,7,95,04:17 PM,04:42 AM,06:40 AM,06:12 PM,20,28,28,26,31,14,70,0.0,1013,31,10,142,21
2020-02-08,30,22,0.0,11.6,7,7,100,05:21 PM,05:41 AM,06:39 AM,06:12 PM,20,27,27,25,26,18,72,0.0,1014,30,10,135,18
2020-02-09,30,23,0.0,8.7,6,6,100,06:24 PM,06:36 AM,06:39 AM,06:13 PM,20,28,28,26,25,53,71,2.2,1015,30,10,110,18
2020-02-10,29,23,0.0,8.7,6,6,83,07:27 PM,07:30 AM,06:39 AM,06:13 PM,19,27,27,26,20,55,69,0.8,1015,29,10,101,13
2020-02-11,29,23,0.0,10.2,6,6,75,08:28 PM,08:19 AM,06:38 AM,06:14 PM,20,27,27,25,22,39,72,0.4,1016,29,10,93,16
2020-02-12,29,22,0.0,11.6,7,7,68,09:28 PM,09:06 AM,06:38 AM,06:14 PM,19,27,27,25,18,18,70,0.0,1017,29,10,90,13
2020-02-13,30,21,0.0,11.6,7,7,60,10:26 PM,09:51 AM,06:37 AM,06:14 PM,19,27,27,25,15,4,70,0.0,1015,30,10,86,11
2020-02-14,32,22,0.0,11.6,7,7,53,11:24 PM,10:36 AM,06:37 AM,06:15 PM,16,27,27,26,15,0,58,0.0,1013,32,10,71,9
2020-02-15,32,20,0.0,11.6,7,7,45,No moonrise,11:21 AM,06:37 AM,06:15 PM,16,26,26,26,20,0,56,0.0,1012,32,10,111,13
2020-02-16,32,21,0.0,11.6,7,7,38,12:22 AM,12:08 PM,06:36 AM,06:15 PM,16,26,26,25,19,0,58,0.0,1014,32,10,121,13
2020-02-17,31,21,0.0,11.6,7,7,30,01:20 AM,12:57 PM,06:36 AM,06:16 PM,17,26,26,25,18,0,61,0.0,1015,31,10,123,12
2020-02-18,31,21,0.0,11.6,7,7,22,02:16 AM,01:48 PM,06:35 AM,06:16 PM,18,27,27,25,18,0,63,0.0,1014,31,10,122,13
2020-02-19,30,22,0.0,11.6,7,7,15,03:12 AM,02:41 PM,06:35 AM,06:16 PM,19,27,27,25,18,3,69,0.0,1014,30,10,120,13
2020-02-20,30,21,0.0,11.6,7,7,7,04:05 AM,03:35 PM,06:34 AM,06:17 PM,17,27,27,25,18,0,65,0.0,1014,30,10,99,12
2020-02-21,30,20,0.0,11.6,7,7,0,04:55 AM,04:27 PM,06:34 AM,06:17 PM,18,26,26,25,18,5,67,0.0,1016,30,10,101,12
