date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,23,11,0.0,8.7,5,5,37,11:34 AM,11:25 PM,07:14 AM,05:55 PM,10,15,16,15,26,30,70,0.0,1016,23,10,61,16
2020-01-02,22,11,0.0,5.5,4,4,44,12:07 PM,No moonset,07:14 AM,05:55 PM,12,15,16,15,23,48,78,0.3,1017,22,10,52,14
2020-01-03,22,12,0.0,8.7,5,5,51,12:39 PM,12:14 AM,07:14 AM,05:56 PM,9,15,16,15,17,11,68,0.0,1017,22,10,49,10
2020-01-04,21,11,0.0,8.7,5,5,59,01:11 PM,01:04 AM,07:15 AM,05:57 PM,7,15,16,15,18,6,60,0.0,1016,21,10,57,11
2020-01-05,23,11,0.0,8.7,5,5,66,01:45 PM,01:55 AM,07:15 AM,05:57 PM,5,16,16,16,18,4,50,0.0,1017,23,10,88,11
2020-01-06,25,11,0.0,8.7,5,5,73,02:22 PM,02:47 AM,07:15 AM,05:58 PM,4,17,18,17,19,6,42,0.0,1017,25,10,148,11
2020-01-07,27,14,0.0,8.7,6,6,80,03:03 PM,03:42 AM,07:15 AM,05:59 PM,8,19,20,19,20,34,48,0.2,1014,27,10,255,12
2020-01-08,24,16,0.0,8.7,5,5,88,03:49 PM,04:39 AM,07:16 AM,05:59 PM,6,19,20,19,19,18,45,0.0,1013,24,10,305,12
2020-01-09,19,9,0.0,10.8,4,4,95,04:40 PM,05:39 AM,07:16 AM,06:00 PM,2,12,13,12,24,0,50,0.0,1018,19,10,56,15
2020-01-10,20,7,0.0,10.9,4,4,100,05:38 PM,06:39 AM,07:16 AM,06:01 PM,0,11,13,11,24,0,45,0.0,1019,20,10,70,14
2020-01-11,23,7,0.0,10.9,5,5,100,06:41 PM,07:38 AM,07:16 AM,06:01 PM,-0,14,16,14,21,4,38,0.0,1018,23,10,92,12
2020-01-12,28,12,0.0,10.9,6,6,83,07:46 PM,08:32 AM,07:16 AM,06:02 PM,6,19,20,19,14,2,43,0.0,1015,28,10,122,8
