date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,16,13,0.0,7.1,3,3,37,11:06 AM,10:54 PM,06:48 AM,05:24 PM,6,13,14,13,18,50,60,0.2,1021,16,9,79,10
2020-01-02,23,12,0.0,5.6,4,4,44,11:39 AM,11:45 PM,06:49 AM,05:24 PM,10,17,17,17,17,52,67,1.5,1020,23,10,92,10
2020-01-03,20,15,0.0,4.0,4,4,51,12:10 PM,No moonset,06:49 AM,05:25 PM,14,17,17,17,14,72,85,13.6,1017,20,9,65,9
2020-01-04,21,13,0.0,8.7,4,4,59,12:41 PM,12:35 AM,06:49 AM,05:26 PM,12,17,17,17,11,40,75,0.2,1016,21,9,312,7
2020-01-05,22,15,0.0,8.7,5,5,66,01:15 PM,01:27 AM,06:49 AM,05:26 PM,10,18,18,18,14,1,62,0.0,1017,22,10,290,10
2020-01-06,23,13,0.0,8.7,5,5,73,01:51 PM,02:19 AM,06:50 AM,05:27 PM,8,18,18,18,13,17,52,0.0,1018,23,10,293,8
2020-01-07,25,16,0.0,8.7,6,6,80,02:31 PM,03:15 AM,06:50 AM,05:28 PM,9,20,20,20,8,15,51,0.0,1016,25,10,121,5
2020-01-08,20,15,0.0,5.6,4,4,88,03:17 PM,04:12 AM,06:50 AM,05:29 PM,10,16,16,16,23,60,67,2.9,1014,20,10,88,14
2020-01-09,19,13,0.0,4.0,4,4,95,04:08 PM,05:13 AM,06:50 AM,05:29 PM,12,15,15,15,16,59,82,1.6,1016,19,10,319,11
2020-01-10,19,10,0.0,8.7,4,4,100,05:06 PM,06:12 AM,06:50 AM,05:30 PM,5,14,14,14,16,0,57,0.0,1019,19,10,291,11
2020-01-11,20,10,0.0,8.7,5,5,100,06:08 PM,07:11 AM,06:50 AM,05:31 PM,5,14,15,14,10,2,51,0.0,1019,20,10,287,7
2020-01-12,22,11,0.0,8.7,5,5,83,07:14 PM,08:06 AM,06:50 AM,05:31 PM,7,16,17,16,10,1,53,0.0,1016,22,10,292,7
2020-01-13,25,15,0.0,8.7,5,5,76,08:19 PM,08:56 AM,06:50 AM,05:32 PM,6,19,19,19,9,1,46,0.0,1013,25,10,103,6
2020-01-14,25,13,0.0,8.7,5,5,69,09:24 PM,09:42 AM,06:50 AM,05:33 PM,8,18,19,18,12,21,51,0.0,1013,25,10,267,7
2020-01-15,23,17,0.0,7.2,4,4,61,10:27 PM,10:23 AM,06:50 AM,05:34 PM,11,18,19,18,11,40,62,0.0,1015,23,10,45,7
2020-01-16,20,12,0.0,8.7,4,4,54,11:29 PM,11:03 AM,06:50 AM,05:34 PM,12,16,17,16,21,42,75,0.2,1014,20,9,43,14
2020-01-17,21,14,0.0,5.6,4,4,47,No moonrise,11:42 AM,06:50 AM,05:35 PM,14,17,18,17,11,56,82,3.4,1015,21,10,76,7
2020-01-18,22,16,0.0,7.2,4,4,40,12:30 AM,12:20 PM,06:50 AM,05:36 PM,12,18,18,18,10,57,73,0.1,1016,22,10,222,6
2020-01-19,21,13,0.0,8.7,5,5,32,01:31 AM,01:01 PM,06:50 AM,05:37 PM,10,16,17,16,16,6,68,0.0,1018,21,10,300,11
2020-01-20,21,11,0.0,8.7,5,5,25,02:31 AM,01:45 PM,06:50 AM,05:38 PM,5,15,15,15,12,7,53,0.0,1018,21,10,302,8
2020-01-21,22,11,0.0,5.6,4,4,18,03:32 AM,02:31 PM,06:50 AM,05:38 PM,4,16,16,16,8,55,47,0.0,1018,22,10,69,5
