date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,24,0.0,4.2,6,6,37,11:04 AM,11:10 PM,06:30 AM,05:57 PM,22,29,29,26,18,66,79,6.8,1014,28,10,84,13
2020-01-02,29,24,0.0,7.2,6,6,44,11:42 AM,11:56 PM,06:31 AM,05:58 PM,23,29,29,26,17,43,81,1.5,1015,29,10,67,12
2020-01-03,29,25,0.0,8.7,7,7,51,12:18 PM,No moonset,06:31 AM,05:58 PM,23,30,30,27,15,20,80,0.0,1013,29,10,94,11
2020-01-04,28,25,0.0,8.7,7,7,59,12:55 PM,12:40 AM,06:32 AM,05:59 PM,23,30,30,27,13,29,79,0.0,1012,28,10,123,9
2020-01-05,29,25,0.0,5.7,6,6,66,01:34 PM,01:27 AM,06:32 AM,05:59 PM,23,30,30,27,15,63,78,5.2,1012,29,10,114,10
2020-01-06,28,25,0.0,5.8,6,6,73,02:15 PM,02:14 AM,06:32 AM,06:00 PM,22,29,29,26,24,76,79,4.3,1014,28,9,75,16
2020-01-07,28,23,0.0,7.3,6,6,80,03:00 PM,03:05 AM,06:33 AM,06:00 PM,22,28,28,26,29,68,78,6.3,1014,28,10,68,20
2020-01-08,27,24,0.0,10.2,6,6,88,03:49 PM,03:58 AM,06:33 AM,06:01 PM,20,27,27,25,26,38,72,1.3,1013,27,10,48,18
2020-01-09,27,23,0.0,11.6,7,7,95,04:43 PM,04:55 AM,06:33 AM,06:02 PM,18,26,26,25,18,0,66,0.0,1013,27,10,67,13
2020-01-10,27,22,0.0,11.6,7,7,100,05:42 PM,05:54 AM,06:34 AM,06:02 PM,19,26,26,24,23,11,70,0.0,1013,27,10,55,15
2020-01-11,27,22,0.0,11.6,7,7,100,06:42 PM,06:53 AM,06:34 AM,06:03 PM,19,26,26,24,28,32,74,0.1,1014,27,10,45,19
2020-01-12,28,22,0.0,5.8,6,6,83,07:45 PM,07:51 AM,06:34 AM,06:03 PM,21,27,27,25,24,64,78,2.0,1013,28,10,59,17
2020-01-13,27,23,0.0,7.3,6,6,76,08:45 PM,08:45 AM,06:34 AM,06:04 PM,20,27,27,25,23,54,74,1.3,1012,27,10,63,16
2020-01-14,27,22,0.0,11.6,6,6,69,09:44 PM,09:36 AM,06:35 AM,06:04 PM,17,26,26,24,21,3,65,0.0,1012,27,10,63,14
2020-01-15,27,21,0.0,11.6,6,6,61,10:40 PM,10:24 AM,06:35 AM,06:05 PM,17,25,25,24,22,8,67,0.0,1013,27,10,55,14
2020-01-16,28,22,0.0,10.2,7,7,54,11:36 PM,11:10 AM,06:35 AM,06:05 PM,18,26,26,25,18,26,68,0.0,1013,28,10,54,12
2020-01-17,28,23,0.0,10.2,6,6,47,No moonrise,11:55 AM,06:35 AM,06:06 PM,22,28,28,25,21,38,79,0.3,1012,28,10,66,15
2020-01-18,27,24,0.0,5.9,6,6,40,12:30 AM,12:39 PM,06:35 AM,06:06 PM,22,28,28,26,29,69,82,7.2,1012,27,10,71,19
2020-01-19,28,24,0.0,8.7,6,6,32,01:25 AM,01:26 PM,06:35 AM,06:07 PM,21,28,28,26,24,47,76,0.4,1013,28,10,60,17
2020-01-20,28,23,0.0,11.6,7,7,25,02:20 AM,02:14 PM,06:35 AM,06:07 PM,20,27,27,25,23,13,72,0.0,1014,28,10,59,15
