date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,29,18,0.0,11.0,6,6,37,11:34 AM,11:32 PM,07:07 AM,06:09 PM,10,22,22,22,14,4,48,0.0,1014,29,10,221,9
2020-01-02,29,17,0.0,11.0,6,6,44,12:08 PM,No moonset,07:07 AM,06:09 PM,13,23,23,22,13,3,57,0.0,1015,29,10,219,9
2020-01-03,28,17,0.0,11.0,6,6,51,12:42 PM,12:19 AM,07:07 AM,06:10 PM,13,23,23,22,7,4,60,0.0,1015,28,10,220,5
2020-01-04,28,19,0.0,11.0,6,6,59,01:17 PM,01:07 AM,07:08 AM,06:11 PM,13,23,23,23,7,2,57,0.0,1013,28,10,164,5
2020-01-05,27,17,0.0,11.0,6,6,66,01:54 PM,01:55 AM,07:08 AM,06:11 PM,12,21,22,21,17,19,59,0.0,1013,27,10,111,12
2020-01-06,27,17,0.0,11.0,6,6,73,02:32 PM,02:45 AM,07:08 AM,06:12 PM,14,22,22,22,16,18,63,0.0,1015,27,10,133,11
2020-01-07,31,19,0.0,11.0,7,7,80,03:15 PM,03:38 AM,07:09 AM,06:12 PM,15,24,24,24,13,20,62,0.0,1013,31,10,199,9
2020-01-08,28,19,0.0,11.0,6,6,88,04:02 PM,04:34 AM,07:09 AM,06:13 PM,16,24,24,23,14,19,67,0.0,1013,28,10,261,11
2020-01-09,28,17,0.0,11.1,6,6,95,04:55 PM,05:32 AM,07:09 AM,06:14 PM,14,22,22,22,7,16,64,0.0,1013,28,10,96,5
2020-01-10,27,17,0.0,11.1,6,6,100,05:54 PM,06:31 AM,07:09 AM,06:14 PM,11,22,22,21,18,10,54,0.0,1013,27,10,112,12
2020-01-11,28,17,0.0,11.1,6,6,100,06:55 PM,07:30 AM,07:09 AM,06:15 PM,13,23,23,22,14,14,56,0.0,1014,28,10,121,10
2020-01-12,29,19,0.0,11.1,6,6,83,07:59 PM,08:26 AM,07:10 AM,06:16 PM,13,25,25,24,12,7,56,0.0,1014,29,10,125,9
2020-01-13,29,18,0.0,11.1,6,6,76,09:02 PM,09:19 AM,07:10 AM,06:16 PM,15,22,22,22,12,11,66,0.0,1012,29,10,254,9
2020-01-14,29,18,0.0,11.1,6,6,69,10:03 PM,10:07 AM,07:10 AM,06:17 PM,16,23,23,22,10,19,69,0.0,1012,29,10,286,7
2020-01-15,29,16,0.0,11.1,6,6,61,11:03 PM,10:52 AM,07:10 AM,06:18 PM,14,22,22,21,15,10,68,0.0,1012,29,10,219,11
2020-01-16,26,14,0.0,11.1,6,6,54,No moonrise,11:35 AM,07:10 AM,06:18 PM,11,19,19,19,14,27,64,0.0,1013,26,10,255,11
2020-01-17,28,14,0.0,11.1,6,6,47,12:01 AM,12:17 PM,07:10 AM,06:19 PM,7,21,22,21,8,1,46,0.0,1014,28,10,162,6
2020-01-18,29,16,0.0,11.1,6,6,40,12:59 AM,12:59 PM,07:10 AM,06:19 PM,9,23,23,22,10,5,43,0.0,1013,29,10,191,7
2020-01-19,30,17,0.0,11.1,6,6,32,01:57 AM,01:43 PM,07:10 AM,06:20 PM,11,24,24,24,11,7,47,0.0,1013,30,10,79,7
2020-01-20,31,19,0.0,11.1,7,7,25,02:54 AM,02:29 PM,07:10 AM,06:21 PM,12,26,26,25,10,5,47,0.0,1013,31,10,114,7
2020-01-21,31,19,0.0,11.1,7,7,18,03:53 AM,03:18 PM,07:10 AM,06:21 PM,13,26,26,25,8,15,51,0.0,1014,31,10,181,6
2020-01-22,31,20,0.0,11.1,7,7,11,04:50 AM,04:09 PM,07:10 AM,06:22 PM,12,26,26,25,10,8,48,0.0,1015,31,10,133,7
2020-01-23,31,20,0.0,11.1,7,7,3,05:46 AM,05:03 PM,07:10 AM,06:23 PM,10,26,26,26,10,2,40,0.0,1014,31,10,112,8
2020-01-24,32,21,0.0,11.1,7,7,0,06:39 AM,05:58 PM,07:10 AM,06:23 PM,10,27,27,26,8,2,38,0.0,1014,32,10,96,6
2020-01-25,32,20,0.0,11.1,7,7,0,07:28 AM,06:52 PM,07:10 AM,06:24 PM,10,27,27,26,8,6,39,0.0,1014,32,10,63,6
2020-01-26,34,22,0.0,11.1,7,7,4,08:12 AM,07:45 PM,07:10 AM,06:24 PM,9,27,27,27,8,2,33,0.0,1012,34,10,164,6
2020-01-27,31,21,0.0,11.2,7,7,11,08:53 AM,08:35 PM,07:09 AM,06:25 PM,11,26,26,25,15,4,46,0.0,1012,31,10,237,11
2020-01-28,28,15,0.0,11.2,6,6,18,09:31 AM,09:25 PM,07:09 AM,06:25 PM,13,21,21,21,19,8,67,0.0,1013,28,10,260,14
2020-01-29,27,15,0.0,11.2,6,6,26,10:06 AM,10:12 PM,07:09 AM,06:26 PM,12,20,20,20,14,19,62,0.0,1015,27,10,287,10
2020-01-30,31,14,0.0,11.2,6,6,33,10:41 AM,11:00 PM,07:09 AM,06:27 PM,9,24,24,24,8,0,44,0.0,1014,31,10,172,6
2020-01-31,32,18,0.0,11.2,6,6,37,11:15 AM,11:47 PM,07:09 AM,06:27 PM,9,24,24,24,12,0,42,0.0,1012,32,10,213,9
2020-02-01,32,17,0.0,11.2,7,7,49,11:50 AM,No moonset,07:08 AM,06:28 PM,11,25,25,24,8,2,48,0.0,1012,32,10,168,6
2020-02-02,32,18,0.0,11.2,6,6,57,12:26 PM,12:35 AM,07:08 AM,06:28 PM,10,24,24,24,16,2,48,0.0,1014,32,10,177,11
2020-02-03,31,18,0.0,11.2,7,7,64,01:07 PM,01:26 AM,07:08 AM,06:29 PM,12,25,25,24,13,7,54,0.0,1014,31,10,240,9
2020-02-04,30,18,0.0,11.2,6,6,72,01:51 PM,02:19 AM,07:07 AM,06:29 PM,13,24,24,24,14,12,54,0.0,1013,30,10,239,10
2020-02-05,31,19,0.0,11.2,6,6,79,02:40 PM,03:15 AM,07:07 AM,06:30 PM,9,24,24,24,13,6,43,0.0,1013,31,10,183,9
2020-02-06,31,18,0.0,11.2,6,6,87,03:35 PM,04:13 AM,07:07 AM,06:30 PM,7,23,23,23,16,2,40,0.0,1013,31,10,258,11
2020-02-07,30,16,0.0,11.3,6,6,95,04:35 PM,05:12 AM,07:06 AM,06:31 PM,5,23,23,22,12,0,36,0.0,1014,30,10,294,8
2020-02-08,29,17,0.0,11.3,6,6,100,05:39 PM,06:10 AM,07:06 AM,06:31 PM,8,23,23,22,12,6,43,0.0,1014,29,10,53,9
2020-02-09,29,16,0.0,11.3,6,6,100,06:43 PM,07:05 AM,07:06 AM,06:32 PM,10,23,23,23,22,21,46,0.0,1015,29,10,106,15
2020-02-10,30,18,0.0,10.1,6,6,83,07:48 PM,07:57 AM,07:05 AM,06:32 PM,13,24,24,24,16,42,55,0.0,1014,30,10,133,11
2020-02-11,30,21,0.0,11.3,7,7,75,08:50 PM,08:45 AM,07:05 AM,06:33 PM,12,26,26,26,15,15,46,0.0,1014,30,10,110,11
2020-02-12,29,20,0.0,10.1,6,6,68,09:52 PM,09:30 AM,07:04 AM,06:33 PM,14,25,25,24,16,26,55,0.2,1016,29,10,101,12
2020-02-13,33,19,0.0,11.3,7,7,60,10:51 PM,10:14 AM,07:04 AM,06:34 PM,13,27,27,26,11,9,48,0.0,1015,33,10,68,7
2020-02-14,34,20,0.0,11.3,7,7,53,11:51 PM,10:57 AM,07:03 AM,06:34 PM,11,29,29,28,9,4,41,0.0,1013,34,10,40,6
2020-02-15,36,20,0.0,11.3,7,7,45,No moonrise,11:41 AM,07:03 AM,06:35 PM,9,28,28,28,10,3,36,0.0,1013,36,10,48,7
2020-02-16,35,22,0.0,11.3,7,7,38,12:50 AM,12:27 PM,07:02 AM,06:35 PM,9,29,29,29,11,2,35,0.0,1013,35,10,119,8
2020-02-17,34,23,0.0,11.3,7,7,30,01:48 AM,01:15 PM,07:02 AM,06:36 PM,10,29,29,28,12,3,35,0.0,1014,34,10,105,9
2020-02-18,35,23,0.0,11.4,7,7,22,02:46 AM,02:06 PM,07:01 AM,06:36 PM,9,29,29,29,11,1,33,0.0,1014,35,10,74,8
2020-02-19,37,22,0.0,11.4,8,8,15,03:42 AM,02:58 PM,07:01 AM,06:36 PM,9,30,30,30,8,2,32,0.0,1013,37,10,143,5
2020-02-20,35,22,0.0,11.4,7,7,7,04:34 AM,03:52 PM,07:00 AM,06:37 PM,10,29,29,28,10,4,35,0.0,1012,35,10,167,6
2020-02-21,34,20,0.0,11.6,7,7,0,05:24 AM,04:46 PM,06:59 AM,06:37 PM,9,28,28,27,10,9,35,0.0,1014,34,10,174,6
2020-02-22,35,21,0.0,11.6,7,7,0,06:09 AM,05:39 PM,06:59 AM,06:38 PM,8,29,29,29,11,7,31,0.0,1015,35,10,85,7
2020-02-23,35,23,0.0,11.6,8,8,0,06:51 AM,06:29 PM,06:58 AM,06:38 PM,8,29,29,29,11,3,29,0.0,1013,35,10,282,7
2020-02-24,35,22,0.0,11.6,7,7,0,07:30 AM,07:19 PM,06:57 AM,06:38 PM,5,27,27,27,16,2,25,0.0,1012,35,10,223,11
2020-02-25,36,21,0.0,11.6,7,7,8,08:06 AM,08:07 PM,06:57 AM,06:39 PM,3,29,29,29,10,0,23,0.0,1011,36,10,248,7
2020-02-26,35,19,0.0,11.6,7,7,15,08:40 AM,08:55 PM,06:56 AM,06:39 PM,1,28,28,28,12,0,19,0.0,1011,35,10,81,9
2020-02-27,34,21,0.0,11.6,7,7,23,09:15 AM,09:42 PM,06:55 AM,06:39 PM,3,28,28,28,12,0,22,0.0,1012,34,10,101,8
2020-02-28,34,21,0.0,11.6,7,7,30,09:49 AM,10:30 PM,06:55 AM,06:40 PM,5,27,27,27,14,3,26,0.0,1010,34,10,188,9
2020-02-29,35,19,0.0,11.6,7,7,38,10:24 AM,11:19 PM,06:54 AM,06:40 PM,6,27,27,27,11,6,29,0.0,1010,35,10,240,8
2020-03-01,35,20,0.0,11.6,7,7,44,11:02 AM,No moonset,06:53 AM,06:40 PM,8,26,26,26,13,11,33,0.0,1011,35,10,248,8
2020-03-02,34,20,0.0,11.6,7,7,51,11:44 AM,12:10 AM,06:53 AM,06:41 PM,8,27,27,27,15,6,33,0.0,1012,34,10,231,10
2020-03-03,32,21,0.0,11.6,7,7,58,12:29 PM,01:03 AM,06:52 AM,06:41 PM,8,26,26,26,19,1,34,0.0,1012,32,10,269,14
2020-03-04,31,17,0.0,11.6,6,6,65,01:20 PM,01:59 AM,06:51 AM,06:41 PM,10,24,24,24,19,1,49,0.0,1012,31,10,282,13
2020-03-05,32,16,0.0,11.6,7,7,73,02:16 PM,02:56 AM,06:50 AM,06:42 PM,10,24,24,24,18,1,50,0.0,1011,32,10,203,11
2020-03-06,29,16,0.0,11.6,6,6,80,03:17 PM,03:53 AM,06:50 AM,06:42 PM,12,21,21,21,20,8,63,0.0,1011,29,10,256,15
2020-03-07,31,15,0.0,11.6,6,6,87,04:20 PM,04:48 AM,06:49 AM,06:42 PM,11,23,23,23,16,8,57,0.0,1013,31,10,249,12
2020-03-08,32,15,0.0,11.6,7,7,95,05:25 PM,05:42 AM,06:48 AM,06:42 PM,11,26,26,25,13,10,48,0.0,1012,32,10,204,9
2020-03-09,32,18,0.0,11.6,7,7,100,06:29 PM,06:31 AM,06:47 AM,06:43 PM,9,25,25,25,17,10,42,0.0,1011,32,10,266,12
2020-03-10,32,18,0.0,11.6,7,7,100,07:33 PM,07:19 AM,06:47 AM,06:43 PM,14,24,24,23,21,6,60,0.0,1011,32,10,268,15
2020-03-11,31,16,0.0,11.6,6,6,84,08:35 PM,08:04 AM,06:46 AM,06:43 PM,12,24,24,23,22,11,58,0.0,1012,31,10,256,16
2020-03-12,30,15,0.0,11.6,6,6,76,09:37 PM,08:49 AM,06:45 AM,06:43 PM,12,24,24,23,19,11,59,0.0,1013,30,10,256,13
2020-03-13,34,15,0.0,11.6,7,7,69,10:38 PM,09:35 AM,06:44 AM,06:44 PM,10,25,25,25,18,3,51,0.0,1014,34,10,187,12
2020-03-14,37,16,0.0,11.6,7,7,62,11:40 PM,10:21 AM,06:43 AM,06:44 PM,3,27,27,27,10,1,26,0.0,1012,37,10,142,8
2020-03-15,36,20,0.0,11.6,7,7,55,No moonrise,11:10 AM,06:42 AM,06:44 PM,3,28,28,28,14,3,22,0.0,1011,36,10,176,9
2020-03-16,37,21,0.0,11.6,7,7,47,12:40 AM,12:01 PM,06:42 AM,06:44 PM,7,29,29,29,16,6,30,0.0,1011,37,10,192,10
2020-03-17,38,23,0.0,11.6,8,8,40,01:38 AM,12:54 PM,06:41 AM,06:45 PM,8,29,29,29,13,10,29,0.0,1012,38,10,185,8
2020-03-18,36,24,0.0,11.6,8,8,33,02:32 AM,01:48 PM,06:40 AM,06:45 PM,10,30,30,29,12,14,32,0.0,1012,36,10,213,8
2020-03-19,36,21,0.0,11.6,8,8,25,03:23 AM,02:42 PM,06:39 AM,06:45 PM,4,29,29,29,21,4,24,0.0,1012,36,10,299,14
2020-03-20,34,19,0.0,11.6,7,7,18,04:09 AM,03:35 PM,06:38 AM,06:45 PM,4,26,26,27,21,6,25,0.0,1012,34,10,284,14
2020-03-21,34,19,0.0,11.6,7,7,11,04:51 AM,04:26 PM,06:38 AM,06:46 PM,7,26,26,27,20,0,33,0.0,1012,34,10,309,13
2020-03-22,37,19,0.0,11.6,8,8,4,05:31 AM,05:16 PM,06:37 AM,06:46 PM,10,29,29,29,15,2,40,0.0,1011,37,10,234,10
2020-03-23,38,20,0.0,11.6,8,8,0,06:07 AM,06:04 PM,06:36 AM,06:46 PM,10,30,30,30,15,5,35,0.0,1010,38,10,245,9
2020-03-24,38,22,0.0,11.6,8,8,0,06:41 AM,06:51 PM,06:35 AM,06:46 PM,12,29,29,29,12,8,38,0.0,1009,38,10,133,9
2020-03-25,33,16,0.0,6.1,6,6,3,07:16 AM,07:39 PM,06:34 AM,06:47 PM,15,26,26,24,12,68,53,12.4,1009,33,9,213,9
2020-03-26,34,24,0.0,10.2,6,6,11,07:50 AM,08:26 PM,06:33 AM,06:47 PM,17,28,28,27,12,38,55,0.2,1010,34,10,178,9
2020-03-27,34,22,0.0,11.6,7,7,18,08:24 AM,09:15 PM,06:33 AM,06:47 PM,16,28,28,27,9,25,53,0.0,1012,34,10,196,6
2020-03-28,35,23,0.0,10.2,6,6,25,09:01 AM,10:05 PM,06:32 AM,06:47 PM,14,29,29,28,14,39,42,0.4,1011,35,10,172,10
2020-03-29,36,24,0.0,10.2,7,7,32,09:41 AM,10:57 PM,06:31 AM,06:48 PM,12,30,30,29,12,52,35,2.3,1009,36,10,166,9
2020-03-30,36,25,0.0,8.8,7,7,40,10:24 AM,11:51 PM,06:30 AM,06:48 PM,12,29,29,30,13,71,35,3.4,1010,36,10,176,9
2020-03-31,38,26,0.0,11.6,8,8,44,11:12 AM,No moonset,06:29 AM,06:48 PM,9,30,30,30,13,7,28,0.0,1011,38,10,168,9
2020-04-01,38,24,0.0,11.6,8,8,56,12:05 PM,12:46 AM,06:28 AM,06:48 PM,7,30,30,31,12,5,23,0.0,1010,38,10,123,8
2020-04-02,39,25,0.0,11.6,8,8,64,01:02 PM,01:42 AM,06:28 AM,06:48 PM,5,31,31,32,11,3,20,0.0,1009,39,10,174,8
