date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,24,18,0.0,8.7,6,6,37,10:45 AM,10:41 PM,06:21 AM,05:19 PM,14,21,22,21,22,21,65,0.8,1018,24,10,89,15
2020-01-02,24,18,0.0,4.1,5,5,44,11:20 AM,11:30 PM,06:21 AM,05:19 PM,17,23,23,21,22,86,73,0.3,1018,24,10,81,16
2020-01-03,21,16,0.0,4.1,5,5,51,11:54 AM,No moonset,06:22 AM,05:20 PM,18,20,21,20,25,95,84,1.7,1016,21,10,34,18
2020-01-04,23,19,0.0,4.1,5,5,59,12:27 PM,12:17 AM,06:22 AM,05:21 PM,18,21,22,21,20,80,85,4.9,1014,23,10,34,14
2020-01-05,25,19,0.0,7.2,5,5,66,01:03 PM,01:06 AM,06:22 AM,05:21 PM,18,23,23,22,16,32,78,0.1,1014,25,10,94,11
2020-01-06,24,17,0.0,8.7,6,6,73,01:42 PM,01:57 AM,06:22 AM,05:22 PM,14,21,22,21,22,0,65,0.0,1017,24,10,74,16
2020-01-07,24,15,0.0,8.7,6,6,80,02:23 PM,02:50 AM,06:23 AM,05:23 PM,12,22,22,20,13,0,56,0.0,1016,24,10,116,10
2020-01-08,24,18,0.0,8.7,6,6,88,03:11 PM,03:46 AM,06:23 AM,05:23 PM,15,24,24,22,13,6,64,0.0,1014,24,10,120,10
2020-01-09,24,22,0.0,8.7,6,6,95,04:03 PM,04:44 AM,06:23 AM,05:24 PM,18,25,25,23,9,39,73,0.2,1014,24,10,160,7
2020-01-10,24,18,0.0,4.1,5,5,100,05:01 PM,05:44 AM,06:23 AM,05:25 PM,17,24,24,22,17,61,74,0.1,1015,24,10,80,13
2020-01-11,25,17,0.0,8.7,6,6,100,06:03 PM,06:43 AM,06:23 AM,05:25 PM,14,20,22,20,18,7,64,0.0,1016,25,10,76,13
2020-01-12,27,18,0.0,8.7,6,6,83,07:07 PM,07:39 AM,06:24 AM,05:26 PM,11,21,22,21,10,0,53,0.0,1014,27,10,73,8
2020-01-13,25,15,0.0,8.7,6,6,76,08:10 PM,08:31 AM,06:24 AM,05:27 PM,12,22,22,21,9,0,51,0.0,1013,25,10,122,8
