date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,18,10,0.0,7.1,4,4,37,11:09 AM,10:57 PM,06:52 AM,05:24 PM,4,13,14,13,17,36,53,0.0,1020,18,10,97,9
2020-01-02,22,12,0.0,8.7,5,5,44,11:41 AM,11:47 PM,06:53 AM,05:25 PM,9,15,16,15,20,40,65,0.7,1019,22,10,103,11
2020-01-03,16,14,0.0,4.0,4,4,51,12:12 PM,No moonset,06:53 AM,05:26 PM,14,15,15,15,15,83,93,4.6,1016,16,8,57,9
2020-01-04,21,12,0.0,7.1,4,4,59,12:44 PM,12:38 AM,06:53 AM,05:27 PM,12,16,17,16,13,46,76,0.2,1015,21,8,205,8
2020-01-05,21,13,0.0,8.7,5,5,66,01:17 PM,01:30 AM,06:53 AM,05:27 PM,8,16,16,16,19,1,62,0.0,1016,21,10,289,11
2020-01-06,23,12,0.0,8.7,5,5,73,01:53 PM,02:23 AM,06:54 AM,05:28 PM,7,16,17,16,18,22,52,0.0,1017,23,10,287,11
2020-01-07,24,15,0.0,8.7,5,5,80,02:32 PM,03:19 AM,06:54 AM,05:29 PM,9,18,18,18,10,19,54,0.0,1016,24,10,197,5
2020-01-08,18,14,0.0,4.0,4,4,88,03:18 PM,04:16 AM,06:54 AM,05:29 PM,10,15,15,15,23,69,70,3.2,1014,18,10,89,14
2020-01-09,18,11,0.0,5.6,4,4,95,04:09 PM,05:17 AM,06:54 AM,05:30 PM,11,14,14,14,18,43,81,0.0,1016,18,9,320,11
2020-01-10,19,8,0.0,8.7,4,4,100,05:07 PM,06:17 AM,06:54 AM,05:31 PM,4,11,12,11,20,0,56,0.0,1017,19,10,275,12
2020-01-11,19,9,0.0,8.7,4,4,100,06:09 PM,07:16 AM,06:54 AM,05:32 PM,5,13,13,13,14,3,56,0.0,1018,19,10,271,8
2020-01-12,20,10,0.0,8.7,5,5,83,07:15 PM,08:10 AM,06:54 AM,05:32 PM,5,14,15,14,14,1,54,0.0,1015,20,10,282,9
2020-01-13,24,13,0.0,8.7,5,5,76,08:21 PM,09:00 AM,06:54 AM,05:33 PM,6,17,17,17,11,1,49,0.0,1012,24,10,138,6
2020-01-14,22,12,0.0,8.7,5,5,69,09:26 PM,09:45 AM,06:54 AM,05:34 PM,7,17,17,17,12,24,54,0.0,1013,22,10,261,7
2020-01-15,22,15,0.0,4.1,4,4,61,10:29 PM,10:26 AM,06:54 AM,05:35 PM,11,18,18,18,9,64,66,1.2,1014,22,10,53,5
2020-01-16,17,15,0.0,5.6,4,4,54,11:32 PM,11:06 AM,06:54 AM,05:35 PM,13,16,16,16,23,74,83,18.9,1014,17,8,58,14
2020-01-17,20,13,0.0,4.1,4,4,47,No moonrise,11:44 AM,06:54 AM,05:36 PM,14,16,16,16,13,65,86,4.5,1016,20,10,174,8
2020-01-18,22,14,0.0,8.7,5,5,40,12:33 AM,12:22 PM,06:54 AM,05:37 PM,12,17,17,17,12,15,74,0.0,1016,22,10,277,7
2020-01-19,20,12,0.0,8.7,5,5,32,01:34 AM,01:03 PM,06:54 AM,05:38 PM,10,15,15,15,18,7,73,0.0,1016,20,10,298,11
2020-01-20,19,10,0.0,8.7,4,4,25,02:35 AM,01:46 PM,06:54 AM,05:39 PM,7,14,14,14,16,13,62,0.0,1016,19,10,278,9
2020-01-21,21,12,0.0,7.2,5,5,18,03:36 AM,02:32 PM,06:53 AM,05:39 PM,6,16,16,16,6,23,54,0.0,1017,21,10,155,3
2020-01-22,22,12,0.0,8.7,5,5,11,04:35 AM,03:23 PM,06:53 AM,05:40 PM,6,15,16,15,15,2,53,0.0,1017,22,10,312,8
2020-01-23,20,10,0.0,8.7,5,5,3,05:32 AM,04:16 PM,06:53 AM,05:41 PM,7,13,14,13,30,0,62,0.0,1016,20,10,276,17
2020-01-24,20,9,0.0,8.7,4,4,0,06:24 AM,05:12 PM,06:53 AM,05:42 PM,5,13,14,13,25,0,59,0.0,1015,20,10,273,15
2020-01-25,21,11,0.0,8.7,5,5,0,07:12 AM,06:07 PM,06:52 AM,05:42 PM,7,15,15,15,13,0,59,0.0,1015,21,10,297,8
2020-01-26,22,11,0.0,8.7,5,5,4,07:55 AM,07:03 PM,06:52 AM,05:43 PM,7,15,15,15,16,7,59,0.0,1014,22,10,283,9
2020-01-27,24,13,0.0,8.7,5,5,11,08:33 AM,07:56 PM,06:52 AM,05:44 PM,9,18,18,18,9,7,59,0.0,1012,24,10,284,6
2020-01-28,24,14,0.0,7.2,4,4,18,09:08 AM,08:48 PM,06:51 AM,05:45 PM,11,18,18,18,24,44,67,2.0,1010,24,10,99,15
2020-01-29,25,14,0.0,8.7,4,4,26,09:41 AM,09:39 PM,06:51 AM,05:45 PM,12,17,17,17,21,22,75,0.1,1013,25,10,185,12
2020-01-30,21,12,0.0,8.7,5,5,33,10:12 AM,10:29 PM,06:51 AM,05:46 PM,9,15,16,15,25,4,67,0.0,1015,21,10,292,15
2020-01-31,21,10,0.0,8.7,5,5,37,10:43 AM,11:21 PM,06:50 AM,05:47 PM,6,14,15,14,19,0,59,0.0,1014,21,10,298,11
2020-02-01,21,11,0.0,8.7,5,5,49,11:15 AM,No moonset,06:50 AM,05:48 PM,7,15,16,15,15,7,57,0.0,1016,21,10,312,9
2020-02-02,20,10,0.0,8.7,5,5,57,11:48 AM,12:12 AM,06:49 AM,05:48 PM,5,14,14,14,18,0,56,0.0,1018,20,10,291,11
2020-02-03,21,10,0.0,8.7,5,5,64,12:25 PM,01:06 AM,06:49 AM,05:49 PM,5,15,15,15,14,0,54,0.0,1017,21,10,290,8
2020-02-04,22,11,0.0,8.7,5,5,72,01:07 PM,02:01 AM,06:48 AM,05:50 PM,7,16,16,16,11,9,56,0.0,1015,22,10,88,6
2020-02-05,22,11,0.0,8.7,5,5,79,01:54 PM,02:59 AM,06:48 AM,05:51 PM,6,15,16,15,20,4,56,0.0,1014,22,10,294,11
