date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,26,15,0.0,10.9,6,6,37,11:49 AM,11:42 PM,07:27 AM,06:14 PM,7,20,20,20,21,6,47,0.0,1014,26,10,39,12
2020-01-02,26,16,0.0,10.9,6,6,44,12:22 PM,No moonset,07:27 AM,06:14 PM,10,20,20,20,23,6,54,0.0,1016,26,10,19,14
2020-01-03,26,17,0.0,10.9,6,6,51,12:55 PM,12:31 AM,07:27 AM,06:15 PM,9,20,20,20,25,5,51,0.0,1017,26,10,13,16
2020-01-04,26,16,0.0,10.9,6,6,59,01:29 PM,01:20 AM,07:27 AM,06:16 PM,8,20,21,20,24,2,47,0.0,1015,26,10,33,15
2020-01-05,28,16,0.0,10.9,6,6,66,02:03 PM,02:10 AM,07:28 AM,06:16 PM,6,21,21,21,28,1,39,0.0,1014,28,10,87,17
2020-01-06,31,17,0.0,10.9,6,6,73,02:40 PM,03:02 AM,07:28 AM,06:17 PM,7,25,25,24,23,6,35,0.0,1014,31,10,186,13
2020-01-07,29,19,0.0,10.9,6,6,80,03:22 PM,03:56 AM,07:28 AM,06:18 PM,10,23,23,23,18,10,46,0.0,1013,29,10,312,11
2020-01-08,26,16,0.0,10.9,6,6,88,04:08 PM,04:53 AM,07:28 AM,06:18 PM,8,20,21,20,26,4,47,0.0,1014,26,10,349,17
2020-01-09,24,14,0.0,10.9,5,5,95,05:01 PM,05:52 AM,07:28 AM,06:19 PM,1,18,19,18,29,0,36,0.0,1016,24,10,58,18
2020-01-10,25,13,0.0,10.9,5,5,100,05:59 PM,06:52 AM,07:29 AM,06:20 PM,0,18,19,18,34,0,31,0.0,1015,25,10,68,21
2020-01-11,30,15,0.0,10.9,6,6,100,07:01 PM,07:51 AM,07:29 AM,06:20 PM,7,23,23,23,24,3,40,0.0,1014,30,10,126,14
2020-01-12,31,20,0.0,10.9,7,7,83,08:05 PM,08:46 AM,07:29 AM,06:21 PM,14,26,26,25,18,2,59,0.0,1013,31,10,229,12
2020-01-13,25,16,0.0,8.5,5,5,76,09:10 PM,09:37 AM,07:29 AM,06:22 PM,12,20,20,20,25,35,65,0.4,1012,25,10,328,17
2020-01-14,23,13,0.0,10.9,5,5,69,10:13 PM,10:24 AM,07:29 AM,06:23 PM,7,17,18,17,19,0,51,0.0,1014,23,10,327,12
2020-01-15,24,14,0.0,10.9,5,5,61,11:15 PM,11:07 AM,07:29 AM,06:23 PM,3,19,19,19,21,0,38,0.0,1014,24,10,225,13
2020-01-16,22,13,0.0,11.0,5,5,54,No moonrise,11:48 AM,07:29 AM,06:24 PM,3,16,17,16,28,0,41,0.0,1015,22,10,338,18
2020-01-17,24,12,0.0,11.0,5,5,47,12:14 AM,12:28 PM,07:29 AM,06:25 PM,4,18,19,18,23,0,45,0.0,1016,24,10,9,14
2020-01-18,25,13,0.0,11.0,5,5,40,01:14 AM,01:09 PM,07:29 AM,06:25 PM,1,18,19,18,28,0,34,0.0,1015,25,10,16,16
2020-01-19,26,14,0.0,11.0,6,6,32,02:13 AM,01:51 PM,07:29 AM,06:26 PM,3,19,20,19,32,1,35,0.0,1016,26,10,51,19
2020-01-20,28,14,0.0,11.0,6,6,25,03:13 AM,02:35 PM,07:29 AM,06:27 PM,2,22,22,22,24,1,32,0.0,1015,28,10,47,14
2020-01-21,28,15,0.0,11.0,6,6,18,04:12 AM,03:24 PM,07:29 AM,06:27 PM,3,22,22,22,21,0,35,0.0,1015,28,10,14,12
2020-01-22,29,16,0.0,11.0,6,6,11,05:11 AM,04:14 PM,07:29 AM,06:28 PM,3,22,22,22,32,0,31,0.0,1016,29,10,26,19
2020-01-23,29,15,0.0,11.0,6,6,3,06:07 AM,05:08 PM,07:28 AM,06:29 PM,5,22,22,22,32,0,38,0.0,1016,29,10,56,19
