date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,21,14,0.0,7.2,4,4,37,11:06 AM,11:00 PM,06:43 AM,05:36 PM,11,17,17,17,19,62,67,6.0,1017,21,10,57,13
2020-01-02,26,13,0.0,4.1,5,5,44,11:40 AM,11:49 PM,06:43 AM,05:36 PM,12,18,19,18,20,72,68,6.5,1017,26,9,38,13
2020-01-03,24,16,0.0,5.6,4,4,51,12:13 PM,No moonset,06:43 AM,05:37 PM,15,19,19,19,12,54,81,5.5,1015,24,10,92,8
2020-01-04,23,16,0.0,5.6,4,4,59,12:47 PM,12:37 AM,06:44 AM,05:38 PM,16,19,20,19,9,52,81,0.0,1014,23,8,80,7
2020-01-05,25,16,0.0,8.7,6,6,66,01:22 PM,01:27 AM,06:44 AM,05:38 PM,11,20,21,20,14,2,58,0.0,1016,25,10,56,10
2020-01-06,26,15,0.0,8.7,6,6,73,02:00 PM,02:18 AM,06:44 AM,05:39 PM,7,19,20,19,13,1,47,0.0,1018,26,10,61,9
2020-01-07,29,16,0.0,8.7,6,6,80,02:41 PM,03:12 AM,06:44 AM,05:40 PM,9,21,21,21,7,8,48,0.0,1016,29,10,156,5
2020-01-08,25,17,0.0,5.6,5,5,88,03:28 PM,04:08 AM,06:45 AM,05:40 PM,13,20,20,20,15,58,66,9.0,1013,25,9,23,10
2020-01-09,25,17,0.0,7.2,5,5,95,04:20 PM,05:07 AM,06:45 AM,05:41 PM,15,20,20,20,11,53,75,2.8,1014,25,10,37,7
2020-01-10,25,15,0.0,8.7,5,5,100,05:19 PM,06:07 AM,06:45 AM,05:41 PM,9,19,19,19,10,4,52,0.0,1017,25,10,162,8
2020-01-11,26,13,0.0,8.7,5,5,100,06:20 PM,07:05 AM,06:45 AM,05:42 PM,7,19,19,19,9,0,48,0.0,1017,26,10,63,7
2020-01-12,27,15,0.0,8.7,6,6,83,07:25 PM,08:01 AM,06:45 AM,05:43 PM,7,21,21,21,6,1,43,0.0,1015,27,10,61,5
2020-01-13,31,18,0.0,8.7,6,6,76,08:28 PM,08:53 AM,06:45 AM,05:44 PM,7,23,23,24,4,0,35,0.0,1013,31,10,204,3
2020-01-14,31,19,0.0,8.7,7,7,69,09:32 PM,09:41 AM,06:45 AM,05:44 PM,9,24,24,24,5,0,37,0.0,1013,31,10,97,4
2020-01-15,30,18,0.0,8.7,6,6,61,10:32 PM,10:24 AM,06:45 AM,05:45 PM,9,23,23,23,10,4,43,0.0,1013,30,10,84,6
2020-01-16,30,18,0.0,8.7,6,6,54,11:32 PM,11:06 AM,06:45 AM,05:46 PM,11,23,23,23,11,6,48,0.0,1013,30,10,231,7
2020-01-17,28,18,0.0,8.7,6,6,47,No moonrise,11:47 AM,06:45 AM,05:46 PM,14,24,24,23,7,19,58,0.0,1014,28,10,228,5
2020-01-18,28,20,0.0,8.7,6,6,40,12:30 AM,12:27 PM,06:45 AM,05:47 PM,13,24,24,24,8,14,54,0.0,1014,28,10,219,6
2020-01-19,27,19,0.0,8.7,6,6,32,01:30 AM,01:10 PM,06:45 AM,05:48 PM,13,23,23,23,11,17,56,0.0,1014,27,10,193,8
2020-01-20,27,16,0.0,8.7,6,6,25,02:28 AM,01:55 PM,06:45 AM,05:48 PM,12,21,22,21,12,11,55,0.0,1015,27,10,179,8
2020-01-21,29,17,0.0,8.7,6,6,18,03:27 AM,02:43 PM,06:45 AM,05:49 PM,12,23,23,23,11,9,53,0.0,1016,29,10,159,7
2020-01-22,30,19,0.0,8.7,7,7,11,04:25 AM,03:35 PM,06:45 AM,05:50 PM,14,25,25,24,8,12,52,0.0,1016,30,10,201,5
2020-01-23,30,20,0.0,8.7,7,7,3,05:22 AM,04:28 PM,06:45 AM,05:50 PM,13,25,25,24,14,10,51,0.0,1015,30,10,202,9
2020-01-24,29,17,0.0,8.7,6,6,0,06:14 AM,05:23 PM,06:45 AM,05:51 PM,7,22,22,22,14,5,37,0.0,1015,29,10,210,9
2020-01-25,30,17,0.0,8.7,6,6,0,07:03 AM,06:17 PM,06:45 AM,05:51 PM,5,22,22,23,13,3,33,0.0,1014,30,10,208,8
2020-01-26,30,19,0.0,8.7,6,6,4,07:47 AM,07:11 PM,06:45 AM,05:52 PM,6,23,23,23,8,5,34,0.0,1013,30,10,10,5
2020-01-27,33,18,0.0,8.7,7,7,11,08:27 AM,08:03 PM,06:44 AM,05:53 PM,7,23,23,24,12,3,35,0.0,1012,33,10,167,8
2020-01-28,31,19,0.0,8.7,7,7,18,09:04 AM,08:53 PM,06:44 AM,05:53 PM,12,25,25,24,21,24,49,0.7,1010,31,10,220,14
2020-01-29,30,20,0.0,5.7,6,6,26,09:39 AM,09:42 PM,06:44 AM,05:54 PM,14,25,25,24,16,46,55,1.7,1013,30,10,265,10
2020-01-30,28,18,0.0,8.7,6,6,33,10:12 AM,10:30 PM,06:44 AM,05:55 PM,9,22,22,22,16,16,44,0.0,1014,28,10,202,10
2020-01-31,29,15,0.0,8.7,6,6,37,10:45 AM,11:19 PM,06:43 AM,05:55 PM,6,21,21,22,11,1,36,0.0,1014,29,10,66,8
2020-02-01,24,15,0.0,7.2,4,4,49,11:19 AM,No moonset,06:43 AM,05:56 PM,4,19,19,19,15,46,39,0.0,1015,24,10,23,10
2020-02-02,26,15,0.0,7.2,6,6,57,11:55 AM,12:08 AM,06:43 AM,05:56 PM,7,20,21,20,16,33,42,0.0,1017,26,10,60,11
2020-02-03,25,16,0.0,7.2,5,5,64,12:33 PM,01:00 AM,06:42 AM,05:57 PM,7,20,20,20,13,33,45,0.0,1016,25,10,151,8
2020-02-04,27,18,0.0,7.2,5,5,72,01:17 PM,01:54 AM,06:42 AM,05:58 PM,15,23,23,22,12,58,66,1.7,1013,27,10,245,8
2020-02-05,27,18,0.0,7.2,5,5,79,02:05 PM,02:50 AM,06:42 AM,05:58 PM,16,23,23,22,9,54,69,0.9,1014,27,8,55,7
2020-02-06,21,18,0.0,4.2,4,4,87,03:00 PM,03:49 AM,06:41 AM,05:59 PM,12,19,20,19,16,60,63,1.7,1014,21,10,38,11
2020-02-07,24,16,0.0,4.2,4,4,95,04:00 PM,04:47 AM,06:41 AM,05:59 PM,16,19,20,19,18,77,82,16.6,1014,24,9,37,12
2020-02-08,21,16,0.0,10.2,4,4,100,05:04 PM,05:45 AM,06:40 AM,06:00 PM,15,18,18,18,17,60,83,1.7,1017,21,9,76,13
