date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,18,8,0.0,7.0,4,4,37,11:44 AM,11:21 PM,07:37 AM,05:36 PM,-3,12,12,12,7,58,35,0.0,1021,18,10,217,4
2020-01-02,19,11,0.0,3.8,4,4,44,12:12 PM,No moonset,07:37 AM,05:37 PM,-3,14,14,14,9,88,32,0.0,1022,19,10,255,5
2020-01-03,20,10,0.0,5.4,4,4,51,12:40 PM,12:14 AM,07:37 AM,05:37 PM,2,13,14,13,14,59,46,0.4,1018,20,10,269,8
2020-01-04,19,10,0.0,8.7,4,4,59,01:09 PM,01:09 AM,07:37 AM,05:38 PM,4,13,13,13,7,34,56,0.8,1016,19,10,122,4
2020-01-05,17,9,0.0,3.8,3,3,66,01:39 PM,02:04 AM,07:38 AM,05:39 PM,1,12,12,12,14,61,47,0.0,1018,17,10,293,9
2020-01-06,11,9,0.0,3.8,2,2,73,02:11 PM,03:00 AM,07:38 AM,05:40 PM,6,10,10,10,10,91,74,8.3,1021,11,8,183,7
2020-01-07,16,10,0.0,7.1,4,4,80,02:48 PM,03:59 AM,07:38 AM,05:41 PM,8,11,12,11,10,53,76,0.3,1018,16,9,308,7
2020-01-08,16,8,0.0,8.7,4,4,88,03:31 PM,05:00 AM,07:38 AM,05:41 PM,4,11,11,11,13,6,64,0.0,1016,16,10,300,9
2020-01-09,18,8,0.0,8.7,4,4,95,04:20 PM,06:02 AM,07:38 AM,05:42 PM,1,11,12,11,16,0,48,0.0,1018,18,10,299,10
2020-01-10,19,7,0.0,8.7,4,4,100,05:18 PM,07:03 AM,07:38 AM,05:43 PM,-4,10,11,10,18,23,36,0.0,1019,19,10,296,10
2020-01-11,19,8,0.0,7.1,3,3,100,06:21 PM,08:01 AM,07:38 AM,05:44 PM,-4,12,13,12,12,58,31,0.0,1018,19,10,277,7
2020-01-12,21,12,0.0,8.7,4,4,83,07:30 PM,08:54 AM,07:38 AM,05:45 PM,1,15,16,15,19,61,39,0.0,1017,21,10,299,12
2020-01-13,11,8,0.0,3.8,3,3,76,08:39 PM,09:41 AM,07:37 AM,05:46 PM,8,9,11,9,20,96,86,24.6,1011,11,7,122,14
2020-01-14,17,9,0.0,8.7,4,4,69,09:48 PM,10:22 AM,07:37 AM,05:47 PM,7,12,12,12,11,39,74,3.8,1017,17,10,298,7
2020-01-15,18,9,0.0,8.7,5,5,61,10:55 PM,11:00 AM,07:37 AM,05:48 PM,6,13,13,13,10,9,63,0.0,1016,18,10,300,6
2020-01-16,20,11,0.0,8.7,5,5,54,No moonrise,11:35 AM,07:37 AM,05:48 PM,3,13,14,13,13,20,49,0.0,1015,20,10,305,8
2020-01-17,18,9,0.0,8.7,5,5,47,12:02 AM,12:09 PM,07:37 AM,05:49 PM,6,13,13,13,6,16,63,0.0,1017,18,10,249,3
2020-01-18,18,11,0.0,7.1,4,4,40,01:07 AM,12:44 PM,07:36 AM,05:50 PM,6,14,14,14,9,24,59,1.4,1018,18,10,192,6
2020-01-19,19,11,0.0,8.7,5,5,32,02:12 AM,01:21 PM,07:36 AM,05:51 PM,1,14,14,14,11,17,44,0.0,1019,19,10,292,7
2020-01-20,19,10,0.0,7.1,5,5,25,03:16 AM,02:01 PM,07:36 AM,05:52 PM,-0,13,14,13,12,41,38,0.0,1017,19,10,276,7
2020-01-21,15,9,0.0,3.8,3,3,18,04:20 AM,02:45 PM,07:35 AM,05:53 PM,5,11,12,11,9,63,64,0.9,1021,15,8,257,6
2020-01-22,18,7,0.0,8.7,4,4,11,05:21 AM,03:35 PM,07:35 AM,05:54 PM,4,10,12,10,25,4,61,0.0,1022,18,10,311,15
2020-01-23,19,8,0.0,8.7,4,4,3,06:18 AM,04:27 PM,07:35 AM,05:55 PM,1,11,12,11,20,0,49,0.0,1020,19,10,307,12
2020-01-24,20,8,0.0,8.7,4,4,0,07:10 AM,05:24 PM,07:34 AM,05:56 PM,-4,12,13,12,20,18,33,0.0,1017,20,10,296,11
2020-01-25,19,12,0.0,5.5,4,4,0,07:56 AM,06:21 PM,07:34 AM,05:57 PM,1,14,14,14,9,55,42,0.1,1016,19,10,102,5
2020-01-26,21,11,0.0,8.7,5,5,4,08:36 AM,07:19 PM,07:33 AM,05:58 PM,5,15,16,15,14,7,52,0.0,1015,21,10,289,8
2020-01-27,20,11,0.0,7.1,4,4,11,09:12 AM,08:15 PM,07:33 AM,05:59 PM,6,15,15,15,9,52,58,0.0,1012,20,10,257,6
2020-01-28,12,11,0.0,5.3,3,3,18,09:44 AM,09:11 PM,07:32 AM,06:00 PM,9,10,11,10,22,98,85,31.5,1011,12,8,32,15
