date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,29,24,0.0,10.2,7,7,37,11:07 AM,11:16 PM,06:30 AM,06:06 PM,22,29,29,27,23,46,78,0.4,1013,29,10,54,17
2020-01-02,29,25,0.0,10.2,7,7,44,11:45 AM,12:00 AM,06:30 AM,06:06 PM,23,30,30,27,25,50,78,1.1,1013,29,10,50,18
2020-01-03,30,25,0.0,10.2,7,7,51,12:22 PM,No moonset,06:31 AM,06:07 PM,23,31,31,28,23,47,78,3.0,1013,30,10,58,17
2020-01-04,30,26,0.0,10.2,6,6,59,01:01 PM,12:44 AM,06:31 AM,06:07 PM,23,31,31,28,20,48,76,3.3,1011,30,10,69,14
2020-01-05,30,26,0.0,10.2,6,6,66,01:40 PM,01:29 AM,06:32 AM,06:08 PM,23,31,31,27,27,46,76,3.3,1011,30,10,58,19
2020-01-06,29,25,0.0,10.2,7,7,73,02:22 PM,02:16 AM,06:32 AM,06:08 PM,23,30,30,27,30,38,76,0.6,1012,29,10,54,22
2020-01-07,30,25,0.0,11.6,7,7,80,03:07 PM,03:06 AM,06:32 AM,06:09 PM,22,30,30,27,33,41,74,1.4,1012,30,10,53,24
2020-01-08,29,25,0.0,10.2,7,7,88,03:57 PM,03:59 AM,06:33 AM,06:09 PM,21,29,29,27,32,47,74,0.8,1012,29,10,50,24
2020-01-09,28,24,0.0,11.6,7,7,95,04:52 PM,04:55 AM,06:33 AM,06:10 PM,19,27,27,26,29,5,68,0.0,1012,28,10,49,21
2020-01-10,28,23,0.0,11.6,7,7,100,05:50 PM,05:53 AM,06:33 AM,06:10 PM,20,28,28,26,29,10,69,0.0,1012,28,10,47,21
2020-01-11,29,23,0.0,11.6,7,7,100,06:51 PM,06:52 AM,06:34 AM,06:11 PM,20,28,28,26,33,20,70,0.1,1013,29,10,33,25
2020-01-12,29,23,0.0,11.6,7,7,83,07:52 PM,07:51 AM,06:34 AM,06:11 PM,20,28,28,26,33,26,71,0.2,1012,29,10,47,25
2020-01-13,29,24,0.0,10.2,6,6,76,08:52 PM,08:46 AM,06:34 AM,06:12 PM,20,28,28,26,31,27,70,0.1,1011,29,10,54,23
2020-01-14,28,24,0.0,11.6,7,7,69,09:50 PM,09:38 AM,06:34 AM,06:12 PM,19,27,27,26,28,12,66,0.0,1011,28,10,54,20
2020-01-15,27,23,0.0,11.6,6,6,61,10:45 PM,10:27 AM,06:35 AM,06:13 PM,18,27,27,25,29,14,67,0.0,1012,27,10,49,21
2020-01-16,29,23,0.0,11.6,7,7,54,11:40 PM,11:14 AM,06:35 AM,06:13 PM,19,28,28,26,24,9,67,0.0,1012,29,10,52,17
2020-01-17,29,24,0.0,8.7,6,6,47,No moonrise,11:59 AM,06:35 AM,06:14 PM,21,29,29,27,27,51,74,0.9,1012,29,10,49,20
2020-01-18,30,25,0.0,11.6,7,7,40,12:33 AM,12:45 PM,06:35 AM,06:14 PM,22,30,30,27,28,42,75,1.2,1011,30,10,62,20
2020-01-19,29,25,0.0,10.2,6,6,32,01:27 AM,01:33 PM,06:35 AM,06:15 PM,22,29,29,27,36,45,75,5.1,1012,29,10,49,26
2020-01-20,29,24,0.0,11.6,7,7,25,02:21 AM,02:22 PM,06:36 AM,06:15 PM,21,29,29,26,32,25,74,0.0,1013,29,10,50,24
2020-01-21,29,24,0.0,5.9,6,6,18,03:17 AM,03:13 PM,06:36 AM,06:15 PM,21,29,29,26,33,54,74,0.3,1014,29,10,45,25
2020-01-22,29,24,0.0,11.6,7,7,11,04:13 AM,04:06 PM,06:36 AM,06:16 PM,22,29,29,27,39,47,75,0.2,1014,29,10,45,29
2020-01-23,30,26,0.0,10.2,6,6,3,05:08 AM,05:00 PM,06:36 AM,06:16 PM,22,30,30,27,37,49,73,1.2,1013,30,10,51,28
2020-01-24,29,25,0.0,8.8,6,6,0,06:01 AM,05:54 PM,06:36 AM,06:17 PM,21,29,29,27,35,51,72,0.8,1013,29,10,47,26
