date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,20,11,0.0,8.7,4,4,37,10:50 AM,10:41 PM,06:30 AM,05:14 PM,6,15,15,15,12,47,55,13.2,1021,20,8,107,9
2020-01-02,20,14,0.0,5.6,4,4,44,11:23 AM,11:31 PM,06:30 AM,05:15 PM,11,17,17,17,18,63,68,1.9,1020,20,10,56,12
2020-01-03,16,13,0.0,4.1,3,3,51,11:56 AM,No moonset,06:31 AM,05:15 PM,13,14,15,14,14,87,91,16.8,1017,16,7,133,11
2020-01-04,20,14,0.0,8.7,4,4,59,12:28 PM,12:20 AM,06:31 AM,05:16 PM,13,17,16,17,8,62,83,6.9,1015,20,10,214,5
2020-01-05,19,13,0.0,8.7,5,5,66,01:02 PM,01:11 AM,06:31 AM,05:17 PM,9,15,16,15,19,12,66,0.0,1017,19,10,317,14
2020-01-06,21,13,0.0,8.7,5,5,73,01:40 PM,02:03 AM,06:31 AM,05:17 PM,6,16,16,16,15,2,54,0.0,1019,21,10,327,10
2020-01-07,23,13,0.0,8.7,5,5,80,02:20 PM,02:57 AM,06:31 AM,05:18 PM,6,17,18,17,11,7,49,0.0,1017,23,10,349,7
2020-01-08,22,14,0.0,8.7,4,4,88,03:06 PM,03:54 AM,06:32 AM,05:19 PM,10,17,18,17,10,37,63,2.8,1015,22,9,150,7
2020-01-09,22,14,0.0,4.1,4,4,95,03:58 PM,04:54 AM,06:32 AM,05:19 PM,13,17,18,17,15,77,78,5.7,1015,22,10,261,11
2020-01-10,18,11,0.0,8.7,4,4,100,04:56 PM,05:54 AM,06:32 AM,05:20 PM,7,13,14,13,21,6,66,0.0,1018,18,10,322,16
2020-01-11,20,9,0.0,8.7,5,5,100,05:58 PM,06:52 AM,06:32 AM,05:21 PM,5,13,14,13,16,2,59,0.0,1018,20,10,332,11
2020-01-12,21,10,0.0,8.7,5,5,83,07:03 PM,07:48 AM,06:32 AM,05:21 PM,3,15,16,15,16,0,44,0.0,1016,21,10,328,11
2020-01-13,24,13,0.0,8.7,5,5,76,08:08 PM,08:38 AM,06:32 AM,05:22 PM,3,18,18,18,13,0,37,0.0,1014,24,10,318,9
2020-01-14,26,17,0.0,8.7,6,6,69,09:12 PM,09:25 AM,06:32 AM,05:23 PM,5,21,21,21,8,1,36,0.0,1014,26,10,214,6
2020-01-15,27,17,0.0,8.7,6,6,61,10:13 PM,10:08 AM,06:32 AM,05:24 PM,7,21,21,21,7,3,41,0.0,1015,27,10,121,4
2020-01-16,26,17,0.0,8.7,6,6,54,11:14 PM,10:48 AM,06:32 AM,05:24 PM,8,21,21,21,13,4,46,0.0,1015,26,10,192,8
2020-01-17,26,17,0.0,8.7,6,6,47,No moonrise,11:28 AM,06:32 AM,05:25 PM,8,21,21,21,14,2,43,0.0,1015,26,10,200,10
2020-01-18,24,17,0.0,8.7,6,6,40,12:14 AM,12:08 PM,06:32 AM,05:26 PM,11,20,21,20,8,31,55,0.1,1016,24,10,152,6
2020-01-19,22,15,0.0,4.1,4,4,32,01:14 AM,12:49 PM,06:32 AM,05:26 PM,13,18,19,18,15,69,75,10.0,1016,22,9,247,9
2020-01-20,21,12,0.0,8.7,5,5,25,02:13 AM,01:34 PM,06:32 AM,05:27 PM,6,15,16,15,15,17,55,0.0,1017,21,10,310,10
2020-01-21,23,12,0.0,8.7,5,5,18,03:14 AM,02:21 PM,06:32 AM,05:28 PM,5,17,18,17,6,34,45,0.0,1019,23,10,235,4
2020-01-22,25,15,0.0,8.7,5,5,11,04:12 AM,03:12 PM,06:32 AM,05:29 PM,9,20,21,20,10,33,50,0.0,1018,25,10,272,7
2020-01-23,24,15,0.0,7.2,4,4,3,05:09 AM,04:06 PM,06:32 AM,05:29 PM,8,18,19,18,21,30,50,0.1,1016,24,10,306,14
2020-01-24,21,11,0.0,8.7,5,5,0,06:01 AM,05:01 PM,06:31 AM,05:30 PM,1,15,16,15,19,0,39,0.0,1017,21,10,303,13
2020-01-25,22,12,0.0,8.7,5,5,0,06:49 AM,05:56 PM,06:31 AM,05:31 PM,1,16,16,16,17,0,36,0.0,1016,22,10,312,11
2020-01-26,22,13,0.0,8.7,5,5,4,07:33 AM,06:50 PM,06:31 AM,05:31 PM,3,16,17,16,17,2,43,0.0,1014,22,10,309,12
2020-01-27,23,14,0.0,8.7,5,5,11,08:12 AM,07:43 PM,06:31 AM,05:32 PM,4,18,18,18,15,2,41,0.0,1014,23,10,311,11
2020-01-28,23,15,0.0,8.7,5,5,18,08:48 AM,08:33 PM,06:30 AM,05:33 PM,7,19,20,19,12,28,46,0.1,1013,23,10,231,8
2020-01-29,26,17,0.0,8.7,6,6,26,09:22 AM,09:23 PM,06:30 AM,05:34 PM,11,22,22,21,16,47,54,0.5,1014,26,10,180,10
2020-01-30,22,14,0.0,4.1,4,4,33,09:55 AM,10:12 PM,06:30 AM,05:34 PM,10,18,19,18,25,57,59,2.6,1014,22,10,320,17
2020-01-31,22,12,0.0,8.7,5,5,37,10:27 AM,11:02 PM,06:29 AM,05:35 PM,2,16,17,16,16,0,41,0.0,1015,22,10,316,12
2020-02-01,23,14,0.0,8.7,5,5,49,11:00 AM,11:53 PM,06:29 AM,05:36 PM,3,17,18,17,14,3,39,0.0,1016,23,10,247,9
2020-02-02,21,11,0.0,8.7,5,5,57,11:35 AM,No moonset,06:29 AM,05:36 PM,2,15,16,15,21,3,41,0.0,1019,21,10,318,15
2020-02-03,23,12,0.0,8.7,5,5,64,12:12 PM,12:45 AM,06:28 AM,05:37 PM,2,17,17,17,14,3,37,0.0,1018,23,10,315,9
2020-02-04,24,13,0.0,8.7,4,4,72,12:55 PM,01:40 AM,06:28 AM,05:38 PM,7,18,18,18,8,40,52,3.1,1016,24,9,220,6
2020-02-05,25,15,0.0,8.7,6,6,79,01:43 PM,02:36 AM,06:27 AM,05:38 PM,9,19,19,19,15,27,58,2.8,1015,25,10,307,11
2020-02-06,24,13,0.0,8.7,5,5,87,02:37 PM,03:35 AM,06:27 AM,05:39 PM,5,18,18,18,15,21,43,0.0,1016,24,10,323,10
2020-02-07,20,11,0.0,7.2,4,4,95,03:38 PM,04:34 AM,06:26 AM,05:40 PM,9,16,16,16,13,56,63,2.6,1018,20,7,151,10
