date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,21,0.0,4.2,6,6,37,11:07 AM,11:12 PM,06:34 AM,05:57 PM,21,26,26,24,13,71,83,8.9,1014,28,8,79,8
2020-01-02,29,22,0.0,5.7,6,6,44,11:44 AM,11:57 PM,06:35 AM,05:58 PM,22,28,28,25,8,58,82,1.6,1015,29,8,103,6
2020-01-03,30,22,0.0,8.7,7,7,51,12:20 PM,No moonset,06:35 AM,05:59 PM,22,28,28,26,9,39,81,0.1,1013,30,8,146,7
2020-01-04,31,22,0.0,5.7,6,6,59,12:57 PM,12:43 AM,06:35 AM,05:59 PM,22,28,28,26,10,60,81,0.1,1012,31,8,164,8
2020-01-05,30,23,0.0,7.3,6,6,66,01:35 PM,01:29 AM,06:36 AM,06:00 PM,22,28,28,26,12,72,81,5.7,1012,30,9,117,9
2020-01-06,29,22,0.0,7.3,6,6,73,02:16 PM,02:17 AM,06:36 AM,06:00 PM,22,27,27,25,13,66,83,4.6,1014,29,8,75,9
2020-01-07,28,22,0.0,7.3,6,6,80,03:00 PM,03:08 AM,06:36 AM,06:01 PM,21,27,27,24,17,67,83,7.7,1014,28,10,78,12
2020-01-08,27,21,0.0,7.3,6,6,88,03:50 PM,04:02 AM,06:37 AM,06:01 PM,20,26,26,24,11,61,77,0.8,1014,27,10,64,8
2020-01-09,29,21,0.0,11.6,7,7,95,04:43 PM,04:59 AM,06:37 AM,06:02 PM,19,26,26,25,8,5,73,0.0,1013,29,10,79,7
2020-01-10,29,23,0.0,11.6,7,7,100,05:42 PM,05:58 AM,06:37 AM,06:02 PM,19,26,26,25,10,3,72,0.0,1014,29,10,68,9
2020-01-11,28,19,0.0,11.6,6,6,100,06:43 PM,06:57 AM,06:38 AM,06:03 PM,18,24,24,23,12,14,76,0.0,1015,28,10,55,9
2020-01-12,28,20,0.0,7.3,5,5,83,07:45 PM,07:54 AM,06:38 AM,06:03 PM,19,25,25,23,13,51,78,1.2,1013,28,10,66,9
2020-01-13,29,21,0.0,11.6,7,7,76,08:46 PM,08:48 AM,06:38 AM,06:04 PM,19,26,26,24,11,31,76,0.3,1012,29,10,66,8
2020-01-14,30,22,0.0,11.6,7,7,69,09:45 PM,09:39 AM,06:38 AM,06:05 PM,17,26,26,25,8,1,66,0.0,1012,30,10,70,7
2020-01-15,29,18,0.0,11.6,6,6,61,10:42 PM,10:26 AM,06:38 AM,06:05 PM,17,25,25,23,10,3,69,0.0,1013,29,10,81,8
2020-01-16,30,19,0.0,11.6,7,7,54,11:38 PM,11:12 AM,06:39 AM,06:06 PM,17,26,26,25,10,9,68,0.0,1013,30,10,107,7
2020-01-17,29,22,0.0,8.7,6,6,47,No moonrise,11:56 AM,06:39 AM,06:06 PM,20,27,27,25,12,39,77,2.9,1013,29,10,86,9
2020-01-18,28,22,0.0,7.3,6,6,40,12:33 AM,12:41 PM,06:39 AM,06:07 PM,20,26,26,24,15,76,81,3.3,1013,28,9,91,11
2020-01-19,29,21,0.0,10.2,6,6,32,01:28 AM,01:27 PM,06:39 AM,06:07 PM,20,27,27,24,11,57,77,0.4,1013,29,10,67,8
2020-01-20,30,19,0.0,11.6,7,7,25,02:24 AM,02:14 PM,06:39 AM,06:08 PM,18,26,26,25,12,8,69,0.0,1014,30,10,70,9
2020-01-21,30,21,0.0,11.6,7,7,18,03:21 AM,03:05 PM,06:39 AM,06:08 PM,19,26,26,25,14,6,71,0.0,1015,30,10,64,11
2020-01-22,29,20,0.0,11.6,6,6,11,04:17 AM,03:58 PM,06:39 AM,06:09 PM,19,25,25,24,16,43,77,0.0,1016,29,10,64,12
2020-01-23,31,22,0.0,11.6,7,7,3,05:13 AM,04:51 PM,06:39 AM,06:09 PM,19,27,27,25,14,27,71,0.1,1015,31,10,72,11
2020-01-24,31,19,0.0,11.6,7,7,0,06:06 AM,05:46 PM,06:39 AM,06:10 PM,16,25,25,25,11,3,62,0.0,1014,31,10,64,9
2020-01-25,31,20,0.0,11.6,7,7,0,06:55 AM,06:38 PM,06:39 AM,06:10 PM,15,27,27,26,8,0,55,0.0,1014,31,10,72,7
2020-01-26,32,21,0.0,11.6,7,7,4,07:42 AM,07:30 PM,06:39 AM,06:11 PM,17,29,29,27,7,0,58,0.0,1013,32,10,93,6
2020-01-27,32,23,0.0,11.6,7,7,11,08:24 AM,08:18 PM,06:39 AM,06:11 PM,18,28,28,27,9,0,63,0.0,1012,32,10,136,8
2020-01-28,33,21,0.0,11.6,7,7,18,09:04 AM,09:06 PM,06:39 AM,06:12 PM,19,28,28,27,12,4,68,0.0,1013,33,10,159,9
2020-01-29,33,21,0.0,11.6,7,7,26,09:42 AM,09:52 PM,06:39 AM,06:12 PM,19,27,27,26,13,4,67,0.0,1013,33,10,150,9
2020-01-30,33,23,0.0,11.6,7,7,33,10:18 AM,10:36 PM,06:39 AM,06:12 PM,18,29,29,28,10,2,64,0.0,1012,33,10,158,8
2020-01-31,32,21,0.0,11.6,7,7,37,10:54 AM,11:22 PM,06:39 AM,06:13 PM,18,28,28,26,13,8,66,0.0,1011,32,10,139,10
2020-02-01,31,21,0.0,11.6,7,7,49,11:31 AM,No moonset,06:39 AM,06:13 PM,18,27,27,25,14,33,67,0.0,1012,31,10,139,10
2020-02-02,31,20,0.0,11.6,7,7,57,12:10 PM,12:08 AM,06:39 AM,06:14 PM,18,27,27,25,11,24,68,0.0,1015,31,10,108,9
2020-02-03,31,20,0.0,11.6,7,7,64,12:51 PM,12:57 AM,06:38 AM,06:14 PM,17,25,25,25,12,9,66,0.0,1015,31,10,84,9
2020-02-04,28,20,0.0,7.3,5,5,72,01:37 PM,01:48 AM,06:38 AM,06:15 PM,19,25,25,24,13,59,75,1.0,1013,28,10,104,9
2020-02-05,32,19,0.0,11.6,7,7,79,02:27 PM,02:42 AM,06:38 AM,06:15 PM,17,26,26,26,9,11,64,0.0,1013,32,10,105,7
2020-02-06,32,21,0.0,11.6,7,7,87,03:23 PM,03:40 AM,06:38 AM,06:15 PM,17,27,27,26,12,1,60,0.0,1013,32,10,144,10
2020-02-07,31,21,0.0,11.6,7,7,95,04:23 PM,04:38 AM,06:38 AM,06:16 PM,18,27,27,26,15,13,65,0.0,1013,31,10,144,11
2020-02-08,31,21,0.0,11.6,7,7,100,05:26 PM,05:37 AM,06:37 AM,06:16 PM,17,27,27,26,15,20,64,0.0,1013,31,10,143,11
2020-02-09,30,21,0.0,8.7,6,6,100,06:28 PM,06:34 AM,06:37 AM,06:16 PM,19,26,26,25,14,55,71,0.1,1014,30,10,109,10
2020-02-10,32,22,0.0,11.6,7,7,83,07:31 PM,07:28 AM,06:37 AM,06:17 PM,18,27,27,25,16,34,69,0.2,1014,32,10,77,12
2020-02-11,30,20,0.0,8.8,6,6,75,08:30 PM,08:18 AM,06:37 AM,06:17 PM,19,26,26,24,16,49,74,1.2,1015,30,10,82,12
2020-02-12,29,20,0.0,7.3,6,6,68,09:29 PM,09:06 AM,06:36 AM,06:17 PM,19,25,25,24,16,50,75,0.1,1016,29,8,61,12
2020-02-13,32,20,0.0,11.6,7,7,60,10:26 PM,09:52 AM,06:36 AM,06:18 PM,17,27,27,26,14,8,66,0.0,1015,32,8,65,10
2020-02-14,33,21,0.0,11.6,7,7,53,11:23 PM,10:38 AM,06:36 AM,06:18 PM,16,29,29,27,10,3,58,0.0,1013,33,10,59,8
2020-02-15,34,23,0.0,11.6,7,7,45,No moonrise,11:25 AM,06:35 AM,06:18 PM,15,28,28,28,9,0,50,0.0,1013,34,10,77,7
2020-02-16,33,22,0.0,11.6,7,7,38,12:20 AM,12:12 PM,06:35 AM,06:18 PM,14,28,28,27,10,0,52,0.0,1014,33,10,88,8
2020-02-17,33,21,0.0,11.6,7,7,30,01:17 AM,01:02 PM,06:34 AM,06:19 PM,15,27,27,26,11,0,56,0.0,1015,33,10,86,9
2020-02-18,32,21,0.0,11.6,7,7,22,02:13 AM,01:54 PM,06:34 AM,06:19 PM,16,27,27,26,11,1,57,0.0,1014,32,10,92,9
