date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,27,20,0.0,11.1,6,6,37,11:35 AM,11:35 PM,07:06 AM,06:14 PM,17,25,25,24,17,5,67,0.0,1013,27,10,302,12
2020-01-02,27,20,0.0,11.1,6,6,44,12:10 PM,No moonset,07:06 AM,06:15 PM,18,25,25,24,19,2,71,0.0,1015,27,10,314,13
2020-01-03,26,21,0.0,11.1,6,6,51,12:45 PM,12:21 AM,07:07 AM,06:15 PM,18,25,25,23,23,9,73,0.0,1014,26,10,326,16
2020-01-04,26,19,0.0,11.1,6,6,59,01:20 PM,01:09 AM,07:07 AM,06:16 PM,17,24,24,22,17,2,74,0.0,1013,26,10,312,12
2020-01-05,29,19,0.0,11.1,6,6,66,01:57 PM,01:57 AM,07:07 AM,06:16 PM,17,25,25,24,13,3,69,0.0,1012,29,10,221,9
2020-01-06,32,21,0.0,11.1,7,7,73,02:36 PM,02:46 AM,07:08 AM,06:17 PM,20,28,28,26,16,19,69,0.0,1013,32,10,220,10
2020-01-07,31,24,0.0,11.1,7,7,80,03:20 PM,03:39 AM,07:08 AM,06:18 PM,20,28,28,26,16,31,71,0.0,1013,31,10,269,11
2020-01-08,28,23,0.0,11.1,7,7,88,04:07 PM,04:33 AM,07:08 AM,06:18 PM,20,27,27,25,21,16,76,0.0,1013,28,10,322,15
2020-01-09,27,21,0.0,11.1,6,6,95,05:01 PM,05:32 AM,07:08 AM,06:19 PM,19,26,26,24,19,1,76,0.0,1013,27,10,315,13
2020-01-10,30,21,0.0,11.1,7,7,100,05:59 PM,06:30 AM,07:09 AM,06:19 PM,19,27,27,25,15,13,69,0.0,1012,30,10,237,10
2020-01-11,31,23,0.0,11.1,7,7,100,07:01 PM,07:30 AM,07:09 AM,06:20 PM,19,29,29,27,14,21,66,0.0,1013,31,10,223,9
2020-01-12,30,23,0.0,11.1,7,7,83,08:04 PM,08:26 AM,07:09 AM,06:21 PM,19,28,28,26,19,6,66,0.0,1013,30,10,227,13
2020-01-13,29,22,0.0,11.1,7,7,76,09:06 PM,09:19 AM,07:09 AM,06:21 PM,20,27,27,25,21,11,75,0.0,1012,29,10,319,15
2020-01-14,27,22,0.0,11.1,6,6,69,10:07 PM,10:08 AM,07:09 AM,06:22 PM,20,26,26,24,22,16,79,0.0,1012,27,10,325,16
2020-01-15,26,21,0.0,11.1,6,6,61,11:06 PM,10:54 AM,07:10 AM,06:22 PM,19,25,25,23,25,18,77,0.0,1012,26,10,318,18
2020-01-16,25,20,0.0,10.1,5,5,54,No moonrise,11:38 AM,07:10 AM,06:23 PM,16,23,23,22,25,40,72,0.2,1013,25,10,327,18
2020-01-17,24,17,0.0,11.1,6,6,47,12:03 AM,12:20 PM,07:10 AM,06:24 PM,13,21,21,21,23,0,62,0.0,1013,24,10,319,15
2020-01-18,27,17,0.0,11.1,6,6,40,01:00 AM,01:03 PM,07:10 AM,06:24 PM,15,23,23,22,19,4,64,0.0,1012,27,10,306,12
2020-01-19,30,21,0.0,11.2,7,7,32,01:57 AM,01:47 PM,07:10 AM,06:25 PM,17,27,27,25,16,5,64,0.0,1012,30,10,286,10
2020-01-20,31,22,0.0,11.2,7,7,25,02:55 AM,02:33 PM,07:10 AM,06:25 PM,17,27,27,26,15,7,61,0.0,1013,31,10,280,10
2020-01-21,29,22,0.0,11.2,7,7,18,03:52 AM,03:23 PM,07:10 AM,06:26 PM,19,27,27,25,20,11,68,0.0,1014,29,10,309,14
2020-01-22,31,22,0.0,11.2,7,7,11,04:50 AM,04:15 PM,07:10 AM,06:27 PM,18,28,28,26,17,6,63,0.0,1014,31,10,251,11
2020-01-23,32,23,0.0,11.2,7,7,3,05:46 AM,05:09 PM,07:10 AM,06:27 PM,16,28,28,26,19,0,53,0.0,1013,32,10,234,11
2020-01-24,32,22,0.0,11.2,7,7,0,06:38 AM,06:03 PM,07:10 AM,06:28 PM,15,28,28,26,20,2,52,0.0,1013,32,10,236,12
2020-01-25,32,23,0.0,11.2,7,7,0,07:28 AM,06:57 PM,07:10 AM,06:28 PM,16,27,27,26,15,4,53,0.0,1012,32,10,291,9
2020-01-26,30,23,0.0,11.2,7,7,4,08:12 AM,07:49 PM,07:10 AM,06:29 PM,16,27,27,26,14,2,56,0.0,1012,30,10,290,9
2020-01-27,28,23,0.0,11.2,7,7,11,08:54 AM,08:39 PM,07:09 AM,06:29 PM,18,27,27,25,14,3,65,0.0,1012,28,10,284,9
2020-01-28,27,20,0.0,11.2,5,5,18,09:32 AM,09:28 PM,07:09 AM,06:30 PM,18,25,25,24,13,30,71,0.2,1013,27,10,280,9
2020-01-29,26,20,0.0,10.1,6,6,26,10:08 AM,10:15 PM,07:09 AM,06:31 PM,18,24,24,23,26,21,75,0.0,1014,26,10,333,19
