date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,19,7,0.0,5.5,3,3,37,11:31 AM,11:14 PM,07:17 AM,05:37 PM,-1,11,12,11,14,38,41,0.0,1020,19,10,97,8
2020-01-02,20,10,0.0,8.7,5,5,44,12:01 PM,No moonset,07:17 AM,05:38 PM,5,14,15,14,13,19,52,0.0,1021,20,10,96,8
2020-01-03,22,11,0.0,8.7,5,5,51,12:31 PM,12:06 AM,07:18 AM,05:39 PM,8,16,16,16,11,12,59,0.0,1018,22,10,329,7
2020-01-04,21,12,0.0,8.7,5,5,59,01:02 PM,12:58 AM,07:18 AM,05:39 PM,6,16,16,16,10,9,51,0.0,1016,21,10,277,6
2020-01-05,21,12,0.0,8.7,5,5,66,01:34 PM,01:51 AM,07:18 AM,05:40 PM,5,16,16,16,13,16,51,0.0,1017,21,10,301,8
2020-01-06,16,12,0.0,5.5,3,3,73,02:08 PM,02:45 AM,07:18 AM,05:41 PM,7,13,14,13,15,54,63,0.0,1019,16,10,30,10
2020-01-07,16,12,0.0,3.8,3,3,80,02:47 PM,03:42 AM,07:18 AM,05:42 PM,10,14,14,14,13,64,78,1.1,1017,16,8,103,9
2020-01-08,19,11,0.0,3.8,3,3,88,03:32 PM,04:41 AM,07:18 AM,05:42 PM,11,13,13,13,11,62,84,2.9,1015,19,9,188,7
2020-01-09,18,8,0.0,8.7,4,4,95,04:22 PM,05:42 AM,07:19 AM,05:43 PM,6,12,13,12,12,4,68,0.0,1019,18,9,322,9
2020-01-10,19,8,0.0,8.7,4,4,100,05:20 PM,06:42 AM,07:19 AM,05:44 PM,3,11,12,11,17,4,53,0.0,1019,19,10,323,11
2020-01-11,19,7,0.0,8.7,4,4,100,06:23 PM,07:41 AM,07:19 AM,05:45 PM,1,12,12,12,14,16,46,0.0,1019,19,10,320,8
2020-01-12,23,10,0.0,8.7,5,5,83,07:30 PM,08:35 AM,07:19 AM,05:46 PM,2,15,16,15,12,13,40,0.0,1015,23,10,279,8
2020-01-13,18,13,0.0,5.5,3,3,76,08:36 PM,09:24 AM,07:19 AM,05:46 PM,8,14,14,14,20,43,67,6.9,1011,18,10,187,12
2020-01-14,19,10,0.0,8.7,4,4,69,09:43 PM,10:07 AM,07:19 AM,05:47 PM,11,13,14,13,13,13,82,0.0,1015,19,10,331,9
2020-01-15,21,11,0.0,8.7,5,5,61,10:48 PM,10:47 AM,07:18 AM,05:48 PM,8,14,15,14,12,9,66,0.0,1016,21,10,212,8
2020-01-16,17,11,0.0,3.9,3,3,54,11:52 PM,11:25 AM,07:18 AM,05:49 PM,9,13,13,13,14,69,75,1.7,1015,17,9,143,9
2020-01-17,19,10,0.0,7.1,3,3,47,No moonrise,12:02 PM,07:18 AM,05:50 PM,11,14,14,14,7,64,80,0.0,1017,19,8,94,4
2020-01-18,21,11,0.0,8.7,5,5,40,12:54 AM,12:39 PM,07:18 AM,05:50 PM,7,15,15,15,9,5,65,0.0,1018,21,10,299,6
2020-01-19,20,11,0.0,8.7,4,4,32,01:57 AM,01:18 PM,07:18 AM,05:51 PM,6,14,14,14,10,2,60,0.0,1018,20,10,306,8
2020-01-20,20,10,0.0,8.7,4,4,25,02:59 AM,02:00 PM,07:18 AM,05:52 PM,7,14,14,14,11,10,64,0.0,1017,20,10,321,7
2020-01-21,21,13,0.0,8.7,5,5,18,04:01 AM,02:46 PM,07:17 AM,05:53 PM,6,15,15,15,9,17,57,0.0,1018,21,10,109,5
2020-01-22,21,11,0.0,8.7,5,5,11,05:01 AM,03:36 PM,07:17 AM,05:54 PM,8,15,15,15,15,2,63,0.0,1020,21,10,327,10
2020-01-23,19,9,0.0,8.7,4,4,3,05:58 AM,04:29 PM,07:17 AM,05:55 PM,4,12,13,12,26,0,56,0.0,1018,19,10,312,16
2020-01-24,20,8,0.0,8.7,4,4,0,06:50 AM,05:25 PM,07:16 AM,05:55 PM,2,13,14,13,24,0,45,0.0,1016,20,10,294,15
2020-01-25,22,11,0.0,8.7,5,5,0,07:37 AM,06:21 PM,07:16 AM,05:56 PM,3,15,15,15,10,9,45,0.0,1016,22,10,200,7
2020-01-26,23,11,0.0,8.7,5,5,4,08:18 AM,07:18 PM,07:16 AM,05:57 PM,7,17,17,17,9,8,56,0.0,1014,23,10,308,6
2020-01-27,22,11,0.0,8.7,5,5,11,08:56 AM,08:12 PM,07:15 AM,05:58 PM,9,16,16,16,14,46,65,0.0,1012,22,10,99,8
2020-01-28,19,12,0.0,8.7,4,4,18,09:30 AM,09:06 PM,07:15 AM,05:59 PM,11,15,15,15,20,50,79,2.7,1011,19,10,131,13
2020-01-29,20,12,0.0,10.9,5,5,26,10:01 AM,09:58 PM,07:14 AM,06:00 PM,9,15,15,15,12,18,68,0.1,1016,20,10,294,7
2020-01-30,19,10,0.0,10.9,5,5,33,10:31 AM,10:49 PM,07:14 AM,06:00 PM,8,14,14,14,17,2,66,0.0,1017,19,10,323,12
2020-01-31,20,11,0.0,10.9,5,5,37,11:01 AM,11:41 PM,07:13 AM,06:01 PM,7,14,14,14,12,4,62,0.0,1015,20,10,288,8
2020-02-01,20,10,0.0,10.9,5,5,49,11:32 AM,No moonset,07:13 AM,06:02 PM,7,14,14,14,10,6,63,0.0,1017,20,10,303,7
2020-02-02,21,11,0.0,10.9,5,5,57,12:04 PM,12:34 AM,07:12 AM,06:03 PM,7,15,15,15,10,0,62,0.0,1019,21,10,312,8
2020-02-03,23,11,0.0,10.9,5,5,64,12:40 PM,01:29 AM,07:12 AM,06:04 PM,7,16,17,16,9,0,57,0.0,1018,23,10,309,6
2020-02-04,21,11,0.0,10.1,4,4,72,01:21 PM,02:25 AM,07:11 AM,06:04 PM,6,15,15,15,12,17,58,0.0,1016,21,10,135,8
2020-02-05,21,10,0.0,10.9,5,5,79,02:07 PM,03:24 AM,07:11 AM,06:05 PM,6,15,15,15,15,3,57,0.0,1016,21,10,315,10
2020-02-06,22,10,0.0,11.0,5,5,87,03:01 PM,04:24 AM,07:10 AM,06:06 PM,6,15,16,15,9,1,55,0.0,1015,22,10,287,6
2020-02-07,20,10,0.0,11.0,5,5,95,04:02 PM,05:24 AM,07:09 AM,06:07 PM,6,15,15,15,11,5,56,0.0,1018,20,10,300,7
2020-02-08,22,11,0.0,11.0,5,5,100,05:07 PM,06:20 AM,07:09 AM,06:08 PM,8,16,16,16,10,0,61,0.0,1020,22,10,325,8
2020-02-09,24,11,0.0,11.0,5,5,100,06:16 PM,07:12 AM,07:08 AM,06:08 PM,7,16,17,16,8,6,56,0.0,1021,24,10,334,5
2020-02-10,23,10,0.0,11.0,5,5,83,07:25 PM,07:59 AM,07:07 AM,06:09 PM,6,17,17,17,10,13,52,0.0,1018,23,10,320,7
2020-02-11,24,10,0.0,11.0,5,5,75,08:33 PM,08:42 AM,07:06 AM,06:10 PM,6,17,17,17,8,7,51,0.0,1019,24,10,323,5
2020-02-12,26,13,0.0,11.1,5,5,68,09:40 PM,09:22 AM,07:06 AM,06:11 PM,8,18,19,18,20,5,52,0.0,1017,26,10,302,12
2020-02-13,28,14,0.0,11.1,6,6,60,10:45 PM,10:01 AM,07:05 AM,06:11 PM,8,20,21,20,29,4,49,0.0,1014,28,10,292,17
2020-02-14,25,14,0.0,11.1,5,5,53,11:50 PM,10:39 AM,07:04 AM,06:12 PM,5,18,19,18,29,0,44,0.0,1012,25,10,308,18
2020-02-15,27,12,0.0,11.1,6,6,45,No moonrise,11:18 AM,07:03 AM,06:13 PM,2,19,19,19,24,0,34,0.0,1012,27,10,299,14
2020-02-16,29,14,0.0,11.1,6,6,38,12:53 AM,12:00 PM,07:02 AM,06:14 PM,2,21,21,21,13,0,29,0.0,1015,29,10,208,9
2020-02-17,28,15,0.0,11.1,6,6,30,01:56 AM,12:44 PM,07:01 AM,06:14 PM,3,22,22,22,14,0,34,0.0,1016,28,10,317,10
2020-02-18,28,13,0.0,11.2,6,6,22,02:56 AM,01:33 PM,07:00 AM,06:15 PM,-0,21,21,21,17,3,27,0.0,1014,28,10,282,11
2020-02-19,27,14,0.0,11.2,6,6,15,03:53 AM,02:24 PM,07:00 AM,06:16 PM,2,20,20,20,26,22,30,0.0,1012,27,10,128,16
2020-02-20,27,15,0.0,11.6,6,6,7,04:46 AM,03:19 PM,06:59 AM,06:17 PM,7,21,21,21,29,19,42,0.0,1011,27,10,126,18
2020-02-21,21,13,0.0,7.2,4,4,0,05:34 AM,04:14 PM,06:58 AM,06:17 PM,12,16,17,16,32,55,75,6.2,1016,21,10,81,20
2020-02-22,26,13,0.0,11.6,6,6,0,06:16 AM,05:10 PM,06:57 AM,06:18 PM,11,19,20,19,14,19,64,0.0,1019,26,10,69,9
2020-02-23,27,16,0.0,11.6,6,6,0,06:55 AM,06:05 PM,06:56 AM,06:19 PM,12,22,22,21,7,15,60,0.0,1016,27,10,312,4
2020-02-24,27,16,0.0,11.6,6,6,0,07:30 AM,06:59 PM,06:55 AM,06:19 PM,10,22,22,21,9,4,50,0.0,1013,27,10,212,6
2020-02-25,28,16,0.0,11.6,6,6,8,08:02 AM,07:51 PM,06:54 AM,06:20 PM,8,22,22,22,9,15,45,0.0,1012,28,10,225,6
2020-02-26,31,17,0.0,11.6,6,6,15,08:32 AM,08:43 PM,06:53 AM,06:21 PM,8,24,24,24,10,5,42,0.0,1012,31,10,157,6
2020-02-27,31,16,0.0,11.6,6,6,23,09:02 AM,09:35 PM,06:52 AM,06:21 PM,9,24,24,24,13,8,43,0.0,1013,31,10,94,8
2020-02-28,28,17,0.0,11.6,5,5,30,09:32 AM,10:26 PM,06:51 AM,06:22 PM,11,23,23,22,26,27,52,0.1,1011,28,10,136,17
2020-02-29,30,15,0.0,10.2,5,5,38,10:03 AM,11:20 PM,06:50 AM,06:23 PM,13,20,20,20,32,33,66,7.3,1010,30,10,131,20
