date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,17,0.0,8.7,6,6,37,11:04 AM,10:56 PM,06:43 AM,05:31 PM,10,23,23,22,16,17,48,0.0,1019,28,10,320,10
2020-01-02,29,18,0.0,8.7,6,6,44,11:38 AM,11:46 PM,06:43 AM,05:32 PM,11,23,23,23,13,22,51,0.0,1019,29,10,109,8
2020-01-03,21,10,0.0,4.1,4,4,51,12:10 PM,No moonset,06:44 AM,05:32 PM,15,17,18,17,13,59,78,8.4,1017,21,10,74,10
2020-01-04,25,17,0.0,7.2,6,6,59,12:43 PM,12:34 AM,06:44 AM,05:33 PM,16,20,21,20,8,50,78,0.0,1014,25,8,129,6
2020-01-05,24,14,0.0,8.7,6,6,66,01:18 PM,01:25 AM,06:44 AM,05:34 PM,15,19,21,19,12,24,70,0.0,1015,24,10,317,9
2020-01-06,26,17,0.0,8.7,6,6,73,01:55 PM,02:16 AM,06:44 AM,05:34 PM,10,22,22,22,12,0,48,0.0,1018,26,10,340,10
2020-01-07,25,16,0.0,8.7,6,6,80,02:36 PM,03:10 AM,06:45 AM,05:35 PM,8,20,21,20,13,5,45,0.0,1016,25,10,331,10
2020-01-08,26,16,0.0,8.7,6,6,88,03:23 PM,04:07 AM,06:45 AM,05:36 PM,7,21,21,21,13,27,41,0.0,1015,26,10,347,8
2020-01-09,22,16,0.0,8.7,5,5,95,04:14 PM,05:06 AM,06:45 AM,05:36 PM,12,20,21,20,11,43,57,0.1,1015,22,10,67,7
2020-01-10,26,17,0.0,8.7,6,6,100,05:12 PM,06:06 AM,06:45 AM,05:37 PM,12,21,21,21,17,8,59,0.0,1015,26,10,324,13
2020-01-11,25,16,0.0,8.7,6,6,100,06:14 PM,07:05 AM,06:45 AM,05:38 PM,11,20,20,20,17,4,59,0.0,1016,25,10,337,13
2020-01-12,26,16,0.0,8.7,6,6,83,07:19 PM,08:00 AM,06:45 AM,05:38 PM,11,21,21,21,15,0,55,0.0,1014,26,10,323,12
2020-01-13,26,17,0.0,8.7,6,6,76,08:23 PM,08:51 AM,06:46 AM,05:39 PM,7,21,21,21,12,0,41,0.0,1012,26,10,311,10
2020-01-14,29,18,0.0,8.7,6,6,69,09:27 PM,09:39 AM,06:46 AM,05:40 PM,11,24,24,24,6,0,46,0.0,1013,29,10,315,5
2020-01-15,31,20,0.0,8.7,7,7,61,10:28 PM,10:22 AM,06:46 AM,05:40 PM,11,25,25,25,8,1,42,0.0,1014,31,10,319,7
2020-01-16,34,20,0.0,8.7,7,7,54,11:29 PM,11:03 AM,06:46 AM,05:41 PM,12,26,26,25,7,2,43,0.0,1015,34,10,221,5
2020-01-17,32,23,0.0,8.7,7,7,47,No moonrise,11:43 AM,06:46 AM,05:42 PM,12,27,27,27,4,2,44,0.0,1015,32,10,251,3
2020-01-18,32,23,0.0,8.7,7,7,40,12:28 AM,12:23 PM,06:46 AM,05:43 PM,11,27,27,26,6,3,41,0.0,1015,32,10,309,4
2020-01-19,31,20,0.0,8.7,7,7,32,01:27 AM,01:05 PM,06:46 AM,05:43 PM,11,24,24,24,12,9,46,0.0,1014,31,10,327,8
2020-01-20,26,18,0.0,8.7,5,5,25,02:26 AM,01:50 PM,06:45 AM,05:44 PM,11,22,22,21,17,26,53,0.0,1016,26,10,325,12
