date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,18,7,0.0,7.1,4,4,37,11:33 AM,11:13 PM,07:22 AM,05:33 PM,-2,11,11,11,9,31,41,0.0,1024,18,10,248,5
2020-01-02,19,9,0.0,8.7,4,4,44,12:02 PM,No moonset,07:22 AM,05:33 PM,-2,12,12,12,11,29,38,0.2,1024,19,10,224,6
2020-01-03,17,9,0.0,8.7,3,3,51,12:31 PM,12:06 AM,07:23 AM,05:34 PM,3,11,12,11,11,32,56,0.4,1020,17,10,233,6
2020-01-04,16,8,0.0,3.8,3,3,59,01:01 PM,12:59 AM,07:23 AM,05:35 PM,5,10,11,10,10,54,70,4.7,1019,16,10,283,6
2020-01-05,15,7,0.0,7.1,3,3,66,01:32 PM,01:53 AM,07:23 AM,05:36 PM,1,9,10,9,13,36,56,0.0,1020,15,10,207,7
2020-01-06,16,4,0.0,5.4,3,3,73,02:05 PM,02:48 AM,07:23 AM,05:36 PM,3,10,10,10,9,62,63,6.7,1020,16,9,200,5
2020-01-07,13,10,0.0,3.8,3,3,80,02:43 PM,03:46 AM,07:23 AM,05:37 PM,9,10,11,10,10,83,91,30.5,1017,13,7,115,6
2020-01-08,12,6,0.0,3.8,2,2,88,03:27 PM,04:45 AM,07:23 AM,05:38 PM,6,8,9,8,10,58,84,30.9,1016,12,8,92,6
2020-01-09,14,6,0.0,8.7,4,4,95,04:17 PM,05:47 AM,07:23 AM,05:39 PM,3,9,9,9,11,3,66,0.0,1021,14,10,306,7
2020-01-10,17,6,0.0,8.7,4,4,100,05:15 PM,06:48 AM,07:23 AM,05:40 PM,-1,9,10,9,12,6,48,0.0,1020,17,10,321,7
2020-01-11,17,7,0.0,5.4,3,3,100,06:18 PM,07:46 AM,07:23 AM,05:41 PM,-1,10,11,10,10,52,45,0.0,1020,17,10,297,6
2020-01-12,22,10,0.0,7.1,5,5,83,07:26 PM,08:39 AM,07:23 AM,05:41 PM,5,15,16,15,11,48,53,0.2,1017,22,10,199,6
2020-01-13,17,2,0.0,5.4,3,3,76,08:33 PM,09:28 AM,07:23 AM,05:42 PM,8,11,12,11,13,86,77,42.2,1012,17,8,150,8
2020-01-14,15,6,0.0,5.5,3,3,69,09:41 PM,10:10 AM,07:23 AM,05:43 PM,9,11,11,11,6,75,86,0.5,1017,15,10,303,4
2020-01-15,17,10,0.0,7.1,3,3,61,10:47 PM,10:49 AM,07:23 AM,05:44 PM,9,13,12,13,6,59,79,3.1,1018,17,10,238,4
2020-01-16,17,9,0.0,5.5,3,3,54,11:52 PM,11:26 AM,07:23 AM,05:45 PM,7,11,12,11,10,58,75,18.6,1017,17,9,161,6
2020-01-17,15,8,0.0,8.7,3,3,47,No moonrise,12:01 PM,07:23 AM,05:46 PM,7,11,11,11,10,64,77,8.1,1017,15,9,256,6
2020-01-18,15,9,0.0,3.8,3,3,40,12:56 AM,12:37 PM,07:22 AM,05:46 PM,7,11,11,11,8,68,79,6.6,1019,15,9,271,5
2020-01-19,17,8,0.0,8.7,4,4,32,01:59 AM,01:16 PM,07:22 AM,05:47 PM,4,11,11,11,10,19,65,0.6,1020,17,10,203,6
2020-01-20,17,7,0.0,8.7,3,3,25,03:03 AM,01:57 PM,07:22 AM,05:48 PM,1,10,11,10,10,52,54,0.0,1018,17,10,272,6
2020-01-21,15,9,0.0,3.9,3,3,18,04:05 AM,02:42 PM,07:22 AM,05:49 PM,6,10,11,10,13,68,71,0.8,1020,15,10,127,8
2020-01-22,18,8,0.0,8.7,4,4,11,05:06 AM,03:31 PM,07:21 AM,05:50 PM,5,11,12,11,11,12,65,0.0,1022,18,10,287,6
2020-01-23,16,9,0.0,8.7,4,4,3,06:03 AM,04:24 PM,07:21 AM,05:51 PM,3,11,11,11,13,1,57,0.0,1020,16,10,303,8
2020-01-24,18,7,0.0,8.7,4,4,0,06:55 AM,05:21 PM,07:20 AM,05:52 PM,-1,11,11,11,15,3,45,0.0,1016,18,10,314,8
2020-01-25,17,8,0.0,8.7,4,4,0,07:42 AM,06:17 PM,07:20 AM,05:53 PM,2,12,12,12,8,28,53,0.0,1016,17,10,253,5
2020-01-26,20,9,0.0,8.7,4,4,4,08:22 AM,07:14 PM,07:20 AM,05:54 PM,7,13,14,13,11,12,63,0.0,1015,20,10,308,7
2020-01-27,18,7,0.0,7.1,3,3,11,08:59 AM,08:10 PM,07:19 AM,05:54 PM,5,12,13,12,11,42,60,0.6,1014,18,10,236,6
2020-01-28,13,10,0.0,3.9,3,3,18,09:32 AM,09:04 PM,07:19 AM,05:55 PM,7,11,11,11,10,81,78,9.6,1011,13,8,134,6
2020-01-29,16,9,0.0,3.9,3,3,26,10:02 AM,09:57 PM,07:18 AM,05:56 PM,7,11,11,11,10,71,78,18.9,1017,16,9,219,6
2020-01-30,16,7,0.0,8.7,4,4,33,10:31 AM,10:49 PM,07:18 AM,05:57 PM,5,10,11,10,11,7,68,0.0,1020,16,10,308,7
2020-01-31,17,8,0.0,8.7,4,4,37,11:01 AM,11:43 PM,07:17 AM,05:58 PM,2,11,11,11,8,13,58,0.0,1016,17,10,244,5
2020-02-01,16,8,0.0,8.7,4,4,49,11:30 AM,No moonset,07:16 AM,05:59 PM,5,11,11,11,8,16,70,0.1,1020,16,10,279,6
2020-02-02,18,8,0.0,10.8,4,4,57,12:02 PM,12:36 AM,07:16 AM,06:00 PM,3,11,12,11,11,0,58,0.0,1021,18,10,306,7
2020-02-03,19,8,0.0,10.9,4,4,64,12:37 PM,01:32 AM,07:15 AM,06:01 PM,1,12,12,12,10,0,49,0.0,1019,19,10,255,6
2020-02-04,16,5,0.0,8.5,3,3,72,01:17 PM,02:29 AM,07:15 AM,06:01 PM,2,10,11,10,11,43,55,0.0,1019,16,10,243,7
