date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,18,9,0.0,3.8,3,3,37,11:28 AM,11:10 PM,07:16 AM,05:31 PM,1,13,13,13,12,71,44,0.0,1022,18,10,117,7
2020-01-02,21,12,0.0,8.7,5,5,44,11:58 AM,No moonset,07:16 AM,05:32 PM,4,15,16,15,11,17,48,0.0,1022,21,10,205,6
2020-01-03,21,12,0.0,3.8,4,4,51,12:27 PM,12:02 AM,07:16 AM,05:32 PM,9,15,15,15,9,70,68,2.3,1019,21,10,230,5
2020-01-04,20,12,0.0,8.7,5,5,59,12:57 PM,12:54 AM,07:16 AM,05:33 PM,9,15,15,15,10,13,69,0.1,1017,20,10,238,7
2020-01-05,19,10,0.0,8.7,4,4,66,01:29 PM,01:48 AM,07:16 AM,05:34 PM,5,13,13,13,16,23,60,0.0,1017,19,10,310,10
2020-01-06,17,6,0.0,7.1,3,3,73,02:03 PM,02:42 AM,07:17 AM,05:35 PM,5,11,12,11,18,59,59,0.5,1019,17,9,316,11
2020-01-07,14,13,0.0,3.8,3,3,80,02:41 PM,03:40 AM,07:17 AM,05:35 PM,11,13,13,13,12,82,89,12.1,1017,14,9,109,8
2020-01-08,14,3,0.0,3.8,3,3,88,03:25 PM,04:39 AM,07:17 AM,05:36 PM,10,9,10,9,16,80,90,32.6,1015,14,7,253,10
2020-01-09,16,7,0.0,8.7,4,4,95,04:15 PM,05:41 AM,07:17 AM,05:37 PM,6,10,11,10,14,1,75,0.0,1019,16,10,302,10
2020-01-10,17,8,0.0,8.7,4,4,100,05:13 PM,06:41 AM,07:17 AM,05:38 PM,6,10,11,10,18,10,71,0.0,1019,17,10,301,11
2020-01-11,18,7,0.0,8.7,4,4,100,06:16 PM,07:40 AM,07:17 AM,05:39 PM,5,11,11,11,15,33,67,0.0,1019,18,10,292,8
2020-01-12,20,9,0.0,8.7,5,5,83,07:23 PM,08:33 AM,07:17 AM,05:39 PM,7,14,14,14,12,20,64,0.0,1016,20,10,278,7
2020-01-13,17,13,0.0,5.5,3,3,76,08:31 PM,09:22 AM,07:17 AM,05:40 PM,9,14,14,14,17,57,73,6.9,1012,17,9,114,10
2020-01-14,20,12,0.0,8.7,4,4,69,09:38 PM,10:05 AM,07:17 AM,05:41 PM,11,15,15,15,11,45,77,0.0,1016,20,10,283,7
2020-01-15,20,11,0.0,8.7,5,5,61,10:43 PM,10:44 AM,07:17 AM,05:42 PM,10,15,15,15,12,22,75,0.0,1016,20,10,227,7
2020-01-16,15,9,0.0,3.8,3,3,54,11:48 PM,11:22 AM,07:17 AM,05:43 PM,11,12,13,12,17,67,86,12.9,1015,15,10,228,10
2020-01-17,19,12,0.0,3.9,3,3,47,No moonrise,11:58 AM,07:16 AM,05:44 PM,11,14,14,14,9,80,83,17.3,1016,19,9,198,6
2020-01-18,18,11,0.0,3.9,3,3,40,12:51 AM,12:34 PM,07:16 AM,05:44 PM,10,14,14,14,10,86,81,14.8,1018,18,9,286,6
2020-01-19,19,10,0.0,8.7,4,4,32,01:54 AM,01:13 PM,07:16 AM,05:45 PM,9,13,13,13,14,4,80,0.0,1018,19,10,293,9
2020-01-20,18,9,0.0,8.7,4,4,25,02:57 AM,01:54 PM,07:16 AM,05:46 PM,8,13,13,13,10,37,71,0.0,1017,18,10,283,6
2020-01-21,20,12,0.0,8.7,5,5,18,03:59 AM,02:40 PM,07:15 AM,05:47 PM,7,15,15,15,8,11,61,0.0,1019,20,10,151,5
2020-01-22,20,11,0.0,8.7,5,5,11,04:59 AM,03:30 PM,07:15 AM,05:48 PM,8,13,14,13,18,6,68,0.0,1020,20,10,295,11
2020-01-23,18,8,0.0,8.7,4,4,3,05:56 AM,04:23 PM,07:15 AM,05:49 PM,5,10,12,10,28,0,66,0.0,1017,18,10,296,17
2020-01-24,19,8,0.0,8.7,4,4,0,06:48 AM,05:19 PM,07:14 AM,05:50 PM,5,11,12,11,22,0,63,0.0,1014,19,10,295,14
2020-01-25,18,8,0.0,7.1,3,3,0,07:35 AM,06:15 PM,07:14 AM,05:50 PM,7,12,12,12,9,36,71,0.0,1015,18,10,176,5
2020-01-26,20,10,0.0,8.7,5,5,4,08:16 AM,07:12 PM,07:14 AM,05:51 PM,9,14,14,14,14,4,72,0.0,1014,20,10,285,9
2020-01-27,21,10,0.0,8.7,5,5,11,08:53 AM,08:07 PM,07:13 AM,05:52 PM,9,15,16,15,9,42,69,0.0,1012,21,10,208,6
2020-01-28,15,12,0.0,3.9,3,3,18,09:27 AM,09:00 PM,07:13 AM,05:53 PM,10,13,13,13,21,76,82,7.8,1011,15,8,84,12
2020-01-29,20,11,0.0,5.5,4,4,26,09:58 AM,09:53 PM,07:12 AM,05:54 PM,11,14,14,14,15,47,80,7.3,1016,20,10,201,9
2020-01-30,19,10,0.0,8.7,4,4,33,10:27 AM,10:45 PM,07:12 AM,05:55 PM,8,12,13,12,23,0,74,0.0,1017,19,10,297,14
2020-01-31,19,8,0.0,8.7,4,4,37,10:57 AM,11:38 PM,07:11 AM,05:56 PM,8,12,13,12,16,2,74,0.0,1014,19,9,275,10
2020-02-01,18,10,0.0,8.7,4,4,49,11:27 AM,No moonset,07:11 AM,05:56 PM,8,13,13,13,14,1,72,0.0,1018,18,10,296,9
2020-02-02,19,9,0.0,8.7,4,4,57,11:59 AM,12:31 AM,07:10 AM,05:57 PM,8,12,13,12,16,0,74,0.0,1019,19,10,298,11
2020-02-03,20,9,0.0,8.7,4,4,64,12:34 PM,01:26 AM,07:09 AM,05:58 PM,8,13,14,13,12,0,70,0.0,1018,20,10,292,8
2020-02-04,21,11,0.0,8.7,4,4,72,01:15 PM,02:23 AM,07:09 AM,05:59 PM,7,14,14,14,11,20,64,0.0,1017,21,10,223,6
2020-02-05,19,11,0.0,10.9,4,4,79,02:01 PM,03:23 AM,07:08 AM,06:00 PM,7,13,13,13,17,2,66,0.0,1016,19,10,293,11
2020-02-06,20,9,0.0,10.9,4,4,87,02:55 PM,04:22 AM,07:07 AM,06:01 PM,8,13,14,13,14,0,69,0.0,1015,20,10,276,9
2020-02-07,19,10,0.0,10.9,4,4,95,03:55 PM,05:22 AM,07:07 AM,06:01 PM,7,13,13,13,12,8,66,0.0,1019,19,10,292,7
2020-02-08,21,10,0.0,11.0,5,5,100,05:01 PM,06:18 AM,07:06 AM,06:02 PM,9,15,16,15,12,0,70,0.0,1021,21,10,297,8
2020-02-09,23,11,0.0,11.0,5,5,100,06:10 PM,07:10 AM,07:05 AM,06:03 PM,8,16,17,16,9,0,62,0.0,1021,23,10,239,6
2020-02-10,21,11,0.0,11.0,5,5,83,07:20 PM,07:57 AM,07:05 AM,06:04 PM,8,14,15,14,13,5,66,0.0,1019,21,10,281,8
2020-02-11,21,10,0.0,10.1,4,4,75,08:28 PM,08:39 AM,07:04 AM,06:05 PM,9,15,16,15,14,24,72,0.0,1019,21,10,288,8
2020-02-12,24,10,0.0,11.0,5,5,68,09:36 PM,09:19 AM,07:03 AM,06:05 PM,10,16,16,16,22,4,70,0.0,1018,24,10,293,14
2020-02-13,28,14,0.0,11.0,6,6,60,10:41 PM,09:56 AM,07:02 AM,06:06 PM,11,20,21,20,32,5,59,0.0,1015,28,10,288,19
2020-02-14,24,16,0.0,11.1,5,5,53,11:47 PM,10:34 AM,07:01 AM,06:07 PM,9,19,19,19,35,1,54,0.0,1011,24,10,293,21
2020-02-15,25,12,0.0,11.1,5,5,45,No moonrise,11:13 AM,07:00 AM,06:08 PM,9,17,18,17,26,0,59,0.0,1012,25,10,292,15
2020-02-16,27,15,0.0,11.5,6,6,38,12:51 AM,11:54 AM,06:59 AM,06:09 PM,12,20,20,20,9,1,65,0.0,1016,27,10,255,6
2020-02-17,25,13,0.0,11.5,5,5,30,01:54 AM,12:38 PM,06:59 AM,06:09 PM,9,18,18,18,18,1,58,0.0,1017,25,10,291,11
2020-02-18,25,11,0.0,11.5,5,5,22,02:54 AM,01:26 PM,06:58 AM,06:10 PM,7,17,19,17,16,7,56,0.0,1014,25,10,291,10
2020-02-19,24,12,0.0,8.7,4,4,15,03:52 AM,02:18 PM,06:57 AM,06:11 PM,8,17,17,17,22,47,56,0.0,1015,24,10,122,13
2020-02-20,27,16,0.0,11.6,6,6,7,04:44 AM,03:12 PM,06:56 AM,06:12 PM,10,21,22,21,23,23,54,1.9,1014,27,10,128,14
2020-02-21,15,14,0.0,7.2,3,3,0,05:32 AM,04:08 PM,06:55 AM,06:12 PM,12,14,15,14,23,72,83,17.5,1018,15,9,39,13
2020-02-22,26,13,0.0,11.6,6,6,0,06:15 AM,05:04 PM,06:54 AM,06:13 PM,12,19,19,19,10,7,64,0.0,1020,26,10,234,6
2020-02-23,25,14,0.0,10.2,5,5,0,06:53 AM,05:59 PM,06:53 AM,06:14 PM,13,19,20,19,8,32,68,1.2,1018,25,10,225,5
2020-02-24,25,17,0.0,11.6,6,6,0,07:27 AM,06:53 PM,06:52 AM,06:15 PM,13,20,21,20,8,3,64,0.0,1015,25,10,225,5
2020-02-25,26,15,0.0,11.6,6,6,8,07:59 AM,07:47 PM,06:51 AM,06:15 PM,11,20,20,20,8,5,59,0.0,1014,26,10,239,5
2020-02-26,29,14,0.0,11.6,6,6,15,08:28 AM,08:39 PM,06:50 AM,06:16 PM,10,20,21,20,13,11,55,0.0,1014,29,10,217,8
2020-02-27,25,15,0.0,10.2,6,6,23,08:58 AM,09:31 PM,06:49 AM,06:17 PM,11,20,20,20,9,30,58,0.0,1014,25,10,125,6
2020-02-28,26,15,0.0,11.6,5,5,30,09:28 AM,10:23 PM,06:48 AM,06:17 PM,13,20,20,20,19,27,65,0.1,1014,26,10,125,11
2020-02-29,27,16,0.0,8.7,5,5,38,09:58 AM,11:17 PM,06:47 AM,06:18 PM,14,20,21,20,25,69,71,11.0,1013,27,10,134,15
2020-03-01,27,16,0.0,11.6,6,6,44,10:31 AM,No moonset,06:45 AM,06:19 PM,14,21,21,21,12,4,65,0.0,1014,27,10,219,7
2020-03-02,27,16,0.0,11.6,6,6,51,11:09 AM,12:12 AM,06:44 AM,06:19 PM,12,21,21,21,9,4,60,0.0,1013,27,10,288,6
2020-03-03,27,16,0.0,11.6,6,6,58,11:51 AM,01:10 AM,06:43 AM,06:20 PM,11,21,21,21,11,4,52,0.0,1011,27,10,284,7
2020-03-04,28,17,0.0,11.6,6,6,65,12:40 PM,02:07 AM,06:42 AM,06:21 PM,11,22,22,22,10,16,53,0.3,1011,28,10,118,6
2020-03-05,23,14,0.0,5.9,4,4,73,01:36 PM,03:06 AM,06:41 AM,06:22 PM,12,18,18,18,22,76,71,20.7,1012,23,9,57,12
2020-03-06,17,13,0.0,5.9,4,4,80,02:37 PM,04:02 AM,06:40 AM,06:22 PM,12,15,15,15,31,87,85,25.9,1011,17,8,100,19
2020-03-07,21,12,0.0,7.3,4,4,87,03:45 PM,04:55 AM,06:39 AM,06:23 PM,12,15,16,15,15,72,79,15.5,1015,21,9,122,9
2020-03-08,24,14,0.0,11.6,5,5,95,04:54 PM,05:44 AM,06:38 AM,06:23 PM,12,18,20,18,13,5,69,0.0,1016,24,10,294,8
2020-03-09,25,13,0.0,11.6,5,5,100,06:04 PM,06:28 AM,06:36 AM,06:24 PM,10,17,18,17,22,0,64,0.0,1013,25,10,295,14
2020-03-10,27,13,0.0,11.6,6,6,100,07:14 PM,07:10 AM,06:35 AM,06:25 PM,9,20,20,20,13,6,54,0.0,1012,27,10,177,7
2020-03-11,22,15,0.0,6.0,4,4,84,08:22 PM,07:50 AM,06:34 AM,06:25 PM,11,18,18,18,23,72,68,8.0,1011,22,9,96,13
2020-03-12,27,15,0.0,8.8,5,5,76,09:31 PM,08:28 AM,06:33 AM,06:26 PM,14,19,20,19,29,63,71,16.5,1013,27,8,141,17
2020-03-13,23,15,0.0,6.0,5,5,69,10:38 PM,09:08 AM,06:32 AM,06:27 PM,14,19,21,19,22,80,73,12.1,1014,23,9,140,14
2020-03-14,24,10,0.0,8.8,4,4,62,11:44 PM,09:49 AM,06:30 AM,06:27 PM,12,16,17,16,19,73,75,14.3,1015,24,9,190,12
2020-03-15,25,13,0.0,10.2,4,4,55,No moonrise,10:34 AM,06:29 AM,06:28 PM,12,19,20,19,8,42,66,1.0,1017,25,10,211,5
2020-03-16,25,14,0.0,11.6,6,6,47,12:47 AM,11:22 AM,06:28 AM,06:29 PM,13,20,21,20,13,11,68,0.0,1016,25,10,289,8
2020-03-17,27,17,0.0,11.6,6,6,40,01:48 AM,12:13 PM,06:27 AM,06:29 PM,14,21,21,21,14,0,66,0.0,1016,27,10,297,10
2020-03-18,28,18,0.0,11.6,6,6,33,02:42 AM,01:08 PM,06:26 AM,06:30 PM,13,22,22,22,18,3,61,0.0,1015,28,10,293,12
2020-03-19,29,18,0.0,11.6,6,6,25,03:32 AM,02:03 PM,06:24 AM,06:30 PM,13,24,24,23,12,22,55,0.3,1012,29,10,283,7
2020-03-20,31,18,0.0,11.6,5,5,18,04:15 AM,02:59 PM,06:23 AM,06:31 PM,12,25,25,24,14,16,50,0.0,1012,31,10,219,8
2020-03-21,30,18,0.0,11.6,5,5,11,04:54 AM,03:54 PM,06:22 AM,06:32 PM,11,25,25,24,16,27,49,0.0,1012,30,10,246,9
2020-03-22,30,19,0.0,11.6,7,7,4,05:29 AM,04:48 PM,06:21 AM,06:32 PM,12,24,24,24,12,4,49,0.0,1013,30,10,290,7
2020-03-23,31,18,0.0,10.2,7,7,0,06:01 AM,05:42 PM,06:20 AM,06:33 PM,9,25,25,24,11,22,41,0.0,1012,31,10,261,7
2020-03-24,30,21,0.0,10.2,6,6,0,06:31 AM,06:34 PM,06:18 AM,06:34 PM,11,25,25,24,12,48,43,1.2,1012,30,10,355,8
