date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,29,19,0.0,7.3,6,6,37,11:11 AM,11:18 PM,06:37 AM,06:04 PM,21,26,26,24,10,59,84,5.2,1015,29,8,99,7
2020-01-02,29,20,0.0,7.3,6,6,44,11:49 AM,No moonset,06:37 AM,06:05 PM,21,26,26,24,9,61,81,0.5,1016,29,8,115,6
2020-01-03,29,22,0.0,8.7,6,6,51,12:25 PM,12:02 AM,06:37 AM,06:05 PM,21,28,28,25,7,42,80,0.1,1014,29,8,155,5
2020-01-04,30,22,0.0,11.6,6,6,59,01:02 PM,12:47 AM,06:38 AM,06:06 PM,22,28,28,25,7,40,81,0.4,1012,30,8,159,5
2020-01-05,30,22,0.0,5.8,6,6,66,01:41 PM,01:33 AM,06:38 AM,06:06 PM,21,27,27,25,10,74,81,5.3,1013,30,8,120,7
2020-01-06,29,20,0.0,7.3,6,6,73,02:22 PM,02:21 AM,06:39 AM,06:07 PM,20,26,26,24,11,69,82,5.0,1014,29,8,101,7
2020-01-07,29,20,0.0,7.3,6,6,80,03:07 PM,03:11 AM,06:39 AM,06:07 PM,20,25,25,24,12,74,80,2.1,1014,29,9,97,8
2020-01-08,31,19,0.0,11.6,7,7,88,03:56 PM,04:05 AM,06:39 AM,06:08 PM,19,26,26,24,9,12,74,0.0,1014,31,10,95,6
2020-01-09,29,18,0.0,11.6,6,6,95,04:50 PM,05:01 AM,06:39 AM,06:09 PM,19,25,25,24,8,30,76,0.0,1014,29,10,96,6
2020-01-10,30,21,0.0,11.6,7,7,100,05:49 PM,06:00 AM,06:40 AM,06:09 PM,18,26,26,24,10,6,72,0.0,1014,30,10,90,8
2020-01-11,30,17,0.0,11.6,6,6,100,06:50 PM,06:59 AM,06:40 AM,06:10 PM,17,24,24,23,11,2,72,0.0,1015,30,10,75,8
2020-01-12,30,17,0.0,11.6,6,6,83,07:52 PM,07:57 AM,06:40 AM,06:10 PM,17,24,24,23,10,29,75,0.1,1014,30,9,94,7
2020-01-13,30,19,0.0,11.6,7,7,76,08:52 PM,08:51 AM,06:41 AM,06:11 PM,18,24,24,23,9,38,76,0.1,1012,30,10,123,6
2020-01-14,31,19,0.0,11.6,7,7,69,09:51 PM,09:43 AM,06:41 AM,06:11 PM,17,25,25,24,7,34,71,0.1,1012,31,10,125,5
2020-01-15,30,18,0.0,11.6,7,7,61,10:47 PM,10:31 AM,06:41 AM,06:12 PM,16,24,24,24,9,1,65,0.0,1013,30,10,107,7
2020-01-16,30,17,0.0,11.6,6,6,54,11:43 PM,11:17 AM,06:41 AM,06:12 PM,16,24,24,23,9,10,68,0.0,1013,30,10,113,6
