date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,18,0.0,4.1,5,5,37,11:16 AM,11:15 PM,06:48 AM,05:54 PM,17,23,23,22,27,81,74,2.2,1015,28,10,151,19
2020-01-02,28,19,0.0,8.7,6,6,44,11:51 AM,No moonset,06:48 AM,05:55 PM,17,24,24,23,22,37,69,0.1,1015,28,10,159,15
2020-01-03,30,20,0.0,7.2,6,6,51,12:25 PM,12:02 AM,06:49 AM,05:55 PM,15,25,25,24,20,32,61,2.2,1013,30,10,238,13
2020-01-04,28,20,0.0,7.2,6,6,59,01:00 PM,12:49 AM,06:49 AM,05:56 PM,17,24,24,23,13,21,69,0.0,1012,28,10,211,9
2020-01-05,27,19,0.0,8.7,6,6,66,01:37 PM,01:37 AM,06:49 AM,05:56 PM,15,23,23,22,20,27,69,0.0,1014,27,10,69,14
2020-01-06,26,18,0.0,7.2,5,5,73,02:16 PM,02:27 AM,06:50 AM,05:57 PM,16,22,22,22,20,45,69,0.2,1016,26,10,128,14
2020-01-07,27,20,0.0,5.7,5,5,80,02:59 PM,03:20 AM,06:50 AM,05:58 PM,18,24,24,23,20,72,75,2.5,1014,27,10,133,14
2020-01-08,28,19,0.0,7.2,5,5,88,03:47 PM,04:15 AM,06:50 AM,05:58 PM,17,24,24,23,19,45,71,0.3,1013,28,9,200,14
2020-01-09,28,19,0.0,4.2,5,5,95,04:39 PM,05:13 AM,06:50 AM,05:59 PM,17,25,25,23,15,69,70,1.6,1013,28,9,278,10
2020-01-10,26,19,0.0,5.7,5,5,100,05:38 PM,06:12 AM,06:51 AM,05:59 PM,16,23,23,22,21,45,69,0.2,1014,26,10,83,15
2020-01-11,27,17,0.0,11.5,6,6,100,06:39 PM,07:11 AM,06:51 AM,06:00 PM,14,22,22,22,18,14,61,0.0,1015,27,10,81,12
2020-01-12,29,18,0.0,11.5,6,6,83,07:43 PM,08:07 AM,06:51 AM,06:01 PM,12,23,23,23,13,3,53,0.0,1014,29,10,46,10
2020-01-13,29,20,0.0,11.5,7,7,76,08:45 PM,09:00 AM,06:51 AM,06:01 PM,12,24,24,24,11,3,46,0.0,1012,29,10,289,8
2020-01-14,30,19,0.0,11.5,7,7,69,09:47 PM,09:49 AM,06:51 AM,06:02 PM,11,24,24,24,19,4,47,0.0,1012,30,10,142,12
2020-01-15,28,18,0.0,11.5,6,6,61,10:46 PM,10:34 AM,06:51 AM,06:02 PM,12,22,22,22,26,4,56,0.0,1012,28,10,132,17
2020-01-16,27,17,0.0,11.5,6,6,54,11:44 PM,11:18 AM,06:51 AM,06:03 PM,12,22,22,22,23,4,56,0.0,1012,27,10,179,15
2020-01-17,27,18,0.0,11.5,6,6,47,No moonrise,12:00 PM,06:51 AM,06:04 PM,14,23,23,23,18,16,59,0.0,1013,27,10,181,12
2020-01-18,28,19,0.0,11.5,6,6,40,12:41 AM,12:42 PM,06:51 AM,06:04 PM,16,23,23,23,21,35,67,0.2,1013,28,10,137,15
2020-01-19,27,19,0.0,5.8,5,5,32,01:38 AM,01:27 PM,06:52 AM,06:05 PM,16,24,24,23,17,49,64,1.0,1013,27,10,165,11
2020-01-20,29,19,0.0,11.5,7,7,25,02:35 AM,02:13 PM,06:52 AM,06:05 PM,15,25,25,24,17,20,60,0.0,1014,29,10,149,11
2020-01-21,29,20,0.0,11.5,7,7,18,03:34 AM,03:02 PM,06:52 AM,06:06 PM,14,25,25,24,25,14,56,0.0,1015,29,10,126,17
2020-01-22,29,19,0.0,11.6,6,6,11,04:31 AM,03:54 PM,06:51 AM,06:07 PM,13,24,24,23,23,8,56,0.0,1016,29,10,121,16
2020-01-23,30,19,0.0,11.6,7,7,3,05:27 AM,04:47 PM,06:51 AM,06:07 PM,11,25,25,25,18,3,48,0.0,1015,30,10,88,12
2020-01-24,30,21,0.0,11.6,7,7,0,06:19 AM,05:42 PM,06:51 AM,06:08 PM,11,26,26,25,14,3,43,0.0,1014,30,10,83,10
2020-01-25,31,21,0.0,11.6,7,7,0,07:09 AM,06:36 PM,06:51 AM,06:08 PM,12,26,26,26,10,4,43,0.0,1013,31,10,51,7
2020-01-26,32,21,0.0,11.6,7,7,4,07:54 AM,07:29 PM,06:51 AM,06:09 PM,11,26,26,26,14,5,41,0.0,1012,32,10,215,9
2020-01-27,32,22,0.0,11.6,7,7,11,08:35 AM,08:19 PM,06:51 AM,06:09 PM,12,27,27,26,20,8,42,0.0,1011,32,10,191,13
2020-01-28,31,21,0.0,11.6,7,7,18,09:13 AM,09:08 PM,06:51 AM,06:10 PM,12,26,26,26,21,19,45,0.0,1011,31,10,237,14
2020-01-29,31,22,0.0,11.6,7,7,26,09:49 AM,09:55 PM,06:51 AM,06:11 PM,11,26,26,26,14,23,41,0.0,1013,31,10,244,10
2020-01-30,31,20,0.0,11.6,7,7,33,10:23 AM,10:42 PM,06:50 AM,06:11 PM,11,25,25,25,16,8,44,0.0,1013,31,10,204,11
2020-01-31,31,20,0.0,11.6,7,7,37,10:58 AM,11:29 PM,06:50 AM,06:12 PM,12,25,25,25,20,12,46,0.0,1011,31,10,184,14
2020-02-01,30,20,0.0,11.6,7,7,49,11:33 AM,No moonset,06:50 AM,06:12 PM,14,26,26,25,25,30,55,0.0,1011,30,10,184,18
2020-02-02,28,20,0.0,11.6,6,6,57,12:10 PM,12:17 AM,06:50 AM,06:13 PM,15,24,24,23,20,23,62,0.0,1014,28,10,149,14
2020-02-03,29,20,0.0,11.6,7,7,64,12:50 PM,01:08 AM,06:50 AM,06:13 PM,14,25,25,24,19,17,53,0.0,1014,29,10,179,13
2020-02-04,30,20,0.0,11.6,7,7,72,01:35 PM,02:00 AM,06:49 AM,06:14 PM,13,25,25,25,23,12,49,0.0,1013,30,10,180,16
2020-02-05,30,20,0.0,11.6,7,7,79,02:24 PM,02:56 AM,06:49 AM,06:14 PM,13,25,25,25,16,23,49,0.0,1012,30,10,213,11
2020-02-06,31,21,0.0,11.6,7,7,87,03:19 PM,03:54 AM,06:49 AM,06:15 PM,11,26,26,26,22,20,43,0.0,1011,31,10,198,16
2020-02-07,30,20,0.0,10.2,6,6,95,04:19 PM,04:53 AM,06:48 AM,06:15 PM,13,26,26,25,21,30,50,0.0,1012,30,10,213,16
2020-02-08,30,20,0.0,11.6,7,7,100,05:23 PM,05:51 AM,06:48 AM,06:16 PM,15,25,25,24,23,54,58,0.3,1013,30,10,180,16
2020-02-09,26,19,0.0,8.7,5,5,100,06:27 PM,06:46 AM,06:47 AM,06:16 PM,17,23,23,22,28,72,72,20.2,1015,26,9,96,18
2020-02-10,28,19,0.0,8.7,5,5,83,07:31 PM,07:39 AM,06:47 AM,06:17 PM,16,24,24,23,21,59,67,0.3,1015,28,10,127,16
2020-02-11,28,20,0.0,10.2,5,5,75,08:33 PM,08:27 AM,06:47 AM,06:17 PM,17,24,24,23,24,52,69,1.2,1016,28,10,115,19
2020-02-12,27,20,0.0,5.9,5,5,68,09:34 PM,09:13 AM,06:46 AM,06:17 PM,17,24,24,23,17,45,68,0.4,1017,27,10,83,13
2020-02-13,30,21,0.0,11.6,7,7,60,10:33 PM,09:57 AM,06:46 AM,06:18 PM,10,25,25,25,17,4,45,0.0,1015,30,10,37,12
2020-02-14,32,22,0.0,11.6,7,7,53,11:33 PM,10:40 AM,06:45 AM,06:18 PM,6,26,26,27,15,0,28,0.0,1013,32,10,20,10
2020-02-15,34,23,0.0,11.6,7,7,45,No moonrise,11:25 AM,06:45 AM,06:19 PM,8,27,27,28,12,1,29,0.0,1012,34,10,37,8
2020-02-16,33,23,0.0,11.6,7,7,38,12:31 AM,12:11 PM,06:44 AM,06:19 PM,9,28,28,27,18,1,33,0.0,1013,33,10,77,12
2020-02-17,32,23,0.0,11.6,7,7,30,01:29 AM,12:59 PM,06:44 AM,06:19 PM,10,27,27,27,15,1,36,0.0,1014,32,10,62,11
2020-02-18,32,23,0.0,11.6,7,7,22,02:26 AM,01:50 PM,06:43 AM,06:20 PM,4,27,27,27,20,0,24,0.0,1014,32,10,50,13
2020-02-19,34,22,0.0,11.6,7,7,15,03:23 AM,02:43 PM,06:43 AM,06:20 PM,8,28,28,28,16,0,32,0.0,1013,34,10,102,11
2020-02-20,32,21,0.0,11.6,7,7,7,04:15 AM,03:37 PM,06:42 AM,06:21 PM,12,26,26,26,25,2,47,0.0,1013,32,10,124,17
2020-02-21,31,20,0.0,11.6,7,7,0,05:05 AM,04:30 PM,06:42 AM,06:21 PM,9,25,25,25,28,2,37,0.0,1015,31,10,117,19
2020-02-22,32,20,0.0,11.6,7,7,0,05:51 AM,05:22 PM,06:41 AM,06:21 PM,9,25,25,26,26,2,38,0.0,1016,32,10,99,17
2020-02-23,32,21,0.0,11.6,7,7,0,06:32 AM,06:13 PM,06:40 AM,06:22 PM,9,26,26,26,24,3,38,0.0,1014,32,10,125,16
2020-02-24,33,20,0.0,11.6,7,7,0,07:12 AM,07:02 PM,06:40 AM,06:22 PM,10,26,26,26,21,11,39,0.0,1012,33,10,203,14
2020-02-25,32,22,0.0,11.6,7,7,8,07:48 AM,07:50 PM,06:39 AM,06:22 PM,12,27,27,26,16,17,44,0.0,1010,32,10,193,11
2020-02-26,34,22,0.0,11.6,7,7,15,08:23 AM,08:37 PM,06:38 AM,06:23 PM,14,29,29,28,8,17,47,0.0,1011,34,10,172,6
2020-02-27,31,23,0.0,11.6,7,7,23,08:57 AM,09:25 PM,06:38 AM,06:23 PM,7,27,27,26,20,4,34,0.0,1012,31,10,59,14
2020-02-28,31,19,0.0,11.6,7,7,30,09:32 AM,10:12 PM,06:37 AM,06:23 PM,12,25,25,25,22,10,48,0.0,1011,31,10,90,15
2020-02-29,30,20,0.0,11.6,7,7,38,10:08 AM,11:01 PM,06:36 AM,06:24 PM,14,26,26,26,15,23,52,0.0,1011,30,10,126,11
2020-03-01,32,22,0.0,11.6,7,7,44,10:46 AM,11:51 PM,06:36 AM,06:24 PM,14,29,29,27,13,36,49,1.7,1011,32,10,245,9
2020-03-02,30,24,0.0,11.6,6,6,51,11:28 AM,No moonset,06:35 AM,06:24 PM,14,27,27,27,11,43,45,0.3,1011,30,10,199,8
2020-03-03,34,23,0.0,11.6,7,7,58,12:13 PM,12:44 AM,06:34 AM,06:24 PM,11,28,28,28,18,10,36,0.0,1010,34,10,235,12
