date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,3,-4,0.0,8.7,2,2,37,11:17 AM,10:44 PM,07:20 AM,04:59 PM,-16,-3,-1,-3,10,8,30,0.0,1032,3,10,151,6
2020-01-02,5,-0,0.0,8.7,2,2,44,11:44 AM,11:40 PM,07:20 AM,04:59 PM,-11,0,2,0,9,8,40,0.0,1031,5,10,302,6
2020-01-03,6,-0,0.0,8.7,2,2,51,12:10 PM,No moonset,07:20 AM,05:00 PM,-10,2,3,2,7,6,39,0.0,1029,6,10,282,4
2020-01-04,8,1,0.0,7.0,2,2,59,12:36 PM,12:36 AM,07:20 AM,05:01 PM,-7,2,4,2,12,34,46,0.0,1028,8,10,230,7
2020-01-05,5,2,0.0,5.4,1,1,66,01:04 PM,01:33 AM,07:20 AM,05:02 PM,-0,1,3,1,16,79,77,0.4,1029,5,9,141,10
2020-01-06,5,4,0.0,3.7,1,1,73,01:34 PM,02:31 AM,07:20 AM,05:03 PM,3,2,4,2,15,100,92,1.3,1024,5,8,35,11
2020-01-07,3,-4,1.4,3.7,1,1,80,02:08 PM,03:32 AM,07:20 AM,05:04 PM,-2,-3,2,-3,29,100,79,4.0,1022,3,6,24,21
2020-01-08,4,-1,0.0,8.7,2,2,88,02:49 PM,04:34 AM,07:20 AM,05:05 PM,-9,-2,1,-2,15,10,48,0.0,1028,4,10,332,9
2020-01-09,5,0,0.0,8.7,2,2,95,03:37 PM,05:38 AM,07:20 AM,05:05 PM,-8,1,2,1,6,31,49,0.0,1028,5,10,201,4
2020-01-10,4,-0,0.0,8.7,2,2,100,04:33 PM,06:39 AM,07:20 AM,05:06 PM,-6,-1,1,-1,10,50,60,0.0,1026,4,10,299,6
2020-01-11,2,-1,0.0,3.7,1,1,100,05:37 PM,07:38 AM,07:20 AM,05:07 PM,-6,-3,-0,-3,14,80,65,0.0,1026,2,10,52,9
2020-01-12,2,-2,0.0,8.7,2,2,83,06:45 PM,08:30 AM,07:20 AM,05:08 PM,-6,-1,-0,-1,5,29,64,0.0,1025,2,10,311,3
2020-01-13,2,-3,0.0,7.0,1,1,76,07:57 PM,09:16 AM,07:20 AM,05:09 PM,-10,-4,-1,-4,13,37,53,0.0,1026,2,10,339,8
2020-01-14,1,-3,0.0,8.7,2,2,69,09:08 PM,09:56 AM,07:19 AM,05:10 PM,-11,-4,-1,-4,10,9,49,0.0,1030,1,10,220,6
2020-01-15,2,-2,0.0,8.7,2,2,61,10:18 PM,10:32 AM,07:19 AM,05:11 PM,-11,-1,-0,-1,4,26,48,0.0,1031,2,10,173,2
2020-01-16,3,-1,0.0,7.0,1,1,54,11:27 PM,11:05 AM,07:19 AM,05:12 PM,-10,-0,1,-0,4,84,47,0.0,1031,3,10,332,3
2020-01-17,3,-1,0.0,8.7,1,1,47,No moonrise,11:37 AM,07:18 AM,05:13 PM,-6,-1,1,-1,7,32,62,0.0,1028,3,10,287,5
2020-01-18,5,-1,0.0,8.7,1,1,40,12:34 AM,12:09 PM,07:18 AM,05:14 PM,-5,-2,1,-2,15,17,64,0.0,1024,5,10,236,10
2020-01-19,5,-1,0.0,8.7,2,2,32,01:42 AM,12:43 PM,07:18 AM,05:16 PM,-9,-2,1,-2,18,0,47,0.0,1022,5,10,280,11
2020-01-20,5,-1,0.0,8.7,2,2,25,02:48 AM,01:21 PM,07:17 AM,05:17 PM,-10,-2,1,-2,15,19,45,0.0,1027,5,10,45,10
2020-01-21,8,-1,0.0,8.7,1,1,18,03:54 AM,02:03 PM,07:17 AM,05:18 PM,-6,0,3,0,20,63,51,0.0,1026,8,10,173,12
2020-01-22,9,2,0.0,8.7,2,2,11,04:57 AM,02:50 PM,07:16 AM,05:19 PM,-1,4,5,4,9,45,66,0.0,1024,9,10,195,5
2020-01-23,9,2,0.0,8.7,3,3,3,05:55 AM,03:43 PM,07:16 AM,05:20 PM,-2,2,4,2,15,22,65,0.0,1028,9,10,238,10
2020-01-24,4,0,0.0,7.1,2,2,0,06:47 AM,04:39 PM,07:15 AM,05:21 PM,-7,-3,1,-3,21,32,54,0.0,1036,4,10,76,15
2020-01-25,6,-0,0.0,5.4,1,1,0,07:34 AM,05:38 PM,07:15 AM,05:22 PM,-7,1,2,1,7,39,51,0.0,1034,6,10,67,5
2020-01-26,5,0,0.0,3.8,1,1,4,08:13 AM,06:37 PM,07:14 AM,05:23 PM,-6,-1,2,-1,15,78,57,0.0,1031,5,10,51,11
2020-01-27,6,0,0.0,5.4,1,1,11,08:47 AM,07:36 PM,07:13 AM,05:24 PM,-6,-0,2,-0,13,75,58,0.0,1025,6,10,11,10
2020-01-28,5,1,0.0,3.8,1,1,18,09:18 AM,08:33 PM,07:13 AM,05:25 PM,-3,-0,2,-0,14,73,68,0.0,1024,5,10,118,10
2020-01-29,3,-1,0.1,3.8,1,1,26,09:45 AM,09:30 PM,07:12 AM,05:26 PM,-4,-2,1,-2,15,77,70,0.3,1025,3,9,124,11
2020-01-30,4,-2,0.0,8.7,2,2,33,10:11 AM,10:25 PM,07:11 AM,05:28 PM,-10,-2,1,-2,14,7,46,0.0,1025,4,10,11,10
2020-01-31,9,-0,0.0,8.7,3,3,37,10:37 AM,11:22 PM,07:10 AM,05:29 PM,-7,3,4,3,12,0,44,0.0,1024,9,10,232,7
2020-02-01,5,0,0.0,8.7,2,2,49,11:04 AM,No moonset,07:10 AM,05:30 PM,-6,-1,2,-1,20,34,55,0.0,1028,5,10,77,13
2020-02-02,3,-4,0.3,3.8,1,1,57,11:32 AM,12:18 AM,07:09 AM,05:31 PM,-3,-2,1,-2,13,73,76,1.0,1028,3,9,270,10
2020-02-03,4,-2,0.0,8.7,2,2,64,12:04 PM,01:17 AM,07:08 AM,05:32 PM,-11,-2,1,-2,17,0,43,0.0,1029,4,10,171,10
2020-02-04,1,-7,0.1,3.8,1,1,72,12:40 PM,02:17 AM,07:07 AM,05:33 PM,-7,-5,-1,-5,24,39,62,0.3,1029,1,9,54,16
2020-02-05,-2,-8,0.0,5.5,1,1,79,01:24 PM,03:19 AM,07:06 AM,05:34 PM,-11,-9,-4,-9,23,51,56,0.0,1036,-2,10,93,17
2020-02-06,2,-5,0.0,3.9,1,1,87,02:15 PM,04:20 AM,07:05 AM,05:35 PM,-9,-5,-1,-5,14,74,55,0.0,1034,2,10,137,10
2020-02-07,4,-1,0.0,3.9,1,1,95,03:15 PM,05:21 AM,07:04 AM,05:36 PM,-2,0,2,0,7,66,77,0.1,1031,4,10,265,5
2020-02-08,8,0,0.0,8.7,3,3,100,04:22 PM,06:16 AM,07:03 AM,05:37 PM,-4,1,3,1,12,7,64,0.0,1032,8,10,222,8
2020-02-09,12,1,0.0,8.7,3,3,100,05:34 PM,07:06 AM,07:02 AM,05:38 PM,-3,4,6,4,17,0,52,0.0,1025,12,10,262,11
2020-02-10,16,4,0.0,8.7,4,4,83,06:47 PM,07:50 AM,07:01 AM,05:40 PM,-5,9,10,9,13,0,37,0.0,1020,16,10,186,7
2020-02-11,15,6,0.0,7.1,3,3,75,08:01 PM,08:28 AM,07:00 AM,05:41 PM,1,9,10,9,21,52,55,0.0,1020,15,10,170,13
2020-02-12,16,7,0.0,8.7,4,4,68,09:13 PM,09:03 AM,06:59 AM,05:42 PM,3,10,11,10,13,18,60,0.0,1016,16,10,205,8
2020-02-13,19,8,0.0,8.7,4,4,60,10:23 PM,09:37 AM,06:58 AM,05:43 PM,4,11,13,11,22,0,57,0.0,1013,19,10,156,13
2020-02-14,7,-1,0.0,4.1,2,2,53,11:33 PM,10:10 AM,06:57 AM,05:44 PM,3,-0,5,-0,36,85,87,6.0,1019,7,9,49,25
2020-02-15,0,-3,10.6,5.6,1,1,45,No moonrise,10:44 AM,06:56 AM,05:45 PM,-10,-7,-1,-7,32,65,59,13.5,1028,0,7,326,23
2020-02-16,-1,-8,0.0,7.2,1,1,38,12:41 AM,11:21 AM,06:55 AM,05:46 PM,-12,-7,-3,-7,24,41,48,0.0,1028,-1,10,329,17
