date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,0,-8,2.3,2.7,1,1,37,11:39 AM,10:31 PM,08:19 AM,03:46 PM,-4,-8,-3,-8,25,100,96,2.7,1000,0,4,286,15
2020-01-02,-8,-15,2.4,2.7,1,1,44,11:53 AM,11:41 PM,08:19 AM,03:47 PM,-9,-16,-10,-16,29,84,95,2.8,1013,-8,6,219,16
2020-01-03,1,-7,0.3,2.7,1,1,51,12:07 PM,No moonset,08:19 AM,03:48 PM,-1,-5,-2,-5,26,100,95,0.3,1014,1,7,237,18
2020-01-04,-1,-9,0.1,2.7,1,1,59,12:21 PM,12:49 AM,08:18 AM,03:50 PM,-2,-7,-2,-7,37,99,91,0.1,1009,-1,8,226,27
2020-01-05,-2,-7,0.4,2.7,1,1,66,12:37 PM,01:59 AM,08:18 AM,03:51 PM,-4,-8,-3,-8,22,81,94,0.5,1011,-2,8,239,14
2020-01-06,-5,-8,0.0,2.8,1,1,73,12:55 PM,03:11 AM,08:18 AM,03:52 PM,-7,-8,-7,-8,7,88,96,0.0,1023,-5,2,191,3
2020-01-07,-8,-12,0.3,4.7,1,1,80,01:19 PM,04:25 AM,08:17 AM,03:54 PM,-10,-11,-10,-11,6,71,96,0.3,1028,-8,4,271,3
2020-01-08,-9,-13,0.0,7.4,1,1,88,01:49 PM,05:40 AM,08:17 AM,03:55 PM,-12,-16,-11,-16,19,36,94,0.0,1029,-9,6,189,10
2020-01-09,-6,-13,0.9,2.8,1,1,95,02:31 PM,06:53 AM,08:16 AM,03:56 PM,-8,-15,-8,-15,35,80,93,1.0,1020,-6,7,207,24
2020-01-10,-1,-6,1.2,2.8,1,1,100,03:27 PM,07:58 AM,08:15 AM,03:58 PM,-4,-9,-4,-9,20,98,95,1.4,1016,-1,6,255,13
2020-01-11,-3,-11,0.5,2.8,1,1,100,04:36 PM,08:51 AM,08:15 AM,03:59 PM,-5,-8,-5,-8,14,100,96,0.6,1016,-3,5,221,8
2020-01-12,-6,-10,0.0,6.8,1,1,83,05:57 PM,09:33 AM,08:14 AM,04:01 PM,-8,-10,-7,-10,18,56,93,0.0,1018,-6,7,257,10
2020-01-13,1,-5,0.8,3.0,1,1,76,07:23 PM,10:04 AM,08:13 AM,04:03 PM,-3,-8,-2,-8,36,95,91,1.0,1007,1,6,258,25
2020-01-14,-2,-4,0.2,4.9,1,1,69,08:50 PM,10:29 AM,08:12 AM,04:04 PM,-4,-8,-3,-8,27,88,93,0.2,1017,-2,9,266,16
2020-01-15,-2,-8,0.1,3.0,1,1,61,10:15 PM,10:49 AM,08:11 AM,04:06 PM,-5,-9,-4,-9,30,82,94,0.1,1027,-2,10,240,19
2020-01-16,2,0,0.0,3.0,1,1,54,11:40 PM,11:07 AM,08:10 AM,04:08 PM,-1,-6,1,-6,49,100,92,3.7,1021,2,9,244,32
2020-01-17,1,-1,0.3,3.0,1,1,47,No moonrise,11:25 AM,08:09 AM,04:09 PM,-0,-4,-0,-4,27,92,97,2.8,1022,1,6,296,15
2020-01-18,0,-2,0.0,3.0,1,1,40,01:03 AM,11:43 AM,08:08 AM,04:11 PM,-1,-5,-1,-5,21,91,97,0.0,1026,0,7,272,12
2020-01-19,-4,-12,0.3,3.0,1,1,32,02:25 AM,12:04 PM,08:07 AM,04:13 PM,-5,-10,-5,-10,31,96,96,0.3,1026,-4,10,267,16
2020-01-20,-2,-6,1.6,3.0,1,1,25,03:46 AM,12:29 PM,08:06 AM,04:15 PM,-3,-8,-3,-8,35,96,95,1.9,1023,-2,7,275,19
2020-01-21,-0,-5,1.8,3.0,1,1,18,05:03 AM,01:01 PM,08:05 AM,04:16 PM,-1,-6,-1,-6,31,100,96,2.3,1010,-0,5,243,21
2020-01-22,1,-4,0.7,4.9,1,1,11,06:13 AM,01:43 PM,08:03 AM,04:18 PM,-2,-6,-1,-6,32,85,93,5.0,994,1,8,281,21
2020-01-23,-4,-10,0.8,3.1,1,1,3,07:13 AM,02:35 PM,08:02 AM,04:20 PM,-7,-12,-6,-12,24,92,94,0.9,998,-4,7,317,15
2020-01-24,-10,-14,0.1,6.8,1,1,0,08:01 AM,03:37 PM,08:01 AM,04:22 PM,-11,-17,-10,-17,34,76,93,1.1,1008,-10,8,238,19
2020-01-25,1,-6,7.1,3.2,1,1,0,08:37 AM,04:44 PM,07:59 AM,04:24 PM,-3,-8,-2,-8,37,99,95,8.9,996,1,4,260,21
2020-01-26,-4,-6,5.5,3.3,1,1,4,09:05 AM,05:55 PM,07:58 AM,04:26 PM,-6,-12,-5,-12,43,94,89,7.9,1002,-4,5,306,26
2020-01-27,0,-13,0.0,5.1,1,1,11,09:26 AM,07:06 PM,07:56 AM,04:28 PM,-7,-10,-5,-10,34,63,90,2.4,1009,0,7,319,23
2020-01-28,-9,-17,0.8,3.3,1,1,18,09:44 AM,08:16 PM,07:55 AM,04:30 PM,-13,-16,-12,-16,19,91,92,0.9,1022,-9,7,136,11
2020-01-29,-3,-10,4.2,3.3,1,1,26,09:59 AM,09:26 PM,07:53 AM,04:32 PM,-7,-12,-6,-12,33,100,95,4.9,1017,-3,3,162,19
2020-01-30,1,-6,4.3,3.3,1,1,33,10:13 AM,10:34 PM,07:52 AM,04:34 PM,-3,-8,-2,-8,35,95,97,7.0,1009,1,5,157,19
2020-01-31,-1,-7,0.5,3.3,1,1,37,10:27 AM,11:43 PM,07:50 AM,04:36 PM,-4,-10,-3,-10,42,83,92,2.3,1004,-1,7,210,23
2020-02-01,-2,-6,0.3,3.3,1,1,49,10:41 AM,No moonset,07:48 AM,04:38 PM,-5,-8,-4,-8,17,95,96,0.4,1008,-2,6,201,9
2020-02-02,-2,-7,0.7,3.3,1,1,57,10:58 AM,12:53 AM,07:47 AM,04:40 PM,-3,-8,-3,-8,31,99,95,0.8,1005,-2,6,186,19
2020-02-03,2,0,0.3,3.4,1,1,64,11:19 AM,02:04 AM,07:45 AM,04:42 PM,1,-3,1,-3,30,100,99,6.2,988,2,7,235,20
2020-02-04,-1,-7,1.2,3.4,1,1,72,11:45 AM,03:18 AM,07:43 AM,04:44 PM,-3,-7,-2,-7,27,99,94,1.4,990,-1,7,263,18
2020-02-05,-5,-10,0.5,3.4,1,1,79,12:19 PM,04:30 AM,07:41 AM,04:46 PM,-8,-14,-7,-14,32,96,92,0.6,1001,-5,9,267,21
2020-02-06,-9,-16,0.1,6.9,1,1,87,01:08 PM,05:38 AM,07:39 AM,04:48 PM,-14,-20,-12,-20,35,71,91,0.1,1008,-9,9,211,18
2020-02-07,-10,-19,1.5,3.4,1,1,95,02:10 PM,06:37 AM,07:38 AM,04:50 PM,-13,-20,-13,-20,26,88,94,1.8,1002,-10,4,337,15
