date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,27,17,0.0,11.1,6,6,37,11:33 AM,11:32 PM,07:05 AM,06:10 PM,11,22,22,22,13,4,55,0.0,1014,27,10,213,9
2020-01-02,27,16,0.0,11.1,6,6,44,12:08 PM,No moonset,07:05 AM,06:11 PM,13,21,21,21,12,4,62,0.0,1015,27,10,222,8
2020-01-03,27,17,0.0,11.1,6,6,51,12:42 PM,12:18 AM,07:05 AM,06:11 PM,12,21,21,21,11,5,58,0.0,1015,27,10,258,7
2020-01-04,27,16,0.0,11.1,6,6,59,01:17 PM,01:06 AM,07:06 AM,06:12 PM,11,22,22,22,8,2,56,0.0,1013,27,10,178,5
2020-01-05,26,16,0.0,11.1,6,6,66,01:54 PM,01:54 AM,07:06 AM,06:12 PM,13,21,22,21,12,10,61,0.0,1013,26,10,105,8
2020-01-06,26,16,0.0,8.6,5,5,73,02:32 PM,02:44 AM,07:06 AM,06:13 PM,15,21,22,21,10,41,69,0.0,1015,26,10,142,7
2020-01-07,29,18,0.0,11.1,6,6,80,03:16 PM,03:37 AM,07:07 AM,06:14 PM,16,24,24,24,10,21,68,0.0,1013,29,10,176,7
2020-01-08,27,19,0.0,8.6,5,5,88,04:03 PM,04:32 AM,07:07 AM,06:14 PM,16,24,24,23,12,36,66,0.3,1013,27,10,257,9
2020-01-09,27,18,0.0,11.1,6,6,95,04:57 PM,05:30 AM,07:07 AM,06:15 PM,14,22,22,21,8,9,64,0.0,1013,27,10,160,6
2020-01-10,26,17,0.0,11.1,6,6,100,05:55 PM,06:29 AM,07:07 AM,06:15 PM,13,21,22,21,11,22,62,0.0,1013,26,10,113,8
2020-01-11,27,16,0.0,10.1,5,5,100,06:56 PM,07:28 AM,07:07 AM,06:16 PM,14,22,22,22,9,36,64,0.0,1014,27,10,98,7
2020-01-12,28,18,0.0,11.1,6,6,83,08:00 PM,08:24 AM,07:08 AM,06:17 PM,13,24,24,23,9,8,60,0.0,1014,28,10,92,6
2020-01-13,28,17,0.0,11.1,6,6,76,09:03 PM,09:17 AM,07:08 AM,06:17 PM,13,23,23,23,11,8,62,0.0,1012,28,10,239,7
2020-01-14,28,17,0.0,11.1,6,6,69,10:04 PM,10:06 AM,07:08 AM,06:18 PM,15,22,22,22,9,9,66,0.0,1012,28,10,224,6
2020-01-15,28,16,0.0,11.1,6,6,61,11:03 PM,10:51 AM,07:08 AM,06:19 PM,14,22,22,21,13,10,68,0.0,1012,28,10,217,10
2020-01-16,25,13,0.0,11.1,5,5,54,No moonrise,11:35 AM,07:08 AM,06:19 PM,11,19,20,19,13,13,68,0.0,1013,25,10,237,9
2020-01-17,26,12,0.0,11.1,6,6,47,12:01 AM,12:17 PM,07:08 AM,06:20 PM,8,20,20,20,10,4,51,0.0,1013,26,10,168,7
2020-01-18,29,15,0.0,11.1,6,6,40,12:58 AM,12:59 PM,07:08 AM,06:20 PM,10,24,24,23,10,5,48,0.0,1013,29,10,170,6
2020-01-19,30,17,0.0,11.1,6,6,32,01:55 AM,01:43 PM,07:08 AM,06:21 PM,11,25,25,24,10,9,49,0.0,1013,30,10,168,6
2020-01-20,30,18,0.0,11.1,6,6,25,02:53 AM,02:29 PM,07:08 AM,06:22 PM,12,25,25,24,11,7,50,0.0,1013,30,10,157,7
2020-01-21,29,19,0.0,11.1,6,6,18,03:51 AM,03:19 PM,07:08 AM,06:22 PM,13,25,25,24,10,17,53,0.0,1014,29,10,186,7
2020-01-22,30,19,0.0,11.2,6,6,11,04:48 AM,04:10 PM,07:08 AM,06:23 PM,11,24,24,24,10,6,48,0.0,1015,30,10,128,7
2020-01-23,30,19,0.0,11.2,6,6,3,05:44 AM,05:05 PM,07:08 AM,06:23 PM,8,24,24,24,12,1,36,0.0,1014,30,10,89,8
2020-01-24,31,20,0.0,11.2,7,7,0,06:37 AM,05:59 PM,07:08 AM,06:24 PM,8,25,25,25,10,2,36,0.0,1014,31,10,84,7
2020-01-25,30,19,0.0,11.2,7,7,0,07:26 AM,06:53 PM,07:08 AM,06:25 PM,8,25,25,25,10,4,36,0.0,1013,30,10,46,7
2020-01-26,33,21,0.0,11.2,7,7,4,08:10 AM,07:45 PM,07:08 AM,06:25 PM,10,27,27,27,8,2,38,0.0,1012,33,10,162,5
2020-01-27,30,19,0.0,11.2,7,7,11,08:52 AM,08:35 PM,07:08 AM,06:26 PM,12,25,25,24,17,3,50,0.0,1012,30,10,235,12
2020-01-28,27,15,0.0,11.2,6,6,18,09:30 AM,09:25 PM,07:08 AM,06:26 PM,12,20,21,20,18,2,65,0.0,1013,27,10,250,13
2020-01-29,28,14,0.0,11.2,6,6,26,10:06 AM,10:12 PM,07:07 AM,06:27 PM,12,22,22,21,12,5,62,0.0,1015,28,10,263,8
2020-01-30,29,15,0.0,11.2,6,6,33,10:40 AM,10:59 PM,07:07 AM,06:27 PM,8,23,23,23,10,0,42,0.0,1014,29,10,192,7
2020-01-31,29,18,0.0,11.2,6,6,37,11:15 AM,11:46 PM,07:07 AM,06:28 PM,9,23,23,23,11,0,46,0.0,1012,29,10,207,8
2020-02-01,29,17,0.0,11.2,6,6,49,11:50 AM,No moonset,07:07 AM,06:28 PM,9,22,22,22,12,0,48,0.0,1012,29,10,177,8
2020-02-02,29,17,0.0,11.2,6,6,57,12:27 PM,12:34 AM,07:06 AM,06:29 PM,9,23,23,23,12,2,48,0.0,1014,29,10,183,8
2020-02-03,30,18,0.0,11.2,6,6,64,01:07 PM,01:25 AM,07:06 AM,06:29 PM,12,23,23,23,12,11,55,0.0,1014,30,10,212,9
2020-02-04,29,18,0.0,11.2,6,6,72,01:52 PM,02:17 AM,07:06 AM,06:30 PM,13,23,23,23,12,14,56,0.0,1013,29,10,219,9
2020-02-05,29,17,0.0,11.2,6,6,79,02:41 PM,03:13 AM,07:06 AM,06:30 PM,11,23,23,23,13,6,49,0.0,1013,29,10,174,9
2020-02-06,29,18,0.0,11.3,6,6,87,03:36 PM,04:11 AM,07:05 AM,06:31 PM,9,23,23,23,15,2,47,0.0,1013,29,10,243,11
2020-02-07,27,14,0.0,11.3,6,6,95,04:36 PM,05:10 AM,07:05 AM,06:31 PM,6,21,21,21,13,0,43,0.0,1014,27,10,244,9
2020-02-08,28,15,0.0,11.3,6,6,100,05:40 PM,06:08 AM,07:05 AM,06:32 PM,8,23,23,22,13,4,48,0.0,1014,28,10,42,9
2020-02-09,29,16,0.0,11.3,6,6,100,06:44 PM,07:03 AM,07:04 AM,06:32 PM,12,23,23,22,18,21,55,0.0,1014,29,10,100,13
2020-02-10,30,18,0.0,8.6,5,5,83,07:48 PM,07:55 AM,07:04 AM,06:33 PM,14,23,23,23,13,49,62,0.1,1014,30,10,141,10
2020-02-11,29,19,0.0,11.3,6,6,75,08:50 PM,08:44 AM,07:03 AM,06:33 PM,13,24,24,24,13,18,53,0.0,1014,29,10,99,9
2020-02-12,29,19,0.0,10.1,6,6,68,09:51 PM,09:30 AM,07:03 AM,06:34 PM,13,25,25,24,14,20,54,0.1,1016,29,10,103,11
2020-02-13,31,18,0.0,11.3,7,7,60,10:51 PM,10:13 AM,07:02 AM,06:34 PM,12,26,26,25,11,9,49,0.0,1015,31,10,72,8
2020-02-14,31,19,0.0,11.3,7,7,53,11:50 PM,10:57 AM,07:02 AM,06:35 PM,11,26,26,26,10,4,43,0.0,1013,31,10,54,7
2020-02-15,34,20,0.0,11.3,7,7,45,No moonrise,11:42 AM,07:01 AM,06:35 PM,10,28,28,27,9,2,40,0.0,1013,34,10,97,5
2020-02-16,34,21,0.0,11.3,7,7,38,12:48 AM,12:28 PM,07:01 AM,06:35 PM,8,28,28,28,12,1,35,0.0,1013,34,10,145,8
2020-02-17,32,22,0.0,11.4,7,7,30,01:46 AM,01:16 PM,07:00 AM,06:36 PM,9,28,28,27,12,3,35,0.0,1014,32,10,98,9
2020-02-18,33,21,0.0,11.4,7,7,22,02:44 AM,02:07 PM,07:00 AM,06:36 PM,8,27,27,27,12,1,33,0.0,1014,33,10,74,8
2020-02-19,35,21,0.0,11.6,7,7,15,03:40 AM,03:00 PM,06:59 AM,06:37 PM,9,28,28,28,8,1,36,0.0,1013,35,10,126,5
