date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,18,13,0.0,4.0,4,4,37,11:10 AM,10:59 PM,06:51 AM,05:29 PM,10,14,15,14,19,87,76,4.0,1020,18,10,93,12
2020-01-02,22,12,0.0,4.0,4,4,44,11:42 AM,11:49 PM,06:51 AM,05:30 PM,12,16,16,16,15,76,77,6.0,1020,22,10,140,10
2020-01-03,19,13,0.0,4.1,4,4,51,12:14 PM,No moonset,06:51 AM,05:31 PM,14,16,16,16,11,63,87,8.5,1017,19,9,299,8
2020-01-04,21,13,0.0,8.7,5,5,59,12:46 PM,12:39 AM,06:51 AM,05:31 PM,11,16,17,16,9,7,73,0.0,1017,21,10,228,6
2020-01-05,22,14,0.0,8.7,5,5,66,01:20 PM,01:30 AM,06:52 AM,05:32 PM,10,18,18,18,7,0,63,0.0,1018,22,10,329,6
2020-01-06,23,12,0.0,8.7,5,5,73,01:56 PM,02:23 AM,06:52 AM,05:33 PM,7,17,18,17,7,7,50,0.0,1019,23,10,180,4
2020-01-07,24,15,0.0,8.7,5,5,80,02:36 PM,03:18 AM,06:52 AM,05:34 PM,7,19,19,19,10,6,46,0.0,1016,24,10,117,6
2020-01-08,24,15,0.0,4.1,4,4,88,03:23 PM,04:15 AM,06:52 AM,05:34 PM,11,18,18,18,12,67,68,10.3,1013,24,9,134,7
2020-01-09,19,12,0.0,7.2,5,5,95,04:14 PM,05:15 AM,06:52 AM,05:35 PM,10,15,15,15,16,34,74,0.8,1017,19,9,315,11
2020-01-10,18,11,0.0,8.7,4,4,100,05:12 PM,06:15 AM,06:52 AM,05:36 PM,5,14,14,14,9,0,57,0.0,1021,18,10,315,7
2020-01-11,20,10,0.0,8.7,5,5,100,06:14 PM,07:14 AM,06:53 AM,05:36 PM,3,15,15,15,6,0,48,0.0,1020,20,10,316,5
2020-01-12,23,11,0.0,8.7,5,5,83,07:20 PM,08:08 AM,06:53 AM,05:37 PM,3,17,17,17,5,1,40,0.0,1017,23,10,300,4
2020-01-13,28,15,0.0,8.7,6,6,76,08:25 PM,08:59 AM,06:53 AM,05:38 PM,4,20,20,20,9,0,37,0.0,1013,28,10,135,6
2020-01-14,26,15,0.0,8.7,6,6,69,09:29 PM,09:45 AM,06:53 AM,05:39 PM,8,19,20,19,10,18,49,0.0,1014,26,10,203,6
2020-01-15,24,17,0.0,8.7,5,5,61,10:32 PM,10:27 AM,06:53 AM,05:39 PM,10,19,19,19,15,37,57,0.0,1015,24,10,65,10
2020-01-16,23,15,0.0,5.6,4,4,54,11:33 PM,11:07 AM,06:53 AM,05:40 PM,11,17,18,17,16,50,68,1.6,1014,23,10,71,10
