date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,21,10,0.0,8.7,5,5,37,11:16 AM,11:01 PM,07:01 AM,05:26 PM,2,14,15,14,14,16,44,0.0,1020,21,10,122,8
2020-01-02,22,13,0.0,7.1,4,4,44,11:47 AM,11:52 PM,07:02 AM,05:27 PM,8,17,17,17,17,50,58,0.5,1020,22,10,72,10
2020-01-03,19,13,0.0,3.8,4,4,51,12:17 PM,No moonset,07:02 AM,05:28 PM,12,15,16,15,15,70,82,4.5,1017,19,10,96,9
2020-01-04,21,13,0.0,3.8,4,4,59,12:48 PM,12:44 AM,07:02 AM,05:28 PM,12,16,16,16,11,57,77,3.6,1015,21,10,208,7
2020-01-05,20,13,0.0,8.7,5,5,66,01:21 PM,01:36 AM,07:02 AM,05:29 PM,8,15,15,15,19,5,62,0.0,1015,20,10,297,12
2020-01-06,21,11,0.0,8.7,5,5,73,01:56 PM,02:30 AM,07:02 AM,05:30 PM,6,15,16,15,21,37,54,0.0,1017,21,10,296,12
2020-01-07,20,14,0.0,8.7,5,5,80,02:35 PM,03:27 AM,07:03 AM,05:30 PM,10,16,16,16,13,38,68,0.0,1016,20,10,134,8
2020-01-08,19,12,0.0,7.1,4,4,88,03:20 PM,04:25 AM,07:03 AM,05:31 PM,11,15,15,15,17,61,77,2.2,1015,19,10,117,11
2020-01-09,18,12,0.0,7.1,4,4,95,04:10 PM,05:26 AM,07:03 AM,05:32 PM,9,13,14,13,18,44,74,1.5,1017,18,10,319,12
2020-01-10,20,10,0.0,8.7,4,4,100,05:08 PM,06:26 AM,07:03 AM,05:33 PM,7,13,14,13,18,1,66,0.0,1017,20,10,276,12
2020-01-11,20,9,0.0,8.7,4,4,100,06:11 PM,07:25 AM,07:03 AM,05:34 PM,7,13,14,13,13,11,66,0.0,1017,20,10,273,8
2020-01-12,21,11,0.0,8.7,5,5,83,07:17 PM,08:19 AM,07:03 AM,05:34 PM,8,16,16,16,11,4,60,0.0,1015,21,10,282,8
2020-01-13,23,15,0.0,8.7,5,5,76,08:24 PM,09:08 AM,07:03 AM,05:35 PM,7,17,17,17,11,17,53,0.3,1012,23,10,128,7
2020-01-14,19,15,0.0,5.5,4,4,69,09:30 PM,09:53 AM,07:03 AM,05:36 PM,11,16,16,16,10,46,70,0.6,1014,19,10,227,6
2020-01-15,22,14,0.0,8.7,5,5,61,10:34 PM,10:33 AM,07:03 AM,05:37 PM,12,17,18,17,10,37,70,0.0,1014,22,10,304,6
2020-01-16,16,12,0.0,3.9,4,4,54,11:38 PM,11:12 AM,07:03 AM,05:37 PM,14,15,15,15,15,97,92,30.0,1014,16,8,107,10
2020-01-17,19,14,0.0,3.9,4,4,47,No moonrise,11:49 AM,07:03 AM,05:38 PM,14,16,16,16,14,80,89,27.5,1016,19,8,161,8
2020-01-18,20,11,0.0,5.5,4,4,40,12:39 AM,12:26 PM,07:02 AM,05:39 PM,13,15,16,15,8,62,83,1.5,1017,20,10,213,5
2020-01-19,19,12,0.0,8.7,5,5,32,01:42 AM,01:06 PM,07:02 AM,05:40 PM,10,15,15,15,17,2,75,0.0,1016,19,10,291,12
2020-01-20,20,10,0.0,8.7,5,5,25,02:43 AM,01:48 PM,07:02 AM,05:41 PM,9,14,14,14,15,17,71,0.0,1016,20,10,277,9
2020-01-21,21,12,0.0,8.7,5,5,18,03:45 AM,02:34 PM,07:02 AM,05:42 PM,8,17,16,17,6,14,58,0.0,1018,21,10,204,4
2020-01-22,22,12,0.0,8.7,5,5,11,04:44 AM,03:25 PM,07:02 AM,05:42 PM,8,15,16,15,16,2,60,0.0,1017,22,10,289,10
2020-01-23,19,11,0.0,8.7,4,4,3,05:41 AM,04:18 PM,07:01 AM,05:43 PM,7,12,14,12,29,0,66,0.0,1014,19,10,285,18
2020-01-24,19,9,0.0,8.7,4,4,0,06:33 AM,05:14 PM,07:01 AM,05:44 PM,7,13,14,13,23,0,64,0.0,1013,19,10,277,15
2020-01-25,20,12,0.0,8.7,5,5,0,07:21 AM,06:10 PM,07:01 AM,05:45 PM,9,16,16,16,9,3,65,0.0,1014,20,10,264,6
2020-01-26,21,11,0.0,8.7,5,5,4,08:03 AM,07:05 PM,07:00 AM,05:46 PM,10,16,16,16,14,5,67,0.0,1012,21,10,277,9
2020-01-27,23,13,0.0,8.7,5,5,11,08:40 AM,08:00 PM,07:00 AM,05:46 PM,11,17,17,17,13,17,66,0.0,1011,23,10,299,8
2020-01-28,22,14,0.0,7.1,4,4,18,09:15 AM,08:52 PM,07:00 AM,05:47 PM,12,17,17,17,17,66,71,1.3,1010,22,10,97,10
2020-01-29,20,13,0.0,4.1,4,4,26,09:47 AM,09:44 PM,06:59 AM,05:48 PM,13,16,16,16,19,60,82,14.3,1015,20,8,45,11
2020-01-30,19,11,0.0,8.7,5,5,33,10:17 AM,10:35 PM,06:59 AM,05:49 PM,10,14,15,14,22,4,75,0.0,1014,19,10,288,14
2020-01-31,19,10,0.0,8.7,5,5,37,10:48 AM,11:27 PM,06:58 AM,05:50 PM,9,14,15,14,17,0,69,0.0,1013,19,10,284,13
2020-02-01,20,12,0.0,8.7,5,5,49,11:19 AM,No moonset,06:58 AM,05:50 PM,8,15,15,15,16,2,63,0.0,1016,20,10,295,11
2020-02-02,20,11,0.0,8.7,5,5,57,11:52 AM,12:19 AM,06:57 AM,05:51 PM,8,14,14,14,18,0,65,0.0,1017,20,10,289,12
2020-02-03,21,11,0.0,8.7,5,5,64,12:28 PM,01:13 AM,06:57 AM,05:52 PM,9,15,16,15,13,0,67,0.0,1016,21,10,285,9
2020-02-04,24,12,0.0,8.7,5,5,72,01:09 PM,02:09 AM,06:56 AM,05:53 PM,9,17,17,17,8,1,59,0.0,1015,24,10,225,5
2020-02-05,20,11,0.0,8.7,5,5,79,01:56 PM,03:08 AM,06:55 AM,05:54 PM,7,14,15,14,22,5,62,0.0,1014,20,10,293,13
2020-02-06,21,11,0.0,8.7,5,5,87,02:50 PM,04:08 AM,06:55 AM,05:54 PM,8,15,16,15,12,0,60,0.0,1014,21,10,298,9
2020-02-07,21,12,0.0,8.7,5,5,95,03:50 PM,05:07 AM,06:54 AM,05:55 PM,7,16,16,16,11,1,58,0.0,1016,21,10,303,7
2020-02-08,22,11,0.0,8.7,5,5,100,04:55 PM,06:04 AM,06:54 AM,05:56 PM,9,15,16,15,14,1,65,0.0,1018,22,10,302,10
2020-02-09,24,13,0.0,8.7,5,5,100,06:04 PM,06:56 AM,06:53 AM,05:57 PM,11,18,18,18,8,0,67,0.0,1019,24,10,295,6
2020-02-10,23,10,0.0,8.7,5,5,83,07:12 PM,07:44 AM,06:52 AM,05:57 PM,8,16,16,16,13,7,60,0.0,1017,23,10,275,9
2020-02-11,21,12,0.0,8.7,5,5,75,08:20 PM,08:27 AM,06:51 AM,05:58 PM,8,16,17,16,13,3,58,0.0,1017,21,10,281,9
2020-02-12,23,12,0.0,8.7,5,5,68,09:26 PM,09:08 AM,06:51 AM,05:59 PM,11,17,18,17,17,0,66,0.0,1016,23,10,277,12
2020-02-13,25,14,0.0,8.7,5,5,60,10:30 PM,09:47 AM,06:50 AM,05:59 PM,13,19,20,19,27,0,67,0.0,1011,25,10,289,17
2020-02-14,25,15,0.0,11.5,6,6,53,11:35 PM,10:25 AM,06:49 AM,06:00 PM,9,19,19,19,36,1,55,0.0,1008,25,10,283,21
2020-02-15,23,13,0.0,11.5,5,5,45,No moonrise,11:06 AM,06:48 AM,06:01 PM,9,18,19,18,21,0,57,0.0,1010,23,10,285,14
2020-02-16,26,15,0.0,11.5,6,6,38,12:37 AM,11:48 AM,06:48 AM,06:02 PM,13,21,21,21,9,0,62,0.0,1014,26,10,278,6
2020-02-17,25,16,0.0,11.6,6,6,30,01:40 AM,12:32 PM,06:47 AM,06:02 PM,11,20,20,20,16,0,58,0.0,1014,25,10,291,11
2020-02-18,24,13,0.0,11.6,5,5,22,02:39 AM,01:21 PM,06:46 AM,06:03 PM,7,19,19,19,19,0,48,0.0,1012,24,10,282,12
2020-02-19,26,13,0.0,11.6,6,6,15,03:37 AM,02:13 PM,06:45 AM,06:04 PM,7,19,20,19,12,30,46,0.0,1013,26,10,121,7
2020-02-20,27,16,0.0,11.6,6,6,7,04:29 AM,03:07 PM,06:44 AM,06:04 PM,11,20,21,20,25,14,56,0.2,1013,27,10,113,14
2020-02-21,25,16,0.0,7.3,5,5,0,05:18 AM,04:03 PM,06:43 AM,06:05 PM,12,19,20,19,36,73,62,3.4,1016,25,10,111,22
2020-02-22,26,15,0.0,11.6,6,6,0,06:01 AM,04:58 PM,06:42 AM,06:06 PM,12,20,20,20,13,25,64,0.0,1017,26,10,85,8
