date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,19,8,0.0,8.7,4,4,37,11:28 AM,11:11 PM,07:15 AM,05:33 PM,-1,12,12,12,13,28,41,0.0,1021,19,10,114,7
2020-01-02,21,11,0.0,8.7,5,5,44,11:58 AM,No moonset,07:16 AM,05:34 PM,6,15,15,15,12,16,54,0.0,1021,21,10,75,7
2020-01-03,21,12,0.0,3.8,4,4,51,12:28 PM,12:03 AM,07:16 AM,05:35 PM,9,16,16,16,9,50,67,6.7,1018,21,9,159,5
2020-01-04,20,12,0.0,8.7,5,5,59,12:58 PM,12:55 AM,07:16 AM,05:35 PM,8,16,16,16,9,4,63,0.0,1017,20,10,299,6
2020-01-05,20,11,0.0,8.7,5,5,66,01:30 PM,01:48 AM,07:16 AM,05:36 PM,5,14,14,14,18,20,54,0.0,1017,20,10,306,11
2020-01-06,16,8,0.0,7.1,3,3,73,02:04 PM,02:43 AM,07:16 AM,05:37 PM,5,12,13,12,18,57,62,2.9,1019,16,10,105,11
2020-01-07,14,13,0.0,5.5,3,3,80,02:43 PM,03:40 AM,07:17 AM,05:37 PM,11,13,13,13,15,68,89,7.6,1017,14,9,116,9
2020-01-08,16,5,0.0,3.8,3,3,88,03:27 PM,04:39 AM,07:17 AM,05:38 PM,10,11,12,11,16,84,88,11.0,1015,16,8,181,10
2020-01-09,17,8,0.0,8.7,4,4,95,04:18 PM,05:40 AM,07:17 AM,05:39 PM,7,11,12,11,15,1,74,0.0,1019,17,10,306,10
2020-01-10,17,7,0.0,8.7,4,4,100,05:15 PM,06:41 AM,07:17 AM,05:40 PM,5,9,11,9,21,12,67,0.0,1018,17,10,305,13
2020-01-11,18,7,0.0,8.7,4,4,100,06:18 PM,07:39 AM,07:17 AM,05:41 PM,4,11,12,11,17,15,63,0.0,1018,18,10,294,10
2020-01-12,20,9,0.0,8.7,5,5,83,07:25 PM,08:33 AM,07:17 AM,05:41 PM,6,14,14,14,13,16,57,0.0,1015,20,10,288,8
2020-01-13,19,13,0.0,7.1,4,4,76,08:32 PM,09:22 AM,07:17 AM,05:42 PM,8,15,15,15,14,51,68,4.2,1012,19,8,130,8
2020-01-14,20,11,0.0,8.7,4,4,69,09:40 PM,10:05 AM,07:17 AM,05:43 PM,11,15,15,15,10,56,78,0.0,1015,20,9,287,7
2020-01-15,21,10,0.0,8.7,5,5,61,10:44 PM,10:45 AM,07:17 AM,05:44 PM,9,14,15,14,12,14,69,0.0,1015,21,10,257,8
2020-01-16,15,12,0.0,3.9,3,3,54,11:49 PM,11:22 AM,07:16 AM,05:45 PM,11,13,13,13,13,77,86,22.3,1015,15,8,110,7
2020-01-17,18,12,0.0,3.9,3,3,47,No moonrise,11:59 AM,07:16 AM,05:46 PM,12,14,14,14,10,79,86,17.7,1016,18,9,144,6
2020-01-18,19,11,0.0,8.7,3,3,40,12:51 AM,12:35 PM,07:16 AM,05:46 PM,10,14,14,14,10,31,78,0.1,1018,19,8,300,7
2020-01-19,19,10,0.0,8.7,4,4,32,01:54 AM,01:15 PM,07:16 AM,05:47 PM,9,13,13,13,14,2,78,0.0,1018,19,10,296,10
2020-01-20,19,8,0.0,7.1,3,3,25,02:57 AM,01:56 PM,07:16 AM,05:48 PM,8,12,13,12,15,36,72,0.0,1017,19,10,307,9
2020-01-21,20,12,0.0,8.7,5,5,18,03:59 AM,02:42 PM,07:15 AM,05:49 PM,7,15,15,15,6,17,61,0.0,1019,20,10,180,4
2020-01-22,20,11,0.0,8.7,5,5,11,04:59 AM,03:32 PM,07:15 AM,05:50 PM,8,14,14,14,17,3,67,0.0,1019,20,10,304,10
2020-01-23,18,8,0.0,8.7,4,4,3,05:56 AM,04:25 PM,07:15 AM,05:51 PM,4,10,12,10,30,0,62,0.0,1016,18,10,298,18
2020-01-24,19,8,0.0,8.7,4,4,0,06:48 AM,05:21 PM,07:14 AM,05:51 PM,4,11,13,11,26,0,57,0.0,1014,19,10,295,16
