date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,11,6,0.0,3.8,2,2,37,11:23 AM,11:02 PM,07:14 AM,05:17 PM,-2,6,8,6,18,81,55,11.2,1017,11,9,95,11
2020-01-02,10,5,0.0,3.8,2,2,44,11:52 AM,11:56 PM,07:14 AM,05:18 PM,3,7,8,7,11,73,74,10.5,1020,10,9,95,7
2020-01-03,12,6,0.0,5.4,2,2,51,12:20 PM,No moonset,07:15 AM,05:19 PM,4,9,9,9,5,46,70,0.2,1020,12,10,233,3
2020-01-04,11,6,0.0,7.1,2,2,59,12:49 PM,12:49 AM,07:15 AM,05:20 PM,4,8,8,8,8,50,75,0.2,1019,11,10,235,5
2020-01-05,8,3,0.0,3.8,2,2,66,01:20 PM,01:44 AM,07:15 AM,05:20 PM,6,6,8,6,6,87,87,21.5,1014,8,7,55,5
2020-01-06,11,7,0.0,3.8,2,2,73,01:53 PM,02:40 AM,07:15 AM,05:21 PM,6,7,9,7,16,91,86,20.5,1014,11,8,219,11
2020-01-07,8,4,0.0,8.7,3,3,80,02:30 PM,03:39 AM,07:15 AM,05:22 PM,-1,6,6,6,7,3,61,0.0,1021,8,10,255,4
2020-01-08,7,1,0.0,8.7,2,2,88,03:13 PM,04:39 AM,07:15 AM,05:23 PM,-9,2,4,2,16,0,41,0.0,1024,7,10,40,11
2020-01-09,8,1,0.0,8.7,3,3,95,04:04 PM,05:41 AM,07:15 AM,05:24 PM,-11,2,4,2,15,6,33,0.0,1022,8,10,39,8
2020-01-10,10,2,0.0,8.7,3,3,100,05:01 PM,06:42 AM,07:15 AM,05:24 PM,-10,4,6,4,18,9,31,0.0,1021,10,10,58,10
2020-01-11,7,0,0.0,5.4,2,2,100,06:05 PM,07:40 AM,07:15 AM,05:25 PM,-2,3,6,3,18,76,60,9.7,1018,7,8,78,13
2020-01-12,5,-1,9.0,3.8,1,1,83,07:13 PM,08:33 AM,07:15 AM,05:26 PM,2,1,4,1,19,94,88,46.6,1013,5,6,152,14
2020-01-13,0,-2,1.3,5.4,1,1,76,08:21 PM,09:20 AM,07:15 AM,05:27 PM,-2,-2,0,-2,10,76,84,1.7,1019,0,7,250,8
2020-01-14,3,-2,0.0,3.8,1,1,69,09:30 PM,10:02 AM,07:15 AM,05:28 PM,-4,-1,0,-1,7,53,72,0.0,1023,3,10,27,4
2020-01-15,6,-1,0.0,8.7,2,2,61,10:37 PM,10:40 AM,07:15 AM,05:29 PM,-6,1,2,1,8,4,56,0.0,1025,6,10,141,5
2020-01-16,6,-1,0.0,8.7,2,2,54,11:43 PM,11:16 AM,07:14 AM,05:30 PM,-8,1,2,1,10,16,49,0.0,1026,6,10,112,6
2020-01-17,5,0,0.0,8.7,2,2,47,No moonrise,11:50 AM,07:14 AM,05:31 PM,-6,2,2,2,4,2,53,0.0,1027,5,10,201,3
2020-01-18,5,-1,0.0,8.7,2,2,40,12:47 AM,12:25 PM,07:14 AM,05:32 PM,-8,-0,2,-0,10,6,48,0.0,1027,5,10,41,6
2020-01-19,8,1,0.0,8.7,3,3,32,01:52 AM,01:03 PM,07:14 AM,05:33 PM,-7,2,5,2,16,45,43,0.3,1022,8,9,40,10
2020-01-20,5,4,0.3,3.8,1,1,25,02:56 AM,01:43 PM,07:13 AM,05:33 PM,1,3,4,3,8,90,81,1.5,1020,5,7,158,6
2020-01-21,7,3,0.0,3.8,2,2,18,03:59 AM,02:28 PM,07:13 AM,05:34 PM,1,4,5,4,4,78,79,1.3,1023,7,10,278,3
2020-01-22,8,2,0.0,8.7,3,3,11,05:00 AM,03:17 PM,07:13 AM,05:35 PM,-1,3,5,3,15,14,66,0.0,1027,8,10,43,9
2020-01-23,9,3,0.0,8.7,2,2,3,05:57 AM,04:10 PM,07:12 AM,05:36 PM,-3,3,6,3,21,53,55,0.0,1025,9,10,53,14
2020-01-24,8,3,8.1,3.8,2,2,0,06:49 AM,05:07 PM,07:12 AM,05:37 PM,3,4,6,4,11,76,79,24.5,1020,8,7,135,8
2020-01-25,10,4,0.0,8.7,3,3,0,07:35 AM,06:04 PM,07:11 AM,05:38 PM,2,5,7,5,14,31,72,0.2,1020,10,10,33,9
2020-01-26,10,3,0.0,7.1,2,2,4,08:15 AM,07:02 PM,07:11 AM,05:39 PM,-1,3,6,3,21,40,61,1.5,1018,10,10,46,14
2020-01-27,8,4,0.0,8.7,3,3,11,08:51 AM,07:58 PM,07:10 AM,05:40 PM,-2,5,6,5,8,32,56,0.8,1018,8,10,230,6
2020-01-28,7,1,0.0,8.7,2,2,18,09:23 AM,08:53 PM,07:10 AM,05:41 PM,-7,2,4,2,13,3,46,0.0,1020,7,10,23,9
2020-01-29,6,0,0.0,8.7,2,2,26,09:53 AM,09:47 PM,07:09 AM,05:42 PM,-8,1,3,1,12,5,46,0.0,1024,6,10,32,8
2020-01-30,8,0,0.0,8.7,3,3,33,10:21 AM,10:40 PM,07:09 AM,05:43 PM,-11,1,4,1,16,11,35,0.0,1023,8,10,45,10
2020-01-31,8,1,0.0,8.7,3,3,37,10:49 AM,11:34 PM,07:08 AM,05:44 PM,-10,4,5,4,9,10,35,0.0,1021,8,10,323,5
2020-02-01,9,2,0.0,8.7,3,3,49,11:18 AM,No moonset,07:07 AM,05:45 PM,-9,3,5,3,18,0,37,0.0,1023,9,10,46,10
