date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,21,9,0.0,5.5,4,4,37,11:28 AM,11:16 PM,07:10 AM,05:44 PM,7,13,14,13,25,33,65,0.0,1019,21,10,85,16
2020-01-02,22,10,0.0,7.1,4,4,44,11:59 AM,No moonset,07:10 AM,05:44 PM,10,14,15,14,23,39,72,0.1,1020,22,10,50,15
2020-01-03,22,11,0.0,8.7,5,5,51,12:31 PM,12:06 AM,07:10 AM,05:45 PM,10,15,16,15,16,16,68,0.0,1018,22,10,2,9
2020-01-04,22,12,0.0,8.7,5,5,59,01:03 PM,12:57 AM,07:10 AM,05:46 PM,9,16,17,16,10,8,64,0.0,1017,22,10,251,6
2020-01-05,23,13,0.0,8.7,5,5,66,01:36 PM,01:48 AM,07:11 AM,05:46 PM,7,17,17,17,8,3,52,0.0,1018,23,10,297,5
2020-01-06,25,12,0.0,8.7,5,5,73,02:12 PM,02:41 AM,07:11 AM,05:47 PM,5,18,18,18,15,23,43,0.0,1018,25,10,235,9
2020-01-07,25,15,0.0,8.7,6,6,80,02:52 PM,03:37 AM,07:11 AM,05:48 PM,7,19,20,19,15,20,44,0.0,1014,25,10,222,9
2020-01-08,24,14,0.0,8.7,5,5,88,03:38 PM,04:34 AM,07:11 AM,05:49 PM,8,17,18,17,16,31,53,0.1,1013,24,10,302,10
2020-01-09,19,9,0.0,8.7,4,4,95,04:29 PM,05:35 AM,07:11 AM,05:49 PM,4,13,13,13,17,0,56,0.0,1019,19,10,241,10
2020-01-10,19,9,0.0,8.7,4,4,100,05:27 PM,06:34 AM,07:11 AM,05:50 PM,1,12,13,12,13,1,47,0.0,1021,19,10,243,8
2020-01-11,22,9,0.0,8.7,5,5,100,06:29 PM,07:33 AM,07:11 AM,05:51 PM,-0,14,14,14,12,6,39,0.0,1020,22,10,267,6
2020-01-12,25,11,0.0,8.7,5,5,83,07:35 PM,08:28 AM,07:11 AM,05:51 PM,-0,18,18,18,9,1,32,0.0,1017,25,10,156,5
2020-01-13,28,14,0.0,8.7,5,5,76,08:41 PM,09:18 AM,07:12 AM,05:52 PM,8,20,21,20,21,38,50,1.3,1011,28,10,235,14
2020-01-14,23,11,0.0,7.1,5,5,69,09:46 PM,10:03 AM,07:12 AM,05:53 PM,11,17,18,17,15,49,67,0.0,1014,23,10,206,10
2020-01-15,20,13,0.0,5.5,4,4,61,10:49 PM,10:45 AM,07:11 AM,05:54 PM,11,15,16,15,23,59,75,5.1,1015,20,10,77,15
2020-01-16,20,12,0.0,3.9,4,4,54,11:51 PM,11:25 AM,07:11 AM,05:54 PM,13,15,15,15,18,82,88,10.9,1014,20,10,64,12
2020-01-17,20,11,0.0,8.7,5,5,47,No moonrise,12:03 PM,07:11 AM,05:55 PM,10,15,16,15,10,21,72,0.0,1016,20,8,233,6
2020-01-18,21,12,0.0,8.7,5,5,40,12:51 AM,12:41 PM,07:11 AM,05:56 PM,8,15,16,15,15,7,62,0.0,1017,21,10,146,9
2020-01-19,21,12,0.0,8.7,5,5,32,01:52 AM,01:22 PM,07:11 AM,05:57 PM,7,16,17,16,14,3,55,0.0,1018,21,10,249,8
2020-01-20,22,11,0.0,8.7,5,5,25,02:53 AM,02:05 PM,07:11 AM,05:57 PM,5,15,16,15,14,30,50,0.0,1018,22,10,173,7
2020-01-21,25,12,0.0,7.1,5,5,18,03:54 AM,02:52 PM,07:11 AM,05:58 PM,6,18,19,18,18,43,49,0.0,1017,25,10,211,10
2020-01-22,23,12,0.0,8.7,5,5,11,04:53 AM,03:43 PM,07:11 AM,05:59 PM,5,16,16,16,21,0,50,0.0,1020,23,10,18,12
2020-01-23,21,11,0.0,10.9,5,5,3,05:50 AM,04:36 PM,07:10 AM,06:00 PM,4,16,16,16,12,0,45,0.0,1020,21,10,347,8
2020-01-24,22,11,0.0,10.9,5,5,0,06:42 AM,05:32 PM,07:10 AM,06:00 PM,1,17,17,17,8,0,37,0.0,1018,22,10,304,5
2020-01-25,24,13,0.0,10.9,5,5,0,07:30 AM,06:27 PM,07:10 AM,06:01 PM,1,18,18,18,8,1,32,0.0,1016,24,10,119,5
2020-01-26,26,14,0.0,10.9,6,6,4,08:12 AM,07:22 PM,07:10 AM,06:02 PM,2,19,20,19,10,6,33,0.0,1014,26,10,327,6
2020-01-27,28,15,0.0,10.9,6,6,11,08:51 AM,08:15 PM,07:09 AM,06:03 PM,6,21,21,21,15,10,41,0.0,1011,28,10,226,9
2020-01-28,24,16,0.0,10.9,6,6,18,09:26 AM,09:08 PM,07:09 AM,06:03 PM,8,19,20,19,18,31,48,0.0,1009,24,10,253,12
2020-01-29,22,13,0.0,11.0,5,5,26,09:59 AM,09:58 PM,07:09 AM,06:04 PM,5,17,18,17,13,10,45,0.0,1016,22,10,225,8
2020-01-30,22,11,0.0,11.0,5,5,33,10:30 AM,10:48 PM,07:08 AM,06:05 PM,1,16,16,16,16,4,38,0.0,1018,22,10,228,10
2020-01-31,23,11,0.0,11.0,5,5,37,11:01 AM,11:39 PM,07:08 AM,06:06 PM,2,16,17,16,14,2,39,0.0,1015,23,10,250,8
2020-02-01,23,12,0.0,11.0,5,5,49,11:34 AM,No moonset,07:07 AM,06:06 PM,2,16,17,16,13,4,38,0.0,1018,23,10,232,8
2020-02-02,22,11,0.0,11.0,5,5,57,12:07 PM,12:30 AM,07:07 AM,06:07 PM,2,16,17,16,13,0,38,0.0,1020,22,10,132,8
2020-02-03,26,11,0.0,11.0,5,5,64,12:45 PM,01:24 AM,07:06 AM,06:08 PM,1,17,18,17,16,0,36,0.0,1018,26,10,252,9
2020-02-04,26,12,0.0,11.0,5,5,72,01:27 PM,02:19 AM,07:06 AM,06:09 PM,5,18,19,18,20,18,43,0.0,1015,26,10,157,12
2020-02-05,25,13,0.0,11.0,5,5,79,02:14 PM,03:17 AM,07:05 AM,06:09 PM,5,18,18,18,17,6,43,0.0,1017,25,10,254,10
