date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,20,8,0.0,8.7,4,4,37,11:35 AM,11:21 PM,07:20 AM,05:46 PM,-0,12,13,12,22,11,41,0.0,1020,20,10,96,13
2020-01-02,20,11,0.0,8.7,5,5,44,12:06 PM,No moonset,07:20 AM,05:46 PM,6,14,15,14,23,21,56,0.0,1021,20,10,81,14
2020-01-03,20,11,0.0,8.7,5,5,51,12:37 PM,12:12 AM,07:21 AM,05:47 PM,6,15,15,15,17,11,54,0.0,1019,20,10,232,11
2020-01-04,21,11,0.0,8.7,5,5,59,01:08 PM,01:04 AM,07:21 AM,05:48 PM,4,16,16,16,12,4,47,0.0,1017,21,10,266,7
2020-01-05,23,12,0.0,8.7,5,5,66,01:41 PM,01:56 AM,07:21 AM,05:49 PM,3,16,16,16,14,9,43,0.0,1018,23,10,159,8
2020-01-06,22,13,0.0,8.7,5,5,73,02:15 PM,02:50 AM,07:21 AM,05:49 PM,5,16,17,16,21,33,45,0.0,1017,22,10,171,12
2020-01-07,21,12,0.0,8.7,5,5,80,02:55 PM,03:46 AM,07:21 AM,05:50 PM,8,15,16,15,20,21,60,0.0,1015,21,10,20,12
2020-01-08,19,11,0.0,8.7,4,4,88,03:40 PM,04:45 AM,07:21 AM,05:51 PM,7,14,14,14,18,31,65,0.2,1014,19,10,324,12
2020-01-09,17,10,0.0,8.7,4,4,95,04:31 PM,05:45 AM,07:22 AM,05:51 PM,4,12,13,12,12,1,59,0.0,1020,17,10,235,9
2020-01-10,19,8,0.0,8.7,4,4,100,05:29 PM,06:45 AM,07:22 AM,05:52 PM,-2,11,12,11,15,2,40,0.0,1021,19,10,8,10
2020-01-11,22,7,0.0,8.7,4,4,100,06:31 PM,07:44 AM,07:22 AM,05:53 PM,-6,13,14,13,15,13,27,0.0,1020,22,10,66,8
2020-01-12,25,10,0.0,8.7,5,5,83,07:38 PM,08:38 AM,07:22 AM,05:54 PM,-3,16,17,16,17,5,28,0.0,1016,25,10,164,10
2020-01-13,19,11,0.0,3.9,4,4,76,08:44 PM,09:28 AM,07:22 AM,05:55 PM,6,14,15,14,26,46,60,2.1,1011,19,10,258,16
2020-01-14,22,10,0.0,8.7,4,4,69,09:50 PM,10:12 AM,07:22 AM,05:55 PM,5,13,14,13,14,2,62,0.0,1016,22,10,144,9
2020-01-15,19,9,0.0,8.7,4,4,61,10:54 PM,10:52 AM,07:22 AM,05:56 PM,5,12,14,12,21,29,56,0.0,1016,19,10,36,12
2020-01-16,16,10,0.0,3.9,3,3,54,11:57 PM,11:31 AM,07:21 AM,05:57 PM,5,12,13,12,19,67,60,5.9,1015,16,10,26,12
2020-01-17,18,9,0.0,8.7,4,4,47,No moonrise,12:08 PM,07:21 AM,05:58 PM,-0,13,14,13,11,10,41,0.0,1017,18,10,321,7
2020-01-18,19,9,0.0,8.7,5,5,40,12:59 AM,12:46 PM,07:21 AM,05:58 PM,2,13,14,13,15,7,47,0.0,1018,19,10,254,10
2020-01-19,19,10,0.0,8.7,5,5,32,02:01 AM,01:26 PM,07:21 AM,05:59 PM,0,13,14,13,13,2,40,0.0,1019,19,10,343,8
2020-01-20,18,8,0.0,10.8,4,4,25,03:03 AM,02:08 PM,07:21 AM,06:00 PM,-1,13,14,13,10,30,37,0.0,1017,18,10,212,6
2020-01-21,22,12,0.0,10.8,5,5,18,04:04 AM,02:55 PM,07:21 AM,06:01 PM,3,15,16,15,18,6,44,0.0,1017,22,10,148,11
2020-01-22,20,11,0.0,10.8,5,5,11,05:04 AM,03:45 PM,07:20 AM,06:02 PM,4,15,15,15,18,2,51,0.0,1021,20,10,246,11
2020-01-23,19,11,0.0,10.8,5,5,3,06:00 AM,04:38 PM,07:20 AM,06:02 PM,2,14,14,14,18,0,45,0.0,1021,19,10,339,12
2020-01-24,20,10,0.0,10.8,5,5,0,06:53 AM,05:34 PM,07:20 AM,06:03 PM,-1,14,15,14,17,0,35,0.0,1018,20,10,316,11
2020-01-25,22,12,0.0,10.9,5,5,0,07:40 AM,06:30 PM,07:19 AM,06:04 PM,1,17,17,17,9,10,36,0.0,1016,22,10,323,5
2020-01-26,24,13,0.0,10.9,5,5,4,08:22 AM,07:26 PM,07:19 AM,06:05 PM,3,18,18,18,13,9,39,0.0,1014,24,10,298,8
2020-01-27,24,14,0.0,10.9,5,5,11,09:00 AM,08:19 PM,07:19 AM,06:06 PM,6,18,19,18,19,36,45,0.0,1011,24,10,166,11
2020-01-28,21,13,0.0,10.1,4,4,18,09:34 AM,09:12 PM,07:18 AM,06:06 PM,7,16,16,16,18,31,56,0.0,1010,21,10,246,13
2020-01-29,20,10,0.0,10.9,5,5,26,10:06 AM,10:04 PM,07:18 AM,06:07 PM,4,15,15,15,14,6,51,0.0,1017,20,10,309,9
2020-01-30,20,11,0.0,10.9,5,5,33,10:37 AM,10:55 PM,07:18 AM,06:08 PM,2,15,15,15,15,5,43,0.0,1019,20,10,333,9
2020-01-31,21,11,0.0,10.9,5,5,37,11:07 AM,11:46 PM,07:17 AM,06:09 PM,2,16,16,16,12,0,43,0.0,1016,21,10,251,8
2020-02-01,21,10,0.0,10.9,5,5,49,11:39 AM,No moonset,07:17 AM,06:10 PM,1,15,16,15,14,3,40,0.0,1018,21,10,332,9
2020-02-02,21,11,0.0,10.9,5,5,57,12:11 PM,12:38 AM,07:16 AM,06:10 PM,1,16,16,16,13,0,40,0.0,1021,21,10,328,9
2020-02-03,24,11,0.0,11.0,5,5,64,12:48 PM,01:33 AM,07:15 AM,06:11 PM,2,18,19,18,10,0,37,0.0,1018,24,10,221,6
2020-02-04,22,11,0.0,11.0,4,4,72,01:29 PM,02:29 AM,07:15 AM,06:12 PM,2,16,16,16,19,19,41,0.0,1016,22,10,219,11
2020-02-05,22,11,0.0,11.0,5,5,79,02:16 PM,03:28 AM,07:14 AM,06:13 PM,4,16,17,16,16,6,47,0.0,1018,22,10,297,9
2020-02-06,23,10,0.0,11.0,5,5,87,03:10 PM,04:27 AM,07:14 AM,06:13 PM,0,17,18,17,11,1,35,0.0,1016,23,10,218,6
2020-02-07,22,11,0.0,11.0,5,5,95,04:10 PM,05:26 AM,07:13 AM,06:14 PM,-1,15,16,15,19,0,35,0.0,1019,22,10,266,11
2020-02-08,23,11,0.0,11.0,5,5,100,05:16 PM,06:23 AM,07:12 AM,06:15 PM,-0,17,18,17,14,0,35,0.0,1022,23,10,233,8
2020-02-09,23,11,0.0,11.0,5,5,100,06:24 PM,07:16 AM,07:12 AM,06:16 PM,-1,16,17,16,11,24,32,0.0,1022,23,10,275,6
2020-02-10,24,10,0.0,11.1,5,5,83,07:33 PM,08:03 AM,07:11 AM,06:16 PM,-1,18,18,18,12,14,32,0.0,1019,24,10,175,6
2020-02-11,26,13,0.0,11.1,5,5,75,08:40 PM,08:47 AM,07:10 AM,06:17 PM,0,19,20,19,15,2,32,0.0,1019,26,10,162,9
2020-02-12,27,14,0.0,11.1,6,6,68,09:46 PM,09:28 AM,07:10 AM,06:18 PM,2,20,20,20,14,3,31,0.0,1019,27,10,341,8
2020-02-13,28,16,0.0,11.1,6,6,60,10:50 PM,10:07 AM,07:09 AM,06:19 PM,4,21,21,21,18,0,33,0.0,1017,28,10,318,11
2020-02-14,26,16,0.0,11.1,6,6,53,11:54 PM,10:45 AM,07:08 AM,06:19 PM,1,20,20,20,21,0,31,0.0,1015,26,10,323,14
2020-02-15,27,14,0.0,11.1,6,6,45,No moonrise,11:26 AM,07:07 AM,06:20 PM,-5,21,21,21,16,0,20,0.0,1015,27,10,322,11
2020-02-16,30,15,0.0,11.1,6,6,38,12:57 AM,12:07 PM,07:07 AM,06:21 PM,-4,23,23,23,11,0,18,0.0,1016,30,10,234,7
2020-02-17,29,16,0.0,11.2,6,6,30,01:59 AM,12:53 PM,07:06 AM,06:21 PM,-5,23,23,23,14,0,18,0.0,1018,29,10,327,9
