date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,17,6,0.0,7.1,4,4,37,11:38 AM,11:20 PM,07:25 AM,05:42 PM,-6,10,11,10,16,47,32,0.0,1021,17,10,88,9
2020-01-02,21,9,0.0,8.7,4,4,44,12:08 PM,No moonset,07:25 AM,05:43 PM,1,13,14,13,17,5,43,0.0,1022,21,10,49,9
2020-01-03,20,10,0.0,8.7,5,5,51,12:37 PM,12:12 AM,07:25 AM,05:43 PM,4,14,14,14,15,3,52,0.0,1019,20,10,319,8
2020-01-04,20,11,0.0,8.7,5,5,59,01:08 PM,01:05 AM,07:26 AM,05:44 PM,3,15,15,15,10,15,46,0.0,1017,20,10,218,6
2020-01-05,21,11,0.0,8.7,5,5,66,01:39 PM,01:58 AM,07:26 AM,05:45 PM,3,15,15,15,13,24,44,0.0,1018,21,10,153,8
2020-01-06,17,12,0.0,5.5,3,3,73,02:13 PM,02:52 AM,07:26 AM,05:46 PM,7,13,14,13,24,72,65,0.2,1019,17,10,62,16
2020-01-07,18,12,0.0,3.8,4,4,80,02:52 PM,03:50 AM,07:26 AM,05:46 PM,10,13,14,13,15,78,79,3.3,1017,18,6,249,11
2020-01-08,19,9,0.0,7.1,4,4,88,03:37 PM,04:49 AM,07:26 AM,05:47 PM,8,12,13,12,18,35,74,0.0,1015,19,7,330,11
2020-01-09,18,7,0.0,8.7,4,4,95,04:27 PM,05:50 AM,07:26 AM,05:48 PM,2,10,11,10,17,0,56,0.0,1020,18,10,333,10
2020-01-10,19,7,0.0,8.7,4,4,100,05:25 PM,06:51 AM,07:26 AM,05:49 PM,-3,11,12,11,18,14,39,0.0,1021,19,10,334,10
2020-01-11,20,8,0.0,8.7,4,4,100,06:28 PM,07:49 AM,07:26 AM,05:50 PM,-5,13,13,13,13,25,29,0.0,1020,20,10,319,7
2020-01-12,22,10,0.0,8.7,5,5,83,07:35 PM,08:42 AM,07:26 AM,05:50 PM,-4,15,15,15,11,17,28,0.0,1016,22,10,270,6
2020-01-13,16,10,0.0,3.8,3,3,76,08:42 PM,09:31 AM,07:26 AM,05:51 PM,4,13,14,13,19,45,58,6.0,1011,16,9,259,11
2020-01-14,18,9,0.0,8.7,4,4,69,09:49 PM,10:14 AM,07:26 AM,05:52 PM,6,12,12,12,13,2,67,0.0,1016,18,10,237,7
