date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,20,11,0.0,8.7,5,5,37,11:13 AM,10:58 PM,06:58 AM,05:24 PM,3,15,15,15,14,19,44,0.0,1020,20,10,139,8
2020-01-02,21,14,0.0,5.6,4,4,44,11:44 AM,11:49 PM,06:58 AM,05:24 PM,9,16,17,16,14,48,60,0.8,1019,21,10,57,8
2020-01-03,18,13,0.0,4.0,4,4,51,12:14 PM,No moonset,06:58 AM,05:25 PM,13,14,15,14,17,74,87,10.2,1017,18,10,99,11
2020-01-04,21,13,0.0,8.7,5,5,59,12:45 PM,12:40 AM,06:58 AM,05:26 PM,12,16,16,16,11,38,76,2.1,1015,21,10,206,7
2020-01-05,20,13,0.0,8.7,5,5,66,01:18 PM,01:33 AM,06:59 AM,05:27 PM,8,15,16,15,20,4,63,0.0,1015,20,10,292,13
2020-01-06,21,11,0.0,8.7,5,5,73,01:53 PM,02:26 AM,06:59 AM,05:27 PM,6,15,16,15,20,26,54,0.0,1017,21,10,299,12
2020-01-07,21,14,0.0,7.1,5,5,80,02:32 PM,03:23 AM,06:59 AM,05:28 PM,9,16,17,16,13,42,63,0.0,1016,21,10,249,8
2020-01-08,18,13,0.0,7.1,4,4,88,03:17 PM,04:21 AM,06:59 AM,05:29 PM,11,14,15,14,17,50,76,0.5,1014,18,9,110,10
2020-01-09,18,12,0.0,4.0,4,4,95,04:08 PM,05:22 AM,06:59 AM,05:30 PM,10,14,14,14,15,65,77,3.7,1016,18,10,313,10
2020-01-10,20,10,0.0,8.7,5,5,100,05:06 PM,06:22 AM,06:59 AM,05:30 PM,8,13,14,13,19,0,66,0.0,1017,20,10,271,13
2020-01-11,19,10,0.0,8.7,4,4,100,06:08 PM,07:21 AM,06:59 AM,05:31 PM,7,13,14,13,13,9,62,0.0,1017,19,10,264,9
2020-01-12,21,11,0.0,8.7,5,5,83,07:15 PM,08:15 AM,06:59 AM,05:32 PM,8,15,16,15,12,2,61,0.0,1014,21,10,281,9
2020-01-13,24,14,0.0,8.7,5,5,76,08:21 PM,09:04 AM,06:59 AM,05:33 PM,8,17,18,17,10,5,56,0.0,1012,24,10,129,7
2020-01-14,21,14,0.0,4.0,4,4,69,09:27 PM,09:49 AM,06:59 AM,05:33 PM,10,16,16,16,13,59,68,0.5,1014,21,10,243,8
2020-01-15,24,15,0.0,8.7,5,5,61,10:31 PM,10:30 AM,06:59 AM,05:34 PM,12,18,19,18,12,40,65,0.1,1014,24,10,252,7
2020-01-16,17,13,0.0,4.0,4,4,54,11:34 PM,11:08 AM,06:59 AM,05:35 PM,14,15,16,15,22,94,87,23.8,1014,17,8,110,14
2020-01-17,19,15,0.0,4.0,4,4,47,No moonrise,11:46 AM,06:59 AM,05:36 PM,14,16,16,16,13,71,90,14.7,1016,19,9,133,9
2020-01-18,21,13,0.0,5.6,4,4,40,12:36 AM,12:23 PM,06:59 AM,05:37 PM,13,16,17,16,8,41,80,0.3,1016,21,9,194,5
2020-01-19,19,12,0.0,8.7,5,5,32,01:38 AM,01:03 PM,06:59 AM,05:37 PM,11,15,15,15,18,3,76,0.0,1015,19,10,290,12
2020-01-20,20,10,0.0,8.7,5,5,25,02:39 AM,01:46 PM,06:58 AM,05:38 PM,8,14,14,14,17,16,68,0.0,1016,20,10,281,10
2020-01-21,20,11,0.0,8.7,5,5,18,03:41 AM,02:32 PM,06:58 AM,05:39 PM,7,15,16,15,6,18,56,0.0,1017,20,10,191,4
2020-01-22,22,13,0.0,8.7,5,5,11,04:40 AM,03:22 PM,06:58 AM,05:40 PM,8,16,16,16,16,1,58,0.0,1017,22,10,288,10
2020-01-23,20,10,0.0,8.7,4,4,3,05:37 AM,04:15 PM,06:58 AM,05:41 PM,7,13,14,13,30,0,66,0.0,1014,20,10,281,18
2020-01-24,19,9,0.0,8.7,4,4,0,06:29 AM,05:11 PM,06:57 AM,05:41 PM,7,13,14,13,21,0,64,0.0,1013,19,10,277,14
2020-01-25,21,13,0.0,8.7,5,5,0,07:17 AM,06:07 PM,06:57 AM,05:42 PM,10,17,17,17,8,1,66,0.0,1014,21,10,238,6
2020-01-26,21,12,0.0,8.7,5,5,4,07:59 AM,07:03 PM,06:57 AM,05:43 PM,10,16,16,16,14,5,68,0.0,1012,21,10,277,9
2020-01-27,23,13,0.0,8.7,5,5,11,08:37 AM,07:57 PM,06:56 AM,05:44 PM,10,17,17,17,14,10,65,0.0,1011,23,10,298,9
2020-01-28,23,14,0.0,8.7,4,4,18,09:12 AM,08:49 PM,06:56 AM,05:45 PM,12,17,17,17,19,48,70,0.4,1010,23,10,117,11
2020-01-29,22,14,0.0,7.2,4,4,26,09:44 AM,09:41 PM,06:56 AM,05:45 PM,13,17,17,17,18,69,79,8.9,1015,22,9,180,11
2020-01-30,20,12,0.0,8.7,5,5,33,10:14 AM,10:32 PM,06:55 AM,05:46 PM,9,14,15,14,25,11,70,0.0,1014,20,10,289,15
2020-01-31,20,10,0.0,8.7,5,5,37,10:44 AM,11:24 PM,06:55 AM,05:47 PM,9,14,15,14,19,0,68,0.0,1013,20,10,282,13
2020-02-01,20,12,0.0,8.7,5,5,49,11:16 AM,No moonset,06:54 AM,05:48 PM,8,15,15,15,18,2,61,0.0,1015,20,10,298,12
2020-02-02,20,10,0.0,8.7,5,5,57,11:49 AM,12:15 AM,06:54 AM,05:49 PM,7,14,15,14,20,0,63,0.0,1016,20,10,288,13
2020-02-03,21,11,0.0,8.7,5,5,64,12:25 PM,01:10 AM,06:53 AM,05:49 PM,8,15,16,15,15,0,64,0.0,1016,21,10,279,10
2020-02-04,24,13,0.0,8.7,5,5,72,01:07 PM,02:06 AM,06:52 AM,05:50 PM,8,17,18,17,8,0,57,0.0,1014,24,10,199,6
2020-02-05,21,12,0.0,8.7,5,5,79,01:54 PM,03:04 AM,06:52 AM,05:51 PM,8,15,15,15,21,5,61,0.0,1013,21,10,289,13
2020-02-06,21,11,0.0,8.7,5,5,87,02:47 PM,04:04 AM,06:51 AM,05:52 PM,7,15,16,15,13,1,59,0.0,1014,21,10,298,9
2020-02-07,21,13,0.0,8.7,5,5,95,03:48 PM,05:03 AM,06:51 AM,05:52 PM,7,16,17,16,12,0,55,0.0,1016,21,10,306,8
2020-02-08,21,11,0.0,8.7,5,5,100,04:53 PM,06:00 AM,06:50 AM,05:53 PM,8,15,16,15,14,1,61,0.0,1017,21,10,304,10
2020-02-09,24,13,0.0,8.7,5,5,100,06:01 PM,06:52 AM,06:49 AM,05:54 PM,10,18,18,18,11,0,64,0.0,1018,24,10,284,7
2020-02-10,23,10,0.0,8.7,5,5,83,07:09 PM,07:41 AM,06:49 AM,05:55 PM,8,16,17,16,16,5,58,0.0,1016,23,10,282,10
2020-02-11,22,12,0.0,8.7,5,5,75,08:17 PM,08:24 AM,06:48 AM,05:55 PM,7,17,17,17,14,2,55,0.0,1016,22,10,281,9
2020-02-12,23,13,0.0,8.7,5,5,68,09:23 PM,09:05 AM,06:47 AM,05:56 PM,10,17,19,17,16,0,63,0.0,1015,23,10,279,11
2020-02-13,25,14,0.0,8.7,6,6,60,10:27 PM,09:44 AM,06:46 AM,05:57 PM,13,19,20,19,22,0,67,0.0,1011,25,10,293,14
2020-02-14,26,15,0.0,8.7,6,6,53,11:31 PM,10:23 AM,06:46 AM,05:57 PM,10,19,19,19,34,0,56,0.0,1008,26,10,284,20
2020-02-15,23,13,0.0,8.7,5,5,45,No moonrise,11:03 AM,06:45 AM,05:58 PM,10,18,19,18,19,0,58,0.0,1010,23,10,283,12
2020-02-16,28,16,0.0,8.7,6,6,38,12:34 AM,11:45 AM,06:44 AM,05:59 PM,13,21,21,21,9,0,59,0.0,1014,28,10,234,6
2020-02-17,26,16,0.0,11.6,6,6,30,01:36 AM,12:30 PM,06:43 AM,06:00 PM,12,20,21,20,17,0,61,0.0,1014,26,10,284,11
2020-02-18,25,13,0.0,11.6,5,5,22,02:36 AM,01:19 PM,06:42 AM,06:00 PM,8,19,19,19,18,0,48,0.0,1012,25,10,282,12
2020-02-19,26,14,0.0,11.6,6,6,15,03:33 AM,02:10 PM,06:42 AM,06:01 PM,8,20,20,20,11,19,48,0.0,1013,26,10,119,7
2020-02-20,27,16,0.0,11.6,6,6,7,04:26 AM,03:05 PM,06:41 AM,06:02 PM,10,21,21,21,22,15,53,0.0,1013,27,10,117,13
2020-02-21,24,16,0.0,5.8,5,5,0,05:14 AM,04:00 PM,06:40 AM,06:02 PM,11,19,20,19,33,70,58,2.9,1016,24,10,111,20
