date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,22,14,0.0,8.7,4,4,37,10:56 AM,10:43 PM,06:40 AM,05:12 PM,7,17,17,17,9,40,52,0.0,1020,22,10,249,5
2020-01-02,25,14,0.0,8.7,6,6,44,11:29 AM,11:34 PM,06:40 AM,05:12 PM,10,19,19,19,11,29,60,0.2,1020,25,10,122,7
2020-01-03,19,12,0.0,4.0,4,4,51,11:59 AM,No moonset,06:40 AM,05:13 PM,14,16,17,16,15,80,84,9.3,1017,19,9,59,10
2020-01-04,22,14,0.0,7.1,4,4,59,12:31 PM,12:25 AM,06:41 AM,05:14 PM,12,17,18,17,13,46,72,0.3,1014,22,10,301,8
2020-01-05,21,14,0.0,8.7,5,5,66,01:04 PM,01:17 AM,06:41 AM,05:15 PM,11,17,17,17,20,2,67,0.0,1015,21,10,279,14
2020-01-06,22,13,0.0,8.7,5,5,73,01:40 PM,02:10 AM,06:41 AM,05:15 PM,8,17,17,17,15,3,57,0.0,1017,22,10,282,11
2020-01-07,22,14,0.0,8.7,5,5,80,02:19 PM,03:06 AM,06:41 AM,05:16 PM,8,18,18,18,7,14,54,0.0,1016,22,10,299,5
2020-01-08,22,14,0.0,8.7,5,5,88,03:05 PM,04:04 AM,06:41 AM,05:17 PM,9,18,18,18,12,45,56,0.6,1015,22,10,106,8
2020-01-09,21,14,0.0,5.6,4,4,95,03:56 PM,05:04 AM,06:41 AM,05:18 PM,14,17,17,17,18,71,84,4.2,1015,21,9,215,12
2020-01-10,20,12,0.0,8.7,5,5,100,04:53 PM,06:04 AM,06:41 AM,05:18 PM,12,15,16,15,17,22,78,0.0,1016,20,8,275,13
2020-01-11,20,12,0.0,8.7,5,5,100,05:56 PM,07:02 AM,06:42 AM,05:19 PM,8,16,16,16,15,1,62,0.0,1017,20,10,275,11
2020-01-12,21,12,0.0,8.7,5,5,83,07:02 PM,07:57 AM,06:42 AM,05:20 PM,9,16,17,16,14,0,61,0.0,1014,21,10,269,11
2020-01-13,25,14,0.0,8.7,5,5,76,08:08 PM,08:47 AM,06:42 AM,05:21 PM,11,19,20,19,5,0,61,0.0,1012,25,10,263,5
2020-01-14,26,15,0.0,8.7,6,6,69,09:13 PM,09:32 AM,06:42 AM,05:21 PM,10,19,19,19,8,3,55,0.0,1013,26,10,267,5
2020-01-15,25,16,0.0,8.7,6,6,61,10:16 PM,10:14 AM,06:42 AM,05:22 PM,11,19,19,19,10,17,59,0.0,1014,25,10,277,6
2020-01-16,25,13,0.0,8.7,6,6,54,11:19 PM,10:53 AM,06:41 AM,05:23 PM,13,19,19,19,16,28,67,0.0,1014,25,10,150,10
2020-01-17,26,15,0.0,8.7,6,6,47,No moonrise,11:31 AM,06:41 AM,05:24 PM,13,20,20,20,23,37,66,0.4,1015,26,10,189,14
2020-01-18,24,17,0.0,7.2,5,5,40,12:20 AM,12:09 PM,06:41 AM,05:24 PM,14,20,20,20,14,51,70,4.1,1015,24,10,316,9
