date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,18,7,0.0,5.4,3,3,37,11:29 AM,11:12 PM,07:16 AM,05:35 PM,-1,11,12,11,16,35,42,0.0,1020,18,10,101,9
2020-01-02,21,10,0.0,8.7,5,5,44,11:59 AM,No moonset,07:16 AM,05:36 PM,5,14,14,14,12,20,54,0.0,1021,21,10,118,7
2020-01-03,21,11,0.0,7.1,4,4,51,12:29 PM,12:04 AM,07:16 AM,05:37 PM,9,16,16,16,10,30,64,0.8,1018,21,10,232,6
2020-01-04,20,12,0.0,8.7,5,5,59,01:00 PM,12:56 AM,07:16 AM,05:37 PM,7,16,15,16,10,8,58,0.0,1016,20,10,289,6
2020-01-05,20,11,0.0,8.7,5,5,66,01:32 PM,01:49 AM,07:16 AM,05:38 PM,5,14,15,14,16,15,52,0.0,1017,20,10,307,9
2020-01-06,14,9,0.0,5.5,3,3,73,02:06 PM,02:43 AM,07:17 AM,05:39 PM,6,12,13,12,17,54,63,0.3,1019,14,9,129,10
2020-01-07,15,12,0.0,3.8,3,3,80,02:45 PM,03:41 AM,07:17 AM,05:40 PM,10,13,14,13,15,67,80,1.7,1017,15,8,107,9
2020-01-08,17,5,0.0,7.1,3,3,88,03:29 PM,04:39 AM,07:17 AM,05:40 PM,10,11,12,11,16,70,85,4.2,1015,17,7,57,10
2020-01-09,16,8,0.0,8.7,4,4,95,04:20 PM,05:41 AM,07:17 AM,05:41 PM,5,10,11,10,16,1,69,0.0,1019,16,10,316,10
2020-01-10,17,6,0.0,8.7,4,4,100,05:18 PM,06:41 AM,07:17 AM,05:42 PM,3,9,11,9,21,5,58,0.0,1019,17,10,315,12
2020-01-11,18,7,0.0,8.7,4,4,100,06:21 PM,07:39 AM,07:17 AM,05:43 PM,2,11,12,11,17,13,54,0.0,1018,18,10,307,10
2020-01-12,21,9,0.0,8.7,5,5,83,07:27 PM,08:33 AM,07:17 AM,05:44 PM,2,14,14,14,14,15,44,0.0,1015,21,10,278,8
2020-01-13,18,11,0.0,5.5,4,4,76,08:34 PM,09:22 AM,07:17 AM,05:44 PM,6,14,14,14,18,65,61,6.0,1012,18,10,146,10
2020-01-14,20,10,0.0,8.7,4,4,69,09:41 PM,10:06 AM,07:17 AM,05:45 PM,10,13,14,13,16,28,81,0.0,1015,20,9,311,9
2020-01-15,21,10,0.0,8.7,4,4,61,10:46 PM,10:46 AM,07:17 AM,05:46 PM,7,13,14,13,14,8,66,0.0,1015,21,10,308,8
2020-01-16,16,7,0.0,3.9,3,3,54,11:50 PM,11:24 AM,07:17 AM,05:47 PM,10,12,13,12,15,74,82,9.6,1014,16,8,158,9
2020-01-17,18,12,0.0,5.5,3,3,47,No moonrise,12:00 PM,07:17 AM,05:48 PM,11,14,14,14,10,72,84,0.9,1016,18,10,170,6
2020-01-18,19,11,0.0,8.7,4,4,40,12:52 AM,12:37 PM,07:16 AM,05:49 PM,8,13,14,13,12,12,70,0.0,1018,19,10,298,7
2020-01-19,18,9,0.0,8.7,4,4,32,01:55 AM,01:16 PM,07:16 AM,05:49 PM,6,12,13,12,14,2,66,0.0,1018,18,10,305,8
2020-01-20,19,9,0.0,8.7,4,4,25,02:57 AM,01:58 PM,07:16 AM,05:50 PM,7,13,13,13,15,13,68,0.0,1017,19,10,316,8
2020-01-21,21,10,0.0,8.7,5,5,18,03:59 AM,02:44 PM,07:16 AM,05:51 PM,6,14,14,14,8,22,58,0.0,1018,21,10,110,4
2020-01-22,20,10,0.0,8.7,4,4,11,04:59 AM,03:34 PM,07:15 AM,05:52 PM,6,13,14,13,18,2,63,0.0,1019,20,10,315,10
2020-01-23,18,8,0.0,8.7,4,4,3,05:56 AM,04:27 PM,07:15 AM,05:53 PM,4,10,12,10,31,0,58,0.0,1017,18,10,307,18
2020-01-24,20,7,0.0,8.7,4,4,0,06:48 AM,05:23 PM,07:15 AM,05:54 PM,2,11,12,11,27,0,50,0.0,1015,20,10,294,16
2020-01-25,20,9,0.0,8.7,4,4,0,07:35 AM,06:19 PM,07:14 AM,05:54 PM,3,14,14,14,12,6,49,0.0,1016,20,10,316,7
2020-01-26,22,10,0.0,8.7,5,5,4,08:17 AM,07:16 PM,07:14 AM,05:55 PM,7,15,15,15,13,8,59,0.0,1013,22,10,305,8
2020-01-27,22,10,0.0,5.5,4,4,11,08:54 AM,08:10 PM,07:14 AM,05:56 PM,9,15,16,15,13,56,64,0.5,1011,22,10,151,7
2020-01-28,18,12,0.0,8.7,4,4,18,09:28 AM,09:04 PM,07:13 AM,05:57 PM,11,14,15,14,23,54,78,3.4,1010,18,10,119,14
2020-01-29,20,11,0.0,8.7,5,5,26,09:59 AM,09:56 PM,07:13 AM,05:58 PM,9,14,14,14,12,27,72,0.3,1016,20,10,310,7
2020-01-30,19,9,0.0,8.7,4,4,33,10:29 AM,10:47 PM,07:12 AM,05:58 PM,7,12,13,12,22,2,70,0.0,1016,19,10,317,13
2020-01-31,19,8,0.0,8.7,4,4,37,10:59 AM,11:39 PM,07:12 AM,05:59 PM,6,12,13,12,15,2,65,0.0,1014,19,10,294,9
2020-02-01,19,9,0.0,10.9,4,4,49,11:30 AM,No moonset,07:11 AM,06:00 PM,6,13,13,13,14,4,64,0.0,1017,19,10,308,8
2020-02-02,19,8,0.0,10.9,4,4,57,12:02 PM,12:32 AM,07:11 AM,06:01 PM,6,12,13,12,16,0,66,0.0,1019,19,10,314,10
2020-02-03,21,8,0.0,10.9,4,4,64,12:38 PM,01:27 AM,07:10 AM,06:02 PM,6,13,14,13,13,0,61,0.0,1017,21,10,317,8
2020-02-04,21,10,0.0,10.9,5,5,72,01:19 PM,02:23 AM,07:09 AM,06:03 PM,6,14,14,14,13,17,59,0.0,1016,21,10,222,7
2020-02-05,20,10,0.0,10.9,5,5,79,02:05 PM,03:23 AM,07:09 AM,06:03 PM,5,13,13,13,19,2,58,0.0,1016,20,10,319,11
2020-02-06,20,8,0.0,11.0,4,4,87,02:59 PM,04:22 AM,07:08 AM,06:04 PM,5,13,14,13,12,0,58,0.0,1015,20,10,189,7
