date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,26,17,0.0,10.9,6,6,37,11:39 AM,11:34 PM,07:15 AM,06:08 PM,15,23,23,22,8,5,60,0.0,1014,26,10,234,6
2020-01-02,27,19,0.0,10.9,6,6,44,12:13 PM,No moonset,07:16 AM,06:09 PM,15,24,24,23,10,5,59,0.0,1016,27,10,302,8
2020-01-03,28,18,0.0,10.9,6,6,51,12:46 PM,12:22 AM,07:16 AM,06:09 PM,13,23,23,23,21,7,55,0.0,1016,28,10,231,14
2020-01-04,29,18,0.0,10.9,6,6,59,01:20 PM,01:11 AM,07:16 AM,06:10 PM,10,22,22,22,23,1,47,0.0,1014,29,10,243,14
2020-01-05,31,19,0.0,10.9,6,6,66,01:55 PM,02:01 AM,07:17 AM,06:11 PM,10,24,24,24,27,0,42,0.0,1014,31,10,53,16
2020-01-06,31,20,0.0,10.9,7,7,73,02:33 PM,02:52 AM,07:17 AM,06:11 PM,12,25,25,25,23,4,47,0.0,1014,31,10,226,14
2020-01-07,30,22,0.0,11.0,7,7,80,03:15 PM,03:46 AM,07:17 AM,06:12 PM,17,27,27,25,17,7,60,0.0,1013,30,10,246,11
2020-01-08,27,20,0.0,11.0,7,7,88,04:02 PM,04:42 AM,07:17 AM,06:13 PM,14,25,25,24,17,2,56,0.0,1013,27,10,313,12
2020-01-09,29,16,0.0,11.0,6,6,95,04:54 PM,05:41 AM,07:17 AM,06:13 PM,8,22,22,22,25,0,42,0.0,1015,29,10,251,15
2020-01-10,31,18,0.0,11.0,6,6,100,05:53 PM,06:40 AM,07:18 AM,06:14 PM,8,23,23,23,30,1,39,0.0,1014,31,10,46,18
2020-01-11,33,19,0.0,11.0,7,7,100,06:55 PM,07:39 AM,07:18 AM,06:14 PM,12,25,25,25,21,5,44,0.0,1014,33,10,214,13
2020-01-12,30,22,0.0,11.0,7,7,83,07:59 PM,08:35 AM,07:18 AM,06:15 PM,16,27,27,25,18,6,59,0.0,1013,30,10,236,12
2020-01-13,27,21,0.0,11.0,6,6,76,09:03 PM,09:27 AM,07:18 AM,06:16 PM,19,25,25,23,15,29,78,0.1,1012,27,10,259,12
2020-01-14,26,18,0.0,10.1,6,6,69,10:05 PM,10:14 AM,07:18 AM,06:17 PM,11,23,23,21,17,22,50,0.0,1013,26,10,323,12
2020-01-15,26,18,0.0,11.0,6,6,61,11:06 PM,10:58 AM,07:18 AM,06:17 PM,11,21,22,21,18,13,52,0.0,1013,26,10,205,14
2020-01-16,24,18,0.0,11.0,6,6,54,No moonrise,11:40 AM,07:18 AM,06:18 PM,7,21,21,21,13,0,43,0.0,1014,24,10,322,11
2020-01-17,26,16,0.0,11.0,6,6,47,12:06 AM,12:20 PM,07:18 AM,06:19 PM,9,20,21,20,15,0,50,0.0,1015,26,10,219,11
2020-01-18,29,16,0.0,11.0,6,6,40,01:04 AM,01:01 PM,07:18 AM,06:19 PM,8,22,22,21,24,0,43,0.0,1014,29,10,230,15
2020-01-19,31,16,0.0,11.0,6,6,32,02:03 AM,01:44 PM,07:18 AM,06:20 PM,9,24,24,24,27,0,41,0.0,1014,31,10,242,16
2020-01-20,30,19,0.0,11.0,7,7,25,03:02 AM,02:29 PM,07:18 AM,06:21 PM,12,25,25,25,17,0,45,0.0,1014,30,10,233,12
2020-01-21,30,21,0.0,11.0,7,7,18,04:01 AM,03:17 PM,07:18 AM,06:21 PM,10,25,25,25,14,4,40,0.0,1014,30,10,301,9
2020-01-22,31,19,0.0,11.0,7,7,11,04:59 AM,04:08 PM,07:18 AM,06:22 PM,9,25,25,25,22,6,36,0.0,1015,31,10,330,13
2020-01-23,32,20,0.0,11.1,7,7,3,05:55 AM,05:02 PM,07:18 AM,06:23 PM,11,26,26,26,25,5,40,0.0,1014,32,10,227,15
2020-01-24,32,22,0.0,11.1,7,7,0,06:48 AM,05:57 PM,07:18 AM,06:23 PM,12,27,27,26,22,1,43,0.0,1014,32,10,219,14
2020-01-25,31,20,0.0,11.1,7,7,0,07:36 AM,06:52 PM,07:17 AM,06:24 PM,8,25,25,25,21,6,35,0.0,1014,31,10,337,13
2020-01-26,32,22,0.0,11.1,7,7,4,08:20 AM,07:45 PM,07:17 AM,06:24 PM,8,26,26,27,18,1,32,0.0,1012,32,10,211,12
2020-01-27,30,21,0.0,11.1,7,7,11,09:00 AM,08:36 PM,07:17 AM,06:25 PM,12,26,26,25,15,0,45,0.0,1011,30,10,265,11
2020-01-28,25,20,0.0,8.6,5,5,18,09:37 AM,09:27 PM,07:17 AM,06:26 PM,15,24,24,22,17,27,66,0.0,1012,25,10,275,12
2020-01-29,24,18,0.0,11.1,6,6,26,10:12 AM,10:15 PM,07:17 AM,06:26 PM,11,21,22,21,14,0,51,0.0,1016,24,10,277,11
2020-01-30,28,16,0.0,11.1,6,6,33,10:45 AM,11:04 PM,07:16 AM,06:27 PM,7,21,21,22,18,0,41,0.0,1015,28,10,225,12
2020-01-31,27,17,0.0,11.1,6,6,37,11:18 AM,11:52 PM,07:16 AM,06:28 PM,7,23,23,22,18,0,36,0.0,1012,27,10,209,12
2020-02-01,30,16,0.0,11.1,6,6,49,11:52 AM,No moonset,07:16 AM,06:28 PM,7,23,23,23,29,1,35,0.0,1013,30,10,16,17
2020-02-02,32,20,0.0,11.1,7,7,57,12:28 PM,12:42 AM,07:15 AM,06:29 PM,10,25,25,25,21,5,38,0.0,1014,32,10,237,13
2020-02-03,30,21,0.0,11.1,7,7,64,01:07 PM,01:33 AM,07:15 AM,06:29 PM,15,27,27,26,10,0,53,0.0,1014,30,10,291,8
