date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,27,19,0.0,4.2,5,5,37,11:09 AM,11:09 PM,06:41 AM,05:49 PM,19,24,24,23,19,73,81,0.4,1015,27,9,138,13
2020-01-02,28,21,0.0,5.7,6,6,44,11:45 AM,11:56 PM,06:41 AM,05:49 PM,20,26,26,24,18,78,83,9.8,1015,28,9,130,12
2020-01-03,27,21,0.0,4.2,5,5,51,12:19 PM,No moonset,06:42 AM,05:50 PM,21,26,26,24,13,74,83,1.2,1013,27,10,142,9
2020-01-04,27,21,0.0,5.7,5,5,59,12:54 PM,12:42 AM,06:42 AM,05:51 PM,21,26,26,24,9,60,82,0.2,1012,27,8,135,6
2020-01-05,29,21,0.0,7.2,6,6,66,01:31 PM,01:31 AM,06:42 AM,05:51 PM,18,26,26,24,17,44,68,0.0,1013,29,10,19,11
2020-01-06,27,20,0.0,5.7,5,5,73,02:10 PM,02:20 AM,06:42 AM,05:52 PM,18,25,25,24,16,64,70,2.6,1015,27,10,111,11
2020-01-07,28,22,0.0,4.2,5,5,80,02:53 PM,03:13 AM,06:43 AM,05:52 PM,20,26,26,24,16,61,80,1.6,1015,28,10,146,12
2020-01-08,26,19,0.0,5.7,5,5,88,03:41 PM,04:07 AM,06:43 AM,05:53 PM,19,24,24,23,20,59,83,0.0,1014,26,9,153,13
2020-01-09,29,19,0.0,4.2,5,5,95,04:34 PM,05:05 AM,06:43 AM,05:54 PM,19,25,25,24,18,55,76,0.0,1013,29,10,158,12
2020-01-10,28,21,0.0,4.2,5,5,100,05:33 PM,06:05 AM,06:43 AM,05:54 PM,18,25,25,24,10,80,71,2.5,1014,28,10,55,7
2020-01-11,31,19,0.0,8.7,6,6,100,06:34 PM,07:04 AM,06:44 AM,05:55 PM,16,27,27,25,12,26,60,0.0,1015,31,10,62,8
2020-01-12,31,20,0.0,8.7,7,7,83,07:37 PM,08:00 AM,06:44 AM,05:55 PM,14,26,26,25,9,2,52,0.0,1014,31,10,35,7
2020-01-13,31,21,0.0,8.7,7,7,76,08:39 PM,08:53 AM,06:44 AM,05:56 PM,11,26,26,25,7,0,41,0.0,1012,31,10,153,6
2020-01-14,30,18,0.0,8.7,6,6,69,09:41 PM,09:42 AM,06:44 AM,05:57 PM,17,25,25,24,13,13,70,0.0,1012,30,9,142,10
2020-01-15,28,20,0.0,8.7,6,6,61,10:39 PM,10:28 AM,06:44 AM,05:57 PM,17,25,25,24,14,1,68,0.0,1013,28,10,136,11
2020-01-16,28,18,0.0,8.7,6,6,54,11:37 PM,11:11 AM,06:44 AM,05:58 PM,18,24,24,23,16,8,73,0.0,1013,28,10,150,12
2020-01-17,29,19,0.0,7.2,5,5,47,No moonrise,11:54 AM,06:44 AM,05:58 PM,17,24,24,23,16,47,72,0.1,1013,29,8,151,11
2020-01-18,28,19,0.0,5.7,5,5,40,12:34 AM,12:36 PM,06:45 AM,05:59 PM,19,25,25,23,12,48,79,0.0,1013,28,8,162,9
2020-01-19,28,20,0.0,5.8,5,5,32,01:31 AM,01:21 PM,06:45 AM,06:00 PM,19,25,25,24,14,56,76,1.0,1013,28,8,128,10
2020-01-20,30,21,0.0,11.6,7,7,25,02:28 AM,02:07 PM,06:45 AM,06:00 PM,18,26,26,25,13,25,68,0.0,1014,30,10,141,9
2020-01-21,30,21,0.0,11.6,7,7,18,03:27 AM,02:56 PM,06:45 AM,06:01 PM,17,26,26,25,16,8,67,0.0,1015,30,10,134,12
2020-01-22,30,19,0.0,10.1,6,6,11,04:23 AM,03:49 PM,06:45 AM,06:01 PM,18,25,25,24,14,23,72,0.0,1016,30,9,142,10
2020-01-23,31,20,0.0,11.6,7,7,3,05:20 AM,04:42 PM,06:45 AM,06:02 PM,17,26,26,25,12,12,65,0.0,1015,31,9,136,8
2020-01-24,32,23,0.0,11.6,7,7,0,06:12 AM,05:37 PM,06:44 AM,06:02 PM,17,28,28,27,6,6,55,0.0,1014,32,10,84,5
2020-01-25,32,23,0.0,11.6,7,7,0,07:02 AM,06:30 PM,06:44 AM,06:03 PM,17,28,28,27,8,5,59,0.0,1013,32,10,97,6
2020-01-26,33,22,0.0,11.6,7,7,4,07:47 AM,07:23 PM,06:44 AM,06:04 PM,16,28,28,27,7,4,54,0.0,1012,33,10,76,5
2020-01-27,33,23,0.0,11.6,7,7,11,08:28 AM,08:13 PM,06:44 AM,06:04 PM,17,28,28,27,12,2,55,0.0,1011,33,10,146,9
