date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,18,7,0.0,7.1,4,4,37,11:31 AM,11:13 PM,07:19 AM,05:34 PM,-1,11,12,11,13,53,43,0.0,1021,18,10,121,7
2020-01-02,21,11,0.0,8.7,5,5,44,12:01 PM,No moonset,07:19 AM,05:35 PM,5,14,14,14,12,14,53,0.0,1021,21,10,182,6
2020-01-03,21,11,0.0,8.7,5,5,51,12:30 PM,12:05 AM,07:19 AM,05:35 PM,8,15,15,15,10,14,61,0.0,1018,21,10,249,6
2020-01-04,20,11,0.0,8.7,5,5,59,01:00 PM,12:57 AM,07:19 AM,05:36 PM,7,14,14,14,10,5,63,0.0,1017,20,10,290,6
2020-01-05,19,10,0.0,8.7,4,4,66,01:32 PM,01:51 AM,07:19 AM,05:37 PM,4,13,14,13,20,26,55,0.0,1017,19,10,315,12
2020-01-06,16,6,0.0,3.8,3,3,73,02:06 PM,02:45 AM,07:20 AM,05:38 PM,5,11,12,11,20,73,62,1.6,1019,16,10,103,12
2020-01-07,14,12,0.0,3.8,3,3,80,02:44 PM,03:43 AM,07:20 AM,05:38 PM,12,12,13,12,16,82,90,4.2,1017,14,9,133,10
2020-01-08,13,7,0.0,3.8,3,3,88,03:28 PM,04:42 AM,07:20 AM,05:39 PM,10,10,11,10,14,80,93,58.1,1015,13,7,67,8
2020-01-09,16,7,0.0,8.7,4,4,95,04:18 PM,05:44 AM,07:20 AM,05:40 PM,6,9,11,9,17,1,75,0.0,1019,16,10,312,11
2020-01-10,17,6,0.0,8.7,4,4,100,05:16 PM,06:44 AM,07:20 AM,05:41 PM,4,8,10,8,23,9,68,0.0,1019,17,10,308,13
2020-01-11,17,7,0.0,8.7,4,4,100,06:19 PM,07:43 AM,07:20 AM,05:41 PM,4,9,11,9,18,22,63,0.0,1018,17,10,304,10
2020-01-12,20,8,0.0,8.7,4,4,83,07:26 PM,08:36 AM,07:20 AM,05:42 PM,6,13,14,13,14,25,61,0.0,1015,20,10,286,8
2020-01-13,15,11,0.0,3.8,3,3,76,08:34 PM,09:25 AM,07:20 AM,05:43 PM,9,13,13,13,14,59,78,8.3,1011,15,9,122,8
2020-01-14,18,10,0.0,7.1,3,3,69,09:41 PM,10:08 AM,07:20 AM,05:44 PM,10,13,13,13,13,34,83,0.0,1016,18,8,313,8
2020-01-15,18,9,0.0,8.7,4,4,61,10:46 PM,10:47 AM,07:20 AM,05:45 PM,8,13,13,13,12,19,74,0.0,1016,18,10,253,7
2020-01-16,16,8,0.0,5.5,3,3,54,11:51 PM,11:25 AM,07:20 AM,05:46 PM,10,12,12,12,15,61,84,14.8,1015,16,9,211,8
2020-01-17,18,11,0.0,3.9,3,3,47,No moonrise,12:01 PM,07:19 AM,05:46 PM,11,13,13,13,8,81,87,9.6,1016,18,10,181,5
2020-01-18,19,10,0.0,8.7,4,4,40,12:54 AM,12:37 PM,07:19 AM,05:47 PM,10,13,13,13,11,33,80,0.4,1018,19,10,307,7
2020-01-19,18,9,0.0,8.7,4,4,32,01:57 AM,01:16 PM,07:19 AM,05:48 PM,9,12,13,12,16,4,80,0.0,1018,18,10,301,10
2020-01-20,18,8,0.0,7.1,3,3,25,03:00 AM,01:57 PM,07:19 AM,05:49 PM,7,12,12,12,14,48,71,0.0,1017,18,10,306,8
2020-01-21,19,11,0.0,8.7,5,5,18,04:02 AM,02:43 PM,07:18 AM,05:50 PM,7,14,14,14,7,15,64,0.0,1019,19,10,181,4
2020-01-22,19,10,0.0,8.7,4,4,11,05:02 AM,03:33 PM,07:18 AM,05:51 PM,8,13,13,13,18,1,73,0.0,1020,19,10,307,11
2020-01-23,17,8,0.0,8.7,4,4,3,05:59 AM,04:26 PM,07:18 AM,05:52 PM,4,9,11,9,33,0,63,0.0,1017,17,10,302,19
2020-01-24,19,8,0.0,8.7,4,4,0,06:51 AM,05:22 PM,07:17 AM,05:52 PM,4,10,12,10,32,0,58,0.0,1014,19,10,298,18
2020-01-25,18,8,0.0,7.1,3,3,0,07:38 AM,06:18 PM,07:17 AM,05:53 PM,5,12,12,12,11,21,62,0.0,1015,18,10,298,6
2020-01-26,20,9,0.0,8.7,4,4,4,08:19 AM,07:15 PM,07:17 AM,05:54 PM,8,13,14,13,17,6,67,0.0,1013,20,10,297,10
2020-01-27,21,10,0.0,5.5,4,4,11,08:56 AM,08:10 PM,07:16 AM,05:55 PM,10,14,15,14,11,54,73,0.4,1011,21,10,108,6
2020-01-28,17,9,0.0,8.7,3,3,18,09:30 AM,09:04 PM,07:16 AM,05:56 PM,11,12,13,12,25,59,87,8.6,1010,17,9,102,15
2020-01-29,19,10,0.0,7.1,3,3,26,10:01 AM,09:56 PM,07:15 AM,05:57 PM,10,13,13,13,15,51,81,6.0,1016,19,9,255,9
2020-01-30,18,9,0.0,8.7,4,4,33,10:30 AM,10:48 PM,07:15 AM,05:58 PM,7,11,12,11,26,2,75,0.0,1016,18,10,309,15
2020-01-31,18,8,0.0,8.7,4,4,37,11:00 AM,11:41 PM,07:14 AM,05:58 PM,7,12,12,12,14,2,73,0.0,1014,18,10,282,9
2020-02-01,18,8,0.0,8.7,4,4,49,11:30 AM,No moonset,07:14 AM,05:59 PM,7,12,13,12,14,3,70,0.0,1017,18,10,305,8
2020-02-02,18,8,0.0,10.9,4,4,57,12:02 PM,12:34 AM,07:13 AM,06:00 PM,8,11,12,11,20,0,76,0.0,1018,18,10,308,12
2020-02-03,20,7,0.0,10.9,4,4,64,12:37 PM,01:29 AM,07:12 AM,06:01 PM,8,13,13,13,13,0,72,0.0,1017,20,10,299,8
