date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,29,22,0.0,8.7,6,6,37,11:07 AM,11:14 PM,06:31 AM,06:02 PM,22,28,28,25,18,54,84,8.3,1014,29,8,69,11
2020-01-02,30,22,0.0,7.3,6,6,44,11:44 AM,11:58 PM,06:32 AM,06:02 PM,23,29,29,26,15,62,84,3.4,1015,30,8,63,10
2020-01-03,30,23,0.0,7.3,6,6,51,12:21 PM,No moonset,06:32 AM,06:03 PM,23,29,29,26,14,62,85,6.0,1013,30,7,69,9
2020-01-04,31,23,0.0,8.7,6,6,59,12:59 PM,12:43 AM,06:32 AM,06:03 PM,23,29,29,26,13,43,83,1.1,1012,31,8,85,9
2020-01-05,31,23,0.0,7.3,6,6,66,01:38 PM,01:29 AM,06:33 AM,06:04 PM,22,29,29,26,14,50,81,0.5,1012,31,9,82,9
2020-01-06,29,23,0.0,7.3,6,6,73,02:19 PM,02:16 AM,06:33 AM,06:05 PM,23,28,28,26,17,65,84,4.5,1014,29,10,68,11
2020-01-07,27,22,0.0,5.9,6,6,80,03:04 PM,03:06 AM,06:33 AM,06:05 PM,22,27,27,25,21,75,86,8.3,1014,27,7,53,13
2020-01-08,29,21,0.0,7.3,6,6,88,03:54 PM,03:59 AM,06:34 AM,06:06 PM,21,27,27,25,20,56,81,1.2,1013,29,9,42,14
2020-01-09,29,20,0.0,11.6,7,7,95,04:48 PM,04:56 AM,06:34 AM,06:06 PM,20,26,26,25,15,4,76,0.0,1013,29,10,49,11
2020-01-10,29,21,0.0,11.6,7,7,100,05:47 PM,05:55 AM,06:34 AM,06:07 PM,20,26,26,24,17,9,77,0.0,1013,29,10,47,13
2020-01-11,29,19,0.0,11.6,6,6,100,06:47 PM,06:54 AM,06:35 AM,06:07 PM,19,24,24,23,24,20,78,0.0,1014,29,10,40,16
2020-01-12,28,20,0.0,7.3,5,5,83,07:49 PM,07:52 AM,06:35 AM,06:08 PM,20,25,25,24,19,66,82,2.1,1013,28,9,52,12
