date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,15,11,0.0,8.7,4,4,37,12:05 PM,11:42 PM,07:58 AM,05:40 PM,6,12,13,12,11,3,63,0.0,1032,15,10,76,8
2020-01-02,16,12,0.0,8.7,4,4,44,12:32 PM,No moonset,07:59 AM,05:41 PM,6,14,14,14,7,7,57,0.0,1032,16,10,70,5
2020-01-03,17,14,0.0,8.7,5,5,51,12:58 PM,12:38 AM,07:59 AM,05:42 PM,4,15,15,15,6,3,47,0.0,1031,17,10,286,5
2020-01-04,14,7,0.0,3.7,3,3,59,01:25 PM,01:34 AM,07:59 AM,05:43 PM,8,12,12,12,7,63,70,0.3,1031,14,10,176,5
2020-01-05,15,12,0.0,8.7,4,4,66,01:54 PM,02:30 AM,07:59 AM,05:44 PM,8,13,13,13,7,17,70,0.0,1029,15,10,183,6
2020-01-06,15,11,0.0,8.7,4,4,73,02:25 PM,03:30 AM,07:59 AM,05:44 PM,8,13,14,13,6,0,65,0.0,1028,15,10,66,5
2020-01-07,14,11,0.0,8.7,3,3,80,03:02 PM,04:30 AM,07:59 AM,05:45 PM,7,12,13,12,10,26,67,0.0,1029,14,10,258,8
2020-01-08,14,11,0.0,5.4,3,3,88,03:45 PM,05:33 AM,07:59 AM,05:46 PM,8,12,12,12,12,51,72,0.5,1028,14,10,282,9
2020-01-09,14,12,0.0,3.7,3,3,95,04:35 PM,06:36 AM,07:59 AM,05:47 PM,9,13,13,13,8,74,75,3.9,1026,14,10,195,7
2020-01-10,14,12,0.0,3.7,3,3,100,05:34 PM,07:38 AM,07:59 AM,05:48 PM,8,12,13,12,13,91,76,10.4,1023,14,10,263,10
2020-01-11,15,12,0.0,5.4,3,3,100,06:39 PM,08:34 AM,07:59 AM,05:49 PM,9,12,13,12,18,77,77,11.7,1025,15,9,88,13
2020-01-12,13,10,0.0,3.7,3,3,83,07:49 PM,09:25 AM,07:58 AM,05:50 PM,8,11,12,11,20,81,74,21.3,1028,13,9,318,15
2020-01-13,14,11,0.0,7.0,3,3,76,09:00 PM,10:08 AM,07:58 AM,05:51 PM,7,12,12,12,10,59,69,2.8,1027,14,10,298,7
2020-01-14,18,11,0.0,8.7,4,4,69,10:11 PM,10:47 AM,07:58 AM,05:52 PM,5,13,13,13,10,8,56,0.0,1025,18,10,119,7
2020-01-15,16,11,0.0,3.7,3,3,61,11:21 PM,11:22 AM,07:58 AM,05:53 PM,2,13,13,13,13,62,47,0.0,1027,16,10,255,8
2020-01-16,16,12,0.0,7.0,3,3,54,No moonrise,11:55 AM,07:57 AM,05:54 PM,3,14,14,14,10,44,48,0.0,1029,16,10,76,7
2020-01-17,16,12,0.0,8.7,4,4,47,12:28 AM,12:27 PM,07:57 AM,05:55 PM,4,13,14,13,14,3,50,0.0,1031,16,10,272,9
2020-01-18,17,13,0.0,7.0,3,3,40,01:36 AM,01:00 PM,07:57 AM,05:56 PM,5,14,14,14,9,32,55,0.0,1030,17,10,268,6
2020-01-19,14,12,0.0,3.8,3,3,32,02:42 AM,01:36 PM,07:56 AM,05:57 PM,7,12,13,12,13,73,66,11.9,1016,14,8,152,9
2020-01-20,14,12,0.0,5.4,3,3,25,03:49 AM,02:15 PM,07:56 AM,05:58 PM,6,11,13,11,30,68,63,0.4,1015,14,9,109,21
2020-01-21,18,13,0.0,5.4,4,4,18,04:53 AM,02:59 PM,07:55 AM,05:59 PM,4,13,15,13,32,49,50,1.4,1013,18,10,158,22
2020-01-22,18,13,0.0,10.5,5,5,11,05:55 AM,03:48 PM,07:55 AM,06:00 PM,5,14,15,14,29,21,51,0.0,1017,18,10,153,19
2020-01-23,18,13,0.0,10.5,5,5,3,06:51 AM,04:42 PM,07:54 AM,06:01 PM,7,15,15,15,13,13,57,0.1,1021,18,10,75,9
2020-01-24,19,13,0.0,10.5,5,5,0,07:42 AM,05:40 PM,07:54 AM,06:02 PM,6,16,16,16,14,5,52,0.0,1021,19,10,227,8
2020-01-25,19,14,0.0,10.5,5,5,0,08:25 AM,06:38 PM,07:53 AM,06:03 PM,5,16,16,16,23,8,48,0.0,1020,19,10,222,14
2020-01-26,17,14,0.0,6.8,4,4,4,09:03 AM,07:37 PM,07:53 AM,06:04 PM,7,15,15,15,18,73,61,0.9,1021,17,10,259,13
2020-01-27,17,11,0.0,10.5,4,4,11,09:37 AM,08:35 PM,07:52 AM,06:05 PM,7,13,14,13,11,8,63,0.0,1025,17,10,276,8
2020-01-28,17,12,0.0,10.6,5,5,18,10:06 AM,09:32 PM,07:51 AM,06:06 PM,6,14,14,14,15,13,58,0.0,1024,17,10,261,11
2020-01-29,19,14,0.0,10.6,5,5,26,10:33 AM,10:28 PM,07:51 AM,06:07 PM,7,16,16,16,11,28,58,0.0,1024,19,10,269,7
2020-01-30,19,14,0.0,10.0,4,4,33,11:00 AM,11:23 PM,07:50 AM,06:08 PM,7,16,16,16,9,29,55,0.0,1024,19,10,275,6
2020-01-31,19,15,0.0,10.0,4,4,37,11:26 AM,No moonset,07:49 AM,06:09 PM,6,16,16,16,16,41,54,0.0,1023,19,10,265,11
2020-02-01,18,14,0.0,10.6,5,5,49,11:53 AM,12:19 AM,07:49 AM,06:11 PM,10,16,16,16,15,26,67,0.0,1024,18,10,282,10
2020-02-02,19,15,0.0,10.6,4,4,57,12:22 PM,01:16 AM,07:48 AM,06:12 PM,11,17,17,17,8,20,69,0.0,1028,19,10,269,6
2020-02-03,21,16,0.0,10.7,5,5,64,12:56 PM,02:15 AM,07:47 AM,06:13 PM,10,18,18,18,8,9,62,0.0,1029,21,10,186,5
2020-02-04,21,16,0.0,10.7,5,5,72,01:35 PM,03:16 AM,07:46 AM,06:14 PM,9,18,18,18,14,3,58,0.0,1026,21,10,269,9
2020-02-05,14,12,0.0,10.7,4,4,79,02:20 PM,04:17 AM,07:45 AM,06:15 PM,7,12,14,12,23,34,63,0.0,1028,14,10,48,18
2020-02-06,16,10,0.0,10.7,4,4,87,03:15 PM,05:19 AM,07:44 AM,06:16 PM,3,12,13,12,20,10,53,0.0,1027,16,10,95,13
2020-02-07,18,12,0.0,10.7,5,5,95,04:16 PM,06:17 AM,07:43 AM,06:17 PM,2,14,15,14,16,12,43,0.0,1024,18,10,221,9
2020-02-08,16,13,0.0,10.0,4,4,100,05:26 PM,07:12 AM,07:42 AM,06:18 PM,9,15,15,15,9,64,69,0.0,1025,16,10,183,7
2020-02-09,17,12,0.0,10.8,5,5,100,06:38 PM,07:59 AM,07:41 AM,06:19 PM,10,15,15,15,9,24,69,0.0,1029,17,10,201,6
2020-02-10,22,15,0.0,10.8,5,5,83,07:52 PM,08:41 AM,07:40 AM,06:20 PM,8,17,18,17,10,3,55,0.0,1031,22,10,271,7
2020-02-11,23,16,0.0,10.8,5,5,75,09:04 PM,09:19 AM,07:39 AM,06:21 PM,4,18,18,18,12,5,39,0.0,1026,23,10,285,7
2020-02-12,20,16,0.0,10.8,5,5,68,10:15 PM,09:54 AM,07:38 AM,06:22 PM,6,17,17,17,10,9,48,0.0,1023,20,10,70,7
2020-02-13,17,15,0.0,10.1,4,4,60,11:26 PM,10:27 AM,07:37 AM,06:23 PM,11,16,16,16,15,37,73,0.0,1023,17,10,278,11
2020-02-14,19,15,0.0,10.9,5,5,53,No moonrise,11:01 AM,07:36 AM,06:24 PM,11,17,17,17,7,5,71,0.0,1025,19,10,72,6
2020-02-15,19,14,0.0,10.9,5,5,45,12:34 AM,11:37 AM,07:35 AM,06:25 PM,12,17,18,17,8,1,69,0.0,1026,19,10,60,7
2020-02-16,20,15,0.0,10.9,5,5,38,01:42 AM,12:15 PM,07:34 AM,06:26 PM,13,18,18,18,6,0,68,0.0,1027,20,10,70,5
2020-02-17,20,17,0.0,10.9,5,5,30,02:47 AM,12:57 PM,07:33 AM,06:27 PM,13,19,19,19,5,0,68,0.0,1026,20,10,324,5
2020-02-18,16,14,0.0,7.0,4,4,22,03:50 AM,01:45 PM,07:32 AM,06:28 PM,12,15,15,15,17,54,82,0.5,1028,16,10,62,14
2020-02-19,15,11,0.0,11.0,4,4,15,04:47 AM,02:36 PM,07:30 AM,06:29 PM,9,12,14,12,27,31,74,0.0,1029,15,10,58,21
2020-02-20,16,12,0.0,11.0,4,4,7,05:39 AM,03:32 PM,07:29 AM,06:30 PM,9,14,14,14,12,0,69,0.0,1025,16,10,60,10
2020-02-21,17,14,0.0,10.1,4,4,0,06:23 AM,04:30 PM,07:28 AM,06:31 PM,9,15,15,15,18,47,68,0.0,1026,17,10,57,14
2020-02-22,17,14,0.0,11.1,5,5,0,07:03 AM,05:29 PM,07:27 AM,06:32 PM,9,15,15,15,11,3,68,0.0,1030,17,10,36,8
2020-02-23,17,12,0.0,11.1,5,5,0,07:37 AM,06:26 PM,07:25 AM,06:33 PM,6,15,16,15,9,0,53,0.0,1032,17,10,61,7
2020-02-24,20,16,0.0,11.1,5,5,0,08:08 AM,07:24 PM,07:24 AM,06:34 PM,7,18,18,18,7,1,48,0.0,1027,20,10,54,5
