date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,30,23,0.0,7.3,6,6,37,11:04 AM,11:12 PM,06:29 AM,06:00 PM,23,29,29,26,15,65,82,2.5,1013,30,9,91,10
2020-01-02,30,24,0.0,10.2,6,6,44,11:42 AM,11:56 PM,06:30 AM,06:00 PM,23,30,30,26,15,44,84,0.9,1014,30,10,72,11
2020-01-03,30,24,0.0,7.3,6,6,51,12:19 PM,No moonset,06:30 AM,06:01 PM,24,30,30,27,15,70,85,2.6,1013,30,8,73,10
2020-01-04,30,24,0.0,10.2,6,6,59,12:57 PM,12:41 AM,06:30 AM,06:02 PM,23,30,30,27,14,51,83,2.5,1012,30,10,91,9
2020-01-05,30,24,0.0,10.2,6,6,66,01:36 PM,01:27 AM,06:31 AM,06:02 PM,23,30,30,27,15,42,81,1.0,1012,30,10,79,10
2020-01-06,29,24,0.0,11.6,6,6,73,02:17 PM,02:14 AM,06:31 AM,06:03 PM,23,29,29,26,20,54,82,1.3,1013,29,10,67,13
2020-01-07,28,24,0.0,7.3,6,6,80,03:02 PM,03:04 AM,06:31 AM,06:03 PM,22,28,28,26,24,57,82,1.9,1013,28,10,61,15
2020-01-08,28,23,0.0,7.3,6,6,88,03:52 PM,03:57 AM,06:32 AM,06:04 PM,21,27,27,25,23,49,79,0.6,1013,28,10,43,15
2020-01-09,29,21,0.0,11.6,7,7,95,04:46 PM,04:54 AM,06:32 AM,06:04 PM,20,27,27,25,15,7,74,0.0,1013,29,10,47,11
2020-01-10,28,21,0.0,10.2,6,6,100,05:45 PM,05:52 AM,06:32 AM,06:05 PM,20,26,26,24,18,39,76,0.2,1013,28,10,44,12
2020-01-11,28,22,0.0,11.6,7,7,100,06:45 PM,06:51 AM,06:33 AM,06:05 PM,20,26,26,24,24,27,78,0.0,1014,28,10,27,16
2020-01-12,28,22,0.0,11.6,6,6,83,07:47 PM,07:49 AM,06:33 AM,06:06 PM,20,27,27,25,21,43,79,0.6,1013,28,10,60,13
2020-01-13,28,19,0.0,8.7,6,6,76,08:47 PM,08:44 AM,06:33 AM,06:06 PM,20,26,26,24,19,41,75,0.8,1012,28,10,52,13
2020-01-14,28,21,0.0,11.6,7,7,69,09:46 PM,09:36 AM,06:33 AM,06:07 PM,18,26,26,25,17,7,69,0.0,1012,28,10,47,11
2020-01-15,28,20,0.0,10.2,5,5,61,10:41 PM,10:24 AM,06:34 AM,06:07 PM,18,25,25,24,18,28,72,0.0,1012,28,10,47,12
2020-01-16,29,21,0.0,10.2,7,7,54,11:37 PM,11:11 AM,06:34 AM,06:08 PM,19,26,26,24,17,33,73,0.0,1013,29,10,39,11
2020-01-17,29,22,0.0,7.3,6,6,47,No moonrise,11:56 AM,06:34 AM,06:08 PM,22,28,28,25,19,50,82,0.9,1012,29,10,52,13
2020-01-18,29,24,0.0,5.9,6,6,40,12:30 AM,12:41 PM,06:34 AM,06:09 PM,23,29,29,26,23,64,84,6.3,1012,29,9,72,15
2020-01-19,29,23,0.0,10.2,7,7,32,01:25 AM,01:28 PM,06:34 AM,06:09 PM,22,28,28,26,22,46,79,0.2,1013,29,10,52,15
2020-01-20,29,23,0.0,11.6,7,7,25,02:20 AM,02:16 PM,06:34 AM,06:10 PM,21,28,28,25,20,26,77,0.0,1014,29,10,53,13
2020-01-21,29,21,0.0,8.7,6,6,18,03:16 AM,03:07 PM,06:35 AM,06:10 PM,21,27,27,25,23,57,79,0.2,1015,29,10,45,15
2020-01-22,28,22,0.0,7.3,6,6,11,04:12 AM,04:00 PM,06:35 AM,06:11 PM,22,28,28,25,26,65,81,0.7,1015,28,10,40,18
2020-01-23,29,20,0.0,5.9,6,6,3,05:07 AM,04:54 PM,06:35 AM,06:11 PM,22,28,28,25,25,75,78,1.2,1014,29,10,46,17
2020-01-24,28,22,0.0,7.3,6,6,0,06:00 AM,05:48 PM,06:35 AM,06:12 PM,21,27,27,25,21,62,79,0.9,1014,28,10,45,15
2020-01-25,29,20,0.0,11.6,7,7,0,06:50 AM,06:40 PM,06:35 AM,06:12 PM,19,26,26,24,18,7,74,0.0,1014,29,10,44,13
2020-01-26,30,21,0.0,11.6,7,7,4,07:37 AM,07:31 PM,06:35 AM,06:12 PM,19,27,27,26,14,0,70,0.0,1013,30,10,65,10
2020-01-27,30,23,0.0,11.6,7,7,11,08:20 AM,08:19 PM,06:35 AM,06:13 PM,20,28,28,26,13,0,71,0.0,1013,30,10,94,10
2020-01-28,31,23,0.0,11.6,7,7,18,09:01 AM,09:06 PM,06:35 AM,06:13 PM,20,28,28,26,15,5,73,0.0,1013,31,10,84,10
2020-01-29,30,23,0.0,11.6,7,7,26,09:39 AM,09:51 PM,06:35 AM,06:14 PM,21,28,28,26,12,3,74,0.0,1014,30,10,82,9
