date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,29,24,0.0,7.3,6,6,37,11:09 AM,11:19 PM,06:32 AM,06:09 PM,23,29,29,27,24,58,79,0.7,1012,29,10,63,17
2020-01-02,29,25,0.0,5.9,6,6,44,11:48 AM,No moonset,06:32 AM,06:10 PM,23,31,31,27,27,72,78,2.3,1013,29,10,56,19
2020-01-03,29,25,0.0,7.3,6,6,51,12:25 PM,12:03 AM,06:33 AM,06:10 PM,23,31,31,27,23,60,79,5.9,1012,29,10,70,15
2020-01-04,29,26,0.0,8.7,6,6,59,01:04 PM,12:47 AM,06:33 AM,06:11 PM,23,31,31,27,19,53,78,1.3,1011,29,10,78,13
2020-01-05,29,26,0.0,10.2,6,6,66,01:43 PM,01:32 AM,06:33 AM,06:11 PM,23,31,31,27,25,35,77,0.8,1011,29,10,71,18
2020-01-06,29,25,0.0,11.6,7,7,73,02:25 PM,02:18 AM,06:34 AM,06:12 PM,23,30,30,27,30,30,77,2.3,1012,29,10,58,22
2020-01-07,30,25,0.0,7.3,6,6,80,03:11 PM,03:08 AM,06:34 AM,06:12 PM,22,30,30,27,35,52,75,2.5,1012,30,10,57,25
2020-01-08,30,25,0.0,10.2,7,7,88,04:01 PM,04:01 AM,06:34 AM,06:13 PM,22,29,29,27,32,47,75,0.7,1012,30,10,54,24
2020-01-09,29,24,0.0,11.6,7,7,95,04:56 PM,04:57 AM,06:35 AM,06:13 PM,20,28,28,26,29,17,71,0.0,1012,29,10,53,21
2020-01-10,29,23,0.0,11.6,7,7,100,05:54 PM,05:55 AM,06:35 AM,06:14 PM,20,28,28,26,30,10,69,0.0,1012,29,10,54,21
2020-01-11,30,23,0.0,11.6,7,7,100,06:55 PM,06:54 AM,06:35 AM,06:14 PM,20,28,28,26,33,12,69,0.1,1012,30,10,37,23
2020-01-12,29,23,0.0,11.6,7,7,83,07:56 PM,07:53 AM,06:36 AM,06:15 PM,20,28,28,26,35,19,71,0.2,1012,29,10,47,26
2020-01-13,29,24,0.0,10.2,6,6,76,08:56 PM,08:48 AM,06:36 AM,06:15 PM,20,28,28,26,30,44,71,1.0,1011,29,10,55,22
2020-01-14,29,24,0.0,11.6,7,7,69,09:53 PM,09:40 AM,06:36 AM,06:16 PM,20,27,27,26,27,19,70,0.0,1011,29,10,65,20
2020-01-15,29,23,0.0,11.6,7,7,61,10:48 PM,10:29 AM,06:36 AM,06:16 PM,19,27,27,25,30,2,67,0.0,1011,29,10,53,21
2020-01-16,29,23,0.0,11.6,7,7,54,11:43 PM,11:17 AM,06:37 AM,06:17 PM,19,27,27,26,24,6,69,0.0,1012,29,10,69,17
2020-01-17,29,24,0.0,11.6,7,7,47,No moonrise,12:03 PM,06:37 AM,06:17 PM,21,29,29,27,27,23,73,0.1,1011,29,10,60,19
2020-01-18,30,25,0.0,7.3,6,6,40,12:36 AM,12:49 PM,06:37 AM,06:18 PM,22,30,30,27,30,65,75,2.4,1010,30,10,66,22
2020-01-19,28,25,0.0,7.3,6,6,32,01:30 AM,01:36 PM,06:37 AM,06:18 PM,22,29,29,26,35,63,76,6.2,1011,28,10,48,24
2020-01-20,30,23,0.0,10.2,6,6,25,02:23 AM,02:25 PM,06:37 AM,06:19 PM,21,29,29,26,33,36,74,0.1,1012,30,10,55,24
2020-01-21,30,24,0.0,11.6,7,7,18,03:19 AM,03:17 PM,06:38 AM,06:19 PM,21,29,29,27,34,19,72,0.0,1013,30,10,54,25
2020-01-22,30,24,0.0,11.6,7,7,11,04:14 AM,04:10 PM,06:38 AM,06:20 PM,22,30,30,27,38,35,73,0.1,1013,30,10,49,28
2020-01-23,30,26,0.0,7.3,6,6,3,05:10 AM,05:04 PM,06:38 AM,06:20 PM,22,30,30,27,38,60,73,1.3,1012,30,10,54,28
2020-01-24,29,25,0.0,10.2,6,6,0,06:03 AM,05:58 PM,06:38 AM,06:20 PM,21,29,29,27,37,49,72,0.6,1012,29,10,51,26
2020-01-25,30,23,0.0,11.6,7,7,0,06:53 AM,06:50 PM,06:38 AM,06:21 PM,20,28,28,26,32,10,72,0.0,1012,30,10,62,23
2020-01-26,29,22,0.0,11.6,7,7,4,07:41 AM,07:40 PM,06:38 AM,06:21 PM,19,28,28,26,25,5,69,0.0,1012,29,10,70,18
2020-01-27,29,23,0.0,11.6,7,7,11,08:24 AM,08:27 PM,06:38 AM,06:22 PM,19,27,27,26,20,1,69,0.0,1012,29,10,81,14
2020-01-28,29,24,0.0,11.6,7,7,18,09:06 AM,09:13 PM,06:38 AM,06:22 PM,21,28,28,26,23,22,72,0.0,1012,29,10,84,16
2020-01-29,29,24,0.0,11.6,7,7,26,09:45 AM,09:58 PM,06:38 AM,06:22 PM,21,29,29,26,24,21,72,0.0,1012,29,10,77,17
2020-01-30,30,24,0.0,11.6,7,7,33,10:22 AM,10:41 PM,06:38 AM,06:23 PM,21,28,28,26,23,19,72,0.0,1012,30,10,70,16
2020-01-31,29,24,0.0,11.6,7,7,37,11:00 AM,11:25 PM,06:38 AM,06:23 PM,21,28,28,26,25,18,71,0.0,1010,29,10,72,18
2020-02-01,29,24,0.0,10.2,7,7,49,11:39 AM,No moonset,06:38 AM,06:23 PM,20,29,29,27,25,24,70,0.1,1011,29,10,76,18
2020-02-02,29,24,0.0,10.2,7,7,57,12:18 PM,12:10 AM,06:38 AM,06:24 PM,20,29,29,27,28,32,70,0.1,1013,29,10,68,20
2020-02-03,30,23,0.0,10.2,6,6,64,01:02 PM,12:57 AM,06:38 AM,06:24 PM,21,29,29,26,31,32,72,0.2,1013,30,10,62,23
2020-02-04,29,24,0.0,7.3,6,6,72,01:49 PM,01:48 AM,06:38 AM,06:24 PM,21,29,29,26,28,62,73,0.8,1012,29,10,61,20
2020-02-05,29,25,0.0,5.9,6,6,79,02:40 PM,02:40 AM,06:38 AM,06:25 PM,22,29,29,27,28,62,73,0.8,1012,29,10,70,21
2020-02-06,29,24,0.0,11.6,7,7,87,03:36 PM,03:37 AM,06:38 AM,06:25 PM,21,29,29,26,23,19,71,0.0,1012,29,10,75,17
2020-02-07,29,25,0.0,11.6,7,7,95,04:35 PM,04:36 AM,06:38 AM,06:25 PM,20,29,29,27,24,30,69,0.0,1013,29,10,72,18
2020-02-08,29,25,0.0,11.6,7,7,100,05:37 PM,05:35 AM,06:38 AM,06:25 PM,20,29,29,27,20,32,68,0.0,1013,29,10,81,15
2020-02-09,28,25,0.0,11.6,7,7,100,06:39 PM,06:32 AM,06:37 AM,06:26 PM,21,29,29,27,27,26,70,0.0,1013,28,10,69,20
2020-02-10,29,24,0.0,10.2,6,6,83,07:40 PM,07:28 AM,06:37 AM,06:26 PM,21,29,29,27,33,42,71,0.5,1012,29,10,59,24
2020-02-11,30,24,0.0,10.2,6,6,75,08:38 PM,08:20 AM,06:37 AM,06:26 PM,21,29,29,27,36,36,71,1.5,1012,30,10,61,26
2020-02-12,30,25,0.0,7.4,6,6,68,09:35 PM,09:10 AM,06:37 AM,06:26 PM,22,30,30,27,40,51,73,1.4,1013,30,10,55,29
2020-02-13,30,25,0.0,7.4,6,6,60,10:29 PM,09:58 AM,06:37 AM,06:26 PM,22,30,30,27,34,59,72,1.9,1013,30,10,53,25
2020-02-14,29,24,0.0,11.6,7,7,53,11:25 PM,10:46 AM,06:36 AM,06:27 PM,20,28,28,27,24,17,70,0.0,1012,29,10,80,18
2020-02-15,30,24,0.0,11.6,7,7,45,No moonrise,11:34 AM,06:36 AM,06:27 PM,21,29,29,27,26,11,69,0.0,1011,30,10,74,19
2020-02-16,29,24,0.0,11.6,7,7,38,12:20 AM,12:23 PM,06:36 AM,06:27 PM,20,29,29,27,29,7,66,0.0,1012,29,10,68,21
2020-02-17,30,24,0.0,11.6,7,7,30,01:15 AM,01:14 PM,06:36 AM,06:27 PM,20,29,29,27,32,26,69,0.1,1013,30,10,63,24
2020-02-18,30,23,0.0,11.6,7,7,22,02:10 AM,02:06 PM,06:35 AM,06:27 PM,19,28,28,26,30,17,67,0.0,1013,30,10,65,22
2020-02-19,30,23,0.0,11.6,7,7,15,03:05 AM,02:59 PM,06:35 AM,06:27 PM,20,28,28,26,31,12,68,0.0,1012,30,10,65,23
2020-02-20,29,23,0.0,11.6,7,7,7,03:59 AM,03:53 PM,06:35 AM,06:28 PM,20,28,28,26,34,20,69,0.1,1012,29,10,57,25
2020-02-21,30,24,0.0,8.8,6,6,0,04:49 AM,04:44 PM,06:34 AM,06:28 PM,22,30,30,27,37,61,72,0.6,1013,30,10,54,27
2020-02-22,30,26,0.0,7.4,6,6,0,05:37 AM,05:35 PM,06:34 AM,06:28 PM,22,30,30,27,43,60,74,5.8,1013,30,10,60,31
2020-02-23,30,25,0.0,10.2,6,6,0,06:21 AM,06:23 PM,06:34 AM,06:28 PM,22,30,30,28,38,43,72,0.9,1013,30,10,59,28
2020-02-24,30,25,0.0,10.2,6,6,0,07:03 AM,07:09 PM,06:33 AM,06:28 PM,22,30,30,27,33,32,72,0.4,1011,30,10,63,24
2020-02-25,30,25,0.0,11.6,7,7,8,07:43 AM,07:54 PM,06:33 AM,06:28 PM,22,30,30,27,25,23,73,0.0,1010,30,10,67,19
2020-02-26,30,25,0.0,10.2,6,6,15,08:21 AM,08:37 PM,06:32 AM,06:28 PM,22,30,30,28,27,36,71,0.9,1010,30,10,71,19
2020-02-27,30,25,0.0,11.6,7,7,23,08:58 AM,09:22 PM,06:32 AM,06:28 PM,22,30,30,28,30,31,70,0.2,1010,30,10,68,23
2020-02-28,30,26,0.0,11.6,7,7,30,09:36 AM,10:06 PM,06:32 AM,06:28 PM,21,30,30,28,32,36,68,0.3,1010,30,10,67,24
2020-02-29,29,25,0.0,10.2,6,6,38,10:15 AM,10:51 PM,06:31 AM,06:28 PM,21,29,29,27,23,37,69,0.3,1010,29,10,75,17
2020-03-01,29,26,0.0,7.4,6,6,44,10:56 AM,11:39 PM,06:31 AM,06:28 PM,21,29,29,27,24,50,68,0.4,1010,29,10,72,18
2020-03-02,30,24,0.0,11.6,7,7,51,11:41 AM,No moonset,06:30 AM,06:28 PM,21,29,29,27,15,24,67,0.0,1011,30,10,94,12
2020-03-03,30,26,0.0,11.6,7,7,58,12:28 PM,12:29 AM,06:30 AM,06:28 PM,20,30,30,28,17,16,64,0.0,1011,30,10,89,13
2020-03-04,31,27,0.0,11.6,7,7,65,01:21 PM,01:23 AM,06:29 AM,06:28 PM,22,31,31,28,13,22,67,0.1,1010,31,10,103,10
2020-03-05,30,24,0.0,11.6,7,7,73,02:17 PM,02:19 AM,06:29 AM,06:28 PM,22,31,31,28,16,31,68,0.1,1010,30,10,111,12
2020-03-06,31,27,0.0,11.6,7,7,80,03:17 PM,03:17 AM,06:29 AM,06:28 PM,23,32,32,29,22,27,71,0.2,1010,31,10,161,16
2020-03-07,31,26,0.0,10.2,6,6,87,04:18 PM,04:14 AM,06:28 AM,06:28 PM,22,32,32,28,21,28,70,2.1,1012,31,10,159,15
2020-03-08,30,27,0.0,7.4,6,6,95,05:19 PM,05:10 AM,06:28 AM,06:28 PM,23,32,32,28,12,46,73,0.2,1011,30,10,110,9
2020-03-09,30,27,0.0,11.6,7,7,100,06:19 PM,06:04 AM,06:27 AM,06:28 PM,22,31,31,28,21,30,71,0.2,1010,30,10,88,16
2020-03-10,31,26,0.0,11.6,7,7,100,07:18 PM,06:56 AM,06:27 AM,06:28 PM,21,31,31,28,23,13,67,0.0,1010,31,10,81,17
2020-03-11,31,26,0.0,10.2,7,7,84,08:15 PM,07:46 AM,06:26 AM,06:28 PM,22,31,31,28,18,30,70,0.4,1011,31,10,90,13
2020-03-12,30,27,0.0,10.2,7,7,76,09:13 PM,08:35 AM,06:26 AM,06:28 PM,22,31,31,28,22,30,68,0.6,1011,30,10,87,16
2020-03-13,31,26,0.0,11.6,7,7,69,10:10 PM,09:26 AM,06:25 AM,06:28 PM,21,31,31,29,26,14,66,0.0,1011,31,10,76,20
2020-03-14,31,26,0.0,10.2,6,6,62,11:08 PM,10:16 AM,06:25 AM,06:28 PM,22,31,31,28,25,33,70,0.4,1010,31,10,74,19
2020-03-15,31,26,0.0,11.6,7,7,55,No moonrise,11:08 AM,06:24 AM,06:28 PM,21,31,31,28,26,19,66,0.1,1010,31,10,76,20
2020-03-16,31,27,0.0,10.2,7,7,47,12:05 AM,12:02 PM,06:23 AM,06:28 PM,23,32,32,29,26,39,71,0.2,1011,31,10,68,19
2020-03-17,32,27,0.0,10.2,6,6,40,01:01 AM,12:55 PM,06:23 AM,06:28 PM,22,32,32,29,32,37,68,0.6,1012,32,10,67,24
2020-03-18,32,27,0.0,10.2,6,6,33,01:56 AM,01:49 PM,06:22 AM,06:28 PM,23,33,33,29,29,49,70,0.8,1012,32,10,77,22
2020-03-19,31,27,0.0,10.2,6,6,25,02:47 AM,02:41 PM,06:22 AM,06:28 PM,23,33,33,29,25,38,68,12.7,1011,31,9,90,17
2020-03-20,31,27,0.0,11.6,7,7,18,03:36 AM,03:32 PM,06:21 AM,06:28 PM,22,32,32,29,17,10,67,0.0,1011,31,10,102,13
2020-03-21,32,28,0.0,10.2,6,6,11,04:20 AM,04:20 PM,06:21 AM,06:28 PM,23,34,34,29,14,21,70,0.4,1011,32,10,127,11
2020-03-22,32,27,0.0,11.6,8,8,4,05:02 AM,05:07 PM,06:20 AM,06:28 PM,23,33,33,29,15,7,68,0.0,1011,32,10,121,12
2020-03-23,31,28,0.0,11.6,7,7,0,05:43 AM,05:52 PM,06:20 AM,06:28 PM,23,33,33,29,16,20,68,0.1,1010,31,10,96,12
2020-03-24,31,27,0.0,11.6,7,7,0,06:20 AM,06:35 PM,06:19 AM,06:28 PM,22,32,32,29,23,24,65,0.1,1009,31,10,89,17
2020-03-25,31,27,0.0,11.6,7,7,3,06:58 AM,07:19 PM,06:19 AM,06:28 PM,21,32,32,29,20,31,63,0.2,1009,31,10,95,15
2020-03-26,31,27,0.0,11.6,7,7,11,07:36 AM,08:03 PM,06:18 AM,06:28 PM,21,32,32,29,24,11,62,0.0,1009,31,10,87,18
2020-03-27,31,27,0.0,10.2,6,6,18,08:14 AM,08:48 PM,06:18 AM,06:28 PM,22,32,32,29,25,29,65,0.4,1011,31,10,81,19
2020-03-28,31,27,0.0,11.6,7,7,25,08:54 AM,09:36 PM,06:17 AM,06:28 PM,21,32,32,29,18,20,64,0.0,1010,31,10,86,14
2020-03-29,32,25,0.0,11.6,7,7,32,09:38 AM,10:24 PM,06:16 AM,06:28 PM,22,31,31,29,15,12,65,0.0,1009,32,10,95,12
2020-03-30,32,26,0.0,11.6,8,8,40,10:23 AM,11:16 PM,06:16 AM,06:27 PM,22,33,33,29,15,2,61,0.0,1009,32,10,89,12
2020-03-31,32,27,0.0,11.6,7,7,44,11:13 AM,No moonset,06:15 AM,06:27 PM,21,32,32,29,21,0,60,0.0,1010,32,10,81,16
2020-04-01,32,26,0.0,11.6,7,7,56,12:06 PM,12:10 AM,06:15 AM,06:27 PM,21,32,32,29,23,10,62,0.0,1010,32,10,81,17
2020-04-02,32,25,0.0,11.6,7,7,64,01:03 PM,01:05 AM,06:14 AM,06:27 PM,22,32,32,29,19,10,64,0.0,1009,32,10,96,14
2020-04-03,32,25,0.0,11.6,7,7,71,02:01 PM,02:01 AM,06:14 AM,06:27 PM,22,32,32,29,16,21,64,0.1,1010,32,10,99,12
2020-04-04,32,27,0.0,11.6,8,8,79,03:00 PM,02:56 AM,06:13 AM,06:27 PM,23,33,33,29,21,34,67,0.4,1010,32,10,90,16
2020-04-05,32,28,0.0,8.8,7,7,87,04:00 PM,03:49 AM,06:13 AM,06:27 PM,23,34,34,30,14,57,67,2.4,1011,32,10,115,11
2020-04-06,32,28,0.0,11.6,8,8,94,04:58 PM,04:40 AM,06:12 AM,06:27 PM,23,34,34,30,16,9,68,0.0,1011,32,10,127,12
2020-04-07,33,28,0.0,11.6,8,8,100,05:56 PM,05:31 AM,06:12 AM,06:27 PM,24,35,35,30,20,5,69,0.0,1010,33,10,150,15
2020-04-08,33,28,0.0,11.6,8,8,100,06:54 PM,06:21 AM,06:11 AM,06:27 PM,23,35,35,31,17,12,66,0.0,1010,33,10,143,13
