date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,32,23,0.0,10.2,6,6,37,11:18 AM,11:26 PM,06:43 AM,06:14 PM,21,29,29,27,10,37,74,0.3,1013,32,10,192,7
2020-01-02,34,23,0.0,11.6,7,7,44,11:56 AM,No moonset,06:43 AM,06:14 PM,22,31,31,28,12,34,74,0.0,1014,34,10,230,8
2020-01-03,35,24,0.0,11.6,7,7,51,12:33 PM,12:10 AM,06:43 AM,06:15 PM,22,31,31,28,12,15,74,0.0,1013,35,9,215,8
2020-01-04,34,24,0.0,11.6,7,7,59,01:11 PM,12:55 AM,06:44 AM,06:16 PM,23,31,31,28,10,29,77,0.6,1011,34,9,198,7
2020-01-05,34,23,0.0,11.6,6,6,66,01:50 PM,01:41 AM,06:44 AM,06:16 PM,22,31,31,27,6,27,77,0.1,1011,34,8,216,4
2020-01-06,34,24,0.0,11.6,7,7,73,02:31 PM,02:28 AM,06:44 AM,06:17 PM,21,31,31,28,14,9,66,0.0,1012,34,10,54,10
2020-01-07,34,24,0.0,11.6,7,7,80,03:17 PM,03:18 AM,06:45 AM,06:17 PM,19,30,30,28,21,11,60,0.0,1012,34,10,61,14
2020-01-08,33,23,0.0,11.6,7,7,88,04:06 PM,04:11 AM,06:45 AM,06:18 PM,20,30,30,28,15,9,66,0.0,1012,33,10,125,11
2020-01-09,35,22,0.0,11.6,7,7,95,05:01 PM,05:08 AM,06:45 AM,06:18 PM,20,32,32,29,12,5,65,0.0,1012,35,10,132,7
2020-01-10,34,23,0.0,11.6,7,7,100,05:59 PM,06:06 AM,06:46 AM,06:19 PM,19,30,30,28,10,3,62,0.0,1012,34,10,89,7
2020-01-11,33,21,0.0,11.6,7,7,100,07:00 PM,07:05 AM,06:46 AM,06:19 PM,16,28,28,26,22,0,54,0.0,1012,33,10,52,15
2020-01-12,32,21,0.0,11.6,7,7,83,08:01 PM,08:03 AM,06:46 AM,06:20 PM,16,28,28,27,18,0,56,0.0,1012,32,10,54,12
2020-01-13,33,21,0.0,11.6,7,7,76,09:02 PM,08:58 AM,06:47 AM,06:20 PM,19,28,28,26,10,5,68,0.0,1011,33,10,206,7
2020-01-14,34,22,0.0,11.6,7,7,69,10:00 PM,09:50 AM,06:47 AM,06:21 PM,20,29,29,27,10,12,69,0.0,1011,34,10,201,7
2020-01-15,33,22,0.0,11.6,7,7,61,10:56 PM,10:38 AM,06:47 AM,06:21 PM,18,30,30,28,12,1,62,0.0,1011,33,10,117,9
2020-01-16,34,21,0.0,11.6,7,7,54,11:51 PM,11:25 AM,06:47 AM,06:22 PM,18,28,28,26,13,9,64,0.0,1012,34,10,111,8
2020-01-17,35,21,0.0,11.6,7,7,47,No moonrise,12:10 PM,06:47 AM,06:22 PM,19,28,28,26,11,11,67,0.0,1012,35,10,206,7
2020-01-18,34,22,0.0,11.6,7,7,40,12:45 AM,12:55 PM,06:48 AM,06:23 PM,21,30,30,27,12,30,72,0.0,1011,34,10,115,8
2020-01-19,35,24,0.0,11.6,7,7,32,01:39 AM,01:42 PM,06:48 AM,06:23 PM,20,31,31,28,18,32,64,0.0,1011,35,10,46,13
2020-01-20,35,23,0.0,11.6,8,8,25,02:34 AM,02:31 PM,06:48 AM,06:24 PM,20,31,31,29,14,10,64,0.0,1012,35,10,51,10
2020-01-21,35,23,0.0,11.6,7,7,18,03:30 AM,03:22 PM,06:48 AM,06:24 PM,18,31,31,29,18,8,55,0.0,1013,35,10,61,12
2020-01-22,35,24,0.0,11.6,8,8,11,04:25 AM,04:15 PM,06:48 AM,06:25 PM,18,31,31,29,24,5,55,0.0,1013,35,10,62,16
2020-01-23,35,24,0.0,11.6,8,8,3,05:21 AM,05:09 PM,06:48 AM,06:25 PM,19,31,31,29,26,4,56,0.0,1012,35,10,61,18
2020-01-24,35,24,0.0,11.6,8,8,0,06:14 AM,06:03 PM,06:48 AM,06:26 PM,17,31,31,29,21,3,52,0.0,1012,35,10,61,14
2020-01-25,36,22,0.0,11.6,7,7,0,07:04 AM,06:55 PM,06:48 AM,06:26 PM,16,29,29,28,14,0,55,0.0,1012,36,10,120,9
2020-01-26,35,21,0.0,11.6,7,7,4,07:51 AM,07:46 PM,06:48 AM,06:26 PM,17,28,28,27,12,0,57,0.0,1012,35,10,235,8
2020-01-27,37,22,0.0,11.6,7,7,11,08:34 AM,08:33 PM,06:48 AM,06:27 PM,19,29,29,27,8,7,68,0.0,1012,37,10,217,6
2020-01-28,34,22,0.0,11.6,7,7,18,09:15 AM,09:20 PM,06:48 AM,06:27 PM,21,29,29,27,10,18,76,0.0,1012,34,9,300,7
2020-01-29,34,22,0.0,11.6,7,7,26,09:53 AM,10:05 PM,06:48 AM,06:28 PM,21,29,29,27,10,18,76,0.0,1013,34,7,190,7
2020-01-30,36,22,0.0,11.6,7,7,33,10:30 AM,10:49 PM,06:48 AM,06:28 PM,21,30,30,27,10,14,77,0.0,1012,36,6,196,7
2020-01-31,36,22,0.0,11.6,7,7,37,11:07 AM,11:34 PM,06:48 AM,06:28 PM,21,30,30,27,9,14,75,0.0,1011,36,7,203,7
2020-02-01,34,22,0.0,10.2,6,6,49,11:45 AM,No moonset,06:48 AM,06:29 PM,21,29,29,27,11,39,74,0.4,1011,34,9,191,8
2020-02-02,35,23,0.0,11.6,7,7,57,12:25 PM,12:19 AM,06:48 AM,06:29 PM,19,29,29,28,13,24,65,0.1,1013,35,10,138,9
2020-02-03,35,22,0.0,11.6,7,7,64,01:07 PM,01:07 AM,06:48 AM,06:30 PM,19,29,29,27,12,10,65,0.0,1013,35,9,118,8
2020-02-04,35,22,0.0,11.6,7,7,72,01:54 PM,01:58 AM,06:48 AM,06:30 PM,19,29,29,26,14,4,68,0.0,1012,35,9,129,9
2020-02-05,35,22,0.0,11.6,7,7,79,02:45 PM,02:51 AM,06:48 AM,06:30 PM,20,29,29,27,11,13,70,0.0,1012,35,10,202,8
2020-02-06,34,22,0.0,11.6,7,7,87,03:41 PM,03:48 AM,06:48 AM,06:31 PM,21,30,30,27,10,36,74,0.1,1012,34,8,189,7
2020-02-07,36,22,0.0,10.2,7,7,95,04:40 PM,04:47 AM,06:47 AM,06:31 PM,21,29,29,27,11,50,75,0.4,1013,36,8,198,8
2020-02-08,35,22,0.0,11.6,7,7,100,05:43 PM,05:46 AM,06:47 AM,06:31 PM,21,29,29,27,11,16,75,0.0,1013,35,7,286,8
2020-02-09,35,20,0.0,11.6,7,7,100,06:45 PM,06:43 AM,06:47 AM,06:31 PM,20,29,29,27,10,12,69,0.0,1013,35,9,215,7
2020-02-10,36,23,0.0,11.6,8,8,83,07:46 PM,07:38 AM,06:47 AM,06:32 PM,19,31,31,29,17,7,62,0.0,1012,36,10,135,12
2020-02-11,35,23,0.0,11.6,7,7,75,08:45 PM,08:29 AM,06:47 AM,06:32 PM,18,30,30,28,22,6,54,0.0,1012,35,10,57,16
2020-02-12,35,24,0.0,11.6,8,8,68,09:42 PM,09:18 AM,06:46 AM,06:32 PM,18,31,31,29,21,6,54,0.0,1013,35,10,54,15
