date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,30,22,0.0,8.7,6,6,37,11:08 AM,11:16 PM,06:33 AM,06:04 PM,22,28,28,25,18,44,81,0.6,1014,30,10,60,12
2020-01-02,31,22,0.0,8.7,6,6,44,11:46 AM,No moonset,06:34 AM,06:04 PM,22,28,28,26,15,43,81,0.1,1015,31,8,68,10
2020-01-03,30,23,0.0,5.9,6,6,51,12:23 PM,12:00 AM,06:34 AM,06:05 PM,22,29,29,26,13,67,82,2.3,1014,30,8,73,9
2020-01-04,30,23,0.0,10.2,6,6,59,01:01 PM,12:45 AM,06:34 AM,06:05 PM,22,29,29,26,12,59,81,0.3,1012,30,8,85,8
2020-01-05,30,23,0.0,10.2,6,6,66,01:40 PM,01:31 AM,06:35 AM,06:06 PM,22,29,29,26,14,36,79,0.1,1012,30,9,81,10
2020-01-06,30,23,0.0,8.7,6,6,73,02:21 PM,02:18 AM,06:35 AM,06:06 PM,22,28,28,26,18,72,81,2.2,1014,30,9,72,12
2020-01-07,29,22,0.0,8.7,6,6,80,03:06 PM,03:08 AM,06:35 AM,06:07 PM,21,27,27,25,20,66,81,2.2,1014,29,8,53,14
2020-01-08,30,21,0.0,11.6,7,7,88,03:56 PM,04:01 AM,06:36 AM,06:07 PM,20,27,27,25,19,49,76,0.3,1013,30,9,46,13
2020-01-09,30,20,0.0,11.6,7,7,95,04:50 PM,04:58 AM,06:36 AM,06:08 PM,19,25,25,24,16,4,73,0.0,1013,30,10,53,11
2020-01-10,29,21,0.0,11.6,7,7,100,05:48 PM,05:57 AM,06:36 AM,06:08 PM,18,25,25,24,18,8,72,0.0,1013,29,10,55,13
2020-01-11,29,20,0.0,11.6,7,7,100,06:49 PM,06:56 AM,06:37 AM,06:09 PM,18,25,25,24,21,13,73,0.0,1014,29,10,45,14
2020-01-12,29,20,0.0,5.9,6,6,83,07:51 PM,07:53 AM,06:37 AM,06:10 PM,19,25,25,24,19,75,77,0.9,1013,29,10,56,13
2020-01-13,29,21,0.0,10.2,6,6,76,08:51 PM,08:48 AM,06:37 AM,06:10 PM,19,26,26,24,16,36,75,0.2,1012,29,10,49,11
2020-01-14,30,21,0.0,11.6,7,7,69,09:50 PM,09:40 AM,06:37 AM,06:11 PM,17,26,26,25,16,15,68,0.0,1012,30,10,53,11
2020-01-15,29,19,0.0,11.6,6,6,61,10:45 PM,10:28 AM,06:38 AM,06:11 PM,17,25,25,23,18,5,67,0.0,1013,29,10,57,12
2020-01-16,30,19,0.0,11.6,7,7,54,11:41 PM,11:15 AM,06:38 AM,06:12 PM,18,25,25,24,16,7,68,0.0,1013,30,10,71,11
2020-01-17,31,21,0.0,11.6,6,6,47,No moonrise,12:00 PM,06:38 AM,06:12 PM,20,27,27,25,17,45,76,0.8,1013,31,10,58,11
2020-01-18,29,22,0.0,7.3,6,6,40,12:34 AM,12:45 PM,06:38 AM,06:13 PM,22,28,28,25,21,73,82,4.2,1012,29,9,67,14
2020-01-19,30,22,0.0,7.3,6,6,32,01:29 AM,01:32 PM,06:38 AM,06:13 PM,21,28,28,25,21,54,76,0.6,1013,30,9,52,15
2020-01-20,31,21,0.0,11.6,7,7,25,02:24 AM,02:20 PM,06:38 AM,06:13 PM,19,27,27,25,20,28,72,0.0,1014,31,10,55,14
2020-01-21,30,20,0.0,11.6,7,7,18,03:20 AM,03:11 PM,06:38 AM,06:14 PM,19,26,26,25,23,13,72,0.0,1015,30,10,59,16
2020-01-22,28,21,0.0,7.3,6,6,11,04:16 AM,04:04 PM,06:39 AM,06:14 PM,20,27,27,25,26,56,75,0.2,1015,28,10,50,18
2020-01-23,30,23,0.0,7.3,6,6,3,05:11 AM,04:58 PM,06:39 AM,06:15 PM,20,28,28,26,26,60,72,1.0,1014,30,10,51,19
2020-01-24,31,21,0.0,11.6,7,7,0,06:04 AM,05:52 PM,06:39 AM,06:15 PM,19,27,27,26,22,23,73,0.1,1014,31,10,59,15
2020-01-25,31,19,0.0,11.6,7,7,0,06:54 AM,06:44 PM,06:39 AM,06:16 PM,16,25,25,25,18,0,63,0.0,1014,31,10,49,12
2020-01-26,31,21,0.0,11.6,7,7,4,07:41 AM,07:35 PM,06:39 AM,06:16 PM,17,26,26,25,12,1,65,0.0,1013,31,10,66,9
2020-01-27,31,22,0.0,11.6,7,7,11,08:24 AM,08:23 PM,06:39 AM,06:17 PM,18,28,28,26,11,0,64,0.0,1013,31,10,93,8
2020-01-28,32,20,0.0,11.6,7,7,18,09:05 AM,09:10 PM,06:39 AM,06:17 PM,19,28,28,27,13,7,67,0.0,1013,32,10,86,9
2020-01-29,32,21,0.0,11.6,7,7,26,09:43 AM,09:55 PM,06:39 AM,06:17 PM,19,28,28,26,13,7,68,0.0,1014,32,10,85,9
2020-01-30,32,20,0.0,11.6,7,7,33,10:20 AM,10:39 PM,06:39 AM,06:18 PM,18,28,28,26,11,4,66,0.0,1013,32,10,79,8
2020-01-31,33,21,0.0,11.6,7,7,37,10:57 AM,11:24 PM,06:39 AM,06:18 PM,18,28,28,27,14,6,67,0.0,1012,33,10,89,10
2020-02-01,32,21,0.0,8.8,6,6,49,11:35 AM,No moonset,06:39 AM,06:19 PM,19,28,28,26,14,36,67,0.2,1013,32,10,84,10
2020-02-02,32,20,0.0,11.6,7,7,57,12:14 PM,12:09 AM,06:38 AM,06:19 PM,18,27,27,25,19,11,66,0.0,1015,32,10,73,13
2020-02-03,32,20,0.0,11.6,7,7,64,12:57 PM,12:57 AM,06:38 AM,06:19 PM,17,27,27,26,22,6,65,0.0,1015,32,10,62,15
2020-02-04,31,20,0.0,7.3,6,6,72,01:43 PM,01:48 AM,06:38 AM,06:20 PM,19,26,26,25,18,59,73,0.5,1013,31,10,70,13
2020-02-05,31,22,0.0,7.3,6,6,79,02:34 PM,02:42 AM,06:38 AM,06:20 PM,19,28,28,26,18,49,69,1.9,1013,31,8,69,13
2020-02-06,31,21,0.0,11.6,7,7,87,03:30 PM,03:39 AM,06:38 AM,06:20 PM,17,27,27,26,13,7,62,0.0,1014,31,10,80,9
2020-02-07,31,21,0.0,11.6,7,7,95,04:29 PM,04:37 AM,06:38 AM,06:21 PM,18,27,27,26,13,15,65,0.0,1014,31,10,84,10
2020-02-08,32,21,0.0,11.6,7,7,100,05:32 PM,05:36 AM,06:38 AM,06:21 PM,18,28,28,26,12,22,64,0.0,1014,32,10,90,9
2020-02-09,32,22,0.0,8.8,6,6,100,06:34 PM,06:33 AM,06:37 AM,06:21 PM,18,29,29,27,17,37,65,0.0,1014,32,10,69,12
2020-02-10,30,21,0.0,8.8,6,6,83,07:35 PM,07:28 AM,06:37 AM,06:21 PM,19,27,27,25,21,37,70,0.3,1014,30,10,60,15
2020-02-11,30,21,0.0,10.2,6,6,75,08:34 PM,08:19 AM,06:37 AM,06:22 PM,19,27,27,25,22,47,72,1.2,1015,30,10,63,15
2020-02-12,30,21,0.0,5.9,6,6,68,09:32 PM,09:08 AM,06:37 AM,06:22 PM,21,28,28,25,25,64,76,1.7,1015,30,8,55,18
2020-02-13,33,22,0.0,10.2,6,6,60,10:28 PM,09:55 AM,06:36 AM,06:22 PM,19,29,29,27,24,28,67,0.2,1014,33,10,60,17
2020-02-14,34,22,0.0,11.6,7,7,53,11:24 PM,10:42 AM,06:36 AM,06:23 PM,17,29,29,28,14,3,59,0.0,1013,34,10,45,10
2020-02-15,34,22,0.0,11.6,7,7,45,No moonrise,11:30 AM,06:36 AM,06:23 PM,15,30,30,28,16,2,53,0.0,1013,34,10,55,11
2020-02-16,33,22,0.0,11.6,7,7,38,12:20 AM,12:18 PM,06:35 AM,06:23 PM,16,29,29,28,18,0,56,0.0,1014,33,10,62,13
2020-02-17,33,20,0.0,11.6,7,7,30,01:16 AM,01:08 PM,06:35 AM,06:23 PM,16,28,28,27,18,9,60,0.0,1015,33,10,62,13
2020-02-18,33,20,0.0,11.6,7,7,22,02:12 AM,02:00 PM,06:35 AM,06:23 PM,15,27,27,26,19,0,57,0.0,1014,33,10,59,13
2020-02-19,33,21,0.0,11.6,7,7,15,03:07 AM,02:53 PM,06:34 AM,06:24 PM,16,28,28,27,18,2,59,0.0,1014,33,10,64,13
2020-02-20,33,20,0.0,11.6,7,7,7,04:00 AM,03:47 PM,06:34 AM,06:24 PM,17,27,27,26,21,13,64,0.0,1014,33,10,70,15
2020-02-21,32,21,0.0,8.8,6,6,0,04:50 AM,04:39 PM,06:34 AM,06:24 PM,19,27,27,26,24,46,68,0.0,1015,32,10,66,17
2020-02-22,32,22,0.0,7.4,6,6,0,05:38 AM,05:30 PM,06:33 AM,06:24 PM,20,29,29,26,26,59,70,0.7,1016,32,10,62,19
2020-02-23,32,22,0.0,8.8,6,6,0,06:21 AM,06:18 PM,06:33 AM,06:24 PM,20,28,28,26,23,61,71,0.8,1015,32,10,59,16
2020-02-24,33,21,0.0,11.6,7,7,0,07:03 AM,07:05 PM,06:32 AM,06:24 PM,19,28,28,26,20,25,69,0.0,1013,33,8,69,14
2020-02-25,34,21,0.0,11.6,7,7,8,07:42 AM,07:51 PM,06:32 AM,06:25 PM,19,30,30,28,16,17,67,0.0,1012,34,9,82,12
2020-02-26,33,22,0.0,11.6,7,7,15,08:19 AM,08:35 PM,06:32 AM,06:25 PM,19,30,30,28,16,38,67,0.1,1012,33,9,79,12
2020-02-27,35,22,0.0,8.8,6,6,23,08:56 AM,09:20 PM,06:31 AM,06:25 PM,19,29,29,27,20,47,68,0.2,1012,35,9,65,14
2020-02-28,33,23,0.0,10.2,6,6,30,09:33 AM,10:05 PM,06:31 AM,06:25 PM,19,29,29,27,20,53,65,0.2,1011,33,10,77,15
2020-02-29,32,22,0.0,10.2,7,7,38,10:11 AM,10:51 PM,06:30 AM,06:25 PM,19,28,28,27,17,48,64,0.2,1011,32,10,92,12
2020-03-01,34,22,0.0,11.6,7,7,44,10:52 AM,11:40 PM,06:30 AM,06:25 PM,18,29,29,27,17,27,61,0.0,1011,34,10,81,12
2020-03-02,34,23,0.0,11.6,7,7,51,11:35 AM,No moonset,06:29 AM,06:25 PM,18,30,30,28,11,20,59,0.0,1012,34,10,48,9
2020-03-03,35,24,0.0,11.6,8,8,58,12:23 PM,12:30 AM,06:29 AM,06:25 PM,17,31,31,30,11,24,53,0.0,1012,35,10,61,8
2020-03-04,36,23,0.0,11.6,8,8,65,01:15 PM,01:25 AM,06:28 AM,06:25 PM,16,31,31,30,12,16,49,0.0,1011,36,10,89,9
2020-03-05,36,24,0.0,11.6,8,8,73,02:11 PM,02:20 AM,06:28 AM,06:25 PM,17,30,30,29,18,18,51,0.0,1010,36,10,128,13
2020-03-06,34,24,0.0,8.8,7,7,80,03:11 PM,03:18 AM,06:27 AM,06:25 PM,21,31,31,29,13,55,64,1.4,1011,34,10,152,10
2020-03-07,34,25,0.0,8.8,6,6,87,04:12 PM,04:15 AM,06:27 AM,06:26 PM,22,31,31,28,20,51,68,5.1,1012,34,10,146,14
2020-03-08,33,24,0.0,6.0,6,6,95,05:14 PM,05:11 AM,06:26 AM,06:26 PM,22,31,31,28,19,70,70,8.9,1011,33,10,120,12
2020-03-09,32,24,0.0,8.8,6,6,100,06:15 PM,06:04 AM,06:25 AM,06:26 PM,21,31,31,28,12,39,67,0.2,1011,32,10,84,9
2020-03-10,35,23,0.0,11.6,7,7,100,07:15 PM,06:55 AM,06:25 AM,06:26 PM,19,30,30,29,14,10,62,0.0,1011,35,10,113,11
2020-03-11,35,22,0.0,11.6,7,7,84,08:13 PM,07:44 AM,06:24 AM,06:26 PM,19,31,31,29,11,14,62,0.0,1012,35,10,127,8
2020-03-12,35,23,0.0,11.6,7,7,76,09:12 PM,08:32 AM,06:24 AM,06:26 PM,18,31,31,30,12,12,59,0.0,1013,35,10,113,9
2020-03-13,36,22,0.0,11.6,7,7,69,10:10 PM,09:22 AM,06:23 AM,06:26 PM,19,31,31,29,17,16,62,0.0,1012,36,10,91,13
2020-03-14,36,22,0.0,10.2,6,6,62,11:08 PM,10:11 AM,06:23 AM,06:26 PM,19,31,31,29,18,32,64,0.2,1011,36,10,75,14
2020-03-15,36,22,0.0,10.2,7,7,55,No moonrise,11:03 AM,06:22 AM,06:26 PM,18,31,31,29,18,36,61,0.2,1011,36,10,77,14
2020-03-16,34,23,0.0,8.8,7,7,47,12:06 AM,11:56 AM,06:22 AM,06:26 PM,20,32,32,29,16,41,65,0.2,1012,34,10,77,12
2020-03-17,37,23,0.0,10.2,8,8,40,01:03 AM,12:49 PM,06:21 AM,06:26 PM,19,31,31,30,19,24,62,0.0,1014,37,10,86,14
2020-03-18,37,23,0.0,11.6,8,8,33,01:57 AM,01:43 PM,06:20 AM,06:26 PM,19,31,31,29,17,24,61,0.0,1013,37,10,88,13
2020-03-19,37,23,0.0,11.6,8,8,25,02:48 AM,02:35 PM,06:20 AM,06:26 PM,19,32,32,30,15,14,60,0.0,1012,37,10,116,11
2020-03-20,37,24,0.0,11.6,8,8,18,03:36 AM,03:27 PM,06:19 AM,06:26 PM,17,33,33,31,12,7,52,0.0,1012,37,10,134,9
2020-03-21,37,25,0.0,11.6,8,8,11,04:20 AM,04:15 PM,06:19 AM,06:26 PM,17,32,32,31,15,15,51,0.0,1011,37,10,127,11
2020-03-22,37,25,0.0,11.6,8,8,4,05:02 AM,05:03 PM,06:18 AM,06:26 PM,18,33,33,32,12,17,54,0.0,1011,37,10,112,9
2020-03-23,36,24,0.0,8.8,7,7,0,05:42 AM,05:48 PM,06:17 AM,06:26 PM,18,31,31,30,14,33,55,0.2,1011,36,10,113,11
2020-03-24,37,24,0.0,11.6,8,8,0,06:19 AM,06:33 PM,06:17 AM,06:26 PM,19,31,31,29,16,14,58,0.0,1010,37,10,99,12
2020-03-25,37,23,0.0,11.6,7,7,3,06:56 AM,07:18 PM,06:16 AM,06:26 PM,19,31,31,29,15,26,60,0.0,1010,37,10,104,11
2020-03-26,37,23,0.0,11.6,8,8,11,07:33 AM,08:02 PM,06:16 AM,06:26 PM,18,32,32,30,17,14,59,0.0,1010,37,10,77,13
2020-03-27,36,23,0.0,10.2,7,7,18,08:10 AM,08:48 PM,06:15 AM,06:26 PM,18,31,31,29,16,29,58,0.2,1012,36,10,89,12
2020-03-28,37,24,0.0,11.6,8,8,25,08:50 AM,09:36 PM,06:14 AM,06:26 PM,18,32,32,30,14,9,56,0.0,1011,37,10,87,11
