date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,30,23,0.0,7.3,6,6,37,11:11 AM,11:21 PM,06:33 AM,06:11 PM,22,29,29,26,13,73,78,2.5,1012,30,10,43,9
2020-01-02,31,23,0.0,5.9,6,6,44,11:50 AM,No moonset,06:34 AM,06:12 PM,22,30,30,27,14,72,78,4.2,1013,31,10,31,10
2020-01-03,30,24,0.0,5.9,6,6,51,12:27 PM,12:05 AM,06:34 AM,06:12 PM,22,30,30,27,13,77,77,2.8,1012,30,10,52,9
2020-01-04,31,24,0.0,5.9,6,6,59,01:05 PM,12:49 AM,06:35 AM,06:13 PM,23,30,30,27,11,71,76,1.7,1011,31,10,43,8
2020-01-05,31,25,0.0,5.9,6,6,66,01:45 PM,01:34 AM,06:35 AM,06:13 PM,22,30,30,27,13,74,76,2.6,1011,31,10,54,9
2020-01-06,30,23,0.0,5.9,6,6,73,02:27 PM,02:20 AM,06:35 AM,06:14 PM,22,29,29,26,20,74,76,5.6,1012,30,10,56,13
2020-01-07,31,23,0.0,7.3,6,6,80,03:13 PM,03:10 AM,06:36 AM,06:14 PM,21,29,29,26,22,72,75,4.1,1012,31,9,54,14
2020-01-08,31,22,0.0,8.7,6,6,88,04:03 PM,04:02 AM,06:36 AM,06:15 PM,20,28,28,26,19,68,74,2.4,1012,31,10,40,13
2020-01-09,29,22,0.0,10.2,6,6,95,04:58 PM,04:58 AM,06:36 AM,06:15 PM,20,28,28,26,15,39,73,0.5,1012,29,10,28,11
2020-01-10,30,22,0.0,11.6,6,6,100,05:56 PM,05:57 AM,06:37 AM,06:16 PM,19,27,27,26,15,12,68,0.0,1011,30,10,25,11
2020-01-11,30,21,0.0,11.6,7,7,100,06:57 PM,06:56 AM,06:37 AM,06:16 PM,18,27,27,25,20,8,68,0.0,1012,30,10,17,14
2020-01-12,30,20,0.0,11.6,7,7,83,07:58 PM,07:54 AM,06:37 AM,06:17 PM,18,27,27,25,19,12,66,0.0,1012,30,10,23,13
2020-01-13,30,23,0.0,8.7,6,6,76,08:58 PM,08:50 AM,06:38 AM,06:17 PM,20,27,27,26,15,50,71,1.5,1011,30,10,37,11
2020-01-14,30,22,0.0,10.2,6,6,69,09:55 PM,09:42 AM,06:38 AM,06:18 PM,19,27,27,25,15,31,72,0.9,1011,30,10,41,11
2020-01-15,30,21,0.0,11.6,7,7,61,10:50 PM,10:31 AM,06:38 AM,06:18 PM,17,26,26,25,17,1,65,0.0,1011,30,10,33,12
2020-01-16,31,21,0.0,11.6,7,7,54,11:44 PM,11:18 AM,06:38 AM,06:19 PM,18,27,27,25,15,14,65,0.0,1011,31,10,46,10
2020-01-17,31,23,0.0,11.6,7,7,47,No moonrise,12:04 PM,06:39 AM,06:19 PM,20,28,28,26,14,29,68,0.1,1011,31,10,45,10
2020-01-18,31,23,0.0,5.9,6,6,40,12:37 AM,12:51 PM,06:39 AM,06:20 PM,21,29,29,26,16,79,74,3.4,1010,31,10,61,11
2020-01-19,27,23,0.0,7.3,6,6,32,01:31 AM,01:38 PM,06:39 AM,06:20 PM,21,27,27,25,15,73,81,5.1,1011,27,10,204,10
2020-01-20,32,22,0.0,10.2,6,6,25,02:25 AM,02:27 PM,06:39 AM,06:21 PM,20,28,28,26,17,35,72,0.0,1012,32,10,39,12
2020-01-21,32,22,0.0,11.6,7,7,18,03:21 AM,03:19 PM,06:39 AM,06:21 PM,20,28,28,26,21,28,68,0.2,1013,32,10,47,15
2020-01-22,30,23,0.0,8.8,6,6,11,04:16 AM,04:12 PM,06:39 AM,06:21 PM,20,28,28,26,24,53,70,0.3,1013,30,10,35,16
2020-01-23,31,25,0.0,7.3,6,6,3,05:12 AM,05:06 PM,06:40 AM,06:22 PM,21,29,29,27,22,67,70,1.4,1011,31,10,41,15
2020-01-24,30,23,0.0,8.8,6,6,0,06:05 AM,06:00 PM,06:40 AM,06:22 PM,20,28,28,26,21,44,70,0.2,1011,30,10,44,14
2020-01-25,32,21,0.0,11.6,7,7,0,06:55 AM,06:52 PM,06:40 AM,06:23 PM,19,28,28,26,16,12,67,0.0,1012,32,10,43,12
2020-01-26,33,21,0.0,11.6,7,7,4,07:43 AM,07:42 PM,06:40 AM,06:23 PM,18,27,27,26,14,5,64,0.0,1012,33,10,153,10
2020-01-27,33,23,0.0,11.6,7,7,11,08:26 AM,08:29 PM,06:40 AM,06:23 PM,18,28,28,26,11,1,62,0.0,1012,33,10,155,8
2020-01-28,33,24,0.0,11.6,7,7,18,09:07 AM,09:15 PM,06:40 AM,06:24 PM,19,29,29,27,11,3,65,0.0,1012,33,10,60,8
2020-01-29,34,23,0.0,11.6,7,7,26,09:46 AM,09:59 PM,06:40 AM,06:24 PM,20,29,29,27,11,34,65,0.0,1012,34,10,55,8
2020-01-30,34,22,0.0,11.6,7,7,33,10:24 AM,10:43 PM,06:40 AM,06:24 PM,19,29,29,27,14,10,64,0.0,1012,34,10,43,10
2020-01-31,33,22,0.0,11.6,7,7,37,11:02 AM,11:27 PM,06:40 AM,06:25 PM,19,28,28,27,13,9,63,0.0,1010,33,10,62,9
2020-02-01,30,22,0.0,5.9,6,6,49,11:40 AM,No moonset,06:40 AM,06:25 PM,19,28,28,26,13,52,65,0.5,1011,30,10,61,9
2020-02-02,32,22,0.0,8.8,6,6,57,12:20 PM,12:12 AM,06:40 AM,06:25 PM,18,28,28,26,19,48,63,0.5,1013,32,10,55,13
2020-02-03,33,22,0.0,11.6,7,7,64,01:03 PM,12:59 AM,06:40 AM,06:26 PM,18,28,28,26,18,18,63,0.0,1013,33,10,43,13
2020-02-04,30,23,0.0,7.3,6,6,72,01:50 PM,01:49 AM,06:40 AM,06:26 PM,19,28,28,26,18,62,67,0.9,1012,30,10,49,13
2020-02-05,30,23,0.0,5.9,6,6,79,02:42 PM,02:42 AM,06:40 AM,06:26 PM,20,28,28,26,14,76,70,2.7,1012,30,10,64,10
2020-02-06,31,23,0.0,11.6,7,7,87,03:38 PM,03:39 AM,06:39 AM,06:27 PM,19,28,28,26,13,34,67,0.0,1012,31,10,44,9
2020-02-07,32,23,0.0,11.6,7,7,95,04:37 PM,04:37 AM,06:39 AM,06:27 PM,19,28,28,26,13,46,63,0.0,1013,32,10,40,9
2020-02-08,32,23,0.0,10.2,7,7,100,05:39 PM,05:37 AM,06:39 AM,06:27 PM,19,28,28,27,12,53,64,0.0,1013,32,10,57,9
2020-02-09,30,24,0.0,5.9,6,6,100,06:41 PM,06:34 AM,06:39 AM,06:27 PM,19,28,28,27,14,62,65,0.5,1012,30,10,50,10
2020-02-10,32,22,0.0,10.2,6,6,83,07:41 PM,07:30 AM,06:39 AM,06:28 PM,19,28,28,26,21,50,65,0.6,1012,32,10,47,15
2020-02-11,32,23,0.0,7.4,6,6,75,08:39 PM,08:22 AM,06:39 AM,06:28 PM,19,28,28,26,23,58,65,1.3,1012,32,10,49,16
2020-02-12,32,22,0.0,6.0,6,6,68,09:36 PM,09:12 AM,06:38 AM,06:28 PM,20,29,29,27,23,77,70,1.3,1013,32,10,41,16
2020-02-13,31,23,0.0,7.4,6,6,60,10:31 PM,10:00 AM,06:38 AM,06:28 PM,20,29,29,27,21,70,70,2.9,1013,31,10,39,14
2020-02-14,33,23,0.0,11.6,7,7,53,11:27 PM,10:47 AM,06:38 AM,06:28 PM,18,28,28,27,15,23,63,0.1,1012,33,10,59,11
2020-02-15,34,23,0.0,11.6,7,7,45,No moonrise,11:36 AM,06:38 AM,06:29 PM,20,29,29,28,14,13,63,0.0,1011,34,10,41,10
2020-02-16,34,23,0.0,11.6,7,7,38,12:21 AM,12:25 PM,06:38 AM,06:29 PM,18,29,29,27,15,9,59,0.0,1012,34,10,48,12
2020-02-17,34,23,0.0,10.2,6,6,30,01:17 AM,01:16 PM,06:37 AM,06:29 PM,18,28,28,27,19,35,61,0.2,1013,34,10,44,14
2020-02-18,33,22,0.0,11.6,7,7,22,02:12 AM,02:08 PM,06:37 AM,06:29 PM,17,28,28,26,18,15,60,0.0,1013,33,10,46,14
2020-02-19,34,21,0.0,11.6,7,7,15,03:07 AM,03:01 PM,06:37 AM,06:29 PM,17,28,28,26,19,14,61,0.0,1012,34,10,43,13
2020-02-20,33,22,0.0,11.6,7,7,7,04:00 AM,03:54 PM,06:36 AM,06:29 PM,17,28,28,27,22,27,59,0.0,1012,33,10,52,16
2020-02-21,31,23,0.0,6.0,6,6,0,04:51 AM,04:46 PM,06:36 AM,06:29 PM,20,29,29,27,21,78,67,1.3,1013,31,10,42,15
2020-02-22,31,24,0.0,7.4,6,6,0,05:39 AM,05:37 PM,06:36 AM,06:30 PM,21,29,29,27,27,68,71,9.1,1013,31,10,59,18
2020-02-23,33,23,0.0,8.8,6,6,0,06:23 AM,06:24 PM,06:35 AM,06:30 PM,20,29,29,27,23,64,67,1.0,1012,33,10,47,17
2020-02-24,33,23,0.0,10.2,6,6,0,07:05 AM,07:11 PM,06:35 AM,06:30 PM,20,29,29,27,19,37,67,0.9,1011,33,10,58,14
2020-02-25,34,23,0.0,11.6,7,7,8,07:45 AM,07:56 PM,06:35 AM,06:30 PM,19,29,29,28,15,17,63,0.0,1010,34,10,51,11
2020-02-26,34,24,0.0,11.6,6,6,15,08:22 AM,08:39 PM,06:34 AM,06:30 PM,19,30,30,28,16,31,60,0.1,1010,34,10,45,12
2020-02-27,34,24,0.0,8.8,6,6,23,09:00 AM,09:23 PM,06:34 AM,06:30 PM,19,30,30,28,18,57,61,0.5,1010,34,10,57,13
2020-02-28,32,24,0.0,8.8,6,6,30,09:38 AM,10:07 PM,06:33 AM,06:30 PM,19,29,29,28,18,64,62,0.6,1010,32,10,49,13
2020-02-29,31,24,0.0,8.8,6,6,38,10:17 AM,10:53 PM,06:33 AM,06:30 PM,19,29,29,27,15,61,63,0.4,1010,31,10,52,11
2020-03-01,32,24,0.0,10.2,6,6,44,10:58 AM,11:41 PM,06:33 AM,06:30 PM,19,29,29,27,16,45,60,0.1,1010,32,10,59,12
2020-03-02,34,24,0.0,11.6,7,7,51,11:42 AM,No moonset,06:32 AM,06:30 PM,19,30,30,28,12,24,59,0.0,1011,34,10,51,9
2020-03-03,35,25,0.0,11.6,8,8,58,12:30 PM,12:31 AM,06:32 AM,06:30 PM,19,31,31,29,12,14,58,0.0,1011,35,10,49,9
2020-03-04,34,26,0.0,8.8,7,7,65,01:23 PM,01:25 AM,06:31 AM,06:30 PM,21,32,32,29,10,54,64,1.6,1010,34,10,88,7
2020-03-05,35,26,0.0,6.0,7,7,73,02:19 PM,02:21 AM,06:31 AM,06:30 PM,21,32,32,29,12,48,62,4.9,1010,35,10,124,8
2020-03-06,35,26,0.0,11.6,8,8,80,03:19 PM,03:19 AM,06:30 AM,06:30 PM,21,32,32,30,11,27,61,0.0,1010,35,10,185,8
2020-03-07,35,26,0.0,11.6,7,7,87,04:20 PM,04:16 AM,06:30 AM,06:30 PM,21,32,32,29,12,28,61,0.0,1011,35,10,125,9
2020-03-08,33,25,0.0,11.6,7,7,95,05:21 PM,05:12 AM,06:29 AM,06:30 PM,21,32,32,29,9,32,65,0.1,1011,33,10,127,7
2020-03-09,34,26,0.0,10.2,7,7,100,06:21 PM,06:06 AM,06:29 AM,06:30 PM,21,32,32,29,12,45,65,2.2,1010,34,10,69,9
2020-03-10,36,25,0.0,11.6,8,8,100,07:20 PM,06:58 AM,06:28 AM,06:30 PM,19,31,31,29,11,13,56,0.0,1010,36,10,45,9
2020-03-11,35,26,0.0,10.2,7,7,84,08:17 PM,07:48 AM,06:28 AM,06:30 PM,20,31,31,29,12,29,59,0.1,1011,35,10,76,10
2020-03-12,35,25,0.0,10.2,7,7,76,09:15 PM,08:37 AM,06:27 AM,06:30 PM,20,31,31,29,9,31,58,0.7,1011,35,10,77,7
2020-03-13,36,25,0.0,11.6,8,8,69,10:12 PM,09:27 AM,06:27 AM,06:30 PM,18,31,31,30,14,11,52,0.0,1011,36,10,61,11
2020-03-14,35,25,0.0,10.2,7,7,62,11:09 PM,10:18 AM,06:26 AM,06:30 PM,20,31,31,29,16,22,60,0.0,1010,35,10,48,12
2020-03-15,36,25,0.0,10.2,7,7,55,No moonrise,11:10 AM,06:26 AM,06:30 PM,19,31,31,29,15,28,57,0.2,1010,36,10,54,12
2020-03-16,33,25,0.0,8.8,7,7,47,12:06 AM,12:03 PM,06:25 AM,06:30 PM,21,31,31,29,16,45,62,0.2,1011,33,10,39,12
2020-03-17,35,25,0.0,8.8,7,7,40,01:03 AM,12:57 PM,06:25 AM,06:30 PM,20,31,31,29,21,43,60,1.2,1012,35,10,60,15
2020-03-18,36,25,0.0,10.2,7,7,33,01:57 AM,01:51 PM,06:24 AM,06:30 PM,21,32,32,30,17,50,61,1.6,1012,36,10,70,13
2020-03-19,35,26,0.0,8.8,7,7,25,02:49 AM,02:43 PM,06:24 AM,06:30 PM,20,32,32,30,12,45,57,5.3,1011,35,10,85,9
2020-03-20,36,27,0.0,11.6,7,7,18,03:37 AM,03:34 PM,06:23 AM,06:30 PM,21,33,33,31,10,25,58,0.2,1011,36,10,88,8
2020-03-21,36,27,0.0,8.8,7,7,11,04:22 AM,04:22 PM,06:23 AM,06:30 PM,21,34,34,31,11,53,60,1.9,1011,36,10,121,9
2020-03-22,37,27,0.0,11.6,8,8,4,05:04 AM,05:09 PM,06:22 AM,06:30 PM,21,33,33,30,10,17,58,0.1,1011,37,10,89,8
2020-03-23,37,27,0.0,10.2,7,7,0,05:44 AM,05:54 PM,06:21 AM,06:30 PM,21,34,34,31,12,26,58,1.4,1010,37,10,92,10
2020-03-24,36,27,0.0,10.2,7,7,0,06:22 AM,06:37 PM,06:21 AM,06:30 PM,19,32,32,30,13,28,54,0.2,1009,36,10,80,10
2020-03-25,36,27,0.0,11.6,8,8,3,07:00 AM,07:21 PM,06:20 AM,06:29 PM,19,32,32,30,14,26,52,0.1,1009,36,10,88,11
