date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,19,0.0,5.8,5,5,37,11:10 AM,11:15 PM,06:37 AM,06:01 PM,20,24,24,23,7,80,85,2.6,1015,28,8,99,5
2020-01-02,28,19,0.0,7.3,5,5,44,11:47 AM,No moonset,06:37 AM,06:02 PM,20,25,25,23,7,67,84,0.2,1015,28,7,137,5
2020-01-03,30,20,0.0,10.2,7,7,51,12:23 PM,12:01 AM,06:37 AM,06:02 PM,20,25,25,24,8,40,81,0.1,1014,30,8,172,5
2020-01-04,31,20,0.0,8.7,6,6,59,01:00 PM,12:46 AM,06:38 AM,06:03 PM,20,26,26,24,7,64,82,0.9,1012,31,8,197,5
2020-01-05,29,20,0.0,5.8,6,6,66,01:39 PM,01:32 AM,06:38 AM,06:03 PM,20,25,25,24,10,74,82,3.8,1012,29,9,126,6
2020-01-06,28,19,0.0,5.8,5,5,73,02:19 PM,02:20 AM,06:38 AM,06:04 PM,20,24,24,23,10,69,84,4.2,1015,28,8,82,6
2020-01-07,28,19,0.0,7.3,5,5,80,03:04 PM,03:11 AM,06:39 AM,06:04 PM,19,23,23,22,9,69,84,2.6,1015,28,8,91,6
2020-01-08,29,18,0.0,11.6,6,6,88,03:53 PM,04:04 AM,06:39 AM,06:05 PM,18,23,23,22,8,28,78,0.1,1014,29,9,66,5
2020-01-09,29,18,0.0,11.6,6,6,95,04:47 PM,05:01 AM,06:39 AM,06:06 PM,18,24,24,23,5,37,78,0.0,1014,29,9,72,4
2020-01-10,28,17,0.0,11.6,6,6,100,05:46 PM,06:00 AM,06:40 AM,06:06 PM,17,23,23,22,9,10,74,0.0,1014,28,10,82,7
2020-01-11,27,15,0.0,11.6,6,6,100,06:47 PM,06:59 AM,06:40 AM,06:07 PM,16,21,21,21,12,11,75,0.0,1015,27,9,68,8
2020-01-12,28,15,0.0,10.2,5,5,83,07:49 PM,07:57 AM,06:40 AM,06:07 PM,17,22,22,21,11,56,78,0.5,1014,28,8,68,7
2020-01-13,29,18,0.0,11.6,6,6,76,08:50 PM,08:51 AM,06:40 AM,06:08 PM,17,22,22,22,9,42,76,0.0,1012,29,7,61,6
2020-01-14,30,17,0.0,11.6,6,6,69,09:49 PM,09:42 AM,06:41 AM,06:08 PM,16,24,24,23,7,20,67,0.2,1013,30,10,64,5
2020-01-15,29,18,0.0,11.6,6,6,61,10:45 PM,10:29 AM,06:41 AM,06:09 PM,16,23,23,23,5,2,69,0.0,1013,29,10,120,4
2020-01-16,29,15,0.0,11.6,6,6,54,11:41 PM,11:15 AM,06:41 AM,06:09 PM,16,23,23,22,7,11,70,0.0,1013,29,10,145,5
2020-01-17,29,17,0.0,11.6,6,6,47,No moonrise,12:00 PM,06:41 AM,06:10 PM,17,24,24,23,9,21,75,0.2,1013,29,9,143,7
2020-01-18,28,18,0.0,7.3,5,5,40,12:36 AM,12:44 PM,06:41 AM,06:10 PM,19,24,24,23,10,77,83,2.4,1013,28,8,94,7
2020-01-19,28,18,0.0,10.2,5,5,32,01:31 AM,01:31 PM,06:41 AM,06:11 PM,18,23,23,22,8,44,79,0.1,1014,28,8,60,6
2020-01-20,31,17,0.0,11.6,7,7,25,02:26 AM,02:18 PM,06:41 AM,06:11 PM,16,24,24,23,10,20,69,0.0,1014,31,8,74,6
2020-01-21,29,17,0.0,11.6,6,6,18,03:23 AM,03:09 PM,06:42 AM,06:12 PM,16,23,23,23,12,5,68,0.0,1016,29,10,69,8
2020-01-22,30,16,0.0,11.6,6,6,11,04:19 AM,04:01 PM,06:42 AM,06:12 PM,17,24,24,22,13,31,76,0.0,1016,30,7,75,9
2020-01-23,30,18,0.0,11.6,6,6,3,05:15 AM,04:55 PM,06:42 AM,06:13 PM,17,24,24,23,11,32,71,0.1,1015,30,10,86,8
2020-01-24,30,16,0.0,11.6,6,6,0,06:08 AM,05:50 PM,06:42 AM,06:13 PM,12,23,23,23,11,6,58,0.0,1015,30,9,62,7
2020-01-25,31,17,0.0,11.6,7,7,0,06:58 AM,06:42 PM,06:42 AM,06:14 PM,10,23,23,23,7,0,47,0.0,1015,31,10,68,5
2020-01-26,33,17,0.0,11.6,7,7,4,07:44 AM,07:33 PM,06:42 AM,06:14 PM,13,26,26,25,5,0,50,0.0,1013,33,10,64,4
2020-01-27,31,19,0.0,11.6,7,7,11,08:27 AM,08:22 PM,06:42 AM,06:15 PM,15,25,25,24,8,1,57,0.0,1013,31,10,160,5
2020-01-28,32,17,0.0,11.6,7,7,18,09:07 AM,09:09 PM,06:42 AM,06:15 PM,16,26,26,25,9,4,66,0.0,1013,32,10,170,6
2020-01-29,32,18,0.0,11.6,7,7,26,09:45 AM,09:55 PM,06:42 AM,06:16 PM,17,26,26,25,9,7,66,0.0,1014,32,10,156,6
2020-01-30,32,18,0.0,11.6,7,7,33,10:21 AM,10:39 PM,06:41 AM,06:16 PM,15,27,27,26,9,2,57,0.0,1013,32,10,162,6
2020-01-31,32,18,0.0,11.6,7,7,37,10:57 AM,11:25 PM,06:41 AM,06:16 PM,15,26,26,25,10,6,61,0.0,1012,32,10,151,7
