date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,21,0.0,5.8,6,6,37,11:14 AM,11:21 PM,06:39 AM,06:08 PM,21,27,27,25,13,77,80,1.9,1014,28,10,84,9
2020-01-02,29,22,0.0,5.9,6,6,44,11:52 AM,No moonset,06:39 AM,06:09 PM,21,27,27,25,13,59,78,1.0,1015,29,9,91,10
2020-01-03,30,22,0.0,8.7,6,6,51,12:28 PM,12:06 AM,06:40 AM,06:09 PM,21,28,28,26,12,48,76,0.4,1014,30,9,88,9
2020-01-04,31,22,0.0,10.2,7,7,59,01:06 PM,12:51 AM,06:40 AM,06:10 PM,21,28,28,26,10,49,77,0.3,1012,31,9,95,7
2020-01-05,31,22,0.0,7.3,6,6,66,01:45 PM,01:37 AM,06:41 AM,06:11 PM,21,28,28,26,17,61,76,3.4,1012,31,10,102,12
2020-01-06,29,21,0.0,5.9,6,6,73,02:26 PM,02:24 AM,06:41 AM,06:11 PM,20,27,27,25,18,71,77,2.6,1014,29,10,80,13
2020-01-07,29,21,0.0,10.2,6,6,80,03:11 PM,03:14 AM,06:41 AM,06:12 PM,20,27,27,25,16,54,76,1.6,1014,29,10,79,12
2020-01-08,30,21,0.0,10.2,6,6,88,04:01 PM,04:07 AM,06:42 AM,06:12 PM,19,26,26,25,13,44,71,0.5,1013,30,10,60,10
2020-01-09,29,20,0.0,8.7,5,5,95,04:55 PM,05:04 AM,06:42 AM,06:13 PM,19,25,25,24,12,44,75,0.0,1013,29,10,74,9
2020-01-10,30,20,0.0,10.2,7,7,100,05:53 PM,06:03 AM,06:42 AM,06:13 PM,18,27,27,25,13,26,70,0.0,1013,30,10,82,10
2020-01-11,30,19,0.0,11.6,6,6,100,06:54 PM,07:02 AM,06:42 AM,06:14 PM,17,26,26,25,11,7,65,0.0,1014,30,10,56,9
2020-01-12,31,19,0.0,11.6,7,7,83,07:56 PM,07:59 AM,06:43 AM,06:14 PM,17,27,27,26,10,6,67,0.0,1014,31,10,75,8
