date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,21,0.0,7.3,6,6,37,11:08 AM,11:13 PM,06:34 AM,06:00 PM,21,27,27,25,12,66,84,2.9,1014,28,8,71,9
2020-01-02,29,22,0.0,10.2,6,6,44,11:45 AM,11:59 PM,06:34 AM,06:00 PM,22,28,28,25,9,60,83,0.7,1015,29,8,90,6
2020-01-03,29,22,0.0,11.6,6,6,51,12:21 PM,No moonset,06:35 AM,06:01 PM,22,28,28,26,7,46,81,0.3,1014,29,8,140,5
2020-01-04,30,22,0.0,10.2,6,6,59,12:58 PM,12:44 AM,06:35 AM,06:01 PM,22,28,28,26,7,51,82,0.0,1012,30,8,141,5
2020-01-05,29,23,0.0,7.3,6,6,66,01:37 PM,01:30 AM,06:36 AM,06:02 PM,22,28,28,26,9,58,81,0.5,1012,29,10,111,6
2020-01-06,29,22,0.0,5.8,6,6,73,02:18 PM,02:18 AM,06:36 AM,06:02 PM,22,27,27,25,14,79,84,3.1,1014,29,8,72,10
2020-01-07,28,22,0.0,5.8,6,6,80,03:03 PM,03:08 AM,06:36 AM,06:03 PM,21,27,27,24,16,65,84,4.2,1014,28,9,73,11
2020-01-08,27,21,0.0,11.6,6,6,88,03:52 PM,04:02 AM,06:37 AM,06:04 PM,19,26,26,24,12,38,76,0.2,1014,27,10,57,9
2020-01-09,29,20,0.0,11.6,7,7,95,04:46 PM,04:59 AM,06:37 AM,06:04 PM,19,26,26,24,8,5,74,0.0,1013,29,10,62,7
2020-01-10,28,22,0.0,11.6,7,7,100,05:44 PM,05:58 AM,06:37 AM,06:05 PM,19,26,26,24,10,3,73,0.0,1014,28,10,63,8
2020-01-11,28,18,0.0,11.6,6,6,100,06:45 PM,06:57 AM,06:37 AM,06:05 PM,18,24,24,23,14,13,74,0.0,1015,28,10,53,10
2020-01-12,29,19,0.0,8.7,5,5,83,07:47 PM,07:54 AM,06:38 AM,06:06 PM,19,25,25,23,12,53,78,0.6,1014,29,10,69,9
2020-01-13,29,20,0.0,11.6,7,7,76,08:48 PM,08:48 AM,06:38 AM,06:06 PM,19,26,26,24,12,47,76,0.3,1012,29,9,69,9
