date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,20,8,0.0,8.7,4,4,37,11:32 AM,11:19 PM,07:14 AM,05:46 PM,4,12,13,12,28,11,56,0.0,1019,20,10,76,17
2020-01-02,21,10,0.0,3.9,4,4,44,12:03 PM,No moonset,07:15 AM,05:47 PM,8,13,14,13,25,49,68,0.0,1020,21,10,70,16
2020-01-03,22,11,0.0,8.7,5,5,51,12:34 PM,12:10 AM,07:15 AM,05:48 PM,9,15,16,15,14,27,65,0.0,1018,22,10,27,8
2020-01-04,22,12,0.0,8.7,5,5,59,01:06 PM,01:01 AM,07:15 AM,05:48 PM,9,16,16,16,11,19,64,0.0,1017,22,10,64,6
2020-01-05,23,12,0.0,8.7,5,5,66,01:39 PM,01:52 AM,07:15 AM,05:49 PM,7,17,17,17,10,6,53,0.0,1018,23,10,156,6
2020-01-06,23,12,0.0,8.7,5,5,73,02:15 PM,02:45 AM,07:16 AM,05:50 PM,5,18,18,18,19,33,45,0.0,1018,23,10,154,11
2020-01-07,25,13,0.0,8.7,5,5,80,02:55 PM,03:41 AM,07:16 AM,05:50 PM,7,18,19,18,17,20,50,0.2,1014,25,10,142,10
2020-01-08,23,13,0.0,8.7,5,5,88,03:40 PM,04:39 AM,07:16 AM,05:51 PM,7,16,17,16,23,32,54,0.2,1013,23,10,315,15
2020-01-09,20,10,0.0,8.7,5,5,95,04:31 PM,05:39 AM,07:16 AM,05:52 PM,3,13,14,13,17,0,51,0.0,1019,20,10,128,10
2020-01-10,20,8,0.0,8.7,4,4,100,05:30 PM,06:39 AM,07:16 AM,05:53 PM,0,13,14,13,11,1,44,0.0,1020,20,10,43,6
2020-01-11,21,8,0.0,8.7,4,4,100,06:32 PM,07:38 AM,07:16 AM,05:53 PM,-1,13,13,13,15,8,40,0.0,1019,21,10,109,8
