date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,18,0.0,10.2,5,5,37,11:17 AM,11:21 PM,06:44 AM,06:05 PM,17,23,23,22,18,50,74,4.3,1014,28,9,126,13
2020-01-02,27,19,0.0,7.3,5,5,44,11:54 AM,No moonset,06:44 AM,06:06 PM,18,24,24,23,17,71,75,1.9,1015,27,10,153,12
2020-01-03,30,19,0.0,11.6,6,6,51,12:29 PM,12:06 AM,06:45 AM,06:07 PM,17,25,25,24,12,28,67,0.0,1014,30,9,219,8
2020-01-04,30,20,0.0,10.2,6,6,59,01:06 PM,12:52 AM,06:45 AM,06:07 PM,16,26,26,25,9,26,60,0.2,1012,30,10,220,6
2020-01-05,29,20,0.0,11.6,7,7,66,01:44 PM,01:39 AM,06:45 AM,06:08 PM,16,25,25,24,12,23,63,0.1,1012,29,10,129,9
2020-01-06,27,19,0.0,8.7,5,5,73,02:24 PM,02:27 AM,06:46 AM,06:08 PM,18,24,24,23,20,57,75,0.8,1014,27,10,90,15
2020-01-07,28,20,0.0,10.2,6,6,80,03:09 PM,03:18 AM,06:46 AM,06:09 PM,17,24,24,23,21,53,72,0.6,1014,28,10,106,15
2020-01-08,29,17,0.0,11.6,6,6,88,03:58 PM,04:12 AM,06:46 AM,06:09 PM,15,25,25,24,13,24,65,0.0,1014,29,10,130,9
2020-01-09,29,17,0.0,11.6,6,6,95,04:52 PM,05:09 AM,06:47 AM,06:10 PM,16,25,25,24,12,21,67,0.0,1013,29,10,91,9
2020-01-10,28,19,0.0,11.6,6,6,100,05:50 PM,06:08 AM,06:47 AM,06:11 PM,15,23,23,22,20,14,64,0.0,1013,28,10,85,14
2020-01-11,28,17,0.0,11.6,6,6,100,06:51 PM,07:07 AM,06:47 AM,06:11 PM,12,23,23,22,18,2,60,0.0,1015,28,10,89,13
2020-01-12,28,16,0.0,11.6,6,6,83,07:54 PM,08:04 AM,06:47 AM,06:12 PM,13,23,23,22,17,6,62,0.0,1014,28,10,88,12
2020-01-13,30,17,0.0,11.6,6,6,76,08:55 PM,08:58 AM,06:48 AM,06:12 PM,13,24,24,24,13,7,57,0.0,1012,30,10,25,9
2020-01-14,30,17,0.0,11.6,6,6,69,09:54 PM,09:49 AM,06:48 AM,06:13 PM,13,23,23,23,18,12,58,0.0,1012,30,9,63,12
2020-01-15,29,17,0.0,11.6,6,6,61,10:51 PM,10:36 AM,06:48 AM,06:13 PM,9,23,23,23,18,1,47,0.0,1013,29,10,118,12
2020-01-16,31,15,0.0,11.6,6,6,54,11:47 PM,11:21 AM,06:48 AM,06:14 PM,12,24,24,24,14,7,58,0.0,1013,31,10,134,10
