date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,20,7,0.0,8.7,4,4,37,11:34 AM,11:20 PM,07:19 AM,05:44 PM,-1,12,13,12,20,11,41,0.0,1021,20,10,93,12
2020-01-02,20,10,0.0,8.7,5,5,44,12:05 PM,No moonset,07:19 AM,05:45 PM,5,14,14,14,22,21,54,0.0,1021,20,10,81,13
2020-01-03,20,11,0.0,8.7,5,5,51,12:36 PM,12:11 AM,07:19 AM,05:46 PM,5,15,15,15,16,9,54,0.0,1019,20,10,227,10
2020-01-04,21,10,0.0,8.7,5,5,59,01:07 PM,01:02 AM,07:20 AM,05:46 PM,3,15,15,15,12,4,46,0.0,1017,21,10,276,7
2020-01-05,22,12,0.0,8.7,5,5,66,01:39 PM,01:55 AM,07:20 AM,05:47 PM,3,16,16,16,14,9,42,0.0,1018,22,10,163,8
2020-01-06,23,13,0.0,8.7,5,5,73,02:14 PM,02:48 AM,07:20 AM,05:48 PM,5,16,17,16,19,33,46,0.0,1018,23,10,183,11
2020-01-07,20,12,0.0,8.7,5,5,80,02:53 PM,03:45 AM,07:20 AM,05:48 PM,8,15,16,15,16,32,62,0.0,1016,20,10,21,10
2020-01-08,19,11,0.0,8.7,4,4,88,03:38 PM,04:43 AM,07:20 AM,05:49 PM,7,14,14,14,17,36,64,0.6,1014,19,10,325,12
2020-01-09,17,9,0.0,8.7,4,4,95,04:29 PM,05:44 AM,07:20 AM,05:50 PM,4,12,13,12,12,2,61,0.0,1020,17,10,350,8
2020-01-10,18,8,0.0,8.7,4,4,100,05:27 PM,06:44 AM,07:20 AM,05:51 PM,-2,11,12,11,13,2,41,0.0,1021,18,10,240,9
2020-01-11,22,7,0.0,8.7,4,4,100,06:30 PM,07:43 AM,07:21 AM,05:51 PM,-6,13,13,13,14,15,27,0.0,1020,22,10,42,8
2020-01-12,25,10,0.0,8.7,5,5,83,07:36 PM,08:37 AM,07:21 AM,05:52 PM,-3,17,17,17,13,6,26,0.0,1016,25,10,173,7
2020-01-13,20,10,0.0,3.9,4,4,76,08:43 PM,09:26 AM,07:21 AM,05:53 PM,5,14,15,14,26,44,58,2.6,1011,20,10,253,16
2020-01-14,21,9,0.0,8.7,4,4,69,09:49 PM,10:10 AM,07:20 AM,05:54 PM,5,13,13,13,14,1,63,0.0,1016,21,10,26,9
2020-01-15,19,9,0.0,8.7,4,4,61,10:53 PM,10:51 AM,07:20 AM,05:55 PM,4,12,13,12,21,28,56,0.0,1016,19,10,34,12
2020-01-16,16,10,0.0,3.9,3,3,54,11:56 PM,11:30 AM,07:20 AM,05:55 PM,4,12,12,12,17,66,57,5.6,1015,16,10,25,10
2020-01-17,18,8,0.0,8.7,4,4,47,No moonrise,12:07 PM,07:20 AM,05:56 PM,-0,13,13,13,10,12,41,0.0,1017,18,10,208,6
2020-01-18,19,11,0.0,8.7,5,5,40,12:58 AM,12:45 PM,07:20 AM,05:57 PM,2,14,14,14,14,5,46,0.0,1018,19,10,268,8
2020-01-19,18,10,0.0,8.7,4,4,32,02:00 AM,01:25 PM,07:20 AM,05:58 PM,0,13,14,13,11,2,41,0.0,1019,18,10,342,7
2020-01-20,18,8,0.0,8.7,4,4,25,03:02 AM,02:07 PM,07:20 AM,05:59 PM,-1,13,13,13,9,41,38,0.0,1017,18,10,206,5
2020-01-21,22,12,0.0,8.7,5,5,18,04:03 AM,02:53 PM,07:19 AM,05:59 PM,3,15,16,15,17,7,43,0.0,1017,22,10,115,10
2020-01-22,20,11,0.0,10.8,5,5,11,05:03 AM,03:44 PM,07:19 AM,06:00 PM,4,14,15,14,18,2,50,0.0,1021,20,10,242,12
2020-01-23,19,10,0.0,10.8,4,4,3,05:59 AM,04:37 PM,07:19 AM,06:01 PM,2,14,14,14,19,0,45,0.0,1021,19,10,332,12
2020-01-24,20,10,0.0,10.8,5,5,0,06:51 AM,05:33 PM,07:19 AM,06:02 PM,-1,14,15,14,16,0,35,0.0,1018,20,10,312,10
2020-01-25,22,11,0.0,10.9,5,5,0,07:39 AM,06:28 PM,07:18 AM,06:03 PM,0,16,16,16,9,14,35,0.0,1016,22,10,316,5
2020-01-26,24,15,0.0,10.9,5,5,4,08:21 AM,07:24 PM,07:18 AM,06:03 PM,4,18,19,18,13,11,39,0.0,1015,24,10,306,8
2020-01-27,25,14,0.0,10.1,5,5,11,08:59 AM,08:18 PM,07:18 AM,06:04 PM,6,18,19,18,17,48,45,0.2,1011,25,10,151,10
2020-01-28,21,13,0.0,7.0,4,4,18,09:33 AM,09:11 PM,07:17 AM,06:05 PM,7,16,17,16,19,61,56,0.6,1010,21,10,242,13
2020-01-29,20,10,0.0,10.9,5,5,26,10:05 AM,10:02 PM,07:17 AM,06:06 PM,4,15,15,15,14,6,51,0.0,1017,20,10,306,9
2020-01-30,20,11,0.0,10.9,5,5,33,10:35 AM,10:54 PM,07:16 AM,06:07 PM,2,14,15,14,15,5,45,0.0,1019,20,10,339,9
2020-01-31,21,10,0.0,10.9,5,5,37,11:06 AM,11:45 PM,07:16 AM,06:07 PM,2,15,15,15,12,1,44,0.0,1016,21,10,263,8
2020-02-01,21,10,0.0,10.9,5,5,49,11:37 AM,No moonset,07:15 AM,06:08 PM,1,15,15,15,14,4,41,0.0,1019,21,10,344,9
2020-02-02,21,11,0.0,10.9,5,5,57,12:10 PM,12:37 AM,07:15 AM,06:09 PM,1,15,15,15,13,0,40,0.0,1021,21,10,326,8
2020-02-03,24,10,0.0,11.0,5,5,64,12:46 PM,01:32 AM,07:14 AM,06:10 PM,1,17,18,17,12,0,36,0.0,1019,24,10,257,7
2020-02-04,22,11,0.0,11.0,5,5,72,01:28 PM,02:27 AM,07:14 AM,06:10 PM,2,16,16,16,19,22,40,0.0,1016,22,10,239,11
2020-02-05,21,11,0.0,11.0,5,5,79,02:15 PM,03:26 AM,07:13 AM,06:11 PM,4,15,16,15,16,6,47,0.0,1018,21,10,315,10
2020-02-06,22,11,0.0,11.0,5,5,87,03:09 PM,04:26 AM,07:13 AM,06:12 PM,0,16,18,16,11,1,37,0.0,1016,22,10,324,6
2020-02-07,21,11,0.0,11.0,5,5,95,04:09 PM,05:25 AM,07:12 AM,06:13 PM,-0,15,16,15,17,1,35,0.0,1019,21,10,249,10
2020-02-08,22,11,0.0,11.0,5,5,100,05:15 PM,06:21 AM,07:11 AM,06:13 PM,0,16,17,16,13,0,36,0.0,1022,22,10,346,8
2020-02-09,23,11,0.0,11.0,5,5,100,06:22 PM,07:14 AM,07:11 AM,06:14 PM,-1,17,18,17,11,25,32,0.0,1022,23,10,187,6
2020-02-10,23,10,0.0,11.1,5,5,83,07:31 PM,08:02 AM,07:10 AM,06:15 PM,-1,17,18,17,11,12,32,0.0,1019,23,10,238,6
2020-02-11,26,12,0.0,11.1,5,5,75,08:38 PM,08:46 AM,07:09 AM,06:16 PM,-0,18,18,18,14,2,31,0.0,1019,26,10,176,8
2020-02-12,26,14,0.0,11.1,6,6,68,09:45 PM,09:27 AM,07:08 AM,06:16 PM,2,20,20,20,13,3,32,0.0,1019,26,10,339,8
2020-02-13,27,15,0.0,11.1,6,6,60,10:49 PM,10:05 AM,07:08 AM,06:17 PM,4,21,21,21,17,0,34,0.0,1017,27,10,319,10
2020-02-14,26,15,0.0,11.1,6,6,53,11:53 PM,10:44 AM,07:07 AM,06:18 PM,1,20,19,20,21,0,31,0.0,1015,26,10,319,14
2020-02-15,27,13,0.0,11.1,6,6,45,No moonrise,11:24 AM,07:06 AM,06:19 PM,-5,20,20,20,16,0,20,0.0,1015,27,10,317,10
2020-02-16,30,15,0.0,11.1,6,6,38,12:56 AM,12:06 PM,07:05 AM,06:19 PM,-4,22,22,22,11,0,19,0.0,1016,30,10,229,7
2020-02-17,29,17,0.0,11.2,6,6,30,01:58 AM,12:51 PM,07:04 AM,06:20 PM,-5,23,23,23,12,0,16,0.0,1018,29,10,326,8
2020-02-18,29,14,0.0,11.2,6,6,22,02:58 AM,01:40 PM,07:04 AM,06:21 PM,-5,23,23,22,11,15,18,0.0,1015,29,10,299,8
2020-02-19,30,16,0.0,8.6,5,5,15,03:55 AM,02:32 PM,07:03 AM,06:21 PM,-6,22,22,23,24,54,14,0.0,1011,30,10,210,14
2020-02-20,30,17,0.0,11.2,6,6,7,04:48 AM,03:26 PM,07:02 AM,06:22 PM,0,23,23,23,25,7,23,0.0,1011,30,10,176,14
2020-02-21,26,15,0.0,11.2,6,6,0,05:36 AM,04:21 PM,07:01 AM,06:23 PM,9,20,21,20,15,4,57,0.0,1016,26,10,125,10
2020-02-22,25,12,0.0,11.2,5,5,0,06:19 AM,05:17 PM,07:00 AM,06:23 PM,10,18,19,18,21,13,64,0.0,1020,25,10,47,13
2020-02-23,26,16,0.0,11.6,6,6,0,06:58 AM,06:11 PM,06:59 AM,06:24 PM,10,21,21,21,15,9,52,0.0,1017,26,10,32,9
2020-02-24,26,16,0.0,11.6,6,6,0,07:33 AM,07:04 PM,06:58 AM,06:25 PM,5,21,21,21,11,10,38,0.0,1014,26,10,345,7
2020-02-25,28,14,0.0,11.6,6,6,8,08:05 AM,07:56 PM,06:57 AM,06:25 PM,4,22,22,22,11,11,33,0.0,1013,28,10,325,7
2020-02-26,30,17,0.0,11.6,6,6,15,08:36 AM,08:47 PM,06:56 AM,06:26 PM,2,23,23,23,23,4,27,0.0,1013,30,10,286,14
2020-02-27,32,19,0.0,11.6,7,7,23,09:07 AM,09:39 PM,06:55 AM,06:27 PM,4,25,25,25,17,5,28,0.0,1013,32,10,253,9
2020-02-28,31,19,0.0,7.3,6,6,30,09:37 AM,10:30 PM,06:54 AM,06:27 PM,6,25,25,25,27,42,32,2.7,1010,31,10,165,15
2020-02-29,31,19,0.0,10.2,6,6,38,10:09 AM,11:23 PM,06:53 AM,06:28 PM,7,25,25,25,26,23,38,0.3,1010,31,10,199,16
2020-03-01,28,17,0.0,11.6,6,6,44,10:43 AM,No moonset,06:52 AM,06:28 PM,11,22,22,22,13,24,54,0.0,1012,28,10,270,9
2020-03-02,29,17,0.0,11.6,6,6,51,11:22 AM,12:17 AM,06:51 AM,06:29 PM,8,23,23,23,11,3,43,0.0,1012,29,10,329,7
