date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,23,15,0.0,5.8,4,4,37,11:17 AM,11:24 PM,06:42 AM,06:10 PM,16,18,19,18,7,58,88,7.8,1014,23,8,135,4
2020-01-02,22,16,0.0,8.7,4,4,44,11:55 AM,No moonset,06:43 AM,06:11 PM,17,19,19,19,6,53,90,3.3,1015,22,7,117,4
2020-01-03,24,16,0.0,8.7,5,5,51,12:31 PM,12:08 AM,06:43 AM,06:12 PM,17,19,20,19,5,49,86,2.2,1014,24,9,107,4
2020-01-04,25,17,0.0,8.7,5,5,59,01:09 PM,12:53 AM,06:43 AM,06:12 PM,17,20,21,20,4,50,86,3.9,1012,25,9,102,2
2020-01-05,22,17,0.0,7.3,5,5,66,01:47 PM,01:39 AM,06:44 AM,06:13 PM,17,19,20,19,6,69,90,5.7,1012,22,10,117,4
2020-01-06,23,17,0.0,10.2,5,5,73,02:28 PM,02:27 AM,06:44 AM,06:13 PM,16,19,20,19,9,51,85,1.0,1013,23,9,112,6
2020-01-07,24,16,0.0,11.6,6,6,80,03:14 PM,03:17 AM,06:44 AM,06:14 PM,15,19,19,19,9,23,80,1.4,1013,24,10,110,6
2020-01-08,23,16,0.0,5.8,5,5,88,04:03 PM,04:10 AM,06:45 AM,06:14 PM,15,19,19,19,6,80,82,1.0,1013,23,9,65,4
2020-01-09,23,15,0.0,11.6,5,5,95,04:57 PM,05:07 AM,06:45 AM,06:15 PM,15,19,19,19,4,31,82,0.2,1013,23,10,68,3
2020-01-10,24,12,0.0,11.6,5,5,100,05:56 PM,06:06 AM,06:45 AM,06:15 PM,15,18,19,18,7,11,79,0.0,1013,24,10,96,5
2020-01-11,24,16,0.0,11.6,6,6,100,06:56 PM,07:05 AM,06:46 AM,06:16 PM,12,19,20,19,7,0,62,0.0,1014,24,10,82,5
2020-01-12,24,15,0.0,11.6,6,6,83,07:58 PM,08:03 AM,06:46 AM,06:16 PM,11,19,19,19,6,2,60,0.0,1013,24,10,91,4
2020-01-13,24,15,0.0,11.6,6,6,76,08:59 PM,08:57 AM,06:46 AM,06:17 PM,12,19,20,19,5,6,66,0.0,1012,24,10,54,3
2020-01-14,25,14,0.0,11.6,5,5,69,09:57 PM,09:49 AM,06:46 AM,06:17 PM,14,19,20,19,5,21,76,0.1,1012,25,10,81,4
2020-01-15,24,15,0.0,11.6,6,6,61,10:54 PM,10:36 AM,06:46 AM,06:18 PM,14,19,19,19,4,11,75,0.0,1012,24,10,80,3
2020-01-16,24,14,0.0,11.6,5,5,54,11:49 PM,11:23 AM,06:47 AM,06:18 PM,13,18,19,18,5,15,75,0.0,1013,24,10,74,4
2020-01-17,24,14,0.0,11.6,6,6,47,No moonrise,12:08 PM,06:47 AM,06:19 PM,13,19,19,19,6,12,72,0.0,1012,24,10,90,4
2020-01-18,24,15,0.0,7.3,5,5,40,12:43 AM,12:53 PM,06:47 AM,06:20 PM,16,19,20,19,8,60,83,1.1,1012,24,10,107,6
2020-01-19,24,16,0.0,5.9,5,5,32,01:38 AM,01:39 PM,06:47 AM,06:20 PM,16,19,20,19,7,72,85,3.4,1013,24,9,103,5
2020-01-20,24,16,0.0,7.3,5,5,25,02:33 AM,02:27 PM,06:47 AM,06:20 PM,15,19,20,19,8,69,80,0.6,1013,24,8,92,6
2020-01-21,24,16,0.0,11.6,6,6,18,03:29 AM,03:19 PM,06:47 AM,06:21 PM,14,19,20,19,7,11,72,0.0,1014,24,10,97,5
2020-01-22,26,16,0.0,11.6,6,6,11,04:25 AM,04:11 PM,06:47 AM,06:21 PM,14,21,21,20,10,5,69,0.0,1015,26,10,111,7
2020-01-23,25,17,0.0,11.6,6,6,3,05:21 AM,05:05 PM,06:48 AM,06:22 PM,15,20,21,20,9,5,71,0.0,1014,25,10,113,7
2020-01-24,26,14,0.0,11.6,6,6,0,06:14 AM,05:59 PM,06:48 AM,06:22 PM,12,19,20,19,8,4,64,0.0,1014,26,10,97,6
2020-01-25,27,17,0.0,11.6,6,6,0,07:04 AM,06:52 PM,06:48 AM,06:23 PM,9,21,21,21,5,0,47,0.0,1014,27,10,83,4
2020-01-26,28,17,0.0,11.6,6,6,4,07:50 AM,07:43 PM,06:48 AM,06:23 PM,8,23,23,22,5,0,41,0.0,1013,28,10,66,3
