date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,18,8,0.0,7.1,3,3,37,11:40 AM,11:18 PM,07:32 AM,05:34 PM,-4,11,12,11,8,62,32,0.0,1023,18,10,274,4
2020-01-02,17,10,0.0,3.8,3,3,44,12:09 PM,No moonset,07:33 AM,05:34 PM,-0,13,13,13,7,91,41,1.3,1023,17,10,240,3
2020-01-03,19,10,0.0,8.7,4,4,51,12:37 PM,12:11 AM,07:33 AM,05:35 PM,1,13,13,13,7,48,43,0.1,1019,19,10,232,4
2020-01-04,19,10,0.0,3.8,3,3,59,01:06 PM,01:05 AM,07:33 AM,05:36 PM,5,13,13,13,8,80,59,4.4,1017,19,10,231,5
2020-01-05,16,9,0.0,7.1,3,3,66,01:36 PM,02:00 AM,07:33 AM,05:37 PM,1,12,12,12,9,44,49,0.0,1019,16,10,273,6
2020-01-06,11,10,0.0,3.8,3,3,73,02:08 PM,02:56 AM,07:33 AM,05:37 PM,5,10,11,10,9,86,71,8.7,1019,11,8,134,6
2020-01-07,15,9,0.0,3.8,3,3,80,02:45 PM,03:55 AM,07:33 AM,05:38 PM,9,11,11,11,9,85,87,11.3,1017,15,7,281,6
2020-01-08,16,8,0.0,7.1,3,3,88,03:29 PM,04:56 AM,07:33 AM,05:39 PM,6,12,12,12,7,22,70,0.2,1017,16,10,282,6
2020-01-09,17,8,0.0,8.7,4,4,95,04:18 PM,05:58 AM,07:33 AM,05:40 PM,3,13,13,13,6,0,54,0.0,1021,17,10,277,5
2020-01-10,18,7,0.0,8.7,4,4,100,05:16 PM,06:59 AM,07:33 AM,05:41 PM,-1,13,14,13,7,21,43,0.0,1020,18,10,266,4
2020-01-11,17,7,0.0,5.4,3,3,100,06:19 PM,07:57 AM,07:33 AM,05:42 PM,-2,12,12,12,6,63,39,0.0,1019,17,10,264,4
2020-01-12,21,11,0.0,5.4,4,4,83,07:27 PM,08:49 AM,07:33 AM,05:43 PM,4,15,16,15,11,77,46,0.0,1017,21,10,288,6
2020-01-13,14,10,0.0,3.8,3,3,76,08:36 PM,09:37 AM,07:33 AM,05:43 PM,9,10,12,10,21,83,82,53.3,1011,14,8,163,13
2020-01-14,16,8,0.0,7.1,3,3,69,09:45 PM,10:18 AM,07:33 AM,05:44 PM,8,12,12,12,8,36,78,2.4,1018,16,10,284,5
2020-01-15,18,9,0.0,5.4,3,3,61,10:52 PM,10:56 AM,07:33 AM,05:45 PM,8,13,13,13,6,49,74,5.4,1017,18,9,256,4
2020-01-16,19,10,0.0,7.1,3,3,54,11:58 PM,11:32 AM,07:33 AM,05:46 PM,7,13,13,13,9,53,68,1.8,1017,19,10,259,5
2020-01-17,18,9,0.0,8.7,4,4,47,No moonrise,12:06 PM,07:32 AM,05:47 PM,7,13,13,13,6,25,67,0.0,1018,18,10,294,4
