date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,31,24,0.0,11.6,7,7,37,11:26 AM,11:31 PM,06:54 AM,06:15 PM,22,29,29,27,11,18,75,0.0,1013,31,10,286,8
2020-01-02,30,24,0.0,10.2,6,6,44,12:03 PM,No moonset,06:54 AM,06:15 PM,22,29,29,26,15,34,80,0.2,1014,30,10,310,11
2020-01-03,30,24,0.0,11.6,7,7,51,12:39 PM,12:16 AM,06:54 AM,06:16 PM,23,29,29,26,20,15,81,0.0,1013,30,10,311,14
2020-01-04,29,24,0.0,11.6,7,7,59,01:16 PM,01:02 AM,06:55 AM,06:16 PM,22,28,28,26,18,9,80,0.0,1012,29,10,320,14
2020-01-05,29,23,0.0,11.6,7,7,66,01:54 PM,01:49 AM,06:55 AM,06:17 PM,21,28,28,25,13,9,77,0.0,1011,29,10,300,10
2020-01-06,32,24,0.0,11.6,7,7,73,02:34 PM,02:36 AM,06:55 AM,06:18 PM,22,30,30,27,11,16,75,0.0,1012,32,10,270,8
2020-01-07,32,24,0.0,11.6,7,7,80,03:19 PM,03:28 AM,06:56 AM,06:18 PM,22,31,31,28,11,18,74,0.0,1012,32,10,202,8
2020-01-08,32,24,0.0,11.6,7,7,88,04:08 PM,04:21 AM,06:56 AM,06:19 PM,22,30,30,27,17,12,74,0.0,1012,32,10,304,12
2020-01-09,32,24,0.0,11.6,7,7,95,05:02 PM,05:19 AM,06:56 AM,06:19 PM,23,30,30,27,16,24,79,0.1,1012,32,10,297,12
2020-01-10,31,24,0.0,11.6,7,7,100,06:00 PM,06:17 AM,06:56 AM,06:20 PM,22,30,30,27,11,14,76,0.0,1012,31,10,223,9
2020-01-11,33,25,0.0,11.6,7,7,100,07:01 PM,07:17 AM,06:57 AM,06:20 PM,21,30,30,28,11,1,69,0.0,1012,33,10,216,9
2020-01-12,32,23,0.0,11.6,7,7,83,08:03 PM,08:14 AM,06:57 AM,06:21 PM,18,28,28,27,14,1,61,0.0,1012,32,10,211,11
2020-01-13,33,23,0.0,11.6,7,7,76,09:05 PM,09:08 AM,06:57 AM,06:22 PM,21,29,29,27,12,4,71,0.0,1011,33,10,275,9
2020-01-14,30,23,0.0,11.6,7,7,69,10:04 PM,09:59 AM,06:57 AM,06:22 PM,21,28,28,26,15,16,75,0.0,1011,30,10,305,11
2020-01-15,30,23,0.0,11.6,7,7,61,11:01 PM,10:46 AM,06:58 AM,06:23 PM,21,28,28,26,16,24,78,0.0,1011,30,10,300,12
2020-01-16,28,23,0.0,10.2,6,6,54,11:57 PM,11:31 AM,06:58 AM,06:23 PM,21,28,28,25,18,44,76,1.1,1012,28,10,316,13
2020-01-17,29,22,0.0,11.6,7,7,47,No moonrise,12:15 PM,06:58 AM,06:24 PM,20,27,27,25,16,14,73,0.0,1012,29,10,299,12
2020-01-18,32,23,0.0,11.6,7,7,40,12:52 AM,12:59 PM,06:58 AM,06:24 PM,20,28,28,26,15,7,72,0.0,1011,32,10,270,11
2020-01-19,30,23,0.0,11.6,7,7,32,01:48 AM,01:45 PM,06:58 AM,06:25 PM,22,29,29,26,18,20,75,0.0,1012,30,10,311,13
2020-01-20,32,24,0.0,11.6,7,7,25,02:44 AM,02:33 PM,06:58 AM,06:25 PM,22,31,31,28,11,16,73,0.0,1012,32,10,229,8
2020-01-21,33,25,0.0,11.6,7,7,18,03:41 AM,03:23 PM,06:58 AM,06:26 PM,21,31,31,28,13,23,69,0.3,1013,33,10,235,9
2020-01-22,35,23,0.0,11.6,7,7,11,04:37 AM,04:16 PM,06:58 AM,06:26 PM,20,30,30,28,15,3,63,0.0,1013,35,10,201,11
2020-01-23,35,25,0.0,11.6,7,7,3,05:33 AM,05:10 PM,06:58 AM,06:27 PM,22,32,32,29,11,2,68,0.0,1012,35,10,196,9
2020-01-24,35,24,0.0,11.6,7,7,0,06:25 AM,06:04 PM,06:58 AM,06:27 PM,22,31,31,28,11,2,67,0.0,1012,35,10,187,9
2020-01-25,34,24,0.0,11.6,7,7,0,07:15 AM,06:57 PM,06:58 AM,06:28 PM,21,30,30,28,9,0,67,0.0,1012,34,10,264,8
2020-01-26,33,23,0.0,11.6,7,7,4,08:01 AM,07:48 PM,06:58 AM,06:28 PM,20,30,30,27,11,0,64,0.0,1012,33,10,257,9
2020-01-27,31,25,0.0,11.6,7,7,11,08:43 AM,08:37 PM,06:58 AM,06:29 PM,22,30,30,27,11,22,73,0.0,1012,31,10,259,9
2020-01-28,29,24,0.0,10.2,6,6,18,09:23 AM,09:24 PM,06:58 AM,06:29 PM,21,29,29,26,12,40,74,1.3,1013,29,10,301,9
2020-01-29,31,22,0.0,11.6,7,7,26,10:00 AM,10:10 PM,06:58 AM,06:30 PM,21,28,28,26,18,18,78,0.0,1013,31,10,306,13
2020-01-30,30,22,0.0,11.6,7,7,33,10:37 AM,10:55 PM,06:58 AM,06:30 PM,21,28,28,25,19,22,79,0.0,1013,30,10,303,13
2020-01-31,31,21,0.0,11.6,7,7,37,11:13 AM,11:41 PM,06:58 AM,06:31 PM,21,27,27,25,19,12,79,0.0,1011,31,10,307,13
2020-02-01,29,21,0.0,11.6,7,7,49,11:50 AM,No moonset,06:58 AM,06:31 PM,21,27,27,25,15,11,78,0.0,1012,29,10,297,11
2020-02-02,31,23,0.0,11.6,7,7,57,12:28 PM,12:28 AM,06:58 AM,06:31 PM,21,28,28,26,15,26,76,0.0,1013,31,10,299,11
2020-02-03,32,23,0.0,11.6,7,7,64,01:10 PM,01:17 AM,06:57 AM,06:32 PM,22,29,29,27,15,16,76,0.0,1013,32,10,281,11
2020-02-04,31,23,0.0,11.6,7,7,72,01:55 PM,02:08 AM,06:57 AM,06:32 PM,22,29,29,26,17,35,79,0.3,1012,31,10,295,12
2020-02-05,31,23,0.0,11.6,7,7,79,02:46 PM,03:02 AM,06:57 AM,06:33 PM,21,29,29,26,15,13,75,0.0,1012,31,10,285,11
2020-02-06,30,22,0.0,11.6,7,7,87,03:42 PM,04:00 AM,06:57 AM,06:33 PM,21,28,28,26,17,19,75,0.0,1013,30,10,302,12
2020-02-07,29,23,0.0,11.6,7,7,95,04:41 PM,04:58 AM,06:57 AM,06:33 PM,20,27,27,25,18,29,76,0.0,1014,29,10,299,13
2020-02-08,28,21,0.0,11.6,7,7,100,05:44 PM,05:57 AM,06:56 AM,06:34 PM,20,27,27,25,15,2,73,0.0,1014,28,10,305,12
2020-02-09,31,20,0.0,11.6,7,7,100,06:47 PM,06:53 AM,06:56 AM,06:34 PM,20,27,27,25,14,3,73,0.0,1013,31,10,282,11
2020-02-10,31,22,0.0,11.6,7,7,83,07:49 PM,07:47 AM,06:56 AM,06:35 PM,20,28,28,26,12,3,71,0.0,1012,31,10,270,10
2020-02-11,32,23,0.0,11.6,7,7,75,08:49 PM,08:37 AM,06:55 AM,06:35 PM,21,30,30,28,13,6,68,0.0,1012,32,10,237,10
2020-02-12,34,24,0.0,11.6,7,7,68,09:48 PM,09:25 AM,06:55 AM,06:35 PM,21,30,30,28,16,3,66,0.0,1013,34,10,213,12
2020-02-13,34,24,0.0,11.6,7,7,60,10:45 PM,10:11 AM,06:55 AM,06:36 PM,21,31,31,28,12,4,69,0.0,1013,34,10,214,9
2020-02-14,32,24,0.0,11.6,7,7,53,11:43 PM,10:57 AM,06:54 AM,06:36 PM,22,30,30,27,12,8,73,0.0,1012,32,10,246,9
2020-02-15,34,23,0.0,11.6,7,7,45,No moonrise,11:43 AM,06:54 AM,06:36 PM,23,32,32,28,13,5,75,0.0,1012,34,10,274,10
2020-02-16,33,25,0.0,11.6,7,7,38,12:39 AM,12:31 PM,06:54 AM,06:36 PM,23,31,31,28,11,1,73,0.0,1012,33,10,242,9
2020-02-17,34,24,0.0,11.6,7,7,30,01:36 AM,01:21 PM,06:53 AM,06:37 PM,21,31,31,28,13,1,68,0.0,1013,34,10,233,11
2020-02-18,34,24,0.0,11.6,7,7,22,02:32 AM,02:12 PM,06:53 AM,06:37 PM,20,30,30,28,11,0,62,0.0,1013,34,10,243,9
2020-02-19,34,24,0.0,11.6,7,7,15,03:28 AM,03:05 PM,06:52 AM,06:37 PM,22,30,30,28,11,2,72,0.0,1012,34,10,246,10
2020-02-20,35,25,0.0,11.6,7,7,7,04:21 AM,03:58 PM,06:52 AM,06:37 PM,22,32,32,29,12,2,70,0.0,1011,35,10,266,10
2020-02-21,35,24,0.0,11.6,7,7,0,05:11 AM,04:51 PM,06:52 AM,06:38 PM,22,32,32,28,14,2,71,0.0,1013,35,10,286,11
2020-02-22,36,24,0.0,11.6,8,8,0,05:58 AM,05:42 PM,06:51 AM,06:38 PM,22,34,34,30,11,1,66,0.0,1013,36,10,294,9
2020-02-23,36,25,0.0,11.6,7,7,0,06:41 AM,06:32 PM,06:51 AM,06:38 PM,22,32,32,29,12,3,67,0.0,1013,36,10,245,10
2020-02-24,34,25,0.0,11.6,7,7,0,07:21 AM,07:20 PM,06:50 AM,06:38 PM,22,31,31,28,14,2,69,0.0,1011,34,10,246,11
2020-02-25,32,24,0.0,11.6,7,7,8,07:59 AM,08:06 PM,06:50 AM,06:39 PM,22,31,31,28,13,2,73,0.0,1011,32,10,248,10
2020-02-26,33,23,0.0,11.6,7,7,15,08:35 AM,08:51 PM,06:49 AM,06:39 PM,22,30,30,27,14,10,74,0.0,1010,33,10,251,11
2020-02-27,32,24,0.0,10.2,6,6,23,09:12 AM,09:37 PM,06:49 AM,06:39 PM,23,31,31,28,13,49,75,8.1,1011,32,9,276,9
2020-02-28,33,25,0.0,11.6,7,7,30,09:48 AM,10:22 PM,06:48 AM,06:39 PM,23,32,32,28,13,22,72,0.1,1009,33,10,230,10
2020-02-29,32,26,0.0,10.2,6,6,38,10:25 AM,11:10 PM,06:47 AM,06:39 PM,22,31,31,28,14,57,72,3.9,1010,32,10,204,11
2020-03-01,33,25,0.0,6.0,6,6,44,11:05 AM,11:59 PM,06:47 AM,06:40 PM,23,32,32,28,14,76,72,3.4,1010,33,10,229,11
2020-03-02,33,24,0.0,8.8,6,6,51,11:48 AM,No moonset,06:46 AM,06:40 PM,22,32,32,28,12,53,72,9.1,1012,33,9,246,9
2020-03-03,31,25,0.0,10.2,6,6,58,12:34 PM,12:51 AM,06:46 AM,06:40 PM,23,31,31,28,18,41,74,5.7,1012,31,9,305,13
2020-03-04,32,24,0.0,11.6,7,7,65,01:27 PM,01:46 AM,06:45 AM,06:40 PM,22,30,30,28,22,15,72,0.0,1011,32,10,316,17
2020-03-05,30,24,0.0,10.2,6,6,73,02:22 PM,02:42 AM,06:45 AM,06:40 PM,22,29,29,27,21,38,74,0.4,1011,30,10,308,16
2020-03-06,31,24,0.0,10.2,6,6,80,03:23 PM,03:39 AM,06:44 AM,06:40 PM,21,29,29,27,13,37,68,0.3,1011,31,10,291,10
2020-03-07,31,23,0.0,11.6,7,7,87,04:25 PM,04:36 AM,06:43 AM,06:40 PM,21,30,30,28,12,6,69,0.0,1012,31,10,280,10
2020-03-08,31,24,0.0,11.6,7,7,95,05:28 PM,05:31 AM,06:43 AM,06:41 PM,22,30,30,27,14,24,73,0.0,1011,31,10,284,10
2020-03-09,31,25,0.0,11.6,7,7,100,06:29 PM,06:22 AM,06:42 AM,06:41 PM,22,30,30,27,17,37,74,0.1,1011,31,10,307,13
2020-03-10,31,24,0.0,11.6,7,7,100,07:31 PM,07:12 AM,06:41 AM,06:41 PM,22,30,30,28,16,25,72,0.0,1011,31,10,287,12
2020-03-11,31,25,0.0,11.6,7,7,84,08:30 PM,08:00 AM,06:41 AM,06:41 PM,22,31,31,28,18,30,74,0.3,1011,31,10,294,14
2020-03-12,31,24,0.0,11.6,7,7,76,09:30 PM,08:48 AM,06:40 AM,06:41 PM,22,31,31,28,19,35,74,0.0,1012,31,10,299,14
2020-03-13,32,25,0.0,11.6,7,7,69,10:29 PM,09:36 AM,06:40 AM,06:41 PM,22,30,30,27,21,11,74,0.0,1012,32,10,304,16
2020-03-14,33,24,0.0,11.6,7,7,62,11:28 PM,10:24 AM,06:39 AM,06:41 PM,21,30,30,28,17,6,65,0.0,1011,33,10,295,13
2020-03-15,33,25,0.0,11.6,7,7,55,No moonrise,11:15 AM,06:38 AM,06:41 PM,22,31,31,28,13,6,67,0.0,1010,33,10,281,10
2020-03-16,32,25,0.0,11.6,7,7,47,12:27 AM,12:07 PM,06:38 AM,06:41 PM,23,32,32,28,13,28,72,0.6,1011,32,10,263,10
2020-03-17,33,25,0.0,11.6,7,7,40,01:24 AM,01:01 PM,06:37 AM,06:41 PM,22,32,32,29,12,7,69,0.0,1012,33,10,245,10
2020-03-18,34,26,0.0,11.6,8,8,33,02:18 AM,01:55 PM,06:36 AM,06:42 PM,23,33,33,29,13,4,71,0.0,1012,34,10,288,10
2020-03-19,32,25,0.0,11.6,7,7,25,03:09 AM,02:47 PM,06:36 AM,06:42 PM,23,33,33,29,14,11,73,0.0,1012,32,10,285,11
2020-03-20,33,26,0.0,11.6,7,7,18,03:57 AM,03:39 PM,06:35 AM,06:42 PM,22,32,32,29,15,19,69,0.0,1012,33,10,293,12
2020-03-21,32,24,0.0,11.6,7,7,11,04:40 AM,04:28 PM,06:34 AM,06:42 PM,21,31,31,28,20,9,66,0.0,1011,32,10,305,15
2020-03-22,32,24,0.0,11.6,7,7,4,05:21 AM,05:17 PM,06:34 AM,06:42 PM,22,31,31,28,13,5,71,0.0,1011,32,10,254,11
2020-03-23,33,24,0.0,11.6,7,7,0,05:59 AM,06:03 PM,06:33 AM,06:42 PM,23,32,32,28,12,10,74,0.0,1010,33,10,262,10
2020-03-24,33,25,0.0,11.6,7,7,0,06:36 AM,06:49 PM,06:32 AM,06:42 PM,23,32,32,29,13,23,72,0.0,1009,33,10,275,10
2020-03-25,32,25,0.0,11.6,7,7,3,07:12 AM,07:34 PM,06:31 AM,06:42 PM,23,32,32,28,12,26,72,0.0,1009,32,10,268,10
2020-03-26,33,25,0.0,11.6,7,7,11,07:48 AM,08:20 PM,06:31 AM,06:42 PM,23,33,33,29,13,13,72,0.0,1010,33,10,284,11
2020-03-27,34,25,0.0,11.6,8,8,18,08:25 AM,09:07 PM,06:30 AM,06:42 PM,24,33,33,29,13,30,74,0.0,1011,34,10,281,11
2020-03-28,36,25,0.0,10.2,7,7,25,09:04 AM,09:55 PM,06:29 AM,06:42 PM,24,34,34,29,13,47,76,0.2,1011,36,10,272,10
2020-03-29,34,26,0.0,11.6,8,8,32,09:45 AM,10:45 PM,06:29 AM,06:42 PM,24,34,34,29,12,24,75,0.0,1010,34,10,241,10
2020-03-30,35,26,0.0,11.6,8,8,40,10:29 AM,11:38 PM,06:28 AM,06:42 PM,24,34,34,29,15,27,74,0.0,1010,35,10,277,12
2020-03-31,36,25,0.0,11.6,8,8,44,11:19 AM,No moonset,06:27 AM,06:43 PM,24,34,34,29,14,16,75,0.0,1011,36,10,280,11
2020-04-01,36,26,0.0,11.6,8,8,56,12:11 PM,12:32 AM,06:27 AM,06:43 PM,24,35,35,30,12,7,72,0.0,1010,36,10,277,10
2020-04-02,35,25,0.0,11.6,8,8,64,01:08 PM,01:28 AM,06:26 AM,06:43 PM,24,34,34,29,13,18,75,0.0,1009,35,10,254,11
2020-04-03,33,26,0.0,11.6,8,8,71,02:07 PM,02:23 AM,06:25 AM,06:43 PM,24,34,34,29,13,30,74,0.0,1010,33,10,261,10
2020-04-04,35,26,0.0,11.6,8,8,79,03:08 PM,03:17 AM,06:25 AM,06:43 PM,24,35,35,30,13,20,73,0.0,1011,35,10,282,10
2020-04-05,34,25,0.0,11.6,7,7,87,04:09 PM,04:08 AM,06:24 AM,06:43 PM,23,33,33,29,14,33,74,0.0,1012,34,10,261,11
2020-04-06,33,25,0.0,10.2,6,6,94,05:10 PM,04:58 AM,06:23 AM,06:43 PM,23,33,33,29,13,42,73,1.3,1012,33,10,302,10
2020-04-07,32,27,0.0,6.1,6,6,100,06:10 PM,05:46 AM,06:23 AM,06:43 PM,24,33,33,29,13,71,74,3.3,1012,32,10,278,10
2020-04-08,32,27,0.0,8.9,6,6,100,07:10 PM,06:34 AM,06:22 AM,06:43 PM,23,33,33,29,12,48,72,0.5,1012,32,10,290,10
