date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,23,12,0.0,7.1,4,4,37,11:29 AM,11:21 PM,07:08 AM,05:52 PM,13,17,18,17,18,43,78,0.4,1015,23,9,112,11
2020-01-02,21,13,0.0,5.5,4,4,44,12:02 PM,No moonset,07:09 AM,05:53 PM,14,16,16,16,18,63,86,0.9,1016,21,9,44,10
2020-01-03,23,13,0.0,8.7,5,5,51,12:34 PM,12:10 AM,07:09 AM,05:54 PM,10,16,17,16,16,17,67,0.0,1016,23,8,131,10
2020-01-04,22,12,0.0,8.7,5,5,59,01:08 PM,01:00 AM,07:09 AM,05:54 PM,8,16,16,16,17,8,59,0.0,1016,22,10,58,10
2020-01-05,22,11,0.0,8.7,5,5,66,01:42 PM,01:50 AM,07:09 AM,05:55 PM,5,15,16,15,21,1,51,0.0,1017,22,10,89,12
2020-01-06,25,12,0.0,8.7,5,5,73,02:19 PM,02:42 AM,07:10 AM,05:56 PM,5,17,18,17,21,7,45,0.0,1017,25,10,143,12
2020-01-07,27,14,0.0,8.7,6,6,80,03:00 PM,03:37 AM,07:10 AM,05:56 PM,10,20,21,20,19,15,52,0.0,1014,27,10,229,12
2020-01-08,26,15,0.0,8.7,6,6,88,03:46 PM,04:34 AM,07:10 AM,05:57 PM,11,19,20,19,18,27,60,0.3,1012,26,10,269,12
2020-01-09,21,10,0.0,8.7,5,5,95,04:38 PM,05:33 AM,07:10 AM,05:58 PM,3,14,16,14,24,0,50,0.0,1017,21,10,34,15
2020-01-10,20,7,0.0,8.7,4,4,100,05:36 PM,06:33 AM,07:10 AM,05:58 PM,2,12,13,12,21,0,47,0.0,1018,20,10,79,13
2020-01-11,25,8,0.0,8.7,5,5,100,06:38 PM,07:32 AM,07:10 AM,05:59 PM,3,16,17,16,19,2,46,0.0,1017,25,10,96,10
2020-01-12,30,13,0.0,10.9,6,6,83,07:43 PM,08:27 AM,07:10 AM,06:00 PM,7,20,21,20,14,1,44,0.0,1015,30,10,168,8
