date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,18,0.0,10.9,6,6,37,11:39 AM,11:32 PM,07:17 AM,06:04 PM,13,23,23,23,13,9,56,0.0,1014,28,10,168,10
2020-01-02,29,19,0.0,10.9,6,6,44,12:12 PM,No moonset,07:17 AM,06:05 PM,13,24,24,24,10,6,55,0.0,1016,29,10,242,8
2020-01-03,26,17,0.0,10.9,6,6,51,12:45 PM,12:21 AM,07:17 AM,06:06 PM,11,21,22,21,17,11,53,0.0,1016,26,10,18,12
2020-01-04,27,16,0.0,10.9,6,6,59,01:19 PM,01:10 AM,07:18 AM,06:06 PM,8,21,21,21,19,4,46,0.0,1015,27,10,25,12
2020-01-05,27,17,0.0,10.9,6,6,66,01:53 PM,02:00 AM,07:18 AM,06:07 PM,6,22,22,22,25,0,38,0.0,1015,27,10,72,17
2020-01-06,30,18,0.0,10.9,6,6,73,02:30 PM,02:52 AM,07:18 AM,06:08 PM,9,24,24,24,16,5,39,0.0,1015,30,10,61,11
2020-01-07,31,21,0.0,10.9,7,7,80,03:12 PM,03:46 AM,07:18 AM,06:08 PM,13,26,26,25,11,19,48,0.0,1013,31,10,225,7
2020-01-08,27,19,0.0,10.9,6,6,88,03:58 PM,04:43 AM,07:19 AM,06:09 PM,10,24,24,23,19,11,45,0.0,1013,27,10,315,12
2020-01-09,26,14,0.0,10.9,6,6,95,04:50 PM,05:42 AM,07:19 AM,06:10 PM,4,19,20,19,27,0,39,0.0,1016,26,10,43,17
2020-01-10,26,13,0.0,10.9,5,5,100,05:49 PM,06:42 AM,07:19 AM,06:10 PM,3,19,20,19,27,0,33,0.0,1016,26,10,70,18
2020-01-11,32,15,0.0,10.9,6,6,100,06:51 PM,07:41 AM,07:19 AM,06:11 PM,8,25,25,24,19,2,39,0.0,1015,32,10,66,13
2020-01-12,32,20,0.0,10.9,7,7,83,07:55 PM,08:36 AM,07:19 AM,06:12 PM,13,27,27,26,13,7,46,0.0,1013,32,10,249,9
2020-01-13,27,20,0.0,7.0,5,5,76,09:00 PM,09:27 AM,07:19 AM,06:12 PM,16,25,25,23,18,48,64,0.4,1012,27,10,268,15
2020-01-14,28,17,0.0,10.9,6,6,69,10:03 PM,10:14 AM,07:19 AM,06:13 PM,9,23,23,22,13,13,46,0.0,1013,28,10,209,10
2020-01-15,26,17,0.0,10.1,5,5,61,11:05 PM,10:57 AM,07:19 AM,06:14 PM,6,21,22,21,14,24,38,0.0,1013,26,10,210,10
2020-01-16,23,16,0.0,11.0,5,5,54,No moonrise,11:39 AM,07:19 AM,06:14 PM,6,19,20,19,15,0,45,0.0,1014,23,10,297,10
2020-01-17,28,16,0.0,11.0,6,6,47,12:04 AM,12:18 PM,07:19 AM,06:15 PM,10,21,21,21,8,0,52,0.0,1016,28,10,146,6
2020-01-18,29,17,0.0,11.0,6,6,40,01:04 AM,12:59 PM,07:19 AM,06:16 PM,7,24,24,23,13,0,41,0.0,1015,29,10,148,9
2020-01-19,29,16,0.0,11.0,6,6,32,02:03 AM,01:41 PM,07:19 AM,06:16 PM,6,22,22,22,22,2,38,0.0,1015,29,10,49,15
2020-01-20,32,16,0.0,11.0,6,6,25,03:03 AM,02:25 PM,07:19 AM,06:17 PM,6,24,24,24,17,11,33,0.0,1015,32,10,155,11
2020-01-21,32,20,0.0,11.0,7,7,18,04:02 AM,03:14 PM,07:19 AM,06:18 PM,7,26,26,25,12,0,33,0.0,1015,32,10,327,9
2020-01-22,31,19,0.0,11.0,7,7,11,05:00 AM,04:05 PM,07:19 AM,06:18 PM,6,25,25,25,17,2,32,0.0,1016,31,10,130,12
2020-01-23,31,18,0.0,11.0,6,6,3,05:57 AM,04:58 PM,07:19 AM,06:19 PM,8,25,25,24,25,0,37,0.0,1016,31,10,39,16
2020-01-24,33,18,0.0,11.0,7,7,0,06:49 AM,05:53 PM,07:19 AM,06:20 PM,7,26,26,26,18,0,33,0.0,1015,33,10,246,12
2020-01-25,32,19,0.0,11.0,7,7,0,07:38 AM,06:48 PM,07:18 AM,06:21 PM,5,25,25,25,13,3,30,0.0,1014,32,10,130,9
2020-01-26,35,21,0.0,11.0,7,7,4,08:21 AM,07:42 PM,07:18 AM,06:21 PM,5,28,28,28,12,2,26,0.0,1012,35,10,234,8
2020-01-27,32,23,0.0,11.0,7,7,11,09:01 AM,08:34 PM,07:18 AM,06:22 PM,8,27,27,27,11,2,33,0.0,1010,32,10,264,8
2020-01-28,26,20,0.0,8.6,5,5,18,09:37 AM,09:25 PM,07:18 AM,06:23 PM,12,23,23,22,14,33,55,0.0,1012,26,10,265,11
2020-01-29,28,18,0.0,11.1,6,6,26,10:11 AM,10:14 PM,07:17 AM,06:23 PM,9,23,23,23,7,1,45,0.0,1015,28,10,301,6
2020-01-30,32,17,0.0,11.1,6,6,33,10:44 AM,11:03 PM,07:17 AM,06:24 PM,4,24,24,24,12,0,32,0.0,1016,32,10,41,9
2020-01-31,31,16,0.0,11.1,6,6,37,11:17 AM,11:52 PM,07:17 AM,06:25 PM,4,24,24,23,15,0,31,0.0,1013,31,10,240,10
2020-02-01,31,16,0.0,11.1,6,6,49,11:50 AM,No moonset,07:16 AM,06:25 PM,2,23,23,23,24,1,29,0.0,1014,31,10,43,16
2020-02-02,31,17,0.0,11.1,6,6,57,12:25 PM,12:42 AM,07:16 AM,06:26 PM,3,24,24,24,25,4,28,0.0,1015,31,10,60,17
2020-02-03,33,18,0.0,11.1,7,7,64,01:04 PM,01:34 AM,07:16 AM,06:26 PM,6,26,26,25,17,3,31,0.0,1014,33,10,248,11
2020-02-04,30,20,0.0,11.1,7,7,72,01:47 PM,02:28 AM,07:15 AM,06:27 PM,4,25,25,25,17,0,29,0.0,1014,30,10,310,12
2020-02-05,33,18,0.0,11.1,7,7,79,02:35 PM,03:25 AM,07:15 AM,06:28 PM,3,25,25,25,12,0,27,0.0,1014,33,10,196,8
2020-02-06,32,18,0.0,11.1,6,6,87,03:30 PM,04:23 AM,07:14 AM,06:28 PM,5,26,26,25,12,0,30,0.0,1013,32,10,242,9
2020-02-07,30,17,0.0,11.2,6,6,95,04:30 PM,05:23 AM,07:14 AM,06:29 PM,3,24,24,24,21,0,29,0.0,1015,30,10,25,15
2020-02-08,30,17,0.0,11.2,6,6,100,05:35 PM,06:20 AM,07:13 AM,06:30 PM,4,24,24,24,26,0,30,0.0,1017,30,10,55,17
2020-02-09,30,16,0.0,11.2,6,6,100,06:41 PM,07:14 AM,07:13 AM,06:30 PM,1,24,24,23,25,0,24,0.0,1017,30,10,74,17
2020-02-10,33,17,0.0,11.2,7,7,83,07:47 PM,08:04 AM,07:12 AM,06:31 PM,2,25,25,25,20,2,24,0.0,1015,33,10,37,13
2020-02-11,35,20,0.0,11.2,7,7,75,08:51 PM,08:50 AM,07:12 AM,06:31 PM,9,28,28,28,18,8,32,0.0,1015,35,10,117,12
2020-02-12,36,22,0.0,11.2,7,7,68,09:54 PM,09:34 AM,07:11 AM,06:32 PM,9,30,30,30,19,9,30,0.0,1016,36,10,255,12
2020-02-13,35,23,0.0,11.2,7,7,60,10:56 PM,10:16 AM,07:11 AM,06:32 PM,7,29,29,29,18,8,26,0.0,1016,35,10,226,12
2020-02-14,35,22,0.0,11.2,7,7,53,11:57 PM,10:57 AM,07:10 AM,06:33 PM,4,28,28,28,14,8,24,0.0,1013,35,10,125,9
2020-02-15,35,20,0.0,11.3,7,7,45,No moonrise,11:40 AM,07:09 AM,06:34 PM,5,28,28,28,10,13,24,0.0,1013,35,10,264,7
2020-02-16,38,22,0.0,11.3,8,8,38,12:57 AM,12:24 PM,07:09 AM,06:34 PM,7,31,31,30,13,4,25,0.0,1013,38,10,85,9
2020-02-17,39,24,0.0,11.3,8,8,30,01:57 AM,01:11 PM,07:08 AM,06:35 PM,3,31,31,31,18,2,18,0.0,1014,39,10,51,12
2020-02-18,40,24,0.0,11.3,8,8,22,02:56 AM,02:01 PM,07:07 AM,06:35 PM,1,32,32,32,11,1,15,0.0,1013,40,10,151,8
2020-02-19,37,26,0.0,11.3,8,8,15,03:52 AM,02:53 PM,07:07 AM,06:36 PM,6,31,31,31,14,3,24,0.0,1012,37,10,223,10
2020-02-20,36,25,0.0,11.3,7,7,7,04:45 AM,03:47 PM,07:06 AM,06:36 PM,9,30,30,30,14,1,33,0.0,1012,36,10,240,11
2020-02-21,34,22,0.0,10.1,6,6,0,05:34 AM,04:41 PM,07:05 AM,06:37 PM,10,29,29,28,9,30,39,0.0,1014,34,10,235,6
2020-02-22,37,20,0.0,11.3,7,7,0,06:18 AM,05:35 PM,07:05 AM,06:37 PM,1,29,29,29,20,0,19,0.0,1016,37,10,144,14
2020-02-23,37,21,0.0,11.3,7,7,0,06:59 AM,06:27 PM,07:04 AM,06:38 PM,4,29,29,30,17,2,22,0.0,1014,37,10,253,11
2020-02-24,34,21,0.0,11.4,7,7,0,07:37 AM,07:19 PM,07:03 AM,06:38 PM,5,27,27,28,16,1,25,0.0,1012,34,10,242,12
