date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,16,13,0.0,4.0,3,3,37,11:01 AM,10:50 PM,06:43 AM,05:19 PM,7,14,14,14,13,45,62,0.2,1021,16,10,70,8
2020-01-02,24,13,0.0,7.1,4,4,44,11:34 AM,11:40 PM,06:44 AM,05:20 PM,12,17,18,17,17,43,71,0.1,1020,24,10,112,11
2020-01-03,21,15,0.0,4.0,4,4,51,12:05 PM,No moonset,06:44 AM,05:21 PM,14,17,17,17,16,73,84,7.6,1017,21,10,77,11
2020-01-04,22,13,0.0,8.7,4,4,59,12:37 PM,12:30 AM,06:44 AM,05:21 PM,13,18,18,18,11,37,77,0.1,1015,22,8,298,7
2020-01-05,23,15,0.0,8.7,5,5,66,01:10 PM,01:22 AM,06:44 AM,05:22 PM,11,18,19,18,15,2,67,0.0,1017,23,10,284,11
2020-01-06,23,13,0.0,8.7,5,5,73,01:47 PM,02:14 AM,06:45 AM,05:23 PM,9,18,18,18,14,10,57,0.0,1018,23,10,297,10
2020-01-07,25,14,0.0,8.7,5,5,80,02:26 PM,03:10 AM,06:45 AM,05:23 PM,9,19,19,19,10,17,55,0.0,1016,25,10,194,6
2020-01-08,21,14,0.0,5.6,4,4,88,03:12 PM,04:08 AM,06:45 AM,05:24 PM,10,16,16,16,20,57,70,3.4,1014,21,9,55,13
2020-01-09,17,9,0.0,4.1,4,4,95,04:03 PM,05:07 AM,06:45 AM,05:25 PM,13,14,16,14,17,64,87,3.1,1015,17,10,288,12
2020-01-10,20,10,0.0,8.7,5,5,100,05:01 PM,06:07 AM,06:45 AM,05:26 PM,10,14,15,14,17,13,73,0.0,1018,20,9,284,12
2020-01-11,20,11,0.0,8.7,5,5,100,06:04 PM,07:06 AM,06:45 AM,05:26 PM,6,15,16,15,10,1,55,0.0,1019,20,10,284,8
