date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,20,0.0,4.2,5,5,37,11:08 AM,11:13 PM,06:35 AM,05:58 PM,20,25,25,23,11,75,85,7.5,1014,28,8,84,7
2020-01-02,29,20,0.0,5.7,6,6,44,11:45 AM,11:58 PM,06:35 AM,05:59 PM,21,26,26,24,8,70,83,0.8,1015,29,7,113,5
2020-01-03,30,21,0.0,8.7,7,7,51,12:21 PM,No moonset,06:36 AM,05:59 PM,21,27,27,25,10,36,82,0.2,1014,30,7,140,7
2020-01-04,31,21,0.0,8.7,6,6,59,12:58 PM,12:43 AM,06:36 AM,06:00 PM,21,27,27,25,10,58,83,0.6,1012,31,7,162,7
2020-01-05,30,21,0.0,5.8,6,6,66,01:36 PM,01:30 AM,06:37 AM,06:00 PM,21,27,27,25,13,72,82,6.0,1012,30,10,116,9
2020-01-06,29,21,0.0,7.3,6,6,73,02:17 PM,02:18 AM,06:37 AM,06:01 PM,21,26,26,24,12,65,85,5.1,1014,29,8,78,8
2020-01-07,27,21,0.0,5.8,5,5,80,03:01 PM,03:09 AM,06:37 AM,06:02 PM,21,26,26,24,15,70,85,6.3,1014,27,10,83,10
2020-01-08,27,19,0.0,8.7,5,5,88,03:50 PM,04:03 AM,06:38 AM,06:02 PM,19,25,25,23,8,51,79,0.2,1014,27,10,72,6
2020-01-09,28,18,0.0,11.6,6,6,95,04:44 PM,05:00 AM,06:38 AM,06:03 PM,18,25,25,23,8,12,75,0.0,1013,28,10,85,6
2020-01-10,28,20,0.0,11.6,6,6,100,05:43 PM,05:59 AM,06:38 AM,06:03 PM,18,25,25,23,9,3,74,0.0,1014,28,10,75,7
2020-01-11,28,17,0.0,11.6,6,6,100,06:43 PM,06:58 AM,06:38 AM,06:04 PM,17,22,22,22,10,13,78,0.0,1015,28,10,61,8
2020-01-12,28,18,0.0,7.3,5,5,83,07:46 PM,07:55 AM,06:39 AM,06:04 PM,18,24,24,22,12,57,79,1.4,1014,28,10,73,8
2020-01-13,29,19,0.0,11.6,6,6,76,08:47 PM,08:49 AM,06:39 AM,06:05 PM,18,25,25,24,10,33,76,0.2,1012,29,9,71,7
2020-01-14,30,19,0.0,11.6,7,7,69,09:46 PM,09:40 AM,06:39 AM,06:05 PM,17,25,25,24,7,2,68,0.0,1013,30,10,77,6
2020-01-15,29,17,0.0,11.6,6,6,61,10:43 PM,10:27 AM,06:39 AM,06:06 PM,17,23,23,23,9,3,71,0.0,1013,29,10,88,7
2020-01-16,30,17,0.0,11.6,6,6,54,11:39 PM,11:13 AM,06:39 AM,06:06 PM,17,24,24,23,9,10,70,0.0,1013,30,10,108,7
2020-01-17,30,19,0.0,10.2,6,6,47,No moonrise,11:57 AM,06:39 AM,06:07 PM,19,25,25,23,11,36,78,2.6,1013,30,10,99,8
2020-01-18,28,20,0.0,7.3,5,5,40,12:34 AM,12:41 PM,06:40 AM,06:07 PM,20,25,25,23,14,80,83,3.9,1013,28,9,95,10
2020-01-19,29,20,0.0,10.2,5,5,32,01:29 AM,01:28 PM,06:40 AM,06:08 PM,19,25,25,23,10,56,78,0.6,1013,29,10,79,7
2020-01-20,30,19,0.0,11.6,7,7,25,02:25 AM,02:15 PM,06:40 AM,06:09 PM,18,25,25,24,10,11,70,0.0,1014,30,10,76,7
2020-01-21,29,19,0.0,11.6,7,7,18,03:22 AM,03:06 PM,06:40 AM,06:09 PM,18,25,25,24,13,5,72,0.0,1015,29,10,72,9
2020-01-22,29,18,0.0,11.6,6,6,11,04:18 AM,03:58 PM,06:40 AM,06:10 PM,18,24,24,23,14,39,79,0.0,1016,29,9,72,10
2020-01-23,30,21,0.0,11.6,7,7,3,05:13 AM,04:52 PM,06:40 AM,06:10 PM,18,26,26,25,11,27,72,0.2,1015,30,10,79,9
2020-01-24,31,18,0.0,11.6,7,7,0,06:06 AM,05:46 PM,06:40 AM,06:11 PM,15,25,25,24,9,4,62,0.0,1014,31,10,72,7
2020-01-25,31,19,0.0,11.6,7,7,0,06:56 AM,06:39 PM,06:40 AM,06:11 PM,14,25,25,25,8,0,54,0.0,1014,31,10,79,7
2020-01-26,33,20,0.0,11.6,7,7,4,07:43 AM,07:30 PM,06:40 AM,06:11 PM,16,27,27,26,7,0,58,0.0,1013,33,10,90,6
2020-01-27,32,21,0.0,11.6,7,7,11,08:25 AM,08:19 PM,06:40 AM,06:12 PM,18,28,28,26,9,0,63,0.0,1012,32,10,129,7
2020-01-28,33,20,0.0,11.6,7,7,18,09:05 AM,09:06 PM,06:40 AM,06:12 PM,19,28,28,26,11,2,69,0.0,1013,33,10,147,8
2020-01-29,33,19,0.0,11.6,7,7,26,09:43 AM,09:52 PM,06:40 AM,06:13 PM,18,27,27,26,10,5,68,0.0,1013,33,10,143,8
2020-01-30,33,20,0.0,11.6,7,7,33,10:18 AM,10:37 PM,06:40 AM,06:13 PM,17,27,27,26,10,4,64,0.0,1012,33,10,151,8
2020-01-31,32,20,0.0,11.6,7,7,37,10:55 AM,11:23 PM,06:40 AM,06:14 PM,17,26,26,25,12,8,66,0.0,1011,32,10,135,9
2020-02-01,31,19,0.0,10.2,6,6,49,11:32 AM,No moonset,06:40 AM,06:14 PM,18,26,26,25,14,36,69,0.2,1013,31,10,138,10
2020-02-02,31,19,0.0,11.6,7,7,57,12:10 PM,12:09 AM,06:39 AM,06:15 PM,17,25,25,24,12,27,69,0.0,1015,31,10,109,9
2020-02-03,31,18,0.0,11.6,7,7,64,12:52 PM,12:58 AM,06:39 AM,06:15 PM,16,25,25,24,11,12,66,0.0,1015,31,10,88,8
2020-02-04,28,18,0.0,7.3,5,5,72,01:38 PM,01:49 AM,06:39 AM,06:15 PM,18,24,24,23,13,64,76,0.9,1014,28,10,110,9
2020-02-05,31,19,0.0,11.6,7,7,79,02:28 PM,02:43 AM,06:39 AM,06:16 PM,16,26,26,25,10,17,64,0.0,1013,31,10,107,7
2020-02-06,32,21,0.0,11.6,7,7,87,03:24 PM,03:41 AM,06:39 AM,06:16 PM,16,27,27,26,11,2,60,0.0,1013,32,10,138,8
2020-02-07,31,19,0.0,11.6,7,7,95,04:24 PM,04:39 AM,06:38 AM,06:16 PM,17,26,26,25,15,14,66,0.0,1013,31,10,140,11
2020-02-08,31,20,0.0,11.6,7,7,100,05:26 PM,05:38 AM,06:38 AM,06:17 PM,17,26,26,25,14,25,66,0.0,1013,31,10,140,10
2020-02-09,30,19,0.0,11.6,7,7,100,06:29 PM,06:34 AM,06:38 AM,06:17 PM,18,25,25,24,16,48,70,0.1,1014,30,10,110,11
2020-02-10,32,20,0.0,11.6,7,7,83,07:32 PM,07:29 AM,06:38 AM,06:17 PM,17,26,26,25,17,38,69,0.5,1014,32,10,82,12
2020-02-11,30,18,0.0,10.2,6,6,75,08:31 PM,08:19 AM,06:37 AM,06:18 PM,18,24,24,23,15,54,75,1.2,1015,30,8,87,10
2020-02-12,29,19,0.0,10.2,6,6,68,09:30 PM,09:07 AM,06:37 AM,06:18 PM,18,24,24,23,14,44,75,0.0,1016,29,8,72,10
2020-02-13,32,18,0.0,11.6,7,7,60,10:27 PM,09:53 AM,06:37 AM,06:18 PM,16,26,26,25,12,12,65,0.0,1015,32,8,69,9
2020-02-14,33,20,0.0,11.6,7,7,53,11:24 PM,10:39 AM,06:36 AM,06:19 PM,15,27,27,26,10,3,57,0.0,1013,33,10,59,7
2020-02-15,35,21,0.0,11.6,7,7,45,No moonrise,11:26 AM,06:36 AM,06:19 PM,13,28,28,28,9,0,48,0.0,1013,35,10,76,7
2020-02-16,33,20,0.0,11.6,7,7,38,12:20 AM,12:13 PM,06:36 AM,06:19 PM,13,27,27,26,10,0,50,0.0,1014,33,10,88,7
2020-02-17,33,20,0.0,11.6,7,7,30,01:18 AM,01:03 PM,06:35 AM,06:20 PM,15,27,27,26,10,0,56,0.0,1015,33,10,88,8
2020-02-18,32,20,0.0,11.6,7,7,22,02:14 AM,01:55 PM,06:35 AM,06:20 PM,15,27,27,26,10,1,57,0.0,1014,32,10,92,8
2020-02-19,32,20,0.0,11.6,7,7,15,03:09 AM,02:47 PM,06:34 AM,06:20 PM,16,27,27,26,9,2,62,0.0,1014,32,10,95,7
