date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,21,13,0.0,3.9,4,4,37,11:21 AM,11:12 PM,07:01 AM,05:44 PM,13,16,17,16,18,61,79,2.4,1016,21,10,84,11
2020-01-02,21,13,0.0,5.5,4,4,44,11:54 AM,No moonset,07:01 AM,05:44 PM,14,16,17,16,15,64,88,2.5,1017,21,9,268,8
2020-01-03,21,13,0.0,7.1,5,5,51,12:26 PM,12:02 AM,07:01 AM,05:45 PM,12,16,16,16,12,40,77,0.0,1016,21,9,226,8
2020-01-04,21,11,0.0,8.7,5,5,59,12:59 PM,12:51 AM,07:01 AM,05:46 PM,9,15,15,15,14,6,69,0.0,1016,21,10,46,8
2020-01-05,21,11,0.0,8.7,5,5,66,01:33 PM,01:42 AM,07:02 AM,05:46 PM,7,15,15,15,13,3,61,0.0,1017,21,10,58,8
2020-01-06,23,12,0.0,8.7,5,5,73,02:10 PM,02:34 AM,07:02 AM,05:47 PM,7,16,16,16,14,7,54,0.0,1018,23,10,132,8
2020-01-07,25,13,0.0,8.7,5,5,80,02:51 PM,03:29 AM,07:02 AM,05:48 PM,10,18,19,18,16,19,58,0.0,1015,25,10,199,9
2020-01-08,25,15,0.0,3.9,5,5,88,03:37 PM,04:26 AM,07:02 AM,05:48 PM,13,19,20,19,20,55,66,3.1,1012,25,10,257,12
2020-01-09,20,10,0.0,8.7,5,5,95,04:29 PM,05:25 AM,07:02 AM,05:49 PM,5,13,14,13,20,5,58,0.0,1017,20,10,132,12
2020-01-10,18,7,0.0,8.7,4,4,100,05:27 PM,06:25 AM,07:03 AM,05:50 PM,3,11,12,11,15,0,56,0.0,1019,18,10,48,9
2020-01-11,21,8,0.0,8.7,4,4,100,06:29 PM,07:24 AM,07:03 AM,05:50 PM,2,13,13,13,12,1,47,0.0,1018,21,10,50,7
2020-01-12,25,11,0.0,8.7,5,5,83,07:34 PM,08:19 AM,07:03 AM,05:51 PM,3,17,17,17,7,0,39,0.0,1016,25,10,42,4
2020-01-13,27,13,0.0,8.7,6,6,76,08:39 PM,09:10 AM,07:03 AM,05:52 PM,7,19,19,19,16,4,47,0.0,1012,27,10,203,9
2020-01-14,25,15,0.0,8.7,5,5,69,09:43 PM,09:56 AM,07:03 AM,05:53 PM,14,19,20,19,14,54,74,1.3,1013,25,10,145,8
2020-01-15,26,15,0.0,8.7,6,6,61,10:45 PM,10:39 AM,07:03 AM,05:53 PM,12,20,20,20,16,33,64,0.2,1013,26,10,133,10
2020-01-16,23,15,0.0,7.1,5,5,54,11:46 PM,11:20 AM,07:03 AM,05:54 PM,12,19,20,19,20,49,66,2.9,1012,23,10,244,13
2020-01-17,22,11,0.0,8.7,5,5,47,No moonrise,11:59 AM,07:03 AM,05:55 PM,8,16,16,16,13,15,62,0.0,1016,22,10,191,7
2020-01-18,23,11,0.0,8.7,5,5,40,12:45 AM,12:39 PM,07:03 AM,05:55 PM,10,15,16,15,17,13,70,0.0,1016,23,9,247,10
2020-01-19,20,11,0.0,8.7,5,5,32,01:45 AM,01:20 PM,07:03 AM,05:56 PM,6,14,14,14,18,6,60,0.0,1017,20,10,31,11
2020-01-20,22,10,0.0,5.5,4,4,25,02:45 AM,02:04 PM,07:03 AM,05:57 PM,5,15,15,15,12,65,53,0.0,1017,22,10,51,7
2020-01-21,26,12,0.0,8.7,5,5,18,03:45 AM,02:52 PM,07:02 AM,05:58 PM,10,18,19,18,13,31,58,0.0,1016,26,10,200,8
2020-01-22,25,14,0.0,4.0,4,4,11,04:44 AM,03:43 PM,07:02 AM,05:58 PM,12,18,19,18,20,55,69,2.3,1017,25,10,122,11
2020-01-23,22,12,0.0,8.7,5,5,3,05:40 AM,04:36 PM,07:02 AM,05:59 PM,5,15,16,15,20,3,49,0.0,1018,22,10,26,12
2020-01-24,24,10,0.0,11.0,5,5,0,06:32 AM,05:32 PM,07:02 AM,06:00 PM,3,16,16,16,14,0,43,0.0,1016,24,10,327,8
2020-01-25,24,11,0.0,11.0,5,5,0,07:21 AM,06:26 PM,07:02 AM,06:00 PM,3,17,18,17,11,1,38,0.0,1016,24,10,338,7
2020-01-26,26,13,0.0,11.0,5,5,4,08:04 AM,07:21 PM,07:01 AM,06:01 PM,4,19,19,19,8,5,39,0.0,1014,26,10,161,5
2020-01-27,28,15,0.0,11.0,6,6,11,08:43 AM,08:13 PM,07:01 AM,06:02 PM,7,21,21,21,13,6,41,0.0,1010,28,10,187,8
2020-01-28,26,17,0.0,11.0,6,6,18,09:19 AM,09:05 PM,07:01 AM,06:02 PM,8,21,21,21,19,13,45,0.0,1010,26,10,258,12
2020-01-29,24,14,0.0,11.0,5,5,26,09:53 AM,09:54 PM,07:01 AM,06:03 PM,6,18,19,18,15,15,49,0.0,1015,24,10,290,9
2020-01-30,22,11,0.0,11.0,5,5,33,10:25 AM,10:43 PM,07:00 AM,06:04 PM,4,15,16,15,17,5,48,0.0,1016,22,10,24,10
2020-01-31,25,10,0.0,11.0,5,5,37,10:57 AM,11:33 PM,07:00 AM,06:04 PM,1,16,16,16,13,1,38,0.0,1014,25,10,150,7
2020-02-01,23,11,0.0,11.1,5,5,49,11:31 AM,No moonset,07:00 AM,06:05 PM,2,16,16,16,16,2,41,0.0,1016,23,10,29,9
2020-02-02,23,10,0.0,11.5,5,5,57,12:05 PM,12:23 AM,06:59 AM,06:06 PM,2,16,17,16,20,1,41,0.0,1018,23,10,41,11
2020-02-03,25,11,0.0,11.5,5,5,64,12:43 PM,01:16 AM,06:59 AM,06:06 PM,4,17,18,17,20,18,43,0.0,1016,25,10,62,11
2020-02-04,26,13,0.0,7.2,5,5,72,01:26 PM,02:11 AM,06:58 AM,06:07 PM,8,19,19,19,18,47,50,1.1,1013,26,10,145,10
2020-02-05,26,13,0.0,11.5,5,5,79,02:14 PM,03:08 AM,06:58 AM,06:08 PM,6,18,19,18,20,3,48,0.0,1014,26,10,235,11
2020-02-06,26,12,0.0,11.5,6,6,87,03:08 PM,04:07 AM,06:57 AM,06:08 PM,6,19,19,19,21,23,45,0.0,1013,26,10,67,12
2020-02-07,25,13,0.0,11.5,5,5,95,04:08 PM,05:06 AM,06:57 AM,06:09 PM,6,18,20,18,24,4,47,0.0,1015,25,10,17,14
2020-02-08,24,11,0.0,11.5,5,5,100,05:13 PM,06:03 AM,06:56 AM,06:10 PM,4,16,17,16,25,1,47,0.0,1018,24,10,39,15
2020-02-09,24,8,0.0,11.5,5,5,100,06:19 PM,06:57 AM,06:56 AM,06:10 PM,-1,16,17,16,19,0,35,0.0,1019,24,10,69,11
2020-02-10,27,10,0.0,11.6,5,5,83,07:26 PM,07:47 AM,06:55 AM,06:11 PM,0,18,19,18,14,0,33,0.0,1017,27,10,150,8
2020-02-11,27,12,0.0,11.6,6,6,75,08:31 PM,08:32 AM,06:55 AM,06:11 PM,2,20,21,20,14,4,31,0.0,1017,27,10,148,8
2020-02-12,28,14,0.0,11.6,6,6,68,09:35 PM,09:16 AM,06:54 AM,06:12 PM,4,22,22,22,10,2,32,0.0,1017,28,10,297,6
2020-02-13,30,16,0.0,11.6,6,6,60,10:37 PM,09:57 AM,06:53 AM,06:13 PM,3,24,24,23,12,0,28,0.0,1016,30,10,322,7
2020-02-14,30,18,0.0,11.6,6,6,53,11:39 PM,10:37 AM,06:53 AM,06:13 PM,4,23,23,23,16,6,32,0.0,1013,30,10,319,10
2020-02-15,29,16,0.0,11.6,5,5,45,No moonrise,11:20 AM,06:52 AM,06:14 PM,2,22,22,23,13,30,29,0.0,1014,29,10,330,8
2020-02-16,30,15,0.0,11.6,6,6,38,12:40 AM,12:03 PM,06:51 AM,06:14 PM,-4,23,23,23,14,2,18,0.0,1015,30,10,38,8
2020-02-17,30,15,0.0,11.6,6,6,30,01:40 AM,12:50 PM,06:51 AM,06:15 PM,-5,23,23,23,13,0,18,0.0,1016,30,10,29,8
2020-02-18,30,16,0.0,11.6,7,7,22,02:39 AM,01:40 PM,06:50 AM,06:15 PM,-4,24,24,25,8,0,17,0.0,1015,30,10,316,5
2020-02-19,31,17,0.0,11.6,7,7,15,03:36 AM,02:31 PM,06:49 AM,06:16 PM,-4,24,24,24,12,10,16,0.0,1013,31,10,189,7
2020-02-20,33,19,0.0,11.6,7,7,7,04:28 AM,03:26 PM,06:48 AM,06:17 PM,2,25,25,25,18,20,22,0.0,1011,33,10,224,12
2020-02-21,33,20,0.0,11.6,7,7,0,05:18 AM,04:20 PM,06:48 AM,06:17 PM,4,27,27,27,20,7,27,0.0,1014,33,10,257,12
2020-02-22,30,16,0.0,11.6,6,6,0,06:02 AM,05:14 PM,06:47 AM,06:18 PM,4,24,24,24,17,3,33,0.0,1016,30,10,210,10
2020-02-23,31,15,0.0,11.6,6,6,0,06:42 AM,06:07 PM,06:46 AM,06:18 PM,7,24,24,24,19,3,38,0.0,1015,31,10,217,11
2020-02-24,28,16,0.0,11.6,6,6,0,07:19 AM,06:58 PM,06:45 AM,06:19 PM,6,21,21,22,17,7,39,0.0,1013,28,10,230,10
2020-02-25,28,16,0.0,11.6,6,6,8,07:53 AM,07:49 PM,06:45 AM,06:19 PM,4,22,22,22,15,8,35,0.0,1013,28,10,5,9
2020-02-26,29,17,0.0,11.6,7,7,15,08:25 AM,08:38 PM,06:44 AM,06:20 PM,4,24,24,24,8,2,30,0.0,1014,29,10,31,5
2020-02-27,31,18,0.0,11.6,7,7,23,08:58 AM,09:28 PM,06:43 AM,06:20 PM,2,25,25,25,10,5,25,0.0,1013,31,10,298,7
2020-02-28,34,18,0.0,11.6,7,7,30,09:30 AM,10:17 PM,06:42 AM,06:21 PM,4,27,27,27,13,6,26,0.0,1011,34,10,89,8
2020-02-29,33,19,0.0,11.6,7,7,38,10:04 AM,11:08 PM,06:41 AM,06:21 PM,5,27,27,27,21,24,29,0.1,1010,33,10,222,13
2020-03-01,33,19,0.0,11.6,7,7,44,10:39 AM,No moonset,06:40 AM,06:22 PM,9,25,25,25,19,21,41,1.1,1010,33,10,207,12
2020-03-02,33,18,0.0,11.6,7,7,51,11:19 AM,12:01 AM,06:39 AM,06:22 PM,7,27,27,26,12,3,36,0.0,1010,33,10,273,8
2020-03-03,33,18,0.0,11.6,7,7,58,12:03 PM,12:56 AM,06:39 AM,06:23 PM,6,26,26,26,18,3,34,0.0,1009,33,10,277,12
2020-03-04,32,19,0.0,11.6,7,7,65,12:53 PM,01:52 AM,06:38 AM,06:23 PM,4,26,26,26,13,4,29,0.0,1009,32,10,264,9
2020-03-05,31,17,0.0,11.6,7,7,73,01:50 PM,02:50 AM,06:37 AM,06:23 PM,3,24,24,24,13,5,30,0.0,1008,31,10,268,9
2020-03-06,29,17,0.0,11.6,6,6,80,02:50 PM,03:47 AM,06:36 AM,06:24 PM,5,24,24,24,25,11,32,0.0,1008,29,10,227,16
2020-03-07,30,15,0.0,11.6,6,6,87,03:56 PM,04:41 AM,06:35 AM,06:24 PM,2,23,23,23,18,3,30,0.0,1013,30,10,274,11
2020-03-08,30,15,0.0,11.6,6,6,95,05:02 PM,05:33 AM,06:34 AM,06:25 PM,1,24,24,23,20,0,27,0.0,1013,30,10,236,12
2020-03-09,29,16,0.0,11.6,6,6,100,06:09 PM,06:20 AM,06:33 AM,06:25 PM,4,23,23,23,16,21,30,0.0,1011,29,10,54,9
2020-03-10,30,19,0.0,8.8,6,6,100,07:15 PM,07:05 AM,06:32 AM,06:26 PM,9,24,24,24,16,48,40,0.8,1009,30,10,240,10
2020-03-11,31,21,0.0,11.6,7,7,84,08:20 PM,07:48 AM,06:31 AM,06:26 PM,8,27,27,26,18,23,38,0.0,1009,31,10,235,13
2020-03-12,32,17,0.0,11.6,7,7,76,09:25 PM,08:30 AM,06:30 AM,06:26 PM,6,26,26,25,21,20,33,0.0,1011,32,10,213,14
2020-03-13,28,18,0.0,10.2,6,6,69,10:28 PM,09:13 AM,06:29 AM,06:27 PM,2,23,23,23,12,23,25,0.4,1013,28,10,296,8
2020-03-14,30,18,0.0,11.6,6,6,62,11:32 PM,09:58 AM,06:28 AM,06:27 PM,-4,24,24,24,16,1,18,0.0,1013,30,10,322,10
2020-03-15,29,15,0.0,10.2,5,5,55,No moonrise,10:45 AM,06:27 AM,06:28 PM,-2,23,23,23,19,18,22,0.0,1014,29,10,11,12
2020-03-16,31,16,0.0,11.6,7,7,47,12:33 AM,11:35 AM,06:26 AM,06:28 PM,-0,24,24,24,17,34,22,0.0,1014,31,10,243,10
2020-03-17,33,18,0.0,11.6,7,7,40,01:32 AM,12:27 PM,06:25 AM,06:29 PM,2,27,27,27,20,5,23,0.0,1014,33,10,237,12
2020-03-18,34,20,0.0,11.6,7,7,33,02:26 AM,01:22 PM,06:24 AM,06:29 PM,3,28,28,28,15,9,22,0.0,1012,34,10,247,9
2020-03-19,33,22,0.0,10.2,6,6,25,03:16 AM,02:16 PM,06:23 AM,06:29 PM,4,29,29,28,18,24,24,2.7,1010,33,10,264,11
2020-03-20,34,22,0.0,11.6,7,7,18,04:01 AM,03:10 PM,06:22 AM,06:30 PM,5,27,27,28,19,13,25,0.0,1009,34,10,215,12
