date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,30,22,0.0,4.2,6,6,37,11:06 AM,11:12 PM,06:32 AM,05:59 PM,22,28,28,25,18,65,81,5.6,1014,30,9,85,11
2020-01-02,31,23,0.0,7.2,6,6,44,11:43 AM,11:57 PM,06:32 AM,05:59 PM,22,29,29,26,15,51,81,0.2,1015,31,10,86,10
2020-01-03,30,23,0.0,10.2,6,6,51,12:20 PM,No moonset,06:33 AM,06:00 PM,23,29,29,26,11,47,81,0.5,1014,30,10,101,8
2020-01-04,30,23,0.0,8.7,6,6,59,12:57 PM,12:42 AM,06:33 AM,06:00 PM,23,29,29,26,11,43,82,0.0,1012,30,9,120,8
2020-01-05,30,23,0.0,10.2,6,6,66,01:36 PM,01:28 AM,06:33 AM,06:01 PM,22,29,29,26,11,51,79,1.4,1012,30,10,108,8
2020-01-06,30,23,0.0,7.3,6,6,73,02:16 PM,02:16 AM,06:34 AM,06:01 PM,22,28,28,26,19,57,81,1.8,1014,30,10,79,13
2020-01-07,28,23,0.0,5.8,6,6,80,03:01 PM,03:06 AM,06:34 AM,06:02 PM,22,27,27,25,20,72,82,6.1,1014,28,10,70,14
2020-01-08,28,22,0.0,8.7,6,6,88,03:51 PM,04:00 AM,06:34 AM,06:02 PM,20,27,27,25,18,42,74,0.4,1013,28,10,47,12
2020-01-09,30,21,0.0,11.6,7,7,95,04:44 PM,04:56 AM,06:35 AM,06:03 PM,19,26,26,25,14,1,70,0.0,1013,30,10,68,10
2020-01-10,29,21,0.0,11.6,7,7,100,05:43 PM,05:55 AM,06:35 AM,06:03 PM,18,25,25,24,19,5,72,0.0,1014,29,10,66,13
2020-01-11,30,19,0.0,11.6,7,7,100,06:44 PM,06:54 AM,06:35 AM,06:04 PM,18,24,24,23,23,20,73,0.0,1014,30,10,53,15
2020-01-12,29,20,0.0,7.3,6,6,83,07:46 PM,07:52 AM,06:35 AM,06:05 PM,20,25,25,24,19,58,79,1.5,1013,29,10,62,13
2020-01-13,28,21,0.0,10.2,6,6,76,08:46 PM,08:46 AM,06:36 AM,06:05 PM,20,26,26,24,18,49,77,0.6,1012,28,10,68,12
2020-01-14,30,21,0.0,11.6,7,7,69,09:45 PM,09:38 AM,06:36 AM,06:06 PM,17,25,25,24,16,3,66,0.0,1012,30,10,66,11
2020-01-15,29,19,0.0,11.6,6,6,61,10:42 PM,10:25 AM,06:36 AM,06:06 PM,17,24,24,23,19,7,69,0.0,1013,29,10,69,12
2020-01-16,30,19,0.0,10.2,6,6,54,11:37 PM,11:11 AM,06:36 AM,06:07 PM,18,25,25,24,16,21,70,0.0,1013,30,10,74,10
2020-01-17,29,21,0.0,7.3,6,6,47,No moonrise,11:56 AM,06:36 AM,06:07 PM,21,27,27,25,17,43,80,0.3,1013,29,9,68,11
2020-01-18,28,22,0.0,5.9,6,6,40,12:32 AM,12:41 PM,06:37 AM,06:08 PM,22,27,27,25,21,72,85,8.7,1012,28,10,72,13
2020-01-19,30,22,0.0,11.6,7,7,32,01:27 AM,01:27 PM,06:37 AM,06:08 PM,20,27,27,25,20,38,77,0.3,1013,30,10,70,13
2020-01-20,31,21,0.0,11.6,7,7,25,02:22 AM,02:15 PM,06:37 AM,06:09 PM,19,26,26,25,18,9,73,0.0,1014,31,10,64,12
