date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,31,23,0.0,8.7,6,6,37,11:11 AM,11:19 PM,06:34 AM,06:09 PM,21,29,29,26,17,57,74,0.8,1013,31,10,58,12
2020-01-02,31,23,0.0,8.7,6,6,44,11:49 AM,No moonset,06:34 AM,06:09 PM,22,29,29,27,16,59,74,1.0,1014,31,10,49,12
2020-01-03,31,24,0.0,8.7,6,6,51,12:26 PM,12:03 AM,06:35 AM,06:10 PM,22,30,30,27,13,55,73,0.5,1013,31,10,55,9
2020-01-04,31,25,0.0,5.9,6,6,59,01:04 PM,12:48 AM,06:35 AM,06:10 PM,22,30,30,28,11,65,73,0.7,1011,31,10,71,8
2020-01-05,32,24,0.0,7.3,6,6,66,01:44 PM,01:33 AM,06:35 AM,06:11 PM,21,30,30,27,16,66,72,2.7,1011,32,10,69,11
2020-01-06,32,23,0.0,5.9,6,6,73,02:25 PM,02:20 AM,06:36 AM,06:11 PM,21,29,29,27,21,66,72,2.0,1012,32,10,55,15
2020-01-07,32,23,0.0,8.7,6,6,80,03:11 PM,03:10 AM,06:36 AM,06:12 PM,20,29,29,27,25,62,71,0.6,1013,32,10,47,18
2020-01-08,31,23,0.0,11.6,7,7,88,04:01 PM,04:02 AM,06:36 AM,06:12 PM,19,28,28,26,21,24,69,0.0,1012,31,10,45,15
2020-01-09,30,22,0.0,11.6,7,7,95,04:55 PM,04:59 AM,06:37 AM,06:13 PM,19,27,27,26,19,17,68,0.0,1012,30,10,37,14
2020-01-10,30,23,0.0,11.6,7,7,100,05:54 PM,05:57 AM,06:37 AM,06:13 PM,18,27,27,26,20,4,66,0.0,1012,30,10,38,15
2020-01-11,30,21,0.0,11.6,7,7,100,06:54 PM,06:56 AM,06:37 AM,06:14 PM,18,26,26,25,25,2,65,0.0,1013,30,10,39,18
2020-01-12,31,20,0.0,11.6,7,7,83,07:56 PM,07:54 AM,06:38 AM,06:14 PM,18,26,26,25,23,20,65,0.2,1012,31,10,31,16
2020-01-13,30,22,0.0,8.7,6,6,76,08:56 PM,08:50 AM,06:38 AM,06:15 PM,19,28,28,26,16,46,67,0.3,1011,30,10,27,12
2020-01-14,31,20,0.0,11.6,7,7,69,09:53 PM,09:42 AM,06:38 AM,06:15 PM,18,27,27,25,17,29,63,0.0,1011,31,10,46,12
2020-01-15,30,21,0.0,11.6,7,7,61,10:49 PM,10:30 AM,06:38 AM,06:16 PM,16,27,27,25,17,5,60,0.0,1012,30,10,39,13
2020-01-16,31,21,0.0,11.6,7,7,54,11:43 PM,11:17 AM,06:39 AM,06:16 PM,17,27,27,26,15,9,60,0.0,1012,31,10,45,11
2020-01-17,31,22,0.0,11.6,7,7,47,No moonrise,12:03 PM,06:39 AM,06:17 PM,19,28,28,27,16,25,65,0.0,1012,31,10,53,12
2020-01-18,31,23,0.0,5.9,6,6,40,12:37 AM,12:49 PM,06:39 AM,06:17 PM,21,29,29,27,22,68,71,1.7,1011,31,10,64,16
2020-01-19,31,23,0.0,11.6,6,6,32,01:31 AM,01:36 PM,06:39 AM,06:18 PM,20,28,28,26,23,49,71,0.3,1012,31,10,38,16
2020-01-20,32,22,0.0,11.6,7,7,25,02:25 AM,02:25 PM,06:39 AM,06:18 PM,19,28,28,27,22,21,66,0.0,1013,32,10,43,16
2020-01-21,32,22,0.0,11.6,7,7,18,03:21 AM,03:16 PM,06:40 AM,06:19 PM,19,28,28,27,24,8,64,0.0,1014,32,10,48,18
2020-01-22,31,23,0.0,11.6,7,7,11,04:17 AM,04:09 PM,06:40 AM,06:19 PM,19,28,28,26,26,35,67,0.0,1014,31,10,42,19
2020-01-23,31,24,0.0,5.9,6,6,3,05:12 AM,05:03 PM,06:40 AM,06:20 PM,20,29,29,27,25,75,66,0.7,1012,31,10,51,19
2020-01-24,32,22,0.0,11.6,7,7,0,06:05 AM,05:57 PM,06:40 AM,06:20 PM,19,28,28,27,24,18,65,0.0,1013,32,10,47,18
2020-01-25,33,21,0.0,11.6,7,7,0,06:55 AM,06:49 PM,06:40 AM,06:20 PM,16,27,27,27,20,1,58,0.0,1013,33,10,40,14
2020-01-26,33,20,0.0,11.6,7,7,4,07:43 AM,07:40 PM,06:40 AM,06:21 PM,16,28,28,27,15,0,57,0.0,1012,33,10,45,11
2020-01-27,35,23,0.0,11.6,7,7,11,08:26 AM,08:27 PM,06:40 AM,06:21 PM,18,29,29,28,9,1,57,0.0,1012,35,10,67,8
2020-01-28,34,24,0.0,11.6,7,7,18,09:07 AM,09:14 PM,06:40 AM,06:22 PM,19,30,30,29,10,2,59,0.0,1013,34,10,83,8
2020-01-29,34,22,0.0,11.6,7,7,26,09:46 AM,09:58 PM,06:40 AM,06:22 PM,18,30,30,28,14,15,61,0.0,1013,34,10,63,10
2020-01-30,35,21,0.0,11.6,7,7,33,10:23 AM,10:42 PM,06:40 AM,06:22 PM,18,31,31,29,11,12,60,0.0,1012,35,10,56,9
2020-01-31,34,21,0.0,11.6,7,7,37,11:00 AM,11:26 PM,06:40 AM,06:23 PM,18,31,31,29,16,13,59,0.0,1011,34,10,66,12
2020-02-01,33,22,0.0,10.2,6,6,49,11:39 AM,No moonset,06:40 AM,06:23 PM,18,29,29,27,15,35,63,0.2,1012,33,10,55,11
2020-02-02,33,22,0.0,11.6,7,7,57,12:18 PM,12:11 AM,06:40 AM,06:23 PM,17,28,28,27,20,21,59,0.0,1013,33,10,54,14
2020-02-03,33,22,0.0,11.6,7,7,64,01:01 PM,12:59 AM,06:40 AM,06:24 PM,16,29,29,28,19,5,57,0.0,1013,33,10,43,15
2020-02-04,31,22,0.0,7.3,6,6,72,01:48 PM,01:49 AM,06:40 AM,06:24 PM,19,28,28,26,19,59,66,0.2,1012,31,10,54,14
2020-02-05,32,23,0.0,7.3,6,6,79,02:39 PM,02:43 AM,06:40 AM,06:24 PM,20,28,28,27,20,68,68,3.1,1012,32,10,60,14
2020-02-06,32,23,0.0,11.6,7,7,87,03:35 PM,03:39 AM,06:39 AM,06:25 PM,18,30,30,28,13,27,60,0.0,1013,32,10,55,10
2020-02-07,33,23,0.0,11.6,7,7,95,04:35 PM,04:38 AM,06:39 AM,06:25 PM,17,29,29,28,14,29,57,0.0,1013,33,10,50,11
