date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,27,19,0.0,7.2,5,5,37,11:10 AM,11:08 PM,06:43 AM,05:47 PM,18,23,23,22,24,58,82,11.7,1015,27,9,163,17
2020-01-02,28,20,0.0,8.7,5,5,44,11:45 AM,11:56 PM,06:43 AM,05:48 PM,19,24,24,23,23,74,81,6.5,1015,28,10,154,15
2020-01-03,26,20,0.0,4.1,5,5,51,12:19 PM,No moonset,06:43 AM,05:49 PM,20,23,23,22,17,92,87,2.4,1014,26,10,147,11
2020-01-04,25,19,0.0,4.1,5,5,59,12:54 PM,12:43 AM,06:44 AM,05:49 PM,19,23,23,22,10,72,83,0.3,1012,25,8,13,6
2020-01-05,27,19,0.0,8.7,6,6,66,01:31 PM,01:31 AM,06:44 AM,05:50 PM,15,22,22,22,18,29,68,0.0,1014,27,10,132,12
2020-01-06,27,17,0.0,5.7,5,5,73,02:09 PM,02:21 AM,06:44 AM,05:50 PM,16,23,23,22,11,56,68,0.5,1016,27,10,128,7
2020-01-07,28,21,0.0,4.2,5,5,80,02:52 PM,03:14 AM,06:44 AM,05:51 PM,19,25,25,23,15,82,79,5.2,1015,28,10,170,10
2020-01-08,27,20,0.0,4.2,5,5,88,03:40 PM,04:09 AM,06:45 AM,05:52 PM,19,24,24,23,27,87,82,0.8,1013,27,10,173,19
2020-01-09,29,19,0.0,7.2,5,5,95,04:32 PM,05:07 AM,06:45 AM,05:52 PM,19,25,25,23,20,59,78,3.8,1013,29,10,182,14
2020-01-10,26,18,0.0,8.7,6,6,100,05:31 PM,06:06 AM,06:45 AM,05:53 PM,16,22,22,21,19,36,72,0.9,1014,26,10,125,13
2020-01-11,27,16,0.0,8.7,6,6,100,06:32 PM,07:05 AM,06:45 AM,05:53 PM,12,21,21,21,18,11,58,0.0,1015,27,10,23,11
2020-01-12,27,16,0.0,8.7,6,6,83,07:36 PM,08:02 AM,06:45 AM,05:54 PM,8,20,20,20,17,0,47,0.0,1014,27,10,9,10
2020-01-13,28,17,0.0,8.7,6,6,76,08:39 PM,08:54 AM,06:46 AM,05:55 PM,7,22,22,21,10,0,39,0.0,1012,28,10,24,6
2020-01-14,29,16,0.0,8.7,6,6,69,09:40 PM,09:43 AM,06:46 AM,05:55 PM,14,23,23,22,18,6,60,0.0,1012,29,10,153,11
2020-01-15,28,17,0.0,8.7,6,6,61,10:39 PM,10:28 AM,06:46 AM,05:56 PM,15,22,22,22,22,3,68,0.0,1013,28,10,153,14
2020-01-16,28,17,0.0,8.7,6,6,54,11:38 PM,11:12 AM,06:46 AM,05:57 PM,16,22,22,22,25,7,71,0.0,1013,28,10,159,16
2020-01-17,28,18,0.0,7.2,5,5,47,No moonrise,11:54 AM,06:46 AM,05:57 PM,16,24,24,23,20,40,68,0.0,1014,28,10,163,13
2020-01-18,27,19,0.0,5.7,5,5,40,12:35 AM,12:36 PM,06:46 AM,05:58 PM,17,24,24,23,17,48,75,0.0,1013,27,10,155,12
2020-01-19,28,19,0.0,5.7,5,5,32,01:32 AM,01:20 PM,06:46 AM,05:58 PM,18,25,25,23,16,54,73,0.9,1013,28,10,161,10
2020-01-20,30,20,0.0,8.7,6,6,25,02:30 AM,02:06 PM,06:46 AM,05:59 PM,17,25,25,24,14,33,66,0.0,1014,30,10,163,9
2020-01-21,30,19,0.0,11.5,6,6,18,03:28 AM,02:55 PM,06:46 AM,06:00 PM,16,25,25,24,19,20,63,0.0,1015,30,10,154,12
2020-01-22,30,18,0.0,11.5,6,6,11,04:25 AM,03:47 PM,06:46 AM,06:00 PM,16,24,24,24,20,24,65,0.0,1016,30,10,158,13
2020-01-23,31,19,0.0,11.6,7,7,3,05:21 AM,04:40 PM,06:46 AM,06:01 PM,14,24,24,24,13,5,58,0.0,1014,31,10,118,8
2020-01-24,30,20,0.0,11.6,7,7,0,06:14 AM,05:35 PM,06:46 AM,06:01 PM,14,25,25,25,12,5,50,0.0,1014,30,10,38,7
2020-01-25,31,21,0.0,11.6,7,7,0,07:03 AM,06:29 PM,06:46 AM,06:02 PM,12,26,26,25,10,3,46,0.0,1013,31,10,42,6
2020-01-26,32,19,0.0,11.6,7,7,4,07:48 AM,07:22 PM,06:46 AM,06:02 PM,14,26,26,25,14,3,51,0.0,1012,32,10,202,8
2020-01-27,32,21,0.0,11.6,7,7,11,08:29 AM,08:12 PM,06:46 AM,06:03 PM,11,26,26,26,14,2,40,0.0,1011,32,10,161,9
2020-01-28,31,20,0.0,11.6,6,6,18,09:07 AM,09:01 PM,06:45 AM,06:04 PM,17,26,26,25,30,35,63,0.0,1011,31,10,173,22
2020-01-29,30,21,0.0,8.7,6,6,26,09:43 AM,09:49 PM,06:45 AM,06:04 PM,19,27,27,25,23,68,70,5.9,1012,30,9,174,16
2020-01-30,30,21,0.0,11.6,7,7,33,10:17 AM,10:36 PM,06:45 AM,06:05 PM,15,25,25,24,14,34,59,0.2,1013,30,10,116,9
2020-01-31,30,19,0.0,11.6,7,7,37,10:52 AM,11:23 PM,06:45 AM,06:05 PM,14,25,25,24,13,14,52,0.0,1011,30,10,152,8
2020-02-01,29,19,0.0,10.2,5,5,49,11:27 AM,No moonset,06:45 AM,06:06 PM,17,25,25,24,20,47,70,0.1,1012,29,10,162,13
2020-02-02,27,19,0.0,5.8,5,5,57,12:04 PM,12:11 AM,06:44 AM,06:06 PM,18,24,24,23,10,60,73,0.2,1015,27,9,184,7
2020-02-03,31,19,0.0,11.6,7,7,64,12:44 PM,01:02 AM,06:44 AM,06:07 PM,17,25,25,25,20,26,65,0.0,1014,31,9,171,14
2020-02-04,31,20,0.0,11.6,7,7,72,01:28 PM,01:55 AM,06:44 AM,06:07 PM,17,26,26,25,26,27,64,0.0,1013,31,10,170,19
2020-02-05,31,20,0.0,11.6,7,7,79,02:17 PM,02:50 AM,06:43 AM,06:08 PM,16,26,26,25,22,22,61,0.0,1012,31,10,175,16
2020-02-06,32,19,0.0,11.6,7,7,87,03:12 PM,03:48 AM,06:43 AM,06:08 PM,15,25,25,25,23,23,56,0.0,1012,32,10,171,16
2020-02-07,30,22,0.0,10.2,6,6,95,04:12 PM,04:47 AM,06:43 AM,06:09 PM,16,26,26,24,27,40,63,0.0,1012,30,10,162,19
2020-02-08,29,21,0.0,5.8,5,5,100,05:16 PM,05:45 AM,06:42 AM,06:09 PM,18,26,26,24,29,74,71,25.2,1013,29,8,162,18
2020-02-09,25,20,0.0,8.7,5,5,100,06:20 PM,06:40 AM,06:42 AM,06:10 PM,19,23,23,22,13,67,81,18.1,1016,25,9,47,9
2020-02-10,28,20,0.0,8.7,5,5,83,07:25 PM,07:33 AM,06:41 AM,06:10 PM,18,25,25,24,13,67,72,10.7,1015,28,9,95,9
2020-02-11,27,20,0.0,7.3,5,5,75,08:27 PM,08:21 AM,06:41 AM,06:11 PM,19,26,26,24,13,68,72,2.5,1015,27,10,132,10
2020-02-12,29,20,0.0,7.3,5,5,68,09:28 PM,09:07 AM,06:41 AM,06:11 PM,18,25,25,24,12,56,69,1.1,1016,29,10,108,8
2020-02-13,30,20,0.0,11.6,7,7,60,10:27 PM,09:51 AM,06:40 AM,06:12 PM,11,25,25,25,10,1,44,0.0,1015,30,10,34,7
2020-02-14,32,22,0.0,11.6,7,7,53,11:27 PM,10:34 AM,06:40 AM,06:12 PM,8,27,27,27,10,0,33,0.0,1012,32,10,16,6
2020-02-15,33,22,0.0,11.6,7,7,45,No moonrise,11:18 AM,06:39 AM,06:12 PM,10,28,28,28,9,2,34,0.0,1012,33,10,151,6
2020-02-16,34,20,0.0,11.6,7,7,38,12:25 AM,12:04 PM,06:39 AM,06:13 PM,11,28,28,28,10,1,37,0.0,1013,34,10,95,6
2020-02-17,34,19,0.0,11.6,7,7,30,01:24 AM,12:52 PM,06:38 AM,06:13 PM,10,26,26,26,13,0,40,0.0,1014,34,10,76,8
2020-02-18,32,22,0.0,11.6,7,7,22,02:21 AM,01:43 PM,06:38 AM,06:14 PM,5,26,26,26,9,0,27,0.0,1013,32,10,48,6
2020-02-19,32,18,0.0,11.6,7,7,15,03:17 AM,02:36 PM,06:37 AM,06:14 PM,14,26,26,25,17,8,55,0.0,1013,32,10,158,11
2020-02-20,32,20,0.0,11.6,7,7,7,04:10 AM,03:30 PM,06:36 AM,06:14 PM,16,26,26,25,24,10,59,0.0,1014,32,10,160,17
2020-02-21,32,19,0.0,11.6,7,7,0,04:59 AM,04:23 PM,06:36 AM,06:15 PM,14,26,26,25,26,5,55,0.0,1015,32,10,156,18
2020-02-22,32,19,0.0,11.6,7,7,0,05:45 AM,05:16 PM,06:35 AM,06:15 PM,14,26,26,25,22,5,55,0.0,1016,32,10,161,15
2020-02-23,32,19,0.0,11.6,7,7,0,06:27 AM,06:06 PM,06:35 AM,06:15 PM,15,26,26,25,23,14,57,0.0,1014,32,10,169,16
2020-02-24,33,20,0.0,11.6,7,7,0,07:06 AM,06:56 PM,06:34 AM,06:16 PM,14,27,27,26,28,13,52,0.0,1011,33,10,176,20
2020-02-25,33,21,0.0,11.6,7,7,8,07:42 AM,07:44 PM,06:33 AM,06:16 PM,16,27,27,26,24,18,57,0.0,1010,33,10,178,17
2020-02-26,31,20,0.0,10.2,7,7,15,08:17 AM,08:31 PM,06:33 AM,06:16 PM,17,27,27,26,13,27,62,0.0,1012,31,10,173,9
2020-02-27,32,20,0.0,11.6,7,7,23,08:51 AM,09:18 PM,06:32 AM,06:17 PM,9,26,26,26,13,5,42,0.0,1012,32,9,51,8
2020-02-28,33,19,0.0,11.6,7,7,30,09:26 AM,10:06 PM,06:31 AM,06:17 PM,16,26,26,26,17,27,60,0.0,1011,33,9,148,12
2020-02-29,32,20,0.0,10.2,6,6,38,10:01 AM,10:55 PM,06:31 AM,06:17 PM,16,27,27,26,16,36,58,0.2,1011,32,10,211,11
2020-03-01,32,20,0.0,10.2,6,6,44,10:39 AM,11:46 PM,06:30 AM,06:18 PM,16,27,27,26,19,30,58,0.0,1011,32,10,126,13
2020-03-02,32,20,0.0,11.6,6,6,51,11:21 AM,No moonset,06:29 AM,06:18 PM,16,27,27,26,18,22,56,0.0,1011,32,10,216,12
2020-03-03,33,21,0.0,11.6,7,7,58,12:06 PM,12:38 AM,06:29 AM,06:18 PM,16,28,28,28,22,16,51,0.0,1010,33,10,174,15
2020-03-04,35,24,0.0,8.8,6,6,65,12:57 PM,01:34 AM,06:28 AM,06:19 PM,14,29,29,28,24,28,44,0.4,1009,35,10,193,17
2020-03-05,33,22,0.0,8.8,6,6,73,01:54 PM,02:31 AM,06:27 AM,06:19 PM,18,28,28,27,27,55,61,2.8,1008,33,10,179,19
2020-03-06,34,23,0.0,8.8,6,6,80,02:54 PM,03:28 AM,06:26 AM,06:19 PM,18,29,29,28,35,50,61,1.1,1009,34,10,176,26
2020-03-07,32,23,0.0,10.2,6,6,87,03:58 PM,04:24 AM,06:26 AM,06:19 PM,19,29,29,27,29,70,65,10.8,1011,32,9,165,20
2020-03-08,32,22,0.0,7.4,6,6,95,05:02 PM,05:17 AM,06:25 AM,06:20 PM,20,28,28,26,19,70,71,8.0,1011,32,10,153,14
2020-03-09,33,23,0.0,10.2,6,6,100,06:06 PM,06:07 AM,06:24 AM,06:20 PM,19,29,29,27,16,44,62,1.9,1010,33,10,174,11
2020-03-10,34,22,0.0,11.6,7,7,100,07:09 PM,06:55 AM,06:23 AM,06:20 PM,16,29,29,28,26,15,53,0.0,1009,34,10,176,19
2020-03-11,34,23,0.0,11.6,7,7,84,08:11 PM,07:41 AM,06:23 AM,06:20 PM,17,29,29,28,21,30,56,0.0,1010,34,10,188,15
2020-03-12,35,23,0.0,11.6,7,7,76,09:13 PM,08:25 AM,06:22 AM,06:21 PM,16,29,29,28,25,34,51,0.0,1011,35,10,178,19
2020-03-13,35,23,0.0,11.6,7,7,69,10:14 PM,09:11 AM,06:21 AM,06:21 PM,17,30,30,29,28,24,54,0.0,1012,35,10,176,21
2020-03-14,34,22,0.0,11.6,7,7,62,11:15 PM,09:58 AM,06:20 AM,06:21 PM,16,29,29,28,24,16,52,0.0,1010,34,10,177,17
2020-03-15,35,21,0.0,11.6,7,7,55,No moonrise,10:47 AM,06:19 AM,06:21 PM,15,29,29,28,19,12,51,0.0,1011,35,10,157,14
