date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,26,17,0.0,4.1,5,5,37,11:21 AM,11:17 PM,06:56 AM,05:53 PM,16,21,23,21,23,71,75,1.3,1014,26,10,165,16
2020-01-02,27,17,0.0,4.1,5,5,44,11:56 AM,No moonset,06:57 AM,05:54 PM,16,22,22,22,17,67,72,8.4,1016,27,9,181,11
2020-01-03,24,17,0.0,4.1,5,5,51,12:29 PM,12:05 AM,06:57 AM,05:54 PM,16,21,21,21,13,69,76,2.7,1015,24,10,39,9
2020-01-04,24,17,0.0,8.7,5,5,59,01:03 PM,12:53 AM,06:57 AM,05:55 PM,14,20,21,20,14,34,68,0.1,1014,24,10,35,9
2020-01-05,24,15,0.0,8.7,5,5,66,01:39 PM,01:43 AM,06:58 AM,05:55 PM,10,19,20,19,19,5,56,0.0,1016,24,10,70,13
2020-01-06,26,15,0.0,8.7,6,6,73,02:17 PM,02:33 AM,06:58 AM,05:56 PM,10,20,20,20,19,9,52,0.0,1017,26,10,135,12
2020-01-07,28,18,0.0,8.7,6,6,80,02:59 PM,03:27 AM,06:58 AM,05:57 PM,13,24,24,23,19,31,54,0.0,1014,28,10,190,12
2020-01-08,28,21,0.0,5.6,6,6,88,03:46 PM,04:23 AM,06:58 AM,05:57 PM,16,26,26,24,23,47,61,2.7,1012,28,10,245,15
2020-01-09,25,17,0.0,8.7,6,6,95,04:38 PM,05:21 AM,06:59 AM,05:58 PM,11,21,21,21,19,30,54,0.0,1014,25,10,36,13
2020-01-10,24,14,0.0,8.7,5,5,100,05:37 PM,06:21 AM,06:59 AM,05:59 PM,6,18,19,18,21,1,47,0.0,1017,24,10,58,14
2020-01-11,26,13,0.0,8.7,6,6,100,06:39 PM,07:20 AM,06:59 AM,05:59 PM,5,20,21,20,18,4,40,0.0,1017,26,10,87,11
