date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,15,6,0.0,8.7,3,3,37,11:08 AM,10:53 PM,06:54 AM,05:20 PM,0,10,10,10,4,19,49,0.0,1024,15,10,183,2
2020-01-02,16,3,0.0,7.1,3,3,44,11:40 AM,11:45 PM,06:54 AM,05:20 PM,2,10,10,10,5,47,59,3.7,1024,16,10,200,3
2020-01-03,10,2,0.0,4.0,2,2,51,12:10 PM,No moonset,06:54 AM,05:21 PM,5,6,7,6,7,74,82,31.9,1020,10,9,149,5
2020-01-04,12,5,0.0,4.0,2,2,59,12:41 PM,12:36 AM,06:54 AM,05:22 PM,5,8,8,8,5,75,82,13.1,1016,12,9,191,3
2020-01-05,12,3,0.0,5.6,2,2,66,01:14 PM,01:28 AM,06:55 AM,05:23 PM,3,7,7,7,5,55,76,3.5,1017,12,10,222,3
2020-01-06,14,2,0.0,8.7,3,3,73,01:49 PM,02:22 AM,06:55 AM,05:23 PM,3,8,8,8,4,10,69,0.0,1019,14,10,183,3
2020-01-07,15,4,0.0,8.7,3,3,80,02:28 PM,03:19 AM,06:55 AM,05:24 PM,5,8,9,8,6,26,76,1.2,1018,15,10,224,3
2020-01-08,15,3,0.0,5.6,3,3,88,03:13 PM,04:17 AM,06:55 AM,05:25 PM,4,9,9,9,5,73,71,2.5,1017,15,10,93,3
2020-01-09,12,6,0.0,4.0,2,2,95,04:03 PM,05:17 AM,06:55 AM,05:26 PM,6,9,9,9,4,73,82,11.6,1017,12,9,172,3
2020-01-10,13,3,0.0,7.1,2,2,100,05:01 PM,06:18 AM,06:55 AM,05:26 PM,5,8,8,8,5,37,80,0.8,1019,13,10,229,3
2020-01-11,15,5,0.0,8.7,4,4,100,06:04 PM,07:16 AM,06:55 AM,05:27 PM,5,9,9,9,5,13,76,0.0,1019,15,10,202,3
2020-01-12,17,4,0.0,8.7,4,4,83,07:10 PM,08:10 AM,06:55 AM,05:28 PM,6,10,11,10,4,10,73,0.0,1016,17,10,216,3
2020-01-13,19,8,0.0,8.7,4,4,76,08:16 PM,09:00 AM,06:55 AM,05:29 PM,7,12,12,12,5,7,72,0.0,1015,19,10,230,3
2020-01-14,19,7,0.0,8.7,5,5,69,09:23 PM,09:45 AM,06:55 AM,05:29 PM,6,13,13,13,5,4,64,0.0,1017,19,10,270,4
2020-01-15,19,6,0.0,8.7,4,4,61,10:26 PM,10:25 AM,06:55 AM,05:30 PM,5,12,13,12,5,3,60,0.0,1018,19,10,278,3
2020-01-16,17,8,0.0,8.7,3,3,54,11:30 PM,11:04 AM,06:55 AM,05:31 PM,5,11,11,11,6,43,69,7.0,1017,17,9,259,4
2020-01-17,10,5,0.0,4.0,2,2,47,No moonrise,11:42 AM,06:55 AM,05:32 PM,7,7,8,7,10,73,92,38.0,1018,10,7,146,7
2020-01-18,16,4,0.0,5.6,3,3,40,12:31 AM,12:19 PM,06:55 AM,05:33 PM,4,10,10,10,7,69,66,1.2,1020,16,10,241,4
2020-01-19,14,6,0.0,5.6,3,3,32,01:33 AM,12:59 PM,06:55 AM,05:34 PM,2,9,9,9,6,52,63,2.8,1019,14,10,201,4
2020-01-20,14,5,0.0,8.7,3,3,25,02:35 AM,01:41 PM,06:55 AM,05:34 PM,2,9,9,9,5,15,64,0.1,1019,14,10,243,3
2020-01-21,14,5,0.0,8.7,4,4,18,03:36 AM,02:27 PM,06:54 AM,05:35 PM,0,9,9,9,6,21,54,0.0,1021,14,10,268,3
2020-01-22,18,8,0.0,8.7,4,4,11,04:36 AM,03:18 PM,06:54 AM,05:36 PM,2,13,12,13,6,1,50,0.0,1020,18,10,264,5
2020-01-23,16,6,0.0,8.7,4,4,3,05:33 AM,04:11 PM,06:54 AM,05:37 PM,2,10,10,10,5,12,60,0.0,1017,16,10,212,4
2020-01-24,14,1,0.0,8.7,3,3,0,06:25 AM,05:06 PM,06:54 AM,05:38 PM,3,7,8,7,6,15,74,0.0,1019,14,10,182,4
2020-01-25,15,3,0.0,8.7,4,4,0,07:13 AM,06:02 PM,06:53 AM,05:38 PM,3,8,9,8,4,13,71,0.0,1018,15,10,218,3
2020-01-26,11,5,0.0,5.6,2,2,4,07:55 AM,06:58 PM,06:53 AM,05:39 PM,5,7,7,7,6,52,82,5.4,1016,11,10,217,4
2020-01-27,13,4,0.0,7.2,2,2,11,08:32 AM,07:52 PM,06:52 AM,05:40 PM,5,8,8,8,5,45,81,0.1,1014,13,10,189,4
2020-01-28,17,5,0.0,8.7,4,4,18,09:07 AM,08:45 PM,06:52 AM,05:41 PM,4,10,11,10,6,8,65,0.0,1016,17,10,242,4
2020-01-29,18,5,0.0,7.2,3,3,26,09:39 AM,09:37 PM,06:52 AM,05:42 PM,4,11,12,11,7,42,61,2.1,1019,18,10,221,4
2020-01-30,15,6,0.0,5.6,3,3,33,10:10 AM,10:27 PM,06:51 AM,05:42 PM,4,10,10,10,5,51,70,2.7,1017,15,10,225,4
2020-01-31,15,5,0.0,8.7,4,4,37,10:40 AM,11:19 PM,06:51 AM,05:43 PM,4,9,9,9,5,21,74,0.0,1016,15,10,204,3
2020-02-01,12,2,0.0,5.6,2,2,49,11:12 AM,No moonset,06:50 AM,05:44 PM,5,7,8,7,7,59,79,6.0,1019,12,9,198,4
2020-02-02,14,3,0.0,8.7,2,2,57,11:45 AM,12:11 AM,06:50 AM,05:45 PM,3,8,8,8,5,31,72,0.2,1020,14,10,215,3
2020-02-03,16,5,0.0,8.7,4,4,64,12:21 PM,01:05 AM,06:49 AM,05:46 PM,4,9,9,9,5,21,72,0.0,1020,16,10,205,4
2020-02-04,15,4,0.0,8.7,4,4,72,01:02 PM,02:01 AM,06:49 AM,05:46 PM,4,9,10,9,5,16,72,0.0,1018,15,10,209,3
2020-02-05,15,5,0.0,8.7,3,3,79,01:49 PM,03:00 AM,06:48 AM,05:47 PM,3,9,9,9,6,23,68,0.3,1017,15,10,229,4
2020-02-06,14,6,0.0,7.2,3,3,87,02:42 PM,03:59 AM,06:47 AM,05:48 PM,5,9,9,9,6,36,74,0.7,1018,14,10,195,4
2020-02-07,16,4,0.0,8.7,4,4,95,03:43 PM,04:59 AM,06:47 AM,05:49 PM,3,9,9,9,5,21,69,0.0,1020,16,10,186,3
2020-02-08,13,2,0.0,5.7,2,2,100,04:48 PM,05:55 AM,06:46 AM,05:49 PM,1,8,8,8,8,67,61,1.0,1023,13,10,172,5
2020-02-09,16,4,0.0,8.7,4,4,100,05:56 PM,06:48 AM,06:45 AM,05:50 PM,1,9,10,9,6,9,58,0.0,1024,16,10,243,4
2020-02-10,16,5,0.0,8.7,4,4,83,07:05 PM,07:36 AM,06:45 AM,05:51 PM,2,10,11,10,6,7,56,0.0,1019,16,10,192,4
2020-02-11,17,5,0.0,8.7,4,4,75,08:12 PM,08:20 AM,06:44 AM,05:52 PM,4,10,11,10,6,11,66,0.0,1019,17,10,200,4
2020-02-12,18,7,0.0,8.7,4,4,68,09:18 PM,09:01 AM,06:43 AM,05:52 PM,6,11,12,11,5,13,71,0.0,1018,18,10,202,4
2020-02-13,20,7,0.0,8.7,4,4,60,10:22 PM,09:40 AM,06:43 AM,05:53 PM,7,13,13,13,5,12,71,0.0,1015,20,10,197,3
2020-02-14,19,7,0.0,8.7,4,4,53,11:26 PM,10:18 AM,06:42 AM,05:54 PM,7,12,13,12,5,22,73,0.0,1011,19,10,197,3
2020-02-15,18,8,0.0,8.7,4,4,45,No moonrise,10:58 AM,06:41 AM,05:54 PM,7,12,12,12,6,24,72,0.0,1014,18,10,186,4
2020-02-16,17,8,0.0,5.7,3,3,38,12:29 AM,11:41 AM,06:40 AM,05:55 PM,9,13,13,13,4,41,78,0.1,1018,17,10,208,3
